id,perturbation,expected_failure,seed,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
hr_tr_01,TABLE_RENAME,False,0,"SELECT first_name, last_name FROM employees",1,"SELECT first_name, last_name FROM employees",0,"SELECT first_name, last_name FROM staff",1,"SELECT first_name, last_name FROM employees",0,1,no such table: employees,openai_compat,"SELECT first_name, last_name FROM staff",ast,valid,1,1.3309,1.4443,1.0404,1.2034,8.9418,9.035666,openai_compat
hr_tr_01,TABLE_RENAME,False,1,"SELECT first_name, last_name FROM employees",1,"SELECT first_name, last_name FROM employees",0,"SELECT first_name, last_name FROM staff",1,"SELECT first_name, last_name FROM employees",0,1,no such table: employees,openai_compat,"SELECT first_name, last_name FROM staff",ast,valid,1,1.2235,1.0592,0.754,0.8749,0.0347,1.22025,openai_compat
hr_tr_01,TABLE_RENAME,False,2,"SELECT first_name, last_name FROM employees",1,"SELECT first_name, last_name FROM employees",0,"SELECT first_name, last_name FROM staff",1,"SELECT first_name, last_name FROM employees",0,1,no such table: employees,openai_compat,"SELECT first_name, last_name FROM staff",ast,valid,1,1.0149,1.1626,0.8425,1.0172,0.0486,0.892041,openai_compat
hr_tr_02,TABLE_RENAME,False,0,SELECT COUNT(*) FROM employees,1,SELECT COUNT(*) FROM employees,0,SELECT COUNT(*) FROM staff,1,SELECT COUNT(*) FROM employees,0,1,no such table: employees,openai_compat,SELECT COUNT(*) FROM staff,ast,valid,1,0.9682,1.2031,0.9077,0.7585,0.0639,1.11325,openai_compat
hr_tr_02,TABLE_RENAME,False,1,SELECT COUNT(*) FROM employees,1,SELECT COUNT(*) FROM employees,0,SELECT COUNT(*) FROM staff,1,SELECT COUNT(*) FROM employees,0,1,no such table: employees,openai_compat,SELECT COUNT(*) FROM staff,ast,valid,1,1.0583,1.2315,0.7923,0.7088,0.0337,0.99675,openai_compat
hr_tr_02,TABLE_RENAME,False,2,SELECT COUNT(*) FROM employees,1,SELECT COUNT(*) FROM employees,0,SELECT COUNT(*) FROM staff,1,SELECT COUNT(*) FROM employees,0,1,no such table: employees,openai_compat,SELECT COUNT(*) FROM staff,ast,valid,1,1.2591,0.9414,1.0926,0.9573,0.0373,1.158834,openai_compat
hr_tr_03,TABLE_RENAME,False,0,SELECT * FROM employees WHERE salary > 7000,0,SELECT * FROM employees WHERE salary > 7000,0,"SELECT employee_id, first_name, last_name, salary FROM staff WHERE salary > 7000",0,SELECT * FROM employees WHERE salary > 7000,0,1,no such table: employees,openai_compat,SELECT * FROM staff WHERE salary > 7000,ast,valid,0,1.3554,1.0395,1.0347,0.7943,0.0381,0.970709,openai_compat
hr_tr_03,TABLE_RENAME,False,1,SELECT * FROM employees WHERE salary > 7000,0,SELECT * FROM employees WHERE salary > 7000,0,"SELECT employee_id, first_name, last_name, salary FROM staff WHERE salary > 7000",0,SELECT * FROM employees WHERE salary > 7000,0,1,no such table: employees,openai_compat,SELECT * FROM staff WHERE salary > 7000,ast,valid,0,1.0645,1.145,0.9338,0.7981,0.035,1.061459,openai_compat
hr_tr_03,TABLE_RENAME,False,2,SELECT * FROM employees WHERE salary > 7000,0,SELECT * FROM employees WHERE salary > 7000,0,"SELECT employee_id, first_name, last_name, salary FROM staff WHERE salary > 7000",0,SELECT * FROM employees WHERE salary > 7000,0,1,no such table: employees,openai_compat,SELECT * FROM staff WHERE salary > 7000,ast,valid,0,1.0766,1.0757,0.9814,1.2235,0.0389,1.165958,openai_compat
hr_tr_04,TABLE_RENAME,False,0,SELECT AVG(salary) AS average_salary FROM employees,1,SELECT AVG(salary) AS average_salary FROM employees,0,SELECT AVG(salary) AS average_salary FROM staff,1,SELECT AVG(salary) AS average_salary FROM employees,0,1,no such table: employees,openai_compat,SELECT AVG(salary) AS average_salary FROM staff,ast,valid,1,1.2906,1.2145,0.906,0.7922,0.0787,1.124292,openai_compat
