id,perturbation,expected_failure,seed,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
cs_tr_01,TABLE_RENAME,False,0,SELECT Name FROM singer,1,SELECT Name FROM singer,0,SELECT DISTINCT Name FROM artist,1,SELECT Name FROM singer,0,1,no such table: singer,anthropic,SELECT Name FROM artist,ast,valid,1,1.8663,0.9617,0.9759,0.9857,0.0458,1.043833,anthropic
cs_tr_01,TABLE_RENAME,False,1,SELECT Name FROM singer,1,SELECT Name FROM singer,0,SELECT DISTINCT Name FROM artist,1,SELECT Name FROM singer,0,1,no such table: singer,anthropic,SELECT Name FROM artist,ast,valid,1,1.0167,0.937,4.3526,1.636,0.0453,0.724375,anthropic
cs_tr_01,TABLE_RENAME,False,2,SELECT Name FROM singer,1,SELECT Name FROM singer,0,SELECT DISTINCT Name FROM artist,1,SELECT Name FROM singer,0,1,no such table: singer,anthropic,SELECT Name FROM artist,ast,valid,1,0.8727,0.9231,1.3429,0.8165,0.0461,0.740875,anthropic
cs_tr_01,TABLE_RENAME,False,3,SELECT Name FROM singer,1,SELECT Name FROM singer,0,SELECT DISTINCT Name FROM artist,1,SELECT Name FROM singer,0,1,no such table: singer,anthropic,SELECT Name FROM artist,ast,valid,1,0.8327,1.2572,1.0237,1.1087,0.0465,0.761791,anthropic
cs_tr_01,TABLE_RENAME,False,4,SELECT Name FROM singer,1,SELECT Name FROM singer,0,SELECT DISTINCT Name FROM artist,1,SELECT Name FROM singer,0,1,no such table: singer,anthropic,SELECT Name FROM artist,ast,valid,1,0.8949,1.0472,1.1753,1.1047,0.0419,0.488959,anthropic
cs_tr_02,TABLE_RENAME,False,0,SELECT COUNT(*) FROM singer WHERE Country = 'France',1,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,SELECT COUNT(DISTINCT Singer_ID) FROM artist WHERE Country = 'France',1,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,1,no such table: singer,anthropic,SELECT COUNT(*) FROM artist WHERE Country = 'France',ast,valid,1,1.5494,0.9563,1.0113,2.9467,0.0501,1.015792,anthropic
cs_tr_02,TABLE_RENAME,False,1,SELECT COUNT(*) FROM singer WHERE Country = 'France',1,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,SELECT COUNT(DISTINCT Singer_ID) FROM artist WHERE Country = 'France',1,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,1,no such table: singer,anthropic,SELECT COUNT(*) FROM artist WHERE Country = 'France',ast,valid,1,1.4398,1.0192,1.6818,1.0352,0.0475,1.014458,anthropic
cs_tr_02,TABLE_RENAME,False,2,SELECT COUNT(*) FROM singer WHERE Country = 'France',1,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,SELECT COUNT(DISTINCT Singer_ID) FROM artist WHERE Country = 'France',1,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,1,no such table: singer,anthropic,SELECT COUNT(*) FROM artist WHERE Country = 'France',ast,valid,1,1.0996,1.0565,1.0227,0.9268,0.0474,1.113167,anthropic
cs_tr_02,TABLE_RENAME,False,3,SELECT COUNT(*) FROM singer WHERE Country = 'France',1,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,SELECT COUNT(DISTINCT Singer_ID) FROM artist WHERE Country = 'France',1,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,1,no such table: singer,anthropic,SELECT COUNT(*) FROM artist WHERE Country = 'France',ast,valid,1,1.0219,0.9521,1.0978,0.9356,0.048,1.183166,anthropic
cs_tr_02,TABLE_RENAME,False,4,SELECT COUNT(*) FROM singer WHERE Country = 'France',1,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,SELECT COUNT(DISTINCT Singer_ID) FROM artist WHERE Country = 'France',1,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,1,no such table: singer,anthropic,SELECT COUNT(*) FROM artist WHERE Country = 'France',ast,valid,1,1.2079,1.2723,1.4217,0.8064,0.0477,1.092209,anthropic
cs_tr_03,TABLE_RENAME,False,0,SELECT Song_Name FROM singer WHERE Singer_ID = 1,1,SELECT Song_Name FROM singer WHERE Singer_ID = 1,0,SELECT Song_Name FROM artist WHERE Singer_ID = 1,1,SELECT Song_Name FROM singer WHERE Singer_ID = 1,0,1,no such table: singer,anthropic,SELECT Song_Name FROM artist WHERE Singer_ID = 1,ast,valid,1,1.0327,1.1529,1.0591,1.1768,0.0466,0.991875,anthropic
cs_tr_03,TABLE_RENAME,False,1,SELECT Song_Name FROM singer WHERE Singer_ID = 1,1,SELECT Song_Name FROM singer WHERE Singer_ID = 1,0,SELECT Song_Name FROM artist WHERE Singer_ID = 1,1,SELECT Song_Name FROM singer WHERE Singer_ID = 1,0,1,no such table: singer,anthropic,SELECT Song_Name FROM artist WHERE Singer_ID = 1,ast,valid,1,0.868,1.1431,0.9039,1.1516,0.0449,0.940292,anthropic
cs_tr_03,TABLE_RENAME,False,2,SELECT Song_Name FROM singer WHERE Singer_ID = 1,1,SELECT Song_Name FROM singer WHERE Singer_ID = 1,0,SELECT Song_Name FROM artist WHERE Singer_ID = 1,1,SELECT Song_Name FROM singer WHERE Singer_ID = 1,0,1,no such table: singer,anthropic,SELECT Song_Name FROM artist WHERE Singer_ID = 1,ast,valid,1,1.0235,0.9767,1.7116,0.8875,0.0504,1.061917,anthropic
