id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
cs_cm_01,COLUMN_MERGE,List singer names with countries merged.,SELECT Name_Country FROM singer ORDER BY Singer_ID,False,,SELECT Name || ' (' || Country || ')' AS Singer_Name_With_Country FROM singer,0,SELECT Name || ' (' || Country || ')' AS Singer_Name_With_Country FROM singer,0,SELECT Name_Country FROM singer,1,SELECT singer.Name || ' (' || singer.Country || ')' AS Singer_Name_With_Country FROM singer,0,1,no such column: Name,openai_compat,SELECT Song_Name || ' (' || Name_Country || ')' AS Singer_Name_With_Country FROM singer,ast,valid,0,0,0,1.0073,0.9793,0.9438,1.398,1.2291,1.34575,openai_compat
cs_cm_02,COLUMN_MERGE,Count singers from France.,SELECT COUNT(*) FROM singer WHERE Name_Country LIKE '% - France',False,,SELECT COUNT(*) FROM singer WHERE Country = 'France',1,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,SELECT COUNT(*) FROM singer WHERE Name_Country = 'France',0,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,1,no such column: Country,openai_compat,SELECT COUNT(*) FROM singer WHERE Name_Country = 'France',ast,silent_failure_suspected,0,0,0,0.9982,1.1208,0.8587,0.9665,1.1211,1.428084,openai_compat
cs_cm_03,COLUMN_MERGE,Merged name for Singer_ID 1.,SELECT Name_Country FROM singer WHERE Singer_ID=1,False,,SELECT Name || ' - ' || Song_Name AS Merged_Name FROM singer WHERE Singer_ID = 1,0,SELECT Name || ' - ' || Song_Name AS Merged_Name FROM singer WHERE Singer_ID = 1,0,SELECT Song_Name || ' ' || Name_Country AS Merged_Name FROM singer WHERE Singer_ID = 1,0,SELECT singer.Name || ' - ' || singer.Song_Name AS Merged_Name FROM singer WHERE Singer_ID = 1,0,1,no such column: Name,openai_compat,SELECT Name_Country || ' - ' || Song_Name AS Merged_Name FROM singer WHERE Singer_ID = 1,ast,valid,0,0,0,1.0447,1.1256,0.9187,1.1602,1.2189,1.1725,openai_compat
cs_cm_04,COLUMN_MERGE,Merged names for singers over 40.,SELECT Name_Country FROM singer WHERE Age > 40 ORDER BY Name_Country,False,,"SELECT GROUP_CONCAT(Name, ', ') AS Merged_Names
FROM singer
WHERE Age > 40",0,"SELECT GROUP_CONCAT(Name, ', ') AS Merged_Names
FROM singer
WHERE Age > 40",0,"SELECT GROUP_CONCAT(s.Name_Country, ', ') AS Merged_Names
FROM singer s
WHERE s.Age > 40",0,"SELECT GROUP_CONCAT(Name, ', ') AS Merged_Names
FROM singer
WHERE Age > 40",0,1,no such column: Name,openai_compat,"SELECT GROUP_CONCAT(Name_Country, ', ') AS Merged_Names FROM singer WHERE Age > 40",ast,valid,0,0,0,0.9985,1.2033,1.1494,0.9959,1.2165,1.472833,openai_compat
cs_cm_05,COLUMN_MERGE,Merged name for the song 'Sun'.,SELECT Name_Country FROM singer WHERE Song_Name='Sun',False,,"SELECT Name || ' ' || Song_Name AS Merged_Name
FROM singer
WHERE Song_Name = 'Sun'",0,"SELECT Name || ' - ' || Song_Name AS Merged_Name
FROM singer
WHERE Song_Name = 'Sun'",0,"SELECT Song_Name || ' - ' || Name_Country AS Merged_Name
FROM singer
WHERE Song_Name = 'Sun'",0,"SELECT singer.Name || ' - ' || singer.Song_Name AS Merged_Name
FROM singer
WHERE singer.Song_Name = 'Sun'",0,1,no such column: Name,openai_compat,SELECT Name_Country || ' - ' || Song_Name AS Merged_Name FROM singer WHERE Song_Name = 'Sun',ast,valid,0,0,0,1.3602,1.1755,1.2514,1.1218,1.0672,1.378625,openai_compat
cs_cm_06,COLUMN_MERGE,Count singers with songs released since 2010.,SELECT COUNT(*) FROM singer WHERE Song_release_year >= 2010,False,,"SELECT COUNT(DISTINCT Singer_ID) 
FROM singer 
WHERE Song_release_year >= 2010",1,"SELECT COUNT(DISTINCT Singer_ID) 
FROM singer 
WHERE Song_release_year >= 2010",1,"SELECT COUNT(DISTINCT Singer_ID) 
FROM singer 
WHERE Song_release_year >= 2010",1,"SELECT COUNT(DISTINCT Singer_ID) 
FROM singer 
WHERE Song_release_year >= 2010",1,0,,openai_compat,SELECT COUNT(DISTINCT Singer_ID) FROM singer WHERE Song_release_year >= 2010,ast,valid,1,0,0,1.0205,0.9962,0.9938,0.0006,0.0455,1.031459,openai_compat
cs_cm_07,COLUMN_MERGE,List merged names and song titles.,"SELECT Name_Country, Song_Name FROM singer ORDER BY Singer_ID",False,,"SELECT Name || ' - ' || Song_Name AS Merged_Name_Song
FROM singer",0,"SELECT Name || ' - ' || Song_Name AS Merged_Name_Song
FROM singer",0,"SELECT singer.Name_Country || ' - ' || singer.Song_Name AS Merged_Name_Song
FROM singer",0,"SELECT singer.Name || ' - ' || singer.Song_Name AS Merged_Name_Song
FROM singer",0,1,no such column: Name,openai_compat,SELECT Name_Country || ' - ' || Song_Name AS Merged_Name_Song FROM singer,ast,valid,0,0,0,0.8983,1.021,0.9528,0.9571,1.1803,1.000291,openai_compat
cs_cm_08,COLUMN_MERGE,Merged names for male singers.,SELECT Name_Country FROM singer WHERE Is_male='T' ORDER BY Singer_ID,False,,"SELECT GROUP_CONCAT(Name, ', ') AS Merged_Names
FROM singer
WHERE Is_male = 'yes'",0,"SELECT GROUP_CONCAT(Name, ', ') AS Merged_Names
FROM singer
WHERE Is_male = 'yes'",0,"SELECT GROUP_CONCAT(singer.Name_Country) AS Merged_Names
FROM singer
WHERE singer.Is_male = 'Yes'",0,"SELECT GROUP_CONCAT(Name, ', ') AS Merged_Names
FROM singer
WHERE Is_male = 'Yes'",0,1,no such column: Name,openai_compat,"SELECT GROUP_CONCAT(SUBSTR(Name_Country, INSTR(Name_Country, ',') + 2), ', ') AS Merged_Names
FROM singer
WHERE Is_male = 'yes'",ast,valid,0,0,0,1.3168,1.0321,3.0425,1.1254,1.5195,1.270417,openai_compat
cs_cm_09,COLUMN_MERGE,Count singers from the United States.,SELECT COUNT(*) FROM singer WHERE Name_Country LIKE '% - United States',False,,"SELECT COUNT(*) 
FROM singer 
WHERE Country = 'United States'",1,SELECT COUNT(*) FROM singer WHERE Country = 'United States',0,SELECT COUNT(*) FROM singer WHERE Name_Country = 'United States',0,SELECT COUNT(*) FROM singer WHERE Country = 'USA',0,1,no such column: Country,openai_compat,SELECT COUNT(*) FROM singer WHERE Name_Country LIKE '%United States%',ast,valid,1,1,0,0.9983,0.9356,0.9318,1.1415,1.1207,1.336291,openai_compat
cs_cm_10,COLUMN_MERGE,Merged names for concert 1 singers.,SELECT s.Name_Country FROM singer s JOIN singer_in_concert sc ON s.Singer_ID=sc.Singer_ID WHERE sc.Concert_ID=1 ORDER BY s.Name_Country,False,,"SELECT GROUP_CONCAT(s.Name, ', ') AS Merged_Names
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
WHERE sic.Concert_ID = 1",0,"SELECT GROUP_CONCAT(s.Name, ', ') AS Merged_Names
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
WHERE sic.Concert_ID = 1",0,"SELECT GROUP_CONCAT(singer.Name_Country, ', ') AS Merged_Names
FROM singer
JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID
WHERE singer_in_concert.Concert_ID = 1",0,"SELECT GROUP_CONCAT(singer.Name, ', ') AS Merged_Names
FROM singer
JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID
WHERE singer_in_concert.Concert_ID = 1",0,1,no such column: s.Name,openai_compat,"SELECT GROUP_CONCAT(s.Name_Country, ', ') AS Merged_Names 
FROM singer AS s 
JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID 
WHERE sic.Concert_ID = 1",ast,valid,0,0,0,1.2993,1.2647,2.1906,1.6622,1.7597,7.465875,openai_compat
