id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
hr_ts_01,TABLE_SPLIT,List employee first and last names.,"SELECT first_name, last_name FROM employee_personal ORDER BY employee_id",False,,"SELECT first_name, last_name FROM employees",1,"SELECT first_name, last_name FROM employees",0,"SELECT first_name, last_name FROM employee_personal",1,"SELECT first_name, last_name FROM employees",0,1,no such table: employees,anthropic,"SELECT first_name, last_name FROM employee_personal",ast,valid,1,1,0,1.3037,0.9111,1.0128,0.9005,1.0628,0.616041,anthropic
hr_ts_02,TABLE_SPLIT,Count employees.,SELECT COUNT(*) FROM employee_personal,False,,SELECT COUNT(*) FROM employees,1,SELECT COUNT(*) FROM employees,0,SELECT COUNT(*) FROM employee_personal,1,SELECT COUNT(*) FROM employees,0,1,no such table: employees,anthropic,SELECT COUNT(*) FROM employee_job,ast,valid,1,1,0,0.9238,0.8394,2.5555,0.9765,1.4987,0.85825,anthropic
hr_ts_03,TABLE_SPLIT,Employees with salary over 7000.,SELECT employee_id FROM employee_job WHERE salary > 7000 ORDER BY employee_id,False,,"SELECT employee_id, first_name, last_name, salary
FROM employees
WHERE salary > 7000
ORDER BY salary DESC",0,"SELECT employee_id, first_name, last_name, salary
FROM employees
WHERE salary > 7000
ORDER BY salary DESC",0,"SELECT ep.employee_id, ep.first_name, ep.last_name, ej.salary
FROM employee_personal ep
JOIN employee_job ej ON ep.employee_id = ej.employee_id
WHERE ej.salary > 7000",0,"SELECT employee_id, first_name, last_name, salary
FROM employees
WHERE salary > 7000
ORDER BY salary DESC",0,1,no such table: employees,anthropic,"SELECT ep.employee_id, ep.first_name, ep.last_name, ej.salary 
FROM employee_personal ep
JOIN employee_job ej ON ep.employee_id = ej.employee_id
WHERE ej.salary > 7000 
ORDER BY ej.salary DESC",ast,silent_failure_suspected,0,0,0,1.6588,1.4986,1.5573,1.1436,1.3439,1.206166,anthropic
hr_ts_04,TABLE_SPLIT,Average employee salary.,SELECT AVG(salary) FROM employee_job,False,,SELECT AVG(salary) FROM employees,1,SELECT AVG(salary) FROM employees,0,SELECT AVG(salary) FROM employee_job,1,SELECT AVG(salary) FROM employees,0,1,no such table: employees,anthropic,SELECT AVG(salary) FROM employee_job,ast,valid,1,1,0,1.0655,1.0484,0.9151,0.8819,1.0892,1.085375,anthropic
hr_ts_05,TABLE_SPLIT,List employee emails.,SELECT email FROM employee_personal ORDER BY employee_id,False,,SELECT email FROM employees,1,SELECT email FROM employees,0,SELECT email FROM employee_personal,1,SELECT email FROM employees,0,1,no such table: employees,anthropic,SELECT email FROM employee_personal,ast,valid,1,1,0,1.8408,2.4812,0.9053,1.2664,1.0827,0.759667,anthropic
hr_ts_06,TABLE_SPLIT,Employees in department 10.,"SELECT p.employee_id, p.first_name FROM employee_personal p JOIN employee_job j ON p.employee_id=j.employee_id WHERE j.department_id=10 ORDER BY p.employee_id",False,,SELECT * FROM employees WHERE department_id = 10,0,SELECT * FROM employees WHERE department_id = 10,0,"SELECT ep.employee_id, ep.first_name, ep.last_name, ej.department_id
FROM employee_personal ep
JOIN employee_job ej ON ep.employee_id = ej.employee_id
WHERE ej.department_id = 10",0,SELECT * FROM employees WHERE department_id = 10,0,1,no such table: employees,anthropic,SELECT * FROM employee_job WHERE department_id = 10,ast,valid,0,0,0,0.8728,0.9994,1.8055,0.8875,0.9443,0.850208,anthropic
hr_ts_07,TABLE_SPLIT,List employee job IDs.,"SELECT employee_id, job_id FROM employee_job ORDER BY employee_id",False,,SELECT DISTINCT job_id FROM employees,0,SELECT DISTINCT job_id FROM employees,0,SELECT DISTINCT job_id FROM employee_job,0,SELECT DISTINCT job_id FROM employees,0,1,no such table: employees,anthropic,SELECT DISTINCT job_id FROM employee_job,ast,valid,0,0,0,1.3489,1.1999,0.9058,0.9511,1.4323,1.038333,anthropic
hr_ts_08,TABLE_SPLIT,Count employees per department.,"SELECT department_id, COUNT(*) FROM employee_job GROUP BY department_id ORDER BY department_id",False,,"SELECT 
  d.department_id,
  d.department_name,
  COUNT(e.employee_id) AS employee_count
FROM departments d
LEFT JOIN employees e ON d.department_id = e.department_id
GROUP BY d.department_id, d.department_name
ORDER BY d.department_id",0,"SELECT 
  d.department_id,
  d.department_name,
  COUNT(e.employee_id) AS employee_count
FROM departments d
LEFT JOIN employees e ON d.department_id = e.department_id
GROUP BY d.department_id, d.department_name
ORDER BY d.department_id",0,"SELECT 
    d.department_id,
    d.department_name,
    COUNT(e.employee_id) as employee_count
FROM departments d
LEFT JOIN employee_job e ON d.department_id = e.department_id
GROUP BY d.department_id, d.department_name
ORDER BY d.department_id",0,"SELECT 
  d.department_id,
  d.department_name,
  COUNT(e.employee_id) AS employee_count
FROM departments d
LEFT JOIN employees e ON d.department_id = e.department_id
GROUP BY d.department_id, d.department_name
ORDER BY d.department_id",0,1,no such table: employees,anthropic,"SELECT d.department_id, d.department_name, COUNT(e.employee_id) AS employee_count FROM departments AS d LEFT JOIN employee_job AS e ON d.department_id = e.department_id GROUP BY d.department_id, d.department_name ORDER BY d.department_id",ast,valid,0,0,0,1.6718,1.2248,1.1996,1.0886,1.1771,1.831,anthropic
hr_ts_09,TABLE_SPLIT,Employees with commissions.,SELECT employee_id FROM employee_job WHERE commission_pct IS NOT NULL ORDER BY employee_id,False,,"SELECT employee_id, first_name, last_name, commission_pct
FROM employees
WHERE commission_pct IS NOT NULL AND commission_pct > 0
ORDER BY employee_id",0,"SELECT employee_id, first_name, last_name, commission_pct
FROM employees
WHERE commission_pct IS NOT NULL AND commission_pct > 0
ORDER BY employee_id",0,"SELECT DISTINCT ep.employee_id, ep.first_name, ep.last_name, ej.commission_pct
FROM employee_personal ep
JOIN employee_job ej ON ep.employee_id = ej.employee_id
WHERE ej.commission_pct IS NOT NULL AND ej.commission_pct > 0
ORDER BY ep.employee_id",0,"SELECT employee_id, first_name, last_name, commission_pct
FROM employees
WHERE commission_pct IS NOT NULL AND commission_pct > 0
ORDER BY employee_id",0,1,no such table: employees,anthropic,"SELECT ej.employee_id, ep.first_name, ep.last_name, ej.commission_pct 
FROM employee_job ej
JOIN employee_personal ep ON ej.employee_id = ep.employee_id
WHERE ej.commission_pct IS NOT NULL AND ej.commission_pct > 0 
ORDER BY ej.employee_id",ast,valid,0,0,0,0.9885,1.6889,1.507,1.0503,1.7287,1.243125,anthropic
hr_ts_10,TABLE_SPLIT,Employees managed by 1.,SELECT employee_id FROM employee_job WHERE manager_id=1 ORDER BY employee_id,False,,SELECT * FROM employees WHERE manager_id = 1,0,SELECT * FROM employees WHERE manager_id = 1,0,"SELECT ep.employee_id, ep.first_name, ep.last_name, ej.job_id, ej.salary
FROM employee_personal ep
JOIN employee_job ej ON ep.employee_id = ej.employee_id
WHERE ej.manager_id = 1",0,SELECT * FROM employees WHERE manager_id = 1,0,1,no such table: employees,anthropic,SELECT * FROM employee_job JOIN employee_personal ON employee_job.employee_id = employee_personal.employee_id WHERE employee_job.manager_id = 1,ast,silent_failure_suspected,0,0,0,0.8932,0.8948,1.2944,0.7979,1.5771,1.191916,anthropic
