id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
cs_cm_01,COLUMN_MERGE,List singer names with countries merged.,SELECT Name_Country FROM singer ORDER BY Singer_ID,False,,"SELECT Name, Country FROM singer",0,"SELECT Name, Country FROM singer",0,SELECT DISTINCT Name_Country FROM singer,1,"SELECT singer.Name, singer.Country FROM singer",0,1,no such column: Name,anthropic,SELECT Name_Country FROM singer,ast,valid,1,1,0,1.3433,1.0831,1.2846,0.9769,1.7606,1.14225,anthropic
cs_cm_02,COLUMN_MERGE,Count singers from France.,SELECT COUNT(*) FROM singer WHERE Name_Country LIKE '% - France',False,,SELECT COUNT(*) FROM singer WHERE Country = 'France',1,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,SELECT COUNT(*) FROM singer WHERE Name_Country = 'France',0,"SELECT COUNT(*) FROM singer WHERE Country = 'France'

Wait, let me check the schema again. The error says ""no such column: Country"" but the schema shows `Country TEXT` in the singer table.

Let me verify the actual column names in the singer table from the schema:
- Singer_ID INTEGER
- Name TEXT
- Country TEXT
- Song_Name TEXT
- Song_release_year INTEGER
- Age INTEGER
- Is_male TEXT

The Country column does exist. However, since the error explicitly states the column doesn't exist, the column name must be different. Looking at common variations, it might be case-sensitive or the actual column might be named differently. Let me try with the exact schema provided - it shows ""Country"" so the query should work, but given the error, I'll check if there's a different column name being used.

Given the error and that I must produce a working query, and the schema clearly shows Country exists, the issue might be with how the database was actually created. However, based on the provided schema, the correct query is:

SELECT COUNT(*) FROM singer WHERE Country = 'France'",0,1,no such column: Country,anthropic,SELECT COUNT(*) FROM singer WHERE Name_Country = 'France',ast,silent_failure_suspected,0,0,0,1.104,1.5982,1.5353,3.4,1.3027,1.099709,anthropic
cs_cm_03,COLUMN_MERGE,Merged name for Singer_ID 1.,SELECT Name_Country FROM singer WHERE Singer_ID=1,False,,SELECT Name FROM singer WHERE Singer_ID = 1,0,SELECT Name FROM singer WHERE Singer_ID = 1,0,SELECT Name_Country FROM singer WHERE Singer_ID = 1,1,"SELECT Name FROM singer WHERE Singer_ID = 1

Wait, let me reconsider. The error says ""no such column: Name"" but looking at the schema, the singer table has a Name column. Let me check the actual column names more carefully.

Looking at the schema again: `TABLE singer ( Singer_ID INTEGER, Name TEXT, Country TEXT, Song_Name TEXT, Song_release_year INTEGER, Age INTEGER, Is_male TEXT )`

The Name column exists. However, the question asks for ""Merged name"" which might suggest concatenating fields. But given the error, let me verify the exact column name. The error might indicate the column doesn't exist as defined. Let me try with the exact schema provided:

SELECT Name FROM singer WHERE Singer_ID = 1

Actually, if the error persists, the column might be named differently in the actual database. But based on the schema provided, this should work. However, since the error occurred, perhaps I need to check if there's a different issue. Let me output the most logical correction:

SELECT Name FROM singer WHERE Singer_ID = 1",0,1,no such column: Name,anthropic,SELECT Name_Country FROM singer WHERE Singer_ID = 1,ast,valid,1,1,0,1.1621,1.1357,1.0053,3.5552,0.0455,1.032792,anthropic
cs_cm_04,COLUMN_MERGE,Merged names for singers over 40.,SELECT Name_Country FROM singer WHERE Age > 40 ORDER BY Name_Country,False,,"SELECT GROUP_CONCAT(Name, ', ') AS merged_names
FROM singer
WHERE Age > 40",0,"SELECT GROUP_CONCAT(Name, ', ') AS merged_names
FROM singer
WHERE Age > 40",0,"SELECT GROUP_CONCAT(singer.Name_Country, ', ') as merged_names
FROM singer
WHERE singer.Age > 40",0,"SELECT GROUP_CONCAT(singer.Name, ', ') AS merged_names
FROM singer
WHERE singer.Age > 40",0,1,no such column: Name,anthropic,"SELECT GROUP_CONCAT(Name_Country, ', ') AS merged_names FROM singer WHERE Age > 40",ast,valid,0,0,0,1.2055,1.125,1.6756,1.3508,0.0467,1.274083,anthropic
cs_cm_05,COLUMN_MERGE,Merged name for the song 'Sun'.,SELECT Name_Country FROM singer WHERE Song_Name='Sun',False,,"SELECT GROUP_CONCAT(Name, ' ') as merged_name
FROM singer
WHERE Song_Name = 'Sun'",0,"SELECT GROUP_CONCAT(Name, ' ') as merged_name
FROM singer
WHERE Song_Name = 'Sun'",0,"SELECT GROUP_CONCAT(s.Name_Country, ', ') as merged_name
FROM singer s
WHERE s.Song_Name = 'Sun'",1,"SELECT GROUP_CONCAT(singer.Name, ' ') as merged_name
FROM singer
WHERE Song_Name = 'Sun'",0,1,no such column: Name,anthropic,"SELECT GROUP_CONCAT(Name_Country, ' ') AS merged_name FROM singer WHERE Song_Name = 'Sun'",ast,valid,1,1,0,1.1668,1.3906,1.0812,1.1099,0.0578,1.532542,anthropic
cs_cm_06,COLUMN_MERGE,Count singers with songs released since 2010.,SELECT COUNT(*) FROM singer WHERE Song_release_year >= 2010,False,,SELECT COUNT(DISTINCT Singer_ID) FROM singer WHERE Song_release_year >= 2010,1,SELECT COUNT(DISTINCT Singer_ID) FROM singer WHERE Song_release_year >= 2010,1,SELECT COUNT(DISTINCT Singer_ID) FROM singer WHERE Song_release_year >= 2010,1,SELECT COUNT(DISTINCT Singer_ID) FROM singer WHERE Song_release_year >= 2010,1,0,,anthropic,SELECT COUNT(DISTINCT Singer_ID) FROM singer WHERE Song_release_year >= 2010,ast,valid,1,0,0,1.1939,1.0348,1.1044,0.0008,0.0494,1.260458,anthropic
cs_cm_07,COLUMN_MERGE,List merged names and song titles.,"SELECT Name_Country, Song_Name FROM singer ORDER BY Singer_ID",False,,"SELECT DISTINCT s.Name, s.Song_Name
FROM singer s
ORDER BY s.Name, s.Song_Name",0,"SELECT DISTINCT s.Name, s.Song_Name
FROM singer s
ORDER BY s.Name, s.Song_Name",0,"SELECT s.Name_Country, s.Song_Name
FROM singer s",1,"SELECT DISTINCT s.Name, s.Song_Name
FROM singer s
ORDER BY s.Name, s.Song_Name",0,1,no such column: s.Name,anthropic,"SELECT DISTINCT s.Name_Country, s.Song_Name FROM singer AS s ORDER BY s.Name_Country, s.Song_Name",ast,valid,1,1,0,1.0479,1.065,1.0842,1.1526,0.0491,1.233333,anthropic
cs_cm_08,COLUMN_MERGE,Merged names for male singers.,SELECT Name_Country FROM singer WHERE Is_male='T' ORDER BY Singer_ID,False,,"SELECT GROUP_CONCAT(Name, ', ') AS merged_names
FROM singer
WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'yes' OR Is_male = 'Yes' OR Is_male = '1'",0,"SELECT GROUP_CONCAT(Name, ', ') AS merged_names
FROM singer
WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'yes' OR Is_male = 'Yes' OR Is_male = '1'",0,"SELECT GROUP_CONCAT(singer.Name_Country, ', ') AS merged_names
FROM singer
WHERE singer.Is_male = 'true' OR singer.Is_male = 'True' OR singer.Is_male = 'M' OR singer.Is_male = 'Yes'",0,"SELECT GROUP_CONCAT(singer.Name, ', ') AS merged_names
FROM singer
WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'yes' OR Is_male = 'Yes' OR Is_male = '1'",0,1,no such column: Name,anthropic,"SELECT GROUP_CONCAT(Name_Country, ', ') AS merged_names FROM singer WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'yes' OR Is_male = 'Yes' OR Is_male = '1'",ast,valid,0,0,0,1.3377,1.3766,1.6806,1.0621,0.0498,1.541166,anthropic
cs_cm_09,COLUMN_MERGE,Count singers from the United States.,SELECT COUNT(*) FROM singer WHERE Name_Country LIKE '% - United States',False,,SELECT COUNT(*) FROM singer WHERE Country = 'United States',1,SELECT COUNT(*) FROM singer WHERE Country = 'United States',0,SELECT COUNT(*) FROM singer WHERE Name_Country = 'United States',0,SELECT COUNT(*) FROM singer WHERE Country = 'USA',0,1,no such column: Country,anthropic,SELECT COUNT(*) FROM singer WHERE Name_Country = 'United States',ast,silent_failure_suspected,0,0,0,1.1353,1.15,0.9342,0.9606,1.0761,1.549417,anthropic
cs_cm_10,COLUMN_MERGE,Merged names for concert 1 singers.,SELECT s.Name_Country FROM singer s JOIN singer_in_concert sc ON s.Singer_ID=sc.Singer_ID WHERE sc.Concert_ID=1 ORDER BY s.Name_Country,False,,"SELECT GROUP_CONCAT(s.Name, ', ') AS merged_names
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
WHERE sic.Concert_ID = 1",0,"SELECT GROUP_CONCAT(s.Name, ', ') AS merged_names
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
WHERE sic.Concert_ID = 1",0,"SELECT GROUP_CONCAT(singer.Name_Country, ', ') AS merged_names
FROM singer
JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID
WHERE singer_in_concert.Concert_ID = 1",0,"SELECT GROUP_CONCAT(s.Name, ', ') AS merged_names
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
WHERE sic.Concert_ID = 1",0,1,no such column: s.Name,anthropic,"SELECT GROUP_CONCAT(s.Name_Country, ', ') AS merged_names FROM singer AS s JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID WHERE sic.Concert_ID = 1",ast,valid,0,0,0,1.244,1.8225,1.1669,1.1535,0.0556,1.947291,anthropic
