id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
cs_tm_01,TABLE_MERGE,List concert names with singer IDs.,"SELECT concert_Name, Singer_ID FROM concert_performance ORDER BY Concert_ID, Singer_ID",False,,"SELECT c.concert_Name, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
ORDER BY c.concert_Name, sic.Singer_ID",1,"SELECT c.concert_Name, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
ORDER BY c.concert_Name, sic.Singer_ID",0,"SELECT concert_Name, Singer_ID FROM concert_performance",1,"SELECT c.concert_Name, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
ORDER BY c.concert_Name, sic.Singer_ID",0,1,no such table: concert,anthropic,"SELECT concert_Name, Singer_ID FROM concert_performance ORDER BY concert_Name, Singer_ID",ast,valid,1,1,0,1.2897,2.19,1.054,1.5805,1.57,4.451083,anthropic
cs_tm_02,TABLE_MERGE,Count singers per concert.,"SELECT Concert_ID, COUNT(*) AS singer_count FROM concert_performance GROUP BY Concert_ID ORDER BY Concert_ID",False,,"SELECT 
    c.Concert_ID,
    c.concert_Name,
    COUNT(s.Singer_ID) as singer_count
FROM concert c
LEFT JOIN singer_in_concert s ON c.Concert_ID = s.Concert_ID
GROUP BY c.Concert_ID, c.concert_Name
ORDER BY c.Concert_ID",0,"SELECT 
    c.Concert_ID,
    c.concert_Name,
    COUNT(s.Singer_ID) as singer_count
FROM concert c
LEFT JOIN singer_in_concert s ON c.Concert_ID = s.Concert_ID
GROUP BY c.Concert_ID, c.concert_Name
ORDER BY c.Concert_ID",0,"SELECT 
    cp.Concert_ID,
    cp.concert_Name,
    COUNT(DISTINCT cp.Singer_ID) AS singer_count
FROM concert_performance cp
GROUP BY cp.Concert_ID, cp.concert_Name
ORDER BY cp.Concert_ID",0,"SELECT 
    c.Concert_ID,
    c.concert_Name,
    COUNT(s.Singer_ID) as singer_count
FROM concert c
LEFT JOIN singer_in_concert s ON c.Concert_ID = s.Concert_ID
GROUP BY c.Concert_ID, c.concert_Name
ORDER BY c.Concert_ID",0,1,no such table: concert,anthropic,"SELECT Concert_ID, concert_Name, COUNT(Singer_ID) AS singer_count FROM concert_performance GROUP BY Concert_ID, concert_Name ORDER BY Concert_ID",ast,valid,0,0,0,2.1159,1.894,2.7137,1.8436,1.5684,4.617125,anthropic
cs_tm_03,TABLE_MERGE,Concerts in 2015 with singer IDs.,"SELECT Concert_ID, Singer_ID FROM concert_performance WHERE Year=2015 ORDER BY Singer_ID",False,,"SELECT c.Concert_ID, c.concert_Name, c.Theme, c.Year, sic.Singer_ID
FROM concert c
LEFT JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
WHERE c.Year = 2015
ORDER BY c.Concert_ID, sic.Singer_ID",0,"SELECT c.Concert_ID, c.concert_Name, sic.Singer_ID
FROM concert c
LEFT JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
WHERE c.Year = 2015",0,"SELECT Concert_ID, concert_Name, Singer_ID, Year
FROM concert_performance
WHERE Year = 2015",0,"SELECT c.Concert_ID, c.concert_Name, sic.Singer_ID
FROM concert c
LEFT JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
WHERE c.Year = 2015",0,1,no such table: concert,anthropic,"SELECT Concert_ID, concert_Name, Singer_ID FROM concert_performance WHERE Year = 2015",ast,valid,0,0,0,2.4246,1.844,1.0484,1.4097,1.2597,1.249333,anthropic
cs_tm_04,TABLE_MERGE,Themes with singer counts.,"SELECT Theme, COUNT(*) FROM concert_performance GROUP BY Theme ORDER BY Theme",False,,"SELECT c.Theme, COUNT(DISTINCT s.Singer_ID) as singer_count
FROM concert c
LEFT JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
LEFT JOIN singer s ON sic.Singer_ID = s.Singer_ID
GROUP BY c.Theme
ORDER BY c.Theme",1,"SELECT c.Theme, COUNT(DISTINCT s.Singer_ID) as singer_count
FROM concert c
LEFT JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
LEFT JOIN singer s ON sic.Singer_ID = s.Singer_ID
GROUP BY c.Theme
ORDER BY c.Theme",0,"SELECT Theme, COUNT(DISTINCT Singer_ID) as singer_count
FROM concert_performance
GROUP BY Theme
ORDER BY Theme",1,"SELECT c.Theme, COUNT(DISTINCT s.Singer_ID) as singer_count
FROM concert c
LEFT JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
LEFT JOIN singer s ON sic.Singer_ID = s.Singer_ID
GROUP BY c.Theme
ORDER BY c.Theme",0,1,no such table: concert,anthropic,"SELECT cp.Theme, COUNT(DISTINCT cp.Singer_ID) AS singer_count FROM concert_performance AS cp LEFT JOIN singer AS s ON cp.Singer_ID = s.Singer_ID GROUP BY cp.Theme ORDER BY cp.Theme",ast,valid,1,1,0,1.5039,1.5358,1.8935,1.9501,2.3095,1.6175,anthropic
cs_tm_05,TABLE_MERGE,Distinct concert names.,SELECT DISTINCT concert_Name FROM concert_performance ORDER BY concert_Name,False,,SELECT DISTINCT concert_Name FROM concert,1,SELECT DISTINCT concert_Name FROM concert,0,SELECT DISTINCT concert_Name FROM concert_performance,1,SELECT DISTINCT concert_Name FROM concert,0,1,no such table: concert,anthropic,SELECT DISTINCT concert_Name FROM concert_performance,ast,valid,1,1,0,0.9125,0.9765,1.4812,0.921,1.2617,0.480041,anthropic
cs_tm_06,TABLE_MERGE,Singer names in concert 2.,SELECT s.Name FROM singer s JOIN concert_performance cp ON s.Singer_ID=cp.Singer_ID WHERE cp.Concert_ID=2 ORDER BY s.Name,False,,"SELECT DISTINCT s.Name
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
WHERE sic.Concert_ID = 2",1,"SELECT DISTINCT s.Name
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
WHERE sic.Concert_ID = 2",0,"SELECT DISTINCT s.Name
FROM singer s
JOIN concert_performance cp ON s.Singer_ID = cp.Singer_ID
WHERE cp.Concert_ID = 2",1,"SELECT DISTINCT s.Name
FROM singer s
JOIN concert c ON s.Singer_ID = c.Concert_ID
WHERE c.Concert_ID = 2",0,1,no such table: singer_in_concert,anthropic,SELECT DISTINCT s.Name FROM singer AS s JOIN concert_performance AS cp ON s.Singer_ID = cp.Singer_ID WHERE cp.Concert_ID = 2,ast,valid,1,1,0,1.1417,1.7345,1.71,2.1399,2.4906,1.02425,anthropic
cs_tm_07,TABLE_MERGE,Themes for singer 3.,SELECT Theme FROM concert_performance WHERE Singer_ID=3 ORDER BY Theme,False,,"SELECT DISTINCT c.Theme
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
WHERE sic.Singer_ID = 3",1,"SELECT DISTINCT c.Theme
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
WHERE sic.Singer_ID = 3",0,"SELECT DISTINCT Theme
FROM concert_performance
WHERE Singer_ID = 3",1,"SELECT DISTINCT c.Theme
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
WHERE sic.Singer_ID = 3",0,1,no such table: concert,anthropic,SELECT DISTINCT Theme FROM concert_performance WHERE Singer_ID = 3,ast,valid,1,1,0,1.6826,1.3577,1.2274,1.2302,1.5665,1.203208,anthropic
cs_tm_08,TABLE_MERGE,Count distinct concerts for singer 5.,SELECT COUNT(DISTINCT Concert_ID) FROM concert_performance WHERE Singer_ID=5,False,,SELECT COUNT(DISTINCT Concert_ID) FROM singer_in_concert WHERE Singer_ID = 5,1,SELECT COUNT(DISTINCT Concert_ID) FROM singer_in_concert WHERE Singer_ID = 5,0,SELECT COUNT(DISTINCT Concert_ID) FROM concert_performance WHERE Singer_ID = 5,1,SELECT COUNT(DISTINCT Concert_ID) FROM singer_in_concert WHERE Singer_ID = 5,0,1,no such table: singer_in_concert,anthropic,SELECT COUNT(DISTINCT Concert_ID) FROM concert_performance WHERE Singer_ID = 5,ast,valid,1,1,0,1.212,1.5219,1.5341,1.5379,1.5693,0.899791,anthropic
cs_tm_09,TABLE_MERGE,List concert names with singer names.,"SELECT cp.concert_Name, s.Name FROM concert_performance cp JOIN singer s ON s.Singer_ID=cp.Singer_ID ORDER BY cp.Concert_ID, s.Name",False,,"SELECT c.concert_Name, s.Name
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
JOIN singer s ON sic.Singer_ID = s.Singer_ID
ORDER BY c.concert_Name, s.Name",1,"SELECT c.concert_Name, s.Name
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
JOIN singer s ON sic.Singer_ID = s.Singer_ID
ORDER BY c.concert_Name, s.Name",0,"SELECT c.concert_Name, s.Name
FROM concert_performance c
JOIN singer s ON c.Singer_ID = s.Singer_ID",1,"SELECT c.concert_Name, s.Name
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
JOIN singer s ON sic.Singer_ID = s.Singer_ID
ORDER BY c.concert_Name, s.Name",0,1,no such table: concert,anthropic,"SELECT cp.concert_Name, s.Name FROM concert_performance AS cp JOIN singer AS s ON cp.Singer_ID = s.Singer_ID ORDER BY cp.concert_Name, s.Name",ast,valid,1,1,0,1.2347,1.2303,1.4932,1.1276,1.9691,0.53525,anthropic
cs_tm_10,TABLE_MERGE,Concerts held in stadium 2.,SELECT Concert_ID FROM concert_performance WHERE Stadium_ID=2 ORDER BY Concert_ID,False,,SELECT * FROM concert WHERE Stadium_ID = 2,0,SELECT * FROM concert WHERE Stadium_ID = 2,0,SELECT * FROM concert_performance WHERE Stadium_ID = 2,0,SELECT * FROM concert WHERE Stadium_ID = 2,0,1,no such table: concert,anthropic,SELECT * FROM concert_performance WHERE Stadium_ID = 2,ast,valid,0,0,0,1.2617,601.7466,1.2266,1.2289,0.9551,0.754875,anthropic
