id,perturbation,expected_failure,seed,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
hr_ts_01,TABLE_SPLIT,False,0,"SELECT first_name, last_name FROM employees",1,"SELECT first_name, last_name FROM employees",0,"SELECT first_name, last_name FROM employee_personal",1,"SELECT first_name, last_name FROM employees",0,1,no such table: employees,openai_compat,"SELECT first_name, last_name 
FROM employee_personal",ast,valid,1,1.7743,1.1177,0.8775,0.9672,9.5638,13.520959,openai_compat
hr_ts_01,TABLE_SPLIT,False,1,"SELECT first_name, last_name FROM employees",1,"SELECT first_name, last_name FROM employees",0,"SELECT first_name, last_name FROM employee_personal",1,"SELECT first_name, last_name FROM employees",0,1,no such table: employees,openai_compat,"SELECT first_name, last_name 
FROM employee_personal",ast,valid,1,1.0055,1.3129,0.8145,0.823,1.2821,1.71125,openai_compat
hr_ts_01,TABLE_SPLIT,False,2,"SELECT first_name, last_name FROM employees",1,"SELECT first_name, last_name FROM employees",0,"SELECT first_name, last_name FROM employee_personal",1,"SELECT first_name, last_name FROM employees",0,1,no such table: employees,openai_compat,"SELECT first_name, last_name 
FROM employee_personal",ast,valid,1,1.0525,1.0582,1.0235,0.8465,1.0286,7.61725,openai_compat
hr_ts_02,TABLE_SPLIT,False,0,SELECT COUNT(*) FROM employees,1,SELECT COUNT(*) FROM employees,0,SELECT COUNT(*) FROM employee_personal,1,SELECT COUNT(*) FROM employees,0,1,no such table: employees,openai_compat,"SELECT COUNT(*) FROM employee_job
JOIN employee_personal ON employee_job.employee_id = employee_personal.employee_id",ast,valid,1,1.1046,0.8981,0.8588,0.8988,0.9567,0.7875,openai_compat
hr_ts_02,TABLE_SPLIT,False,1,SELECT COUNT(*) FROM employees,1,SELECT COUNT(*) FROM employees,0,SELECT COUNT(*) FROM employee_job,1,SELECT COUNT(*) FROM employees,0,1,no such table: employees,openai_compat,"SELECT COUNT(*) FROM employee_job
JOIN employee_personal ON employee_job.employee_id = employee_personal.employee_id",ast,valid,1,1.0051,0.9642,0.7997,0.9468,1.1016,1.377333,openai_compat
hr_ts_02,TABLE_SPLIT,False,2,SELECT COUNT(*) FROM employees,1,SELECT COUNT(*) FROM employees,0,SELECT COUNT(*) FROM employee_personal,1,SELECT COUNT(*) FROM employees,0,1,no such table: employees,openai_compat,"SELECT COUNT(*) FROM employee_job
JOIN employee_personal ON employee_job.employee_id = employee_personal.employee_id",ast,valid,1,0.8938,0.9222,0.886,0.8528,1.2399,1.136875,openai_compat
hr_ts_03,TABLE_SPLIT,False,0,SELECT * FROM employees WHERE salary > 7000,0,SELECT * FROM employees WHERE salary > 7000,0,"SELECT ep.employee_id, ep.first_name, ep.last_name, ej.salary
FROM employee_personal ep
JOIN employee_job ej ON ep.employee_id = ej.employee_id
WHERE ej.salary > 7000",0,SELECT * FROM employees WHERE salary > 7000,0,1,no such table: employees,openai_compat,SELECT * FROM employee_job WHERE salary > 7000,ast,valid,0,1.0976,1.1893,1.6968,0.8149,1.0399,0.639166,openai_compat
hr_ts_03,TABLE_SPLIT,False,1,SELECT * FROM employees WHERE salary > 7000,0,SELECT * FROM employees WHERE salary > 7000,0,"SELECT ep.employee_id, ep.first_name, ep.last_name, ej.salary
FROM employee_personal ep
JOIN employee_job ej ON ep.employee_id = ej.employee_id
WHERE ej.salary > 7000",0,SELECT * FROM employees WHERE salary > 7000,0,1,no such table: employees,openai_compat,SELECT * FROM employee_job WHERE salary > 7000,ast,valid,0,1.2077,0.9806,1.1112,1.1719,0.9605,7.909041,openai_compat
hr_ts_03,TABLE_SPLIT,False,2,SELECT * FROM employees WHERE salary > 7000,0,SELECT * FROM employees WHERE salary > 7000,0,"SELECT ep.employee_id, ep.first_name, ep.last_name, ej.salary
FROM employee_personal ep
JOIN employee_job ej ON ep.employee_id = ej.employee_id
WHERE ej.salary > 7000",0,SELECT * FROM employees WHERE salary > 7000,0,1,no such table: employees,openai_compat,SELECT * FROM employee_job WHERE salary > 7000,ast,valid,0,1.0534,1.3626,1.1784,0.7982,0.8314,0.824916,openai_compat
hr_ts_04,TABLE_SPLIT,False,0,SELECT AVG(salary) AS average_salary FROM employees,1,SELECT AVG(salary) AS average_salary FROM employees,0,SELECT AVG(salary) AS average_salary FROM employee_job,1,SELECT AVG(salary) AS average_salary FROM employees,0,1,no such table: employees,openai_compat,SELECT AVG(salary) AS average_salary FROM employee_job,ast,valid,1,0.9819,1.0683,0.9652,0.8453,1.0938,1.243083,openai_compat
hr_ts_04,TABLE_SPLIT,False,1,SELECT AVG(salary) AS average_salary FROM employees,1,SELECT AVG(salary) AS average_salary FROM employees,0,SELECT AVG(salary) AS average_salary FROM employee_job,1,SELECT AVG(salary) AS average_salary FROM employees,0,1,no such table: employees,openai_compat,SELECT AVG(salary) AS average_salary FROM employee_job,ast,valid,1,1.0236,0.9618,0.8193,0.8559,1.1117,0.925458,openai_compat
hr_ts_04,TABLE_SPLIT,False,2,SELECT AVG(salary) AS average_salary FROM employees,1,SELECT AVG(salary) AS average_salary FROM employees,0,SELECT AVG(salary) AS average_salary FROM employee_job,1,SELECT AVG(salary) AS average_salary FROM employees,0,1,no such table: employees,openai_compat,SELECT AVG(salary) AS average_salary FROM employee_job,ast,valid,1,1.0924,1.0219,1.1529,0.818,1.0687,1.115083,openai_compat
hr_ts_05,TABLE_SPLIT,False,0,SELECT email FROM employees,1,SELECT email FROM employees,0,SELECT email FROM employee_personal,1,SELECT email FROM employees,0,1,no such table: employees,openai_compat,SELECT email FROM employee_personal,ast,valid,1,0.9541,0.9251,0.8122,1.0172,1.0405,0.678666,openai_compat
hr_ts_05,TABLE_SPLIT,False,1,SELECT email FROM employees,1,SELECT email FROM employees,0,SELECT email FROM employee_personal,1,SELECT email FROM employees,0,1,no such table: employees,openai_compat,SELECT email FROM employee_personal,ast,valid,1,0.9283,0.9089,0.8667,0.7564,1.04,0.685125,openai_compat
hr_ts_05,TABLE_SPLIT,False,2,SELECT email FROM employees,1,SELECT email FROM employees,0,SELECT email FROM employee_personal,1,SELECT email FROM employees,0,1,no such table: employees,openai_compat,SELECT email FROM employee_personal,ast,valid,1,0.9498,1.2079,0.8841,1.0061,0.969,0.435375,openai_compat
