id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
cs_cm_01,COLUMN_MERGE,List singer names with countries merged.,SELECT Name_Country FROM singer ORDER BY Singer_ID,False,,"SELECT Name, Country FROM singer",0,"SELECT Name, Country FROM singer",0,"SELECT Name_Country || ', ' || Name_Country FROM singer",0,"SELECT Name, Country FROM singer WHERE Name IS NOT NULL AND Country IS NOT NULL",0,1,no such column: Name,openai_compat,"SELECT Song_Name, Name_Country FROM singer",ast,valid,0,0,0,0.6207,0.6222,0.7836,0.6959,0.5819,0.54027,openai_compat
cs_cm_02,COLUMN_MERGE,Count singers from France.,SELECT COUNT(*) FROM singer WHERE Name_Country LIKE '% - France',False,,SELECT COUNT(Singer_ID) FROM singer WHERE Country = 'France',1,SELECT COUNT(Singer_ID) FROM singer WHERE Country = 'France',0,SELECT COUNT(Singer_ID) FROM singer WHERE Name_Country = 'France',0,SELECT COUNT(Singer_ID) FROM singer WHERE Country = 'France',0,1,no such column: Country,openai_compat,SELECT COUNT(Singer_ID) FROM singer WHERE Name_Country = 'France',ast,silent_failure_suspected,0,0,0,1.06,0.8182,0.6129,0.5913,0.6718,1.261347,openai_compat
cs_cm_03,COLUMN_MERGE,Merged name for Singer_ID 1.,SELECT Name_Country FROM singer WHERE Singer_ID=1,False,,SELECT Name FROM singer WHERE Singer_ID = 1,0,SELECT Name FROM singer WHERE Singer_ID = 1,0,SELECT Name_Country FROM singer WHERE Singer_ID = 1,1,SELECT Name FROM singer WHERE Singer_ID = 1,0,1,no such column: Name,openai_compat,SELECT Song_Name FROM singer WHERE Singer_ID = 1,ast,valid,0,0,0,0.619,0.7042,0.5952,0.9343,1.8016,0.775643,openai_compat
cs_cm_04,COLUMN_MERGE,Merged names for singers over 40.,SELECT Name_Country FROM singer WHERE Age > 40 ORDER BY Name_Country,False,,SELECT Name FROM singer WHERE Age > 40,0,SELECT Name FROM singer WHERE Age > 40,0,SELECT Name_Country FROM singer WHERE Age > 40,1,SELECT Name FROM singer WHERE Age > 40,0,1,no such column: Name,openai_compat,SELECT Song_Name FROM singer WHERE Age > 40,ast,valid,0,0,0,0.9072,3.995,13.5445,0.5959,0.8845,0.662278,openai_compat
cs_cm_05,COLUMN_MERGE,Merged name for the song 'Sun'.,SELECT Name_Country FROM singer WHERE Song_Name='Sun',False,,SELECT Name FROM singer WHERE Song_Name = 'Sun',0,SELECT Name FROM singer WHERE Song_Name = 'Sun',0,SELECT Name_Country FROM singer WHERE Song_Name = 'Sun',1,SELECT Song_Name FROM singer WHERE Song_Name = 'Sun',0,1,no such column: Name,openai_compat,SELECT Name_Country FROM singer WHERE Song_Name = 'Sun',ast,valid,1,1,0,0.7856,0.6926,0.6177,0.6041,0.6045,0.585451,openai_compat
cs_cm_06,COLUMN_MERGE,Count singers with songs released since 2010.,SELECT COUNT(*) FROM singer WHERE Song_release_year >= 2010,False,,SELECT COUNT(Singer_ID) FROM singer WHERE Song_release_year >= 2010,1,SELECT COUNT(Singer_ID) FROM singer WHERE Song_release_year >= 2010,1,SELECT COUNT(Singer_ID) FROM singer WHERE Song_release_year > 2010,1,SELECT COUNT(Singer_ID) FROM singer WHERE Song_release_year >= 2010,1,0,,openai_compat,SELECT COUNT(Singer_ID) FROM singer WHERE Song_release_year >= 2010,ast,valid,1,0,0,1.2124,0.6892,1.0509,0.001,0.0278,25.83578,openai_compat
cs_cm_07,COLUMN_MERGE,List merged names and song titles.,"SELECT Name_Country, Song_Name FROM singer ORDER BY Singer_ID",False,,"SELECT Name, Song_Name FROM singer",0,"SELECT Name, Song_Name FROM singer",0,"SELECT Name_Country, Song_Name FROM singer",1,"SELECT Name, Song_Name FROM singer WHERE Name IS NOT NULL AND Song_Name IS NOT NULL",0,1,no such column: Name,openai_compat,"SELECT Name_Country, Song_Name FROM singer",ast,valid,1,1,0,0.832,0.6747,0.6488,0.7908,0.6506,0.509422,openai_compat
cs_cm_08,COLUMN_MERGE,Merged names for male singers.,SELECT Name_Country FROM singer WHERE Is_male='T' ORDER BY Singer_ID,False,,SELECT Name FROM singer WHERE Is_male = 'True',0,SELECT Name FROM singer WHERE Is_male = 'True',0,SELECT Name_Country FROM singer WHERE Is_male = 'male',0,SELECT Name FROM singer WHERE Is_male = 'True',0,1,no such column: Name,openai_compat,SELECT Song_Name FROM singer WHERE Is_male = 'True',ast,valid,0,0,0,1.3504,1.1619,1.0802,1.2867,1.1205,0.804502,openai_compat
cs_cm_09,COLUMN_MERGE,Count singers from the United States.,SELECT COUNT(*) FROM singer WHERE Name_Country LIKE '% - United States',False,,SELECT COUNT(Singer_ID) FROM singer WHERE Country = 'United States',1,SELECT COUNT(Singer_ID) FROM singer WHERE Country = 'United States',0,SELECT COUNT(Singer_ID) FROM singer WHERE Name_Country = 'United States',0,SELECT COUNT(Singer_ID) FROM singer WHERE Country = 'United States',0,1,no such column: Country,openai_compat,SELECT COUNT(Singer_ID) FROM singer WHERE Name_Country = 'United States',ast,silent_failure_suspected,0,0,0,1.1619,0.6605,0.6046,0.8348,0.7144,0.880314,openai_compat
cs_cm_10,COLUMN_MERGE,Merged names for concert 1 singers.,SELECT s.Name_Country FROM singer s JOIN singer_in_concert sc ON s.Singer_ID=sc.Singer_ID WHERE sc.Concert_ID=1 ORDER BY s.Name_Country,False,,SELECT T1.Name FROM singer AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Concert_ID = 1,0,SELECT T1.Name FROM singer AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Concert_ID = 1,0,SELECT T1.Name_Country FROM singer AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Concert_ID = 1,1,SELECT T1.Song_Name FROM singer AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Concert_ID = 1,0,1,no such column: T1.Name,openai_compat,SELECT T1.Name_Country FROM singer AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Concert_ID = 1,ast,valid,1,1,0,0.719,0.9558,1.2715,0.8934,1.2302,1.199974,openai_compat
