id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
cs_tm_01,TABLE_MERGE,List concert names with singer IDs.,"SELECT concert_Name, Singer_ID FROM concert_performance ORDER BY Concert_ID, Singer_ID",False,,"SELECT T1.concert_Name, T2.Singer_ID FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.Concert_ID = T2.Concert_ID",1,"SELECT T1.concert_Name, T2.Singer_ID FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.Concert_ID = T2.Concert_ID",0,"SELECT concert_Name, Singer_ID FROM concert_performance",1,"SELECT T1.concert_Name, T2.Singer_ID FROM concert AS T1 JOIN singer",0,1,no such table: concert,gemini,"SELECT concert_Name, Singer_ID FROM concert_performance",ast,valid,1,1,0,4.6984,1.3544,2.4804,2.9699,1.8141,14.689932,gemini
cs_tm_02,TABLE_MERGE,Count singers per concert.,"SELECT Concert_ID, COUNT(*) AS singer_count FROM concert_performance GROUP BY Concert_ID ORDER BY Concert_ID",False,,"SELECT T1.concert_Name, COUNT(T2.Singer_ID) FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.Concert_ID = T2.Concert_ID GROUP BY T1.Concert_ID",0,"SELECT T1.concert_Name, COUNT(T2.Singer_ID) FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.Concert_ID = T2.Concert_ID GROUP BY T1.Concert_ID",0,"SELECT T1.concert_Name, count(*) FROM concert_performance AS T1 JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID GROUP BY T1.concert_Name",0,"SELECT T1.concert_Name, COUNT(T2.Singer_ID) FROM concert AS T",0,1,no such table: concert,gemini,"SELECT T1.concert_Name, COUNT(T1.Singer_ID",ast,execution_error,0,0,0,1.8853,1.8328,0.9411,3.5798,3.5391,0.953517,gemini
cs_tm_03,TABLE_MERGE,Concerts in 2015 with singer IDs.,"SELECT Concert_ID, Singer_ID FROM concert_performance WHERE Year=2015 ORDER BY Singer_ID",False,,"SELECT T1.Concert_ID ,  T2.Singer_ID FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.Concert_ID  =  T2.Concert_ID WHERE T1.Year  =  2015",1,"SELECT T1.Concert_ID ,  T2.Singer_ID FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.Concert_ID  =  T2.Concert_ID WHERE T1.Year  =  2015",0,"SELECT Concert_ID ,  Singer_ID FROM concert_performance WHERE Year  =  2015",1,"SELECT T1.Concert_ID ,  T2.Singer_ID FROM concert AS T1",0,1,no such table: concert,gemini,"SELECT Concert_ID, Singer_ID FROM concert_performance WHERE Year = 2015",ast,valid,1,1,0,1.3883,1.0208,1.2514,7.3303,3.0868,1.676325,gemini
cs_tm_04,TABLE_MERGE,Themes with singer counts.,"SELECT Theme, COUNT(*) FROM concert_performance GROUP BY Theme ORDER BY Theme",False,,"SELECT T1.Theme, COUNT(T2.Singer_ID) FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.Concert_ID = T2.Concert_ID GROUP BY T1.Theme",1,"SELECT T1.Theme, COUNT(T2.Singer_ID) FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.Concert_ID = T2.Concert_ID GROUP BY T1.Theme",0,"SELECT T1.Theme, count(T2.Singer_ID) FROM concert_performance AS T1 JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID GROUP BY T1.Theme",1,"SELECT T1.Theme, COUNT(T2.Singer_ID) FROM concert AS",0,1,no such table: concert,gemini,"SELECT Theme, COUNT(Singer_ID) FROM concert_performance GROUP BY Theme",ast,silent_failure_suspected,1,1,0,1.4393,1.7389,25.4209,3.9071,3.1447,1.287874,gemini
cs_tm_05,TABLE_MERGE,Distinct concert names.,SELECT DISTINCT concert_Name FROM concert_performance ORDER BY concert_Name,False,,SELECT DISTINCT Name FROM concert,0,SELECT DISTINCT Name FROM concert,0,SELECT DISTINCT concert_Name FROM concert_performance,1,SELECT DISTINCT concert_Name FROM concert,0,1,no such table: concert,gemini,SELECT DISTINCT concert_Name FROM concert_performance,ast,valid,1,1,0,1.4235,1.0509,1.1973,3.2015,2.814,0.531076,gemini
cs_tm_06,TABLE_MERGE,Singer names in concert 2.,SELECT s.Name FROM singer s JOIN concert_performance cp ON s.Singer_ID=cp.Singer_ID WHERE cp.Concert_ID=2 ORDER BY s.Name,False,,SELECT T1.Name FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Concert_ID = 2,1,SELECT T1.Name FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Concert_ID = 2,0,SELECT T1.Name FROM singer AS T1 JOIN concert_performance AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Concert_ID = 2,1,SELECT T1.Name FROM singer AS T1 JOIN singer_in_concert AS T2 ON T,0,1,no such table: singer_in_concert,gemini,SELECT T1.Name FROM singer AS T1 JOIN concert_performance AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Concert_ID = 2,ast,valid,1,1,0,1.6099,1.2987,1.0198,3.5516,3.0078,1.055958,gemini
cs_tm_07,TABLE_MERGE,Themes for singer 3.,SELECT Theme FROM concert_performance WHERE Singer_ID=3 ORDER BY Theme,False,,SELECT T1.Theme FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.Concert_ID = T2.Concert_ID WHERE T2.Singer_ID = 3,1,SELECT T1.Theme FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.Concert_ID = T2.Concert_ID WHERE T2.Singer_ID = 3,0,SELECT T1.Theme FROM concert_performance AS T1 JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T1.Singer_ID = 3,1,SELECT T1.Theme FROM concert AS T1 JOIN singer_in_concert AS T2 ON T,0,1,no such table: concert,gemini,SELECT Theme FROM concert_performance WHERE Singer_ID = 3,ast,valid,1,1,0,1.5271,1.4948,1.4827,3.5152,2.2317,0.986043,gemini
cs_tm_08,TABLE_MERGE,Count distinct concerts for singer 5.,SELECT COUNT(DISTINCT Concert_ID) FROM concert_performance WHERE Singer_ID=5,False,,SELECT count(DISTINCT Concert_ID) FROM singer_in_concert WHERE Singer_ID = 5,1,SELECT count(DISTINCT Concert_ID) FROM singer_in_concert WHERE Singer_ID = 5,0,SELECT count(DISTINCT Concert_ID) FROM concert_performance WHERE Singer_ID = 5,1,SELECT count(DISTINCT Concert_ID) FROM singer_in_concert WHERE Singer_ID =,0,1,no such table: singer_in_concert,gemini,SELECT COUNT(DISTINCT Concert_ID) FROM concert_performance WHERE Singer_ID = 5,ast,valid,1,1,0,1.4386,1.4567,0.839,3.7245,2.1569,0.797103,gemini
cs_tm_09,TABLE_MERGE,List concert names with singer names.,"SELECT cp.concert_Name, s.Name FROM concert_performance cp JOIN singer s ON s.Singer_ID=cp.Singer_ID ORDER BY cp.Concert_ID, s.Name",False,,"SELECT T1.concert_Name, T3.Name FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.Concert_ID = T2.Concert_ID JOIN singer AS T3 ON T2.Singer_ID = T3.Singer_ID",1,"SELECT T1.concert_Name, T3.Name FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.Concert_ID = T2.Concert_ID JOIN singer AS T3 ON T2.Singer_ID = T3.Singer_ID",0,"SELECT T1.concert_Name, T2.Name FROM concert_performance AS T1 JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID",1,"SELECT T1.concert_Name, T3.Name FROM concert AS T1 JOIN singer_in",0,1,no such table: concert,gemini,"SELECT T1.concert_Name, T2.Name FROM concert_performance AS T1 JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID",ast,valid,1,1,0,2.1637,1.7852,0.9569,4.1957,3.2381,1.259911,gemini
cs_tm_10,TABLE_MERGE,Concerts held in stadium 2.,SELECT Concert_ID FROM concert_performance WHERE Stadium_ID=2 ORDER BY Concert_ID,False,,SELECT concert_Name FROM concert WHERE Stadium_ID = 2,0,SELECT concert_Name FROM concert WHERE Stadium_ID = 2,0,SELECT concert_Name FROM concert_performance WHERE Stadium_ID = 2,0,SELECT concert_Name FROM concert WHERE Stadium_ID = 2,0,1,no such table: concert,gemini,SELECT concert_Name FROM concert_performance WHERE Stadium_ID = 2,ast,silent_failure_suspected,0,0,0,1.2083,0.8944,0.9444,3.2489,1.6538,0.656547,gemini
