id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
hr_cm_01,COLUMN_MERGE,List merged employee full names.,SELECT full_name FROM employees ORDER BY employee_id,False,,SELECT first_name || ' ' || last_name FROM employees,1,SELECT first_name || ' ' || last_name FROM employees,0,SELECT full_name FROM employees,1,SELECT T1.first_name || ' ' || T1.last_name FROM employees AS T,0,1,no such column: first_name,gemini,SELECT full_name FROM employees,ast,valid,1,1,0,5.0493,1.3202,1.1988,3.6336,2.8962,13.639649,gemini
hr_cm_02,COLUMN_MERGE,Count employees with last names starting with S.,SELECT COUNT(*) FROM employees WHERE full_name LIKE '% S%',False,,SELECT count(*) FROM employees WHERE last_name LIKE 'S%',1,SELECT count(*) FROM employees WHERE last_name LIKE 'S%',0,SELECT count(*) FROM dependents WHERE last_name LIKE 'S%',0,SELECT count(*) FROM employees WHERE last_name LIKE 'S%',0,1,no such column: last_name,gemini,SELECT COUNT(*) FROM employees WHERE full_name LIKE '% S%',ast,valid,1,1,0,1.5856,1.4853,1.113,3.7371,3.4773,0.752218,gemini
hr_cm_03,COLUMN_MERGE,Full name for employee 1.,SELECT full_name FROM employees WHERE employee_id=1,False,,"SELECT first_name, last_name FROM employees WHERE employee_id = 1",0,"SELECT first_name, last_name FROM employees WHERE employee_id = 1",0,SELECT full_name FROM employees WHERE employee_id = 1,1,"SELECT first_name, last_name FROM employees WHERE employee_id = 1",0,1,no such column: first_name,gemini,SELECT full_name FROM employees WHERE employee_id = 1,ast,valid,1,1,0,1.1361,1.3619,1.2367,2.9636,2.8038,0.911374,gemini
hr_cm_04,COLUMN_MERGE,Full names for employees with salary over 7000.,SELECT full_name FROM employees WHERE salary > 7000 ORDER BY employee_id,False,,"SELECT first_name, last_name FROM employees WHERE salary > 7000",0,"SELECT first_name, last_name FROM employees WHERE salary > 7000",0,SELECT full_name FROM employees WHERE salary > 7000,1,"SELECT first_name, last_name FROM employees WHERE salary > 7000",0,1,no such column: first_name,gemini,SELECT full_name FROM employees WHERE salary > 7000,ast,valid,1,1,0,1.2072,1.1811,0.9039,3.5579,4.1606,0.629739,gemini
hr_cm_05,COLUMN_MERGE,Full names with emails.,"SELECT full_name, email FROM employees ORDER BY employee_id",False,,"SELECT first_name || ' ' || last_name, email FROM employees",1,"SELECT first_name, last_name, email FROM employees",0,"SELECT full_name, email FROM employees",1,"SELECT T1.first_name, T1.last_name, T1.",0,1,no such column: first_name,gemini,"SELECT full_name, email FROM employees",ast,valid,1,1,0,1.375,1.3932,1.0995,3.6047,2.3629,0.567469,gemini
hr_cm_06,COLUMN_MERGE,Full names with department IDs.,"SELECT full_name, department_id FROM employees ORDER BY employee_id",False,,"SELECT first_name || ' ' || last_name, department_id FROM employees",1,"SELECT first_name || ' ' || last_name, department_id FROM employees",0,"SELECT full_name, department_id FROM employees",1,"SELECT T1.first_name || ' ' || T1.last_name, T1",0,1,no such column: first_name,gemini,"SELECT full_name, department_id FROM employees",ast,valid,1,1,0,1.3686,1.5956,1.1643,4.2089,3.5194,0.966536,gemini
hr_cm_07,COLUMN_MERGE,Full names and job IDs for the first five employees.,"SELECT full_name, job_id FROM employees WHERE employee_id <= 5 ORDER BY employee_id",False,,"SELECT first_name, last_name, job_id FROM employees LIMIT 5",0,"SELECT first_name, last_name, job_id FROM employees LIMIT 5",0,"SELECT full_name, job_id FROM employees LIMIT 5",1,"SELECT first_name, last_name, job_id FROM employees LIMIT 5",0,1,no such column: first_name,gemini,"SELECT full_name, job_id FROM employees LIMIT 5",ast,valid,1,1,0,1.2949,1.2334,1.2736,3.4559,3.0823,0.768843,gemini
hr_cm_08,COLUMN_MERGE,Count employees with 'a' in their full name.,SELECT COUNT(*) FROM employees WHERE full_name LIKE '%a%',False,,SELECT count(*) FROM employees WHERE first_name LIKE '%a%' OR last_name LIKE '%a%',1,SELECT count(*) FROM employees WHERE first_name LIKE '%a%' OR last_name LIKE '%a%',0,SELECT count(*) FROM employees WHERE full_name LIKE '%a%',1,SELECT count(*) FROM employees WHERE first_name LIKE '%a%' OR last_name LIKE '%a%',0,1,no such column: first_name,gemini,SELECT COUNT(*) FROM employees WHERE full_name LIKE '%a%',ast,valid,1,1,0,1.2971,1.2447,1.5187,0.9316,2.987,0.992976,gemini
hr_cm_09,COLUMN_MERGE,Full names for employees with commissions.,SELECT full_name FROM employees WHERE commission_pct IS NOT NULL ORDER BY employee_id,False,,"SELECT first_name, last_name FROM employees WHERE commission_pct IS NOT NULL",0,"SELECT first_name, last_name FROM employees WHERE commission_pct IS NOT NULL",0,SELECT full_name FROM employees WHERE commission_pct IS NOT NULL,1,"SELECT first_name, last_name FROM employees WHERE commission_pct IS NOT NULL",0,1,no such column: first_name,gemini,SELECT full_name FROM employees WHERE NOT commission_pct IS NULL,ast,valid,1,1,0,1.2194,1.2515,1.1269,3.5556,3.1027,0.746094,gemini
hr_cm_10,COLUMN_MERGE,Job history start date with full name for employee 1.,"SELECT j.start_date, e.full_name FROM job_history j JOIN employees e ON j.employee_id=e.employee_id WHERE e.employee_id=1",False,,"SELECT T1.start_date, T2.first_name, T2.last_name FROM job_history AS T1 JOIN employees AS T2 ON T1.employee_id = T2.employee_id WHERE T1.employee_id = 1",0,"SELECT T1.start_date, T2.first_name, T2.last_name FROM job_history AS T1 JOIN employees AS T2 ON T1.employee_id = T2.employee_id WHERE T1.employee_id = 1",0,"SELECT T1.start_date, T2.full_name FROM job_history AS T1 INNER JOIN employees AS T2 ON T1.employee_id = T2.employee_id WHERE T1.employee_id = 1",1,"SELECT T1.start_date, T2.first_name, T2.last",0,1,no such column: T2.first_name,gemini,"SELECT T1.start_date, T2.full_name FROM job",ast,execution_error,0,0,0,1.0288,1.2304,1.3524,3.0006,3.3088,1.202814,gemini
