id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
hr_tr_01,TABLE_RENAME,List employee first and last names.,"SELECT first_name, last_name FROM staff ORDER BY employee_id",False,,"SELECT first_name, last_name FROM employees",1,"SELECT first_name, last_name FROM employees",0,"SELECT first_name, last_name FROM staff",1,"SELECT first_name, last_name FROM employees",0,1,no such table: employees,openai_compat,"SELECT first_name, last_name FROM staff",ast,valid,1,1,0,2.494,0.638,0.5466,1.1064,0.0022,0.528375,openai_compat
hr_tr_02,TABLE_RENAME,Count employees.,SELECT COUNT(*) FROM staff,False,,SELECT COUNT(employee_id) FROM employees,1,SELECT COUNT(employee_id) FROM employees,0,SELECT COUNT(employee_id) FROM staff,1,SELECT COUNT(employee_id) FROM main.employees,0,1,no such table: employees,openai_compat,SELECT COUNT(employee_id) FROM staff,ast,valid,1,1,0,0.8766,1.1284,1.0464,0.7141,0.0025,0.692876,openai_compat
hr_tr_03,TABLE_RENAME,Employees with salary over 7000.,SELECT employee_id FROM staff WHERE salary > 7000 ORDER BY employee_id,False,,SELECT * FROM employees WHERE salary > 7000,0,SELECT * FROM employees WHERE salary > 7000,0,SELECT * FROM staff WHERE salary > 7000,0,SELECT * FROM employees WHERE salary > 7000,0,1,no such table: employees,openai_compat,SELECT * FROM staff WHERE salary > 7000,ast,valid,0,0,0,1.1953,0.6951,0.7529,1.3982,0.0018,0.631409,openai_compat
hr_tr_04,TABLE_RENAME,Average employee salary.,SELECT AVG(salary) FROM staff,False,,SELECT AVG(salary) FROM employees,1,SELECT AVG(salary) FROM employees,0,SELECT AVG(salary) FROM staff,1,SELECT AVG(T1.salary) FROM employees AS T1,0,1,no such table: employees,openai_compat,SELECT AVG(salary) FROM staff,ast,valid,1,1,0,0.9584,2.9249,1.8004,1.9772,0.0033,1.031005,openai_compat
hr_tr_05,TABLE_RENAME,List employee emails.,SELECT email FROM staff ORDER BY employee_id,False,,SELECT email FROM employees,1,SELECT email FROM employees,0,SELECT email FROM staff,1,SELECT email FROM employees,0,1,no such table: employees,openai_compat,SELECT email FROM staff,ast,valid,1,1,0,0.9481,4.3699,0.8829,1.2379,0.002,0.419153,openai_compat
hr_tr_06,TABLE_RENAME,Employees in department 10.,SELECT employee_id FROM staff WHERE department_id=10,False,,SELECT * FROM employees WHERE department_id = 10,0,SELECT * FROM employees WHERE department_id = 10,0,SELECT employee_id FROM staff WHERE department_id = 10,1,SELECT * FROM employees WHERE department_id = 10,0,1,no such table: employees,openai_compat,SELECT * FROM staff WHERE department_id = 10,ast,valid,0,0,0,0.7365,0.6404,2.608,1.7151,0.0037,0.714041,openai_compat
hr_tr_07,TABLE_RENAME,List employee job IDs.,"SELECT employee_id, job_id FROM staff ORDER BY employee_id",False,,SELECT job_id FROM employees,0,SELECT job_id FROM employees,0,SELECT job_id FROM staff,0,SELECT job_id FROM employees,0,1,no such table: employees,openai_compat,SELECT job_id FROM staff,ast,valid,0,0,0,1.2412,4.4778,1.1897,0.8405,0.0021,0.482506,openai_compat
hr_tr_08,TABLE_RENAME,Count employees per department.,"SELECT department_id, COUNT(*) FROM staff GROUP BY department_id ORDER BY department_id",False,,"SELECT department_id, COUNT(employee_id) FROM employees GROUP BY department_id",1,"SELECT department_id, COUNT(employee_id) FROM employees GROUP BY department_id",0,"SELECT department_id, COUNT(employee_id) FROM staff GROUP BY department_id",1,"SELECT T1.department_id, COUNT(T2.employee_id) FROM departments AS T1 INNER JOIN employees AS T2 ON T1.department_id = T2.department_id GROUP BY T1.department_id",0,1,no such table: employees,openai_compat,"SELECT department_id, COUNT(employee_id) FROM staff GROUP BY department_id",ast,valid,1,1,0,0.5796,1.0583,1.0141,0.6877,0.0047,1.030748,openai_compat
hr_tr_09,TABLE_RENAME,Employees with commissions.,SELECT employee_id FROM staff WHERE commission_pct IS NOT NULL ORDER BY employee_id,False,,SELECT * FROM employees WHERE commission_pct IS NOT NULL AND commission_pct > 0,0,SELECT * FROM employees WHERE commission_pct IS NOT NULL AND commission_pct > 0,0,SELECT * FROM staff WHERE commission_pct IS NOT NULL AND commission_pct > 0,0,SELECT * FROM employees WHERE commission_pct IS NOT NULL AND commission_pct > 0,0,1,no such table: employees,openai_compat,SELECT * FROM staff WHERE commission_pct IS NOT NULL AND commission_pct > 0,ast,silent_failure_suspected,0,0,0,1.2565,1.8182,1.3311,1.2725,2.42,0.70698,openai_compat
hr_tr_10,TABLE_RENAME,Employees managed by 1.,SELECT employee_id FROM staff WHERE manager_id=1 ORDER BY employee_id,False,,"SELECT first_name, last_name FROM employees WHERE manager_id = 1",0,"SELECT first_name, last_name FROM employees WHERE manager_id = 1",0,"SELECT first_name, last_name FROM staff WHERE manager_id = 1",0,"SELECT first_name, last_name FROM employees WHERE manager_id = 1",0,1,no such table: employees,openai_compat,"SELECT first_name, last_name FROM staff WHERE manager_id = 1",ast,silent_failure_suspected,0,0,0,1.0222,0.7524,1.1616,0.7336,1.1456,0.62738,openai_compat
hr_tr_11,TABLE_RENAME,Job title for employee 1.,SELECT j.job_title FROM staff e JOIN jobs j ON e.job_id=j.job_id WHERE e.employee_id=1,False,,SELECT T2.job_title FROM employees AS T1 INNER JOIN jobs AS T2 ON T1.job_id = T2.job_id WHERE T1.employee_id = 1,1,SELECT T2.job_title FROM employees AS T1 INNER JOIN jobs AS T2 ON T1.job_id = T2.job_id WHERE T1.employee_id = 1,0,SELECT T1.job_title FROM jobs AS T1 INNER JOIN staff AS T2 ON T1.job_id = T2.job_id WHERE T2.employee_id = 1,1,SELECT T2.job_title FROM employees AS T1 INNER JOIN jobs AS T2 ON T1.job_id = T2.job_id WHERE T1.employee_id = 1,0,1,no such table: employees,openai_compat,SELECT T2.job_title FROM staff AS T1 INNER JOIN jobs AS T2 ON T1.job_id = T2.job_id WHERE T1.employee_id = 1,ast,valid,1,1,0,1.5603,1.1617,2.2503,1.0556,0.0025,0.68098,openai_compat
hr_tr_12,TABLE_RENAME,Department name for employee 1.,SELECT d.department_name FROM staff e JOIN departments d ON e.department_id=d.department_id WHERE e.employee_id=1,False,,SELECT T1.department_name FROM departments AS T1 INNER JOIN employees AS T2 ON T1.department_id = T2.department_id WHERE T2.employee_id = 1,1,SELECT T1.department_name FROM departments AS T1 INNER JOIN employees AS T2 ON T1.department_id = T2.department_id WHERE T2.employee_id = 1,0,SELECT T1.department_name FROM departments AS T1 INNER JOIN staff AS T2 ON T1.department_id = T2.department_id WHERE T2.employee_id = 1,1,SELECT T1.department_name FROM departments AS T1 INNER JOIN employees AS T2 ON T1.department_id = T2.department_id WHERE T2.employee_id = 1,0,1,no such table: employees,openai_compat,SELECT T1.department_name FROM departments AS T1 INNER JOIN staff AS T2 ON T1.department_id = T2.department_id WHERE T2.employee_id = 1,ast,valid,1,1,0,1.5245,1.2724,0.8202,0.7801,0.0053,1.438594,openai_compat
hr_tr_13,TABLE_RENAME,Job history start date for employee 1.,SELECT j.start_date FROM job_history j JOIN staff e ON j.employee_id=e.employee_id WHERE e.employee_id=1,False,,SELECT start_date FROM job_history WHERE employee_id = 1,1,SELECT start_date FROM job_history WHERE employee_id = 1,1,SELECT start_date FROM job_history WHERE employee_id = 1,1,SELECT start_date FROM job_history WHERE employee_id = 1,1,0,,openai_compat,SELECT start_date FROM job_history WHERE employee_id = 1,ast,valid,1,0,0,1.2547,0.7734,0.8188,0.0011,0.0133,0.55498,openai_compat
hr_tr_14,TABLE_RENAME,Employees hired after 2007-06-20.,SELECT employee_id FROM staff WHERE hire_date > '2007-06-20' ORDER BY employee_id,False,,SELECT * FROM employees WHERE hire_date > '2007-06-20',0,SELECT * FROM employees WHERE hire_date > '2007-06-20',0,SELECT * FROM staff WHERE hire_date > '2007-06-20',0,SELECT * FROM employees WHERE hire_date > '2007-06-20',0,1,no such table: employees,openai_compat,SELECT * FROM staff WHERE hire_date > '2007-06-20',ast,silent_failure_suspected,0,0,0,1.0783,1.3248,0.9006,1.6986,1.0222,0.65975,openai_compat
hr_tr_15,TABLE_RENAME,List region names.,SELECT region_name FROM regions ORDER BY region_id,False,,SELECT region_name FROM regions,1,SELECT region_name FROM regions,1,SELECT region_name FROM regions,1,SELECT region_name FROM regions,1,0,,openai_compat,SELECT region_name FROM regions,ast,valid,1,0,0,0.812,2.0533,1.0198,0.0015,0.0023,0.489926,openai_compat
hr_tr_16,TABLE_RENAME,Count jobs.,SELECT COUNT(*) FROM jobs,False,,SELECT COUNT(job_id) FROM jobs,1,SELECT COUNT(job_id) FROM jobs,1,SELECT COUNT(job_id) FROM jobs,1,SELECT COUNT(job_id) FROM jobs,1,0,,openai_compat,SELECT COUNT(job_id) FROM jobs,ast,valid,1,0,0,1.3195,1.1712,0.8852,0.0012,0.0021,0.522262,openai_compat
