id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
hr_cm_01,COLUMN_MERGE,List merged employee full names.,SELECT full_name FROM employees ORDER BY employee_id,False,,"SELECT DISTINCT CONCAT(e1.first_name, ' ', e1.last_name) AS full_name
FROM employees e1
JOIN employees e2 ON e1.employee_id != e2.employee_id
WHERE e1.first_name = e2.first_name AND e1.last_name = e2.last_name
ORDER BY full_name",0,"SELECT DISTINCT CONCAT(e1.first_name, ' ', e1.last_name) AS full_name
FROM employees e1
JOIN employees e2 ON e1.employee_id != e2.employee_id
WHERE e1.first_name = e2.first_name AND e1.last_name = e2.last_name
ORDER BY full_name",0,"SELECT DISTINCT full_name
FROM employees
WHERE full_name IS NOT NULL
ORDER BY full_name",1,"SELECT DISTINCT e1.first_name || ' ' || e1.last_name AS full_name
FROM employees e1
JOIN employees e2 ON e1.employee_id != e2.employee_id
WHERE e1.first_name = e2.first_name AND e1.last_name = e2.last_name
ORDER BY full_name",0,1,no such column: e1.first_name,anthropic,SELECT DISTINCT e1.full_name FROM employees AS e1 JOIN employees AS e2 ON e1.employee_id <> e2.employee_id WHERE e1.full_name = e2.full_name ORDER BY full_name,ast,execution_error,0,0,0,1.3532,1.4264,1.0905,1.1594,1.1091,6.711125,anthropic
hr_cm_02,COLUMN_MERGE,Count employees with last names starting with S.,SELECT COUNT(*) FROM employees WHERE full_name LIKE '% S%',False,,SELECT COUNT(*) FROM employees WHERE last_name LIKE 'S%',1,SELECT COUNT(*) FROM employees WHERE last_name LIKE 'S%',0,SELECT COUNT(*) FROM employees WHERE full_name LIKE '% S%',1,SELECT COUNT(*) FROM employees WHERE last_name LIKE 'S%',0,1,no such column: last_name,anthropic,SELECT COUNT(*) FROM employees WHERE full_name LIKE 'S%',ast,silent_failure_suspected,0,0,0,0.9422,1.0025,1.1046,1.0144,1.246,0.766578,anthropic
hr_cm_03,COLUMN_MERGE,Full name for employee 1.,SELECT full_name FROM employees WHERE employee_id=1,False,,"SELECT first_name, last_name FROM employees WHERE employee_id = 1",0,"SELECT first_name, last_name FROM employees WHERE employee_id = 1",0,SELECT full_name FROM employees WHERE employee_id = 1,1,"SELECT first_name, last_name FROM employees WHERE employee_id = 1",0,1,no such column: first_name,anthropic,SELECT full_name FROM employees WHERE employee_id = 1,ast,valid,1,1,0,0.9677,1.1145,1.1016,1.8111,1.2244,0.604021,anthropic
hr_cm_04,COLUMN_MERGE,Full names for employees with salary over 7000.,SELECT full_name FROM employees WHERE salary > 7000 ORDER BY employee_id,False,,"SELECT first_name, last_name FROM employees WHERE salary > 7000",0,"SELECT first_name, last_name FROM employees WHERE salary > 7000",0,SELECT full_name FROM employees WHERE salary > 7000,1,"SELECT first_name, last_name FROM employees WHERE salary > 7000",0,1,no such column: first_name,anthropic,SELECT full_name FROM employees WHERE salary > 7000,ast,valid,1,1,0,0.8518,0.957,1.0001,1.2358,1.0019,0.714169,anthropic
hr_cm_05,COLUMN_MERGE,Full names with emails.,"SELECT full_name, email FROM employees ORDER BY employee_id",False,,"SELECT first_name || ' ' || last_name AS full_name, email
FROM employees",1,"SELECT first_name || ' ' || last_name AS full_name, email
FROM employees",0,"SELECT full_name, email FROM employees",1,"SELECT first_name || ' ' || last_name AS full_name, email
FROM employees",0,1,no such column: first_name,anthropic,"SELECT full_name, email FROM employees",ast,valid,1,1,0,1.0672,0.9043,1.4508,0.9443,1.1045,0.756997,anthropic
hr_cm_06,COLUMN_MERGE,Full names with department IDs.,"SELECT full_name, department_id FROM employees ORDER BY employee_id",False,,"SELECT CONCAT(first_name, ' ', last_name) AS full_name, department_id
FROM employees",1,"SELECT CONCAT(first_name, ' ', last_name) AS full_name, department_id
FROM employees",0,"SELECT full_name, department_id FROM employees",1,"SELECT CONCAT(e.first_name, ' ', e.last_name) AS full_name, e.department_id
FROM employees e",0,1,no such column: first_name,anthropic,"SELECT full_name, department_id FROM employees",ast,valid,1,1,0,1.5005,1.1308,1.1188,1.1096,1.0321,0.824844,anthropic
hr_cm_07,COLUMN_MERGE,Full names and job IDs for the first five employees.,"SELECT full_name, job_id FROM employees WHERE employee_id <= 5 ORDER BY employee_id",False,,"SELECT first_name || ' ' || last_name AS full_name, job_id
FROM employees
LIMIT 5",1,"SELECT first_name || ' ' || last_name AS full_name, job_id
FROM employees
LIMIT 5",0,"SELECT full_name, job_id FROM employees LIMIT 5",1,"SELECT first_name || ' ' || last_name AS full_name, job_id
FROM employees
LIMIT 5",0,1,no such column: first_name,anthropic,"SELECT full_name, job_id FROM employees LIMIT 5",ast,valid,1,1,0,1.122,1.1277,0.8382,1.2091,1.1237,0.957934,anthropic
hr_cm_08,COLUMN_MERGE,Count employees with 'a' in their full name.,SELECT COUNT(*) FROM employees WHERE full_name LIKE '%a%',False,,SELECT COUNT(*) FROM employees WHERE first_name LIKE '%a%' OR last_name LIKE '%a%' OR first_name LIKE '%A%' OR last_name LIKE '%A%',1,SELECT COUNT(*) FROM employees WHERE first_name LIKE '%a%' OR last_name LIKE '%a%' OR first_name LIKE '%A%' OR last_name LIKE '%A%',0,SELECT COUNT(*) FROM employees WHERE full_name LIKE '%a%',1,SELECT COUNT(*) FROM employees WHERE (first_name LIKE '%a%' OR first_name LIKE '%A%') OR (last_name LIKE '%a%' OR last_name LIKE '%A%'),0,1,no such column: first_name,anthropic,SELECT COUNT(*) FROM employees WHERE full_name LIKE '%a%' OR full_name LIKE '%A%',ast,valid,1,1,0,0.9806,1.075,0.8869,1.1629,0.8901,1.028405,anthropic
hr_cm_09,COLUMN_MERGE,Full names for employees with commissions.,SELECT full_name FROM employees WHERE commission_pct IS NOT NULL ORDER BY employee_id,False,,"SELECT first_name, last_name
FROM employees
WHERE commission_pct IS NOT NULL AND commission_pct > 0",0,"SELECT first_name, last_name
FROM employees
WHERE commission_pct IS NOT NULL AND commission_pct > 0",0,SELECT full_name FROM employees WHERE commission_pct IS NOT NULL AND commission_pct > 0,1,"SELECT employees.first_name, employees.last_name
FROM employees
WHERE commission_pct IS NOT NULL AND commission_pct > 0",0,1,no such column: first_name,anthropic,SELECT full_name FROM employees WHERE NOT commission_pct IS NULL AND commission_pct > 0,ast,valid,1,1,0,0.9432,0.9194,1.1536,1.0104,3.6525,1.12173,anthropic
hr_cm_10,COLUMN_MERGE,Job history start date with full name for employee 1.,"SELECT j.start_date, e.full_name FROM job_history j JOIN employees e ON j.employee_id=e.employee_id WHERE e.employee_id=1",False,,"SELECT jh.start_date, e.first_name, e.last_name
FROM job_history jh
JOIN employees e ON jh.employee_id = e.employee_id
WHERE jh.employee_id = 1",0,"SELECT jh.start_date, e.first_name, e.last_name
FROM job_history jh
JOIN employees e ON jh.employee_id = e.employee_id
WHERE jh.employee_id = 1",0,"SELECT jh.start_date, e.full_name
FROM job_history jh
JOIN employees e ON jh.employee_id = e.employee_id
WHERE jh.employee_id = 1",1,"SELECT jh.start_date, e.first_name, e.last_name
FROM job_history jh
JOIN employees e ON jh.employee_id = e.employee_id
WHERE jh.employee_id = 1",0,1,no such column: e.first_name,anthropic,"SELECT jh.start_date, e.full_name, e.full_name FROM job_history AS jh JOIN employees AS e ON jh.employee_id = e.employee_id WHERE jh.employee_id = 1",ast,valid,0,0,0,1.2772,1.372,1.0351,1.9657,1.1031,1.186612,anthropic
