id,perturbation,question,expected_failure,sanity_sql,sanity_ok,sanity_latency_s,sanity_tokens_in,sanity_tokens_out,canonical_baseline_ok,canonical_mcp_ok,diff_sql,diff_ok,diff_latency_s,diff_tokens_in,diff_tokens_out,vendor_sql,vendor_ok,vendor_latency_s,vendor_tokens_in,vendor_tokens_out,vendor_n_api_calls,vendor_n_tool_calls,vendor_capped,tool_calls_json,backend
hr_cr_01,COLUMN_RENAME,List employee first and last names.,False,"SELECT first_name, last_name FROM employees",0,0.8344,250,13,0,1,"SELECT fname, last_name FROM employees",1,0.8053,352,12,"SELECT first_name, last_name FROM employees",0,1.5163,501,14,1,0,0,[],openai_compat
hr_cr_02,COLUMN_RENAME,Count employees.,False,SELECT COUNT(*) FROM employees,1,0.9539,246,10,1,1,SELECT COUNT(*) FROM employees,1,1.0033,348,10,SELECT COUNT(*) FROM employees,1,3.7606,2215,72,3,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM employees;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM employees""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
hr_cr_03,COLUMN_RENAME,Employees with salary over 7000.,False,SELECT * FROM employees WHERE salary > 7000,0,1.0163,251,15,0,0,SELECT * FROM employees WHERE monthly_salary > 7000,0,0.947,353,16,SELECT * FROM employees WHERE monthly_salary > 7000,0,4.3901,3033,73,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT * FROM employees WHERE salary > 7000;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT * FROM employees WHERE monthly_salary > 7000""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""low_semantic_similarity""}}]",openai_compat
hr_cr_04,COLUMN_RENAME,Average employee salary.,False,SELECT AVG(salary) AS average_salary FROM employees,0,0.9111,247,15,0,1,SELECT AVG(monthly_salary) AS average_salary FROM employees,1,0.9321,349,16,SELECT AVG(monthly_salary) FROM employees,1,4.3248,2994,63,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT AVG(salary) FROM employees;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT AVG(monthly_salary) FROM employees""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
hr_cr_05,COLUMN_RENAME,List employee emails.,False,SELECT email FROM employees,1,0.789,247,9,1,1,SELECT email FROM employees,1,1.0822,349,9,SELECT email FROM employees,1,1.9177,1283,17,2,1,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}]",openai_compat
hr_cr_06,COLUMN_RENAME,List employee IDs with salaries.,False,"SELECT employee_id, salary FROM employees",0,1.0025,249,12,0,1,"SELECT employee_id, monthly_salary FROM employees",1,1.2286,351,13,"SELECT employee_id, monthly_salary FROM employees",1,4.659,3002,63,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT employee_id, salary FROM employees;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT employee_id, monthly_salary FROM employees""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
hr_cr_07,COLUMN_RENAME,Employees with first names starting with A.,False,SELECT * FROM employees WHERE first_name LIKE 'A%',0,0.9101,251,16,0,0,SELECT * FROM employees WHERE fname LIKE 'A%',0,0.9385,353,15,SELECT * FROM employees WHERE fname LIKE 'A%',0,4.8864,3022,70,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT * FROM employees WHERE first_name LIKE 'A%'""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT * FROM employees WHERE fname LIKE 'A%'""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
hr_cr_08,COLUMN_RENAME,Employees with commissions.,False,"SELECT employee_id, first_name, last_name, commission_pct FROM employees WHERE commission_pct IS NOT NULL",0,0.8947,247,25,0,0,"SELECT employee_id, fname, last_name, email, phone_number, hire_date, job_id, monthly_salary, commission_pct, manager_id, department_id
FROM employees
WHERE commission_pct IS NOT NULL",0,1.2004,349,46,SELECT * FROM employees WHERE NOT commission_pct IS NULL,0,4.0996,3006,71,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT * FROM employees WHERE commission_pct IS NOT NULL;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT * FROM employees WHERE NOT commission_pct IS NULL""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
hr_cr_09,COLUMN_RENAME,Job title for employee 1.,False,"SELECT j.job_title 
FROM employees e
JOIN jobs j ON e.job_id = j.job_id
WHERE e.employee_id = 1",1,0.9009,250,33,1,1,"SELECT j.job_title 
FROM employees e
JOIN jobs j ON e.job_id = j.job_id
WHERE e.employee_id = 1",1,1.1553,352,33,SELECT job_title FROM jobs JOIN employees ON jobs.job_id = employees.job_id WHERE employee_id = 1,1,3.372,2307,120,3,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT job_title FROM jobs JOIN employees ON jobs.job_id = employees.job_id WHERE employee_id = 1;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT job_title FROM jobs JOIN employees ON jobs.job_id = employees.job_id WHERE employee_id = 1""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
hr_cr_10,COLUMN_RENAME,Count employees per department.,False,"SELECT d.department_name, COUNT(e.employee_id) AS employee_count
FROM departments d
LEFT JOIN employees e ON d.department_id = e.department_id
GROUP BY d.department_id, d.department_name",0,0.9243,248,45,0,0,"SELECT department_id, COUNT(*) AS employee_count
FROM employees
GROUP BY department_id",1,0.9206,350,22,"SELECT department_id, COUNT(*) AS employee_count
FROM employees
GROUP BY department_id",1,2.0661,1285,34,2,1,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}]",openai_compat
