id,perturbation,question,expected_failure,sanity_sql,sanity_ok,sanity_latency_s,sanity_tokens_in,sanity_tokens_out,canonical_baseline_ok,canonical_mcp_ok,diff_sql,diff_ok,diff_latency_s,diff_tokens_in,diff_tokens_out,vendor_sql,vendor_ok,vendor_latency_s,vendor_tokens_in,vendor_tokens_out,vendor_n_api_calls,vendor_n_tool_calls,vendor_capped,tool_calls_json,backend
cs_cr_01,COLUMN_RENAME,List song titles.,False,SELECT DISTINCT Song_Name FROM singer,0,0.8967,176,12,0,1,SELECT song_title FROM singer,1,0.911,297,10,SELECT song_title FROM singer,1,3.7386,3799,186,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT song_title FROM singer""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
cs_cr_02,COLUMN_RENAME,Count songs released after 2010.,False,SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010,0,1.3371,180,20,0,1,SELECT COUNT(*) FROM singer WHERE debut_year > 2010,1,0.9638,301,18,SELECT COUNT(*) FROM singer WHERE debut_year > 2010,1,4.534,3830,208,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM singer WHERE debut_year > 2010""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
cs_cr_03,COLUMN_RENAME,List singer names with song titles.,False,"SELECT singer.Name, singer.Song_Name
FROM singer",0,1.4244,179,17,0,1,"SELECT Name, song_title FROM singer",1,0.9295,300,12,"SELECT Name, song_title FROM singer",1,4.2291,3819,195,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Name, song_title FROM singer""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
cs_cr_04,COLUMN_RENAME,Singer for the song 'Sun'.,False,"SELECT DISTINCT s.Singer_ID, s.Name
FROM singer s
WHERE s.Song_Name = 'Sun'",0,1.0408,180,31,0,0,"SELECT DISTINCT s.Name
FROM singer s
WHERE s.song_title = 'Sun'",1,1.0477,301,25,SELECT Name FROM singer WHERE song_title = 'Sun',1,3.9323,3827,204,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Name FROM singer WHERE song_title = 'Sun'""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
cs_cr_05,COLUMN_RENAME,Average debut year.,False,SELECT AVG(Song_release_year) FROM singer,0,1.0041,176,20,0,1,SELECT AVG(debut_year) FROM singer,1,1.0526,297,14,"Perfect! The query is valid.

SELECT AVG(debut_year) AS average_debut_year FROM singer",0,8.1671,5410,304,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT AVG(debut_year) FROM singer""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""low_semantic_similarity""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT AVG(debut_year) AS average_debut_year FROM singer""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
cs_cr_06,COLUMN_RENAME,List singer IDs and debut years.,False,"SELECT Singer_ID, Song_release_year AS debut_year
FROM singer
ORDER BY Singer_ID",0,1.1033,180,27,0,1,"SELECT Singer_ID, debut_year FROM singer",1,0.9759,301,14,"SELECT Singer_ID, debut_year FROM singer",1,4.0649,3824,198,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Singer_ID, debut_year FROM singer""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
cs_cr_07,COLUMN_RENAME,Songs released between 2000 and 2014.,False,"SELECT Song_Name, Song_release_year FROM singer WHERE Song_release_year BETWEEN 2000 AND 2014",0,1.9386,184,32,0,0,"SELECT song_title
FROM singer
WHERE debut_year BETWEEN 2000 AND 2014",1,1.3041,305,26,SELECT song_title FROM singer WHERE debut_year BETWEEN 2000 AND 2014,1,4.6188,3847,219,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT song_title FROM singer WHERE debut_year BETWEEN 2000 AND 2014""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
cs_cr_08,COLUMN_RENAME,Singers with songs released in 2014.,False,"SELECT DISTINCT s.Singer_ID, s.Name, s.Song_Name, s.Song_release_year
FROM singer s
WHERE s.Song_release_year = 2014",0,2.0799,182,47,0,0,"SELECT DISTINCT s.Singer_ID, s.Name, s.song_title
FROM singer s
WHERE s.debut_year = 2014",0,1.2941,303,37,SELECT * FROM singer WHERE debut_year = 2014,0,3.9403,3829,201,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT * FROM singer WHERE debut_year = 2014""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
cs_cr_09,COLUMN_RENAME,Count distinct song titles.,False,SELECT COUNT(DISTINCT Song_Name) FROM singer,0,1.0232,177,15,0,1,SELECT COUNT(DISTINCT song_title) FROM singer,1,0.9375,298,15,SELECT COUNT(DISTINCT song_title) FROM singer,1,4.2187,3800,187,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(DISTINCT song_title) FROM singer""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
cs_cr_10,COLUMN_RENAME,Song titles by French singers.,False,"SELECT DISTINCT Song_Name
FROM singer
WHERE Country = 'France'",0,0.9927,178,20,0,1,"SELECT DISTINCT s.song_title
FROM singer s
WHERE s.Country = 'France'",1,1.0033,299,25,"Based on the schema and the question, the correct SQL query to retrieve song titles by French singers is:

SELECT DISTINCT song_title FROM singer WHERE Country = 'France'",0,11.4952,12862,635,8,7,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT song_title FROM singer WHERE Country = 'France'""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""low_semantic_similarity""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT DISTINCT song_title FROM singer WHERE Country = 'French'""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""low_semantic_similarity""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT song_title FROM singer WHERE LOWER(Country) = 'france'""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""low_semantic_similarity""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT DISTINCT song_title FROM singer WHERE Country LIKE '%France%'""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""low_semantic_similarity""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT song_title FROM singer WHERE Country = 'France'""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""low_semantic_similarity""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT DISTINCT song_title FROM singer WHERE Country = 'France'""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""low_semantic_similarity""}}]",anthropic
