id,perturbation,question,expected_failure,sanity_sql,sanity_ok,sanity_latency_s,sanity_tokens_in,sanity_tokens_out,canonical_baseline_ok,canonical_mcp_ok,diff_sql,diff_ok,diff_latency_s,diff_tokens_in,diff_tokens_out,vendor_sql,vendor_ok,vendor_latency_s,vendor_tokens_in,vendor_tokens_out,vendor_n_api_calls,vendor_n_tool_calls,vendor_capped,tool_calls_json,backend
cs_cm_01,COLUMN_MERGE,List singer names with countries merged.,False,SELECT Name || ' (' || Country || ')' AS Singer_Name_With_Country FROM singer,0,1.0888,157,22,0,0,SELECT Name_Country FROM singer,1,1.0447,254,11,SELECT Name_Country AS Singer_Info FROM singer,1,3.0002,1781,92,3,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Name || ', ' || Country AS Singer_Info FROM singer;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Name || ', ' || Name_Country AS Singer_Info FROM singer""}, ""result"": {""verdict"": ""execution_error"", ""reason"": ""no such column: Name""}}]",openai_compat
cs_cm_02,COLUMN_MERGE,Count singers from France.,False,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,0.9539,155,15,0,0,SELECT COUNT(*) FROM singer WHERE Name_Country = 'France',0,0.9121,252,17,SELECT COUNT(*) FROM singer WHERE Name_Country = 'France',0,3.6769,1771,93,3,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM singer WHERE Country = 'France'""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM singer WHERE Name_Country = 'France'""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""empty_result_on_affirmative_question""}}]",openai_compat
cs_cm_03,COLUMN_MERGE,Merged name for Singer_ID 1.,False,SELECT Name || ' - ' || Song_Name AS Merged_Name FROM singer WHERE Singer_ID = 1,0,1.0562,158,26,0,0,SELECT Name_Country || ' ' || Song_Name AS Merged_Name FROM singer WHERE Singer_ID = 1,0,1.4533,255,27,SELECT Name_Country || ' ' || Song_Name AS Merged_Name FROM singer WHERE Singer_ID = 1,0,4.1081,2647,159,4,4,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Name || ' ' || Song_Name AS Merged_Name FROM singer WHERE Singer_ID = 1;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Name_Country || ' ' || Song_Name AS Merged_Name FROM singer WHERE Singer_ID = 1;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Name_Country || ' ' || Song_Name AS Merged_Name FROM singer WHERE Singer_ID = 1""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_cm_04,COLUMN_MERGE,Merged names for singers over 40.,False,"SELECT GROUP_CONCAT(Name, ', ') AS Merged_Names
FROM singer
WHERE Age > 40",0,1.3341,158,27,0,0,"SELECT Singer_ID, Name_Country || ' ' || Song_Name AS Merged_Name
FROM singer
WHERE Age > 40",0,1.0672,255,31,SELECT GROUP_CONCAT(Name_Country) FROM singer WHERE Age > 40,0,4.0824,2570,130,4,4,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT GROUP_CONCAT(Name) FROM singer WHERE Age > 40;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT GROUP_CONCAT(Name_Country) FROM singer WHERE Age > 40;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT GROUP_CONCAT(Name_Country) FROM singer WHERE Age > 40""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_cm_05,COLUMN_MERGE,Merged name for the song 'Sun'.,False,SELECT Name FROM singer WHERE Song_Name = 'Sun',0,0.9792,158,15,0,0,"SELECT Name_Country || ' - ' || Song_Name AS Merged_Name
FROM singer
WHERE Song_Name = 'Sun'",0,1.2741,255,30,SELECT Name_Country FROM singer WHERE Song_Name = 'Sun',1,4.0849,2367,86,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Name || ' ' || Country FROM singer WHERE Song_Name = 'Sun'""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Name || ' ' || Name_Country FROM singer WHERE Song_Name = 'Sun'""}, ""result"": {""verdict"": ""execution_error"", ""reason"": ""no such column: Name""}}]",openai_compat
cs_cm_06,COLUMN_MERGE,Count singers with songs released since 2010.,False,"SELECT COUNT(DISTINCT Singer_ID) 
FROM singer 
WHERE Song_release_year >= 2010",1,0.9394,160,25,1,1,"SELECT COUNT(*) 
FROM singer 
WHERE Song_release_year >= 2010",1,1.1509,257,20,SELECT COUNT(DISTINCT Singer_ID) FROM singer WHERE Song_release_year >= 2010,1,3.54,1808,111,3,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT COUNT(DISTINCT Singer_ID) FROM singer WHERE Song_release_year >= 2010;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(DISTINCT Singer_ID) FROM singer WHERE Song_release_year >= 2010""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_cm_07,COLUMN_MERGE,List merged names and song titles.,False,"SELECT Name || ' - ' || Song_Name AS Merged_Name_Song
FROM singer",0,0.9879,157,23,0,0,"SELECT Name_Country || ' - ' || Song_Name AS Merged_Name_Song
FROM singer",0,1.1943,254,25,SELECT Name_Country || ' ' || Song_Name AS Merged_Name_Song FROM singer,0,4.8285,2358,94,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Name || ' ' || Song_Name AS Merged_Name_Song FROM singer;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Name_Country || ' ' || Song_Name AS Merged_Name_Song FROM singer;""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_cm_08,COLUMN_MERGE,Merged names for male singers.,False,"SELECT GROUP_CONCAT(Name, ', ') AS Merged_Names
FROM singer
WHERE Is_male = 'Yes'",0,1.3027,156,29,0,0,"SELECT Singer_ID, Name_Country || ' ' || Song_Name AS Merged_Name
FROM singer
WHERE Is_male = 'yes'",0,1.453,253,33,"SELECT GROUP_CONCAT(Name_Country, ', ') FROM singer WHERE Is_male = 'yes'",0,4.8501,2359,97,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT GROUP_CONCAT(Name, ', ') FROM singer WHERE Is_male = 'yes';""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT GROUP_CONCAT(Name_Country, ', ') FROM singer WHERE Is_male = 'yes';""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_cm_09,COLUMN_MERGE,Count singers from the United States.,False,SELECT COUNT(*) FROM singer WHERE Country = 'United States',0,0.9619,157,16,0,0,"SELECT COUNT(*) 
FROM singer 
WHERE Name_Country = 'United States'",0,1.0119,254,20,SELECT COUNT(*) FROM singer WHERE Name_Country = 'United States',0,3.1358,1066,69,2,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM singer WHERE Country = 'United States'""}, ""result"": {""method"": ""ast""}}]",openai_compat
cs_cm_10,COLUMN_MERGE,Merged names for concert 1 singers.,False,"SELECT GROUP_CONCAT(s.Name, ', ') AS Merged_Names
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
WHERE sic.Concert_ID = 1",0,1.6731,158,49,0,0,"SELECT s.Song_Name || ' (' || s.Name_Country || ')' AS Merged_Name
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
WHERE sic.Concert_ID = 1",0,1.5137,255,54,"SELECT GROUP_CONCAT(s.Song_Name, ', ') AS Merged_Names FROM singer AS s JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID WHERE sic.Concert_ID = 1",0,3.7981,1925,188,3,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT GROUP_CONCAT(s.Name, ', ') AS Merged_Names FROM singer s JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID WHERE sic.Concert_ID = 1;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT GROUP_CONCAT(s.Song_Name, ', ') AS Merged_Names FROM singer AS s JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID WHERE sic.Concert_ID = 1""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
