id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
hr_tr_01,TABLE_RENAME,List employee first and last names.,"SELECT first_name, last_name FROM staff ORDER BY employee_id",False,,"SELECT first_name, last_name FROM employees",1,"SELECT first_name, last_name FROM employees",0,"SELECT first_name, last_name FROM staff",1,"SELECT first_name, last_name FROM employees",0,1,no such table: employees,openai_compat,"SELECT first_name, last_name FROM staff",ast,valid,1,1,0,1.3309,1.4443,1.0404,1.2034,8.9418,9.035666,openai_compat
hr_tr_02,TABLE_RENAME,Count employees.,SELECT COUNT(*) FROM staff,False,,SELECT COUNT(*) FROM employees,1,SELECT COUNT(*) FROM employees,0,SELECT COUNT(*) FROM staff,1,SELECT COUNT(*) FROM employees,0,1,no such table: employees,openai_compat,SELECT COUNT(*) FROM staff,ast,valid,1,1,0,0.9682,1.2031,0.9077,0.7585,0.0639,1.11325,openai_compat
hr_tr_03,TABLE_RENAME,Employees with salary over 7000.,SELECT employee_id FROM staff WHERE salary > 7000 ORDER BY employee_id,False,,SELECT * FROM employees WHERE salary > 7000,0,SELECT * FROM employees WHERE salary > 7000,0,"SELECT employee_id, first_name, last_name, salary FROM staff WHERE salary > 7000",0,SELECT * FROM employees WHERE salary > 7000,0,1,no such table: employees,openai_compat,SELECT * FROM staff WHERE salary > 7000,ast,valid,0,0,0,1.3554,1.0395,1.0347,0.7943,0.0381,0.970709,openai_compat
hr_tr_04,TABLE_RENAME,Average employee salary.,SELECT AVG(salary) FROM staff,False,,SELECT AVG(salary) AS average_salary FROM employees,1,SELECT AVG(salary) AS average_salary FROM employees,0,SELECT AVG(salary) AS average_salary FROM staff,1,SELECT AVG(salary) AS average_salary FROM employees,0,1,no such table: employees,openai_compat,SELECT AVG(salary) AS average_salary FROM staff,ast,valid,1,1,0,1.2906,1.2145,0.906,0.7922,0.0787,1.124292,openai_compat
hr_tr_05,TABLE_RENAME,List employee emails.,SELECT email FROM staff ORDER BY employee_id,False,,SELECT email FROM employees,1,SELECT email FROM employees,0,SELECT email FROM staff,1,SELECT email FROM employees,0,1,no such table: employees,openai_compat,SELECT email FROM staff,ast,valid,1,1,0,0.9359,1.3952,0.7786,1.0446,0.0696,0.768125,openai_compat
hr_tr_06,TABLE_RENAME,Employees in department 10.,SELECT employee_id FROM staff WHERE department_id=10,False,,"SELECT employee_id, first_name, last_name, email, phone_number, hire_date, job_id, salary, commission_pct, manager_id 
FROM employees 
WHERE department_id = 10",0,"SELECT employee_id, first_name, last_name, email, phone_number, hire_date, job_id, salary, commission_pct, manager_id 
FROM employees 
WHERE department_id = 10",0,"SELECT first_name, last_name FROM staff WHERE department_id = 10",0,"SELECT employee_id, first_name, last_name, email, phone_number, hire_date, job_id, salary, commission_pct, manager_id 
FROM employees 
WHERE department_id = 10",0,1,no such table: employees,openai_compat,"SELECT employee_id, first_name, last_name, email, phone_number, hire_date, job_id, salary, commission_pct, manager_id FROM staff WHERE department_id = 10",ast,silent_failure_suspected,0,0,0,1.891,1.5228,1.0012,1.3536,1.4552,1.295167,openai_compat
hr_tr_07,TABLE_RENAME,List employee job IDs.,"SELECT employee_id, job_id FROM staff ORDER BY employee_id",False,,SELECT job_id FROM employees,0,SELECT job_id FROM employees,0,SELECT DISTINCT job_id FROM staff,0,SELECT job_id FROM employees,0,1,no such table: employees,openai_compat,SELECT job_id FROM staff,ast,valid,0,0,0,1.0957,1.182,2.168,0.9228,0.0743,0.838042,openai_compat
hr_tr_08,TABLE_RENAME,Count employees per department.,"SELECT department_id, COUNT(*) FROM staff GROUP BY department_id ORDER BY department_id",False,,"SELECT d.department_name, COUNT(e.employee_id) AS employee_count
FROM departments d
LEFT JOIN employees e ON d.department_id = e.department_id
GROUP BY d.department_name",0,"SELECT d.department_name, COUNT(e.employee_id) AS employee_count
FROM departments d
LEFT JOIN employees e ON d.department_id = e.department_id
GROUP BY d.department_name",0,"SELECT d.department_name, COUNT(s.employee_id) AS employee_count
FROM departments d
LEFT JOIN staff s ON d.department_id = s.department_id
GROUP BY d.department_id, d.department_name",0,"SELECT d.department_name, COUNT(e.employee_id) AS employee_count
FROM departments d
LEFT JOIN employees e ON d.department_id = e.department_id
GROUP BY d.department_name",0,1,no such table: employees,openai_compat,"SELECT d.department_name, COUNT(e.employee_id) AS employee_count FROM departments AS d LEFT JOIN staff AS e ON d.department_id = e.department_id GROUP BY d.department_name",ast,valid,0,0,0,1.2949,1.3426,1.2342,1.1494,0.1127,7.796625,openai_compat
hr_tr_09,TABLE_RENAME,Employees with commissions.,SELECT employee_id FROM staff WHERE commission_pct IS NOT NULL ORDER BY employee_id,False,,"SELECT employee_id, first_name, last_name, email, phone_number, hire_date, job_id, salary, commission_pct, manager_id, department_id
FROM employees
WHERE commission_pct IS NOT NULL",0,"SELECT employee_id, first_name, last_name, email, phone_number, hire_date, job_id, salary, commission_pct, manager_id, department_id
FROM employees
WHERE commission_pct IS NOT NULL",0,"SELECT first_name, last_name, commission_pct FROM staff WHERE commission_pct IS NOT NULL",0,"SELECT employee_id, first_name, last_name, email, phone_number, hire_date, job_id, salary, commission_pct, manager_id, department_id
FROM employees
WHERE commission_pct IS NOT NULL",0,1,no such table: employees,openai_compat,"SELECT employee_id, first_name, last_name, email, phone_number, hire_date, job_id, salary, commission_pct, manager_id, department_id FROM staff WHERE commission_pct IS NOT NULL",ast,silent_failure_suspected,0,0,0,1.8811,1.4612,1.0567,1.4843,1.6748,1.113209,openai_compat
hr_tr_10,TABLE_RENAME,Employees managed by 1.,SELECT employee_id FROM staff WHERE manager_id=1 ORDER BY employee_id,False,,"SELECT employee_id, first_name, last_name
FROM employees
WHERE manager_id = 1",0,"SELECT employee_id, first_name, last_name
FROM employees
WHERE manager_id = 1",0,"SELECT first_name, last_name FROM staff WHERE manager_id = 1",0,"SELECT employee_id, first_name, last_name
FROM employees
WHERE manager_id = 1",0,1,no such table: employees,openai_compat,"SELECT employee_id, first_name, last_name FROM staff WHERE manager_id = 1",ast,valid,0,0,0,4.0345,1.0928,0.9745,1.0744,0.0842,1.131291,openai_compat
