id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
Q01,TABLE_RENAME,How many singers do we have?,SELECT COUNT(*) FROM artist,False,,SELECT COUNT(*) FROM singer,1,SELECT COUNT(*) FROM singer,0,SELECT COUNT(DISTINCT Singer_ID) FROM artist,1,SELECT COUNT(*) FROM Singer,0,1,no such table: singer,openai_compat,SELECT COUNT(*) FROM artist,ast,valid,1,1,0,1.1098,5.5448,0.8755,3.5326,0.0172,15.475657,openai_compat
Q02,TABLE_RENAME,What is the name and country of every singer?,"SELECT Name, Country FROM artist",False,,"SELECT Name, Country FROM singer",1,"SELECT Name, Country FROM singer",0,"SELECT Name, Country FROM artist",1,"SELECT Name, Country FROM singer",0,1,no such table: singer,openai_compat,"SELECT Name, Country FROM artist",ast,valid,1,1,0,8.5695,2.7438,5.5743,0.7171,0.002,0.550023,openai_compat
Q03,TABLE_RENAME,List the names of singers from France.,SELECT Name FROM artist WHERE Country = 'France',False,,SELECT Name FROM singer WHERE Country = 'France',1,SELECT Name FROM singer WHERE Country = 'France',0,SELECT Name FROM artist WHERE Country = 'France',1,SELECT Name FROM singer WHERE Country = 'France',0,1,no such table: singer,openai_compat,SELECT Name FROM artist WHERE Country = 'France',ast,valid,1,1,0,0.8952,4.2227,0.8436,6.8782,0.0202,0.708081,openai_compat
Q04,TABLE_RENAME,What are the names of all singers ordered by age from oldest to youngest?,SELECT Name FROM artist ORDER BY Age DESC,False,,SELECT Name FROM singer ORDER BY Age DESC,1,SELECT Name FROM singer ORDER BY Age DESC,0,SELECT Name FROM artist ORDER BY Age DESC,1,SELECT Name FROM singer ORDER BY Age DESC,0,1,no such table: singer,openai_compat,SELECT Name FROM artist ORDER BY Age DESC,ast,valid,1,1,0,4.1412,3.4728,0.8805,1.2131,0.0022,0.608062,openai_compat
Q05,TABLE_RENAME,How many male singers are there?,SELECT COUNT(*) FROM artist WHERE Is_male = 'T',False,,SELECT COUNT(*) FROM singer WHERE Is_male = 'yes',0,SELECT COUNT(*) FROM singer WHERE Is_male = 'yes',0,SELECT COUNT(*) FROM artist WHERE Is_male = 'Yes',0,SELECT COUNT(*) FROM singer WHERE Is_male = 'Y',0,1,no such table: singer,openai_compat,SELECT COUNT(*) FROM artist WHERE Is_male = 'yes',ast,silent_failure_suspected,0,0,0,0.6946,0.6739,0.8527,0.777,4.6744,0.763036,openai_compat
Q06,TABLE_RENAME,"What is the average, minimum, and maximum age of all singers?","SELECT AVG(Age), MIN(Age), MAX(Age) FROM artist",False,,"SELECT AVG(Age) AS Average_Age, MIN(Age) AS Minimum_Age, MAX(Age) AS Maximum_Age FROM singer",1,"SELECT AVG(Age) AS average_age, MIN(Age) AS minimum_age, MAX(Age) AS maximum_age FROM singer",0,"SELECT AVG(Age) AS average_age, MIN(Age) AS minimum_age, MAX(Age) AS maximum_age FROM artist",1,"SELECT AVG(Age) AS average_age, MIN(Age) AS minimum_age, MAX(Age) AS maximum_age FROM singer",0,1,no such table: singer,openai_compat,"SELECT AVG(Age) AS average_age, MIN(Age) AS minimum_age, MAX(Age) AS maximum_age FROM artist",ast,valid,1,1,0,6.9,5.0048,27.6156,1.1948,0.0031,1.040154,openai_compat
Q07,TABLE_RENAME,List each country and the number of singers from that country.,"SELECT Country, COUNT(*) FROM artist GROUP BY Country",False,,"SELECT Country, COUNT(*) AS Number_of_Singers
FROM singer
GROUP BY Country",1,"SELECT Country, COUNT(*) AS Number_of_Singers
FROM singer
GROUP BY Country",0,"SELECT Country, COUNT(*) AS Number_of_Singers
FROM artist
GROUP BY Country",1,"SELECT Country, COUNT(*) AS Number_of_Singers
FROM singer
GROUP BY Country",0,1,no such table: singer,openai_compat,"SELECT Country, COUNT(*) AS Number_of_Singers FROM artist GROUP BY Country",ast,valid,1,1,0,1.0511,1.394,1.0354,1.565,0.0062,2.327806,openai_compat
Q08,TABLE_RENAME,Show the name of the oldest singer.,SELECT Name FROM artist ORDER BY Age DESC LIMIT 1,False,,SELECT Name FROM singer ORDER BY Age DESC LIMIT 1,1,SELECT Name FROM singer ORDER BY Age DESC LIMIT 1,0,SELECT Name FROM artist ORDER BY Age DESC LIMIT 1,1,SELECT Name FROM singer ORDER BY Age DESC LIMIT 1,0,1,no such table: singer,openai_compat,SELECT Name FROM artist ORDER BY Age DESC LIMIT 1,ast,valid,1,1,0,0.7613,0.9475,0.9123,0.8778,0.0054,1.643888,openai_compat
Q09,TABLE_RENAME,Show the names of all singers and the names of concerts they performed in.,"SELECT T2.Name, T3.concert_Name FROM singer_in_concert AS T1 JOIN artist AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T1.Concert_ID = T3.Concert_ID",False,,"SELECT singer.Name AS Singer_Name, concert.concert_Name AS Concert_Name
FROM singer
JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID
JOIN concert ON singer_in_concert.Concert_ID = concert.Concert_ID",1,"SELECT singer.Name, concert.concert_Name
FROM singer
JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID
JOIN concert ON singer_in_concert.Concert_ID = concert.Concert_ID",0,"SELECT a.Name AS Singer_Name, c.concert_Name AS Concert_Name
FROM artist a
JOIN singer_in_concert sic ON a.Singer_ID = sic.Singer_ID
JOIN concert c ON sic.Concert_ID = c.Concert_ID",1,"SELECT singer.Name, concert.concert_Name
FROM singer
JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID
JOIN concert ON singer_in_concert.Concert_ID = concert.Concert_ID",0,1,no such table: singer,openai_compat,"SELECT artist.Name, concert.concert_Name FROM artist JOIN singer_in_concert ON artist.Singer_ID = singer_in_concert.Singer_ID JOIN concert ON singer_in_concert.Concert_ID = concert.Concert_ID",ast,valid,1,1,0,1.1377,0.9833,1.5924,2.2815,2.76,1.794348,openai_compat
Q10,TABLE_RENAME,List the names of singers who performed in a concert with theme 'Wide Awake'.,SELECT T2.Name FROM singer_in_concert AS T1 JOIN artist AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T1.Concert_ID = T3.Concert_ID WHERE T3.Theme = 'Wide Awake',False,,"SELECT DISTINCT s.Name
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
JOIN concert c ON sic.Concert_ID = c.Concert_ID
WHERE c.Theme = 'Wide Awake'",1,"SELECT DISTINCT s.Name
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
JOIN concert c ON sic.Concert_ID = c.Concert_ID
WHERE c.Theme = 'Wide Awake'",0,"SELECT DISTINCT a.Name
FROM artist a
JOIN singer_in_concert sic ON a.Singer_ID = sic.Singer_ID
JOIN concert c ON sic.Concert_ID = c.Concert_ID
WHERE c.Theme = 'Wide Awake'",1,"SELECT DISTINCT s.Name
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
JOIN concert c ON sic.Concert_ID = c.Concert_ID
WHERE c.Theme = 'Wide Awake'",0,1,no such table: singer,openai_compat,SELECT DISTINCT s.Name FROM artist AS s JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID JOIN concert AS c ON sic.Concert_ID = c.Concert_ID WHERE c.Theme = 'Wide Awake',ast,valid,1,1,0,1.1118,1.3431,1.5267,1.2877,0.0089,3.728141,openai_compat
