id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
cs_cr_01,COLUMN_RENAME,List song titles.,SELECT song_title FROM singer ORDER BY Singer_ID,False,,SELECT Song_Name FROM singer,1,SELECT Song_Name FROM singer,0,SELECT DISTINCT song_title FROM singer,1,SELECT Song_name FROM singer,0,1,no such column: Song_Name,openai_compat,SELECT song_title FROM singer,ast,valid,1,1,0,1.1644,1.0374,1.0093,0.9318,0.0705,0.744125,openai_compat
cs_cr_02,COLUMN_RENAME,Count songs released after 2010.,SELECT COUNT(*) FROM singer WHERE debut_year > 2010,False,,SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010,1,SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010,0,SELECT COUNT(*) FROM singer WHERE debut_year > 2010,1,SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010,0,1,no such column: Song_release_year,openai_compat,SELECT COUNT(*) FROM singer WHERE debut_year > 2010,ast,valid,1,1,0,1.0337,1.5373,1.0683,1.1869,0.054,1.159625,openai_compat
cs_cr_03,COLUMN_RENAME,List singer names with song titles.,"SELECT Name, song_title FROM singer ORDER BY Singer_ID",False,,"SELECT singer.Name, singer.Song_Name
FROM singer",1,"SELECT Name, Song_Name FROM singer",0,"SELECT Name, song_title FROM singer",1,"SELECT Name, Song_name FROM singer",0,1,no such column: Song_Name,openai_compat,"SELECT Name, song_title FROM singer",ast,valid,1,1,0,0.9204,1.0136,0.8992,1.114,0.0518,1.045,openai_compat
cs_cr_04,COLUMN_RENAME,Singer for the song 'Sun'.,SELECT Name FROM singer WHERE song_title='Sun',False,,"SELECT Name 
FROM singer 
WHERE Song_Name = 'Sun'",1,SELECT Name FROM singer WHERE Song_Name = 'Sun',0,SELECT Name FROM singer WHERE song_title = 'Sun',1,SELECT Name FROM singer WHERE Song_Name = 'Sun',0,1,no such column: Song_Name,openai_compat,SELECT Name FROM singer WHERE song_title = 'Sun',ast,valid,1,1,0,0.9647,0.9592,1.1469,1.0734,0.0529,0.993416,openai_compat
cs_cr_05,COLUMN_RENAME,Average debut year.,SELECT AVG(debut_year) FROM singer,False,,SELECT AVG(Song_release_year) AS Average_Debut_Year FROM singer,1,SELECT AVG(Song_release_year) AS Average_Debut_Year FROM singer,0,SELECT AVG(debut_year) FROM singer,1,SELECT AVG(Song_release_year) AS Average_Debut_Year FROM singer,0,1,no such column: Song_release_year,openai_compat,SELECT AVG(debut_year) AS Average_Debut_Year FROM singer,ast,valid,1,1,0,1.1081,1.005,1.477,1.0933,0.0543,1.202959,openai_compat
cs_cr_06,COLUMN_RENAME,List singer IDs and debut years.,"SELECT Singer_ID, debut_year FROM singer ORDER BY Singer_ID",False,,"SELECT Singer_ID, MIN(Song_release_year) AS Debut_Year
FROM singer
GROUP BY Singer_ID",1,"SELECT Singer_ID, MIN(Song_release_year) AS Debut_Year
FROM singer
GROUP BY Singer_ID",0,"SELECT Singer_ID, debut_year FROM singer",1,"SELECT Singer_ID, MIN(Year) AS Debut_Year
FROM singer
GROUP BY Singer_ID",0,1,no such column: Song_release_year,openai_compat,"SELECT Singer_ID, MIN(debut_year) AS Debut_Year FROM singer GROUP BY Singer_ID",ast,valid,1,1,0,1.0598,0.9939,0.9074,1.0647,0.0529,1.528834,openai_compat
cs_cr_07,COLUMN_RENAME,Songs released between 2000 and 2014.,SELECT song_title FROM singer WHERE debut_year BETWEEN 2000 AND 2014 ORDER BY song_title,False,,"SELECT Song_Name 
FROM singer 
WHERE Song_release_year BETWEEN 2000 AND 2014",1,"SELECT Song_Name 
FROM singer 
WHERE Song_release_year BETWEEN 2000 AND 2014",0,SELECT song_title FROM singer WHERE debut_year BETWEEN 2000 AND 2014,1,"SELECT Song_Name 
FROM singer 
WHERE Song_release_year BETWEEN 2000 AND 2014",0,1,no such column: Song_Name,openai_compat,SELECT song_title FROM singer WHERE debut_year BETWEEN 2000 AND 2014,ast,valid,1,1,0,1.02,1.1568,1.0525,1.4057,0.0567,1.250792,openai_compat
cs_cr_08,COLUMN_RENAME,Singers with songs released in 2014.,SELECT Name FROM singer WHERE debut_year=2014,False,,SELECT Name FROM singer WHERE Song_release_year = 2014,1,SELECT Name FROM singer WHERE Song_release_year = 2014,0,"SELECT Name 
FROM singer 
WHERE debut_year = 2014",1,SELECT Name FROM singer WHERE Song_release_year = 2014,0,1,no such column: Song_release_year,openai_compat,SELECT Name FROM singer WHERE debut_year = 2014,ast,valid,1,1,0,0.8607,1.0068,0.9971,1.1607,0.0533,0.888667,openai_compat
cs_cr_09,COLUMN_RENAME,Count distinct song titles.,SELECT COUNT(DISTINCT song_title) FROM singer,False,,SELECT COUNT(DISTINCT Song_Name) FROM singer,1,SELECT COUNT(DISTINCT Song_Name) FROM singer,0,SELECT COUNT(DISTINCT song_title) FROM singer,1,SELECT COUNT(DISTINCT Song_Name) FROM singer,0,1,no such column: Song_Name,openai_compat,SELECT COUNT(DISTINCT song_title) FROM singer,ast,valid,1,1,0,1.0535,0.8899,0.8576,1.1074,0.0521,1.172042,openai_compat
cs_cr_10,COLUMN_RENAME,Song titles by French singers.,SELECT song_title FROM singer WHERE Country='France' ORDER BY song_title,False,,"SELECT Song_Name 
FROM singer 
WHERE Country = 'France'",1,"SELECT Song_Name 
FROM singer 
WHERE Country = 'France'",0,"SELECT song_title 
FROM singer 
WHERE Country = 'France'",1,"SELECT Song_Name 
FROM singer 
WHERE Country = 'French'",0,1,no such column: Song_Name,openai_compat,SELECT song_title FROM singer WHERE Country = 'France',ast,silent_failure_suspected,1,1,0,1.1013,1.158,0.9926,1.1936,0.8962,0.968292,openai_compat
