id,perturbation,question,expected_failure,sanity_sql,sanity_ok,sanity_latency_s,sanity_tokens_in,sanity_tokens_out,canonical_baseline_ok,canonical_mcp_ok,diff_sql,diff_ok,diff_latency_s,diff_tokens_in,diff_tokens_out,vendor_sql,vendor_ok,vendor_latency_s,vendor_tokens_in,vendor_tokens_out,vendor_n_api_calls,vendor_n_tool_calls,vendor_capped,tool_calls_json,backend
hr_cr_01,COLUMN_RENAME,List employee first and last names.,False,"SELECT first_name, last_name FROM employees",0,1.5628,301,14,0,1,"SELECT fname, last_name FROM employees",1,1.564,416,12,"SELECT fname, last_name FROM employees",1,5.4866,6272,261,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT first_name, last_name FROM employees""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT fname, last_name FROM employees""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
hr_cr_02,COLUMN_RENAME,Count employees.,False,SELECT COUNT(*) FROM employees,1,0.9924,297,10,1,1,SELECT COUNT(*) FROM employees,1,1.0724,412,10,SELECT COUNT(*) FROM employees,1,5.9838,4440,196,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM employees""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
hr_cr_03,COLUMN_RENAME,Employees with salary over 7000.,False,"SELECT employee_id, first_name, last_name, salary
FROM employees
WHERE salary > 7000
ORDER BY salary DESC",0,0.9831,303,33,0,0,"SELECT employee_id, fname, last_name, email, phone_number, hire_date, job_id, monthly_salary, commission_pct, manager_id, department_id
FROM employees
WHERE monthly_salary > 7000",0,1.4531,418,57,"The query is syntactically correct for the current schema. The validation warnings appear to be related to the back-translation similarity check, but the query properly addresses the requirement to find employees with salary over 7000 using the updated column names.

SELECT employee_id, fname, last_name, monthly_salary FROM employees WHERE monthly_salary > 7000",0,9.1163,10377,542,6,5,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT employee_id, fname, last_name, monthly_salary FROM employees WHERE monthly_salary > 7000""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""low_semantic_similarity""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT * FROM employees WHERE monthly_salary > 7000""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""low_semantic_similarity""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT fname, last_name, monthly_salary FROM employees WHERE monthly_salary > 7000""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""low_semantic_similarity""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT employee_id, fname, last_name, monthly_salary FROM employees WHERE monthly_salary > 7000 ORDER BY monthly_salary DESC""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""low_semantic_similarity""}}]",anthropic
hr_cr_04,COLUMN_RENAME,Average employee salary.,False,SELECT AVG(salary) FROM employees,0,1.1855,298,12,0,1,SELECT AVG(monthly_salary) FROM employees,1,0.9264,413,14,SELECT AVG(monthly_salary) AS average_salary FROM employees,1,5.2971,4423,186,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT AVG(monthly_salary) AS average_salary FROM employees""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
hr_cr_05,COLUMN_RENAME,List employee emails.,False,SELECT email FROM employees,1,1.1044,298,8,1,1,SELECT email FROM employees,1,1.0443,413,8,SELECT email FROM employees,1,5.1834,4437,191,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT email FROM employees""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
hr_cr_06,COLUMN_RENAME,List employee IDs with salaries.,False,"SELECT employee_id, salary FROM employees",0,1.5741,302,12,0,1,"SELECT employee_id, monthly_salary FROM employees",1,1.2352,417,14,"SELECT employee_id, monthly_salary FROM employees",1,4.9036,4444,185,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT employee_id, monthly_salary FROM employees;""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
hr_cr_07,COLUMN_RENAME,Employees with first names starting with A.,False,SELECT * FROM employees WHERE first_name LIKE 'A%',0,0.9552,303,18,0,0,"SELECT employee_id, fname, last_name, email, phone_number, hire_date, job_id, monthly_salary, commission_pct, manager_id, department_id
FROM employees
WHERE fname LIKE 'A%'",0,1.0118,418,57,SELECT * FROM employees WHERE fname LIKE 'A%',0,3.9761,4453,192,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT * FROM employees WHERE fname LIKE 'A%'""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
hr_cr_08,COLUMN_RENAME,Employees with commissions.,False,"SELECT employee_id, first_name, last_name, commission_pct
FROM employees
WHERE commission_pct IS NOT NULL AND commission_pct > 0
ORDER BY employee_id",0,1.122,300,47,0,0,"SELECT employee_id, fname, last_name, email, phone_number, hire_date, job_id, monthly_salary, commission_pct, manager_id, department_id
FROM employees
WHERE commission_pct IS NOT NULL AND commission_pct > 0",0,1.2334,415,65,"SELECT employee_id, fname, last_name, commission_pct FROM employees WHERE commission_pct IS NOT NULL AND commission_pct > 0",0,4.1381,4482,255,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT employee_id, fname, last_name, commission_pct FROM employees WHERE commission_pct IS NOT NULL AND commission_pct > 0""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
hr_cr_09,COLUMN_RENAME,Job title for employee 1.,False,"SELECT j.job_title
FROM employees e
JOIN jobs j ON e.job_id = j.job_id
WHERE e.employee_id = 1",1,1.0801,301,40,1,1,"SELECT j.job_title
FROM employees e
JOIN jobs j ON e.job_id = j.job_id
WHERE e.employee_id = 1",1,1.057,416,40,SELECT j.job_title FROM employees e JOIN jobs j ON e.job_id = j.job_id WHERE e.employee_id = 1,1,6.2049,4473,241,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT j.job_title FROM employees e JOIN jobs j ON e.job_id = j.job_id WHERE e.employee_id = 1""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
hr_cr_10,COLUMN_RENAME,Count employees per department.,False,"SELECT 
  d.department_id,
  d.department_name,
  COUNT(e.employee_id) AS employee_count
FROM departments d
LEFT JOIN employees e ON d.department_id = e.department_id
GROUP BY d.department_id, d.department_name
ORDER BY d.department_id",0,2.6218,299,79,0,0,"SELECT department_id, COUNT(*) as employee_count
FROM employees
GROUP BY department_id
ORDER BY department_id",1,1.0116,414,31,"SELECT 
    d.department_id,
    d.department_name,
    COUNT(e.employee_id) AS employee_count
FROM departments d
LEFT JOIN employees e ON d.department_id = e.department_id
GROUP BY d.department_id, d.department_name
ORDER BY d.department_id",0,4.5066,4527,345,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT \n    d.department_id,\n    d.department_name,\n    COUNT(e.employee_id) AS employee_count\nFROM departments d\nLEFT JOIN employees e ON d.department_id = e.department_id\nGROUP BY d.department_id, d.department_name\nORDER BY d.department_id;""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
hr_cr_11,COLUMN_RENAME,Employees managed by 1.,False,SELECT * FROM employees WHERE manager_id = 1,0,0.9531,301,15,0,0,SELECT * FROM employees WHERE manager_id = 1,0,1.0911,416,19,"Perfect! The query is valid.

SELECT * FROM employees WHERE manager_id = 1",0,4.406,4491,228,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT * FROM employees WHERE manager_id = 1""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
hr_cr_12,COLUMN_RENAME,Employees hired after 2007-06-20.,False,SELECT * FROM employees WHERE hire_date > '2007-06-20',0,0.9822,306,20,0,0,SELECT * FROM employees WHERE hire_date > '2007-06-20',0,1.1284,421,20,"SELECT employee_id, fname, last_name, hire_date FROM employees WHERE hire_date > '2007-06-20'",0,4.6771,4495,243,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT employee_id, fname, last_name, hire_date FROM employees WHERE hire_date > '2007-06-20'""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
hr_cr_13,COLUMN_RENAME,List employees by salary descending.,False,"SELECT employee_id, first_name, last_name, salary
FROM employees
ORDER BY salary DESC",0,1.3606,301,26,0,0,"SELECT employee_id, fname, last_name, email, phone_number, hire_date, job_id, monthly_salary, commission_pct, manager_id, department_id FROM employees ORDER BY monthly_salary DESC",0,1.1782,416,53,"SELECT employee_id, fname, last_name, monthly_salary FROM employees ORDER BY monthly_salary DESC",0,5.3359,4461,215,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT employee_id, fname, last_name, monthly_salary FROM employees ORDER BY monthly_salary DESC""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
hr_cr_14,COLUMN_RENAME,Count employees with salary between 6000 and 8000.,False,SELECT COUNT(*) FROM employees WHERE salary BETWEEN 6000 AND 8000,0,0.9658,308,22,0,1,SELECT COUNT(*) FROM employees WHERE monthly_salary BETWEEN 6000 AND 8000,1,1.2395,423,24,SELECT COUNT(*) FROM employees WHERE monthly_salary BETWEEN 6000 AND 8000,1,4.1236,4484,210,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM employees WHERE monthly_salary BETWEEN 6000 AND 8000""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
hr_cr_15,COLUMN_RENAME,List region names.,False,SELECT region_name FROM regions,1,1.0099,298,10,1,1,SELECT region_name FROM regions,1,1.9254,413,10,SELECT region_name FROM regions,1,3.6329,4410,166,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT region_name FROM regions""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
hr_cr_16,COLUMN_RENAME,Count jobs.,False,SELECT COUNT(*) FROM jobs,1,1.0315,297,10,1,1,SELECT COUNT(*) FROM jobs,1,1.0551,412,10,SELECT COUNT(*) FROM jobs,1,4.1111,4446,201,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM jobs""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
