id,perturbation,expected_failure,seed,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
hr_cr_01,COLUMN_RENAME,False,0,"SELECT first_name, last_name FROM employees",1,"SELECT first_name, last_name FROM employees",0,"SELECT fname, last_name FROM employees",1,"SELECT employees.first_name, employees.last_name FROM employees",0,1,no such column: first_name,openai_compat,"SELECT fname, last_name FROM employees",ast,valid,1,1.0082,1.0591,0.9142,0.9798,9.1028,9.424375,openai_compat
hr_cr_01,COLUMN_RENAME,False,1,"SELECT first_name, last_name FROM employees",1,"SELECT first_name, last_name FROM employees",0,"SELECT fname, last_name FROM employees",1,"SELECT employees.first_name, employees.last_name FROM employees",0,1,no such column: first_name,openai_compat,"SELECT fname, last_name FROM employees",ast,valid,1,1.2028,0.9977,1.0917,0.7133,0.0387,1.274292,openai_compat
hr_cr_01,COLUMN_RENAME,False,2,"SELECT first_name, last_name FROM employees",1,"SELECT first_name, last_name FROM employees",0,"SELECT fname, last_name FROM employees",1,"SELECT employees.first_name, employees.last_name FROM employees",0,1,no such column: first_name,openai_compat,"SELECT fname, last_name FROM employees",ast,valid,1,0.9249,0.8965,0.9485,0.9266,0.0462,1.084209,openai_compat
hr_cr_02,COLUMN_RENAME,False,0,SELECT COUNT(*) FROM employees,1,SELECT COUNT(*) FROM employees,1,SELECT COUNT(*) FROM employees,1,SELECT COUNT(*) FROM employees,1,0,,openai_compat,SELECT COUNT(*) FROM employees,ast,valid,1,1.0866,0.895,0.8581,0.0011,0.0695,1.381583,openai_compat
hr_cr_02,COLUMN_RENAME,False,1,SELECT COUNT(*) FROM employees,1,SELECT COUNT(*) FROM employees,1,SELECT COUNT(*) FROM employees,1,SELECT COUNT(*) FROM employees,1,0,,openai_compat,SELECT COUNT(*) FROM employees,ast,valid,1,0.9671,1.0597,0.9014,0.0007,0.0431,0.875792,openai_compat
hr_cr_02,COLUMN_RENAME,False,2,SELECT COUNT(*) FROM employees,1,SELECT COUNT(*) FROM employees,1,SELECT COUNT(*) FROM employees,1,SELECT COUNT(*) FROM employees,1,0,,openai_compat,SELECT COUNT(*) FROM employees,ast,valid,1,1.0266,0.8347,0.8444,0.0007,0.0462,0.954625,openai_compat
hr_cr_03,COLUMN_RENAME,False,0,SELECT * FROM employees WHERE salary > 7000,0,SELECT * FROM employees WHERE salary > 7000,0,SELECT * FROM employees WHERE monthly_salary > 7000,0,SELECT * FROM employees WHERE salary > 7000.0,0,1,no such column: salary,openai_compat,SELECT * FROM employees WHERE monthly_salary > 7000,ast,silent_failure_suspected,0,0.9478,0.9453,0.9447,0.8366,1.0187,7.107584,openai_compat
hr_cr_03,COLUMN_RENAME,False,1,SELECT * FROM employees WHERE salary > 7000,0,SELECT * FROM employees WHERE salary > 7000,0,SELECT * FROM employees WHERE monthly_salary > 7000,0,SELECT * FROM employees WHERE salary > 7000.0,0,1,no such column: salary,openai_compat,SELECT * FROM employees WHERE monthly_salary > 7000,ast,silent_failure_suspected,0,1.9054,1.0676,1.1594,0.8894,1.0248,1.185334,openai_compat
hr_cr_03,COLUMN_RENAME,False,2,SELECT * FROM employees WHERE salary > 7000,0,SELECT * FROM employees WHERE salary > 7000,0,SELECT * FROM employees WHERE monthly_salary > 7000,0,SELECT * FROM employees WHERE salary > 7000.0,0,1,no such column: salary,openai_compat,SELECT * FROM employees WHERE monthly_salary > 7000,ast,silent_failure_suspected,0,1.7721,0.9592,0.8928,0.7189,1.1382,1.129542,openai_compat
hr_cr_04,COLUMN_RENAME,False,0,SELECT AVG(salary) AS average_salary FROM employees,1,SELECT AVG(salary) AS average_salary FROM employees,0,SELECT AVG(monthly_salary) AS average_salary FROM employees,1,SELECT AVG(salary) AS average_salary FROM employees,0,1,no such column: salary,openai_compat,SELECT AVG(monthly_salary) AS average_salary FROM employees,ast,valid,1,0.9634,0.9552,1.0823,0.8925,0.0604,1.10675,openai_compat
hr_cr_04,COLUMN_RENAME,False,1,SELECT AVG(salary) AS average_salary FROM employees,1,SELECT AVG(salary) AS average_salary FROM employees,0,SELECT AVG(monthly_salary) AS average_salary FROM employees,1,SELECT AVG(salary) AS average_salary FROM employees,0,1,no such column: salary,openai_compat,SELECT AVG(monthly_salary) AS average_salary FROM employees,ast,valid,1,1.0026,0.9261,0.9948,0.8282,0.0312,0.927042,openai_compat
