id,perturbation,question,expected_failure,sanity_sql,sanity_ok,sanity_latency_s,sanity_tokens_in,sanity_tokens_out,canonical_baseline_ok,canonical_mcp_ok,diff_sql,diff_ok,diff_latency_s,diff_tokens_in,diff_tokens_out,vendor_sql,vendor_ok,vendor_latency_s,vendor_tokens_in,vendor_tokens_out,vendor_n_api_calls,vendor_n_tool_calls,vendor_capped,tool_calls_json,backend
cs_tm_01,TABLE_MERGE,List concert names with singer IDs.,False,"SELECT c.concert_Name, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID",0,1.2613,157,36,0,1,"SELECT c.concert_Name, cp.Singer_ID
FROM concert_performance cp
JOIN concert c ON cp.Concert_ID = c.Concert_ID",0,1.2259,242,35,"SELECT concert_Name, Singer_ID FROM concert_performance",1,5.0837,2327,88,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT concert_Name, Singer_ID FROM concert JOIN singer_in_concert ON concert.Concert_ID = singer_in_concert.Concert_ID;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT concert_Name, Singer_ID FROM concert_performance;""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_tm_02,TABLE_MERGE,Count singers per concert.,False,"SELECT c.concert_Name, COUNT(sic.Singer_ID) AS singer_count
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
GROUP BY c.Concert_ID",0,1.4063,155,49,0,0,"SELECT concert_performance.Concert_ID, COUNT(singer.Singer_ID) AS Singer_Count
FROM concert_performance
JOIN singer ON concert_performance.Singer_ID = singer.Singer_ID
GROUP BY concert_performance.Concert_ID",1,1.6227,240,52,"SELECT concert_performance.Concert_ID, COUNT(concert_performance.Singer_ID) AS Singer_Count FROM concert_performance GROUP BY concert_performance.Concert_ID",1,6.4194,4257,257,6,5,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT concert.Concert_ID, COUNT(singer_in_concert.Singer_ID) AS Singer_Count FROM concert LEFT JOIN singer_in_concert ON concert.Concert_ID = singer_in_concert.Concert_ID GROUP BY concert.Concert_ID;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT concert.Concert_ID, COUNT(singer_in_concert.Singer_ID) AS Singer_Count FROM concert LEFT JOIN singer_in_concert ON concert.Concert_ID = singer_in_concert.Concert_ID GROUP BY concert.Concert_ID""}, ""result"": {""verdict"": ""execution_error"", ""reason"": ""no such table: concert""}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT concert_performance.Concert_ID, COUNT(concert_performance.Singer_ID) AS Singer_Count FROM concert_performance GROUP BY concert_performance.Concert_ID;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT concert_performance.Concert_ID, COUNT(concert_performance.Singer_ID) AS Singer_Count FROM concert_performance GROUP BY concert_performance.Concert_ID""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_tm_03,TABLE_MERGE,Concerts in 2015 with singer IDs.,False,"SELECT c.Concert_ID, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
WHERE c.Year = 2015",0,1.1339,160,44,0,1,"SELECT Concert_ID, Singer_ID 
FROM concert_performance 
WHERE Year = 2015",1,1.2901,245,23,"SELECT concert_performance.Concert_ID, concert_performance.Singer_ID FROM concert_performance WHERE concert_performance.Year = 2015",1,3.9611,1864,153,3,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT concert.Concert_ID, singer_in_concert.Singer_ID FROM concert JOIN singer_in_concert ON concert.Concert_ID = singer_in_concert.Concert_ID WHERE concert.Year = 2015;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT concert_performance.Concert_ID, concert_performance.Singer_ID FROM concert_performance WHERE concert_performance.Year = 2015;""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_tm_04,TABLE_MERGE,Themes with singer counts.,False,"SELECT c.Theme, COUNT(sic.Singer_ID) AS Singer_Count
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
GROUP BY c.Theme",0,1.1415,155,45,0,1,"SELECT c.Theme, COUNT(sic.Singer_ID) AS Singer_Count
FROM concert_performance c
JOIN singer sic ON c.Singer_ID = sic.Singer_ID
GROUP BY c.Theme",1,1.2438,240,44,"SELECT Theme, COUNT(DISTINCT Singer_ID) AS Singer_Count FROM concert_performance GROUP BY Theme",1,6.4825,4087,200,6,5,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Theme, COUNT(DISTINCT Singer_ID) AS Singer_Count FROM concert JOIN singer_in_concert ON concert.Concert_ID = singer_in_concert.Concert_ID GROUP BY Theme;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Theme, COUNT(DISTINCT Singer_ID) AS Singer_Count FROM concert JOIN singer_in_concert ON concert.Concert_ID = singer_in_concert.Concert_ID GROUP BY Theme""}, ""result"": {""verdict"": ""execution_error"", ""reason"": ""no such table: concert""}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Theme, COUNT(DISTINCT Singer_ID) AS Singer_Count FROM concert_performance GROUP BY Theme;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Theme, COUNT(DISTINCT Singer_ID) AS Singer_Count FROM concert_performance GROUP BY Theme""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_tm_05,TABLE_MERGE,Distinct concert names.,False,SELECT DISTINCT concert_Name FROM concert,0,1.0861,154,11,0,1,SELECT DISTINCT concert_Name FROM concert_performance,1,0.8705,239,13,SELECT DISTINCT concert_Name FROM concert_performance,1,6.3963,3691,104,6,5,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT DISTINCT concert_Name FROM concert;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT DISTINCT concert_Name FROM concert""}, ""result"": {""verdict"": ""execution_error"", ""reason"": ""no such table: concert""}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT DISTINCT concert_Name FROM concert_performance;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT DISTINCT concert_Name FROM concert_performance""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_tm_06,TABLE_MERGE,Singer names in concert 2.,False,"SELECT s.Name 
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
WHERE sic.Concert_ID = 2",0,1.23,157,38,0,1,"SELECT s.Name 
FROM concert_performance cp
JOIN singer s ON cp.Singer_ID = s.Singer_ID
WHERE cp.Concert_ID = 2",1,1.0989,242,37,SELECT s.Name FROM singer AS s JOIN concert_performance AS cp ON s.Singer_ID = cp.Singer_ID WHERE cp.Concert_ID = 2,1,4.5984,2687,193,4,4,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT s.Name FROM singer s JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID WHERE sic.Concert_ID = 2;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT s.Name FROM singer s JOIN concert_performance cp ON s.Singer_ID = cp.Singer_ID WHERE cp.Concert_ID = 2;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT s.Name FROM singer AS s JOIN concert_performance AS cp ON s.Singer_ID = cp.Singer_ID WHERE cp.Concert_ID = 2""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_tm_07,TABLE_MERGE,Themes for singer 3.,False,"SELECT DISTINCT c.Theme
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
WHERE sic.Singer_ID = 3",0,1.2265,156,39,0,1,"SELECT DISTINCT Theme 
FROM concert_performance 
WHERE Singer_ID = 3",1,1.2135,241,20,SELECT DISTINCT cp.Theme FROM concert_performance cp WHERE cp.Singer_ID = 3,1,3.5951,1810,124,3,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT DISTINCT c.Theme FROM concert c JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID WHERE sic.Singer_ID = 3;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT DISTINCT cp.Theme FROM concert_performance cp WHERE cp.Singer_ID = 3;""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_tm_08,TABLE_MERGE,Count distinct concerts for singer 5.,False,"SELECT COUNT(DISTINCT Concert_ID) 
FROM singer_in_concert 
WHERE Singer_ID = 5",0,1.3726,158,26,0,1,"SELECT COUNT(DISTINCT Concert_ID) 
FROM concert_performance 
WHERE Singer_ID = 5",1,1.0035,243,25,SELECT COUNT(DISTINCT Concert_ID) FROM concert_performance WHERE Singer_ID = 5,1,4.0922,2311,97,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT COUNT(DISTINCT Concert_ID) FROM singer_in_concert WHERE Singer_ID = 5;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(DISTINCT Concert_ID) FROM concert_performance WHERE Singer_ID = 5;""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_tm_09,TABLE_MERGE,List concert names with singer names.,False,"SELECT concert.concert_Name, singer.Name
FROM concert
JOIN singer_in_concert ON concert.Concert_ID = singer_in_concert.Concert_ID
JOIN singer ON singer_in_concert.Singer_ID = singer.Singer_ID",0,1.3199,157,51,0,1,"SELECT c.concert_Name, s.Name
FROM concert_performance cp
JOIN singer s ON cp.Singer_ID = s.Singer_ID",0,3.882,242,34,"SELECT concert_Name, Name FROM concert_performance JOIN singer ON concert_performance.Singer_ID = singer.Singer_ID",1,6.8977,4158,217,6,5,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT concert_Name, Name FROM concert JOIN singer_in_concert ON concert.Concert_ID = singer_in_concert.Concert_ID JOIN singer ON singer_in_concert.Singer_ID = singer.Singer_ID;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT concert_Name, Name FROM concert JOIN singer_in_concert ON concert.Concert_ID = singer_in_concert.Concert_ID JOIN singer ON singer_in_concert.Singer_ID = singer.Singer_ID""}, ""result"": {""verdict"": ""execution_error"", ""reason"": ""no such table: concert""}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT concert_Name, Name FROM concert_performance JOIN singer ON concert_performance.Singer_ID = singer.Singer_ID;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT concert_Name, Name FROM concert_performance JOIN singer ON concert_performance.Singer_ID = singer.Singer_ID""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_tm_10,TABLE_MERGE,Concerts held in stadium 2.,False,SELECT concert_Name FROM concert WHERE Stadium_ID = 2,0,0.9448,158,16,0,0,"SELECT concert_performance.Concert_ID, concert_performance.concert_Name, concert_performance.Theme, concert_performance.Year
FROM concert_performance
WHERE concert_performance.Stadium_ID = 2",0,1.3372,243,45,SELECT concert_Name FROM concert_performance WHERE Stadium_ID = 2,0,4.2793,1727,94,3,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT concert_Name FROM concert WHERE Stadium_ID = 2;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT concert_Name FROM concert_performance WHERE Stadium_ID = 2""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
