id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
cs_cm_01,COLUMN_MERGE,List singer names with countries merged.,SELECT Name_Country FROM singer ORDER BY Singer_ID,False,,SELECT Name || ' ' || Country FROM singer,0,SELECT Name || ' ' || Country FROM singer,0,SELECT Name_Country FROM singer,1,SELECT Name || ' ' || Country FROM singer,0,1,no such column: Name,gemini,SELECT Song_Name || ' ' || Name_Country FROM singer,ast,valid,0,0,0,1.0816,1.3144,0.7961,3.5837,4.3803,0.665373,gemini
cs_cm_02,COLUMN_MERGE,Count singers from France.,SELECT COUNT(*) FROM singer WHERE Name_Country LIKE '% - France',False,,SELECT count(*) FROM singer WHERE Country = 'France',1,SELECT count(*) FROM singer WHERE Country = 'France',0,SELECT count(*) FROM singer WHERE Name_Country = 'France',0,SELECT count(*) FROM singer WHERE Country = 'France',0,1,no such column: Country,gemini,SELECT COUNT(*) FROM singer WHERE Name_Country = 'France',ast,silent_failure_suspected,0,0,0,1.9023,1.5795,1.1879,0.9072,2.6564,0.669142,gemini
cs_cm_03,COLUMN_MERGE,Merged name for Singer_ID 1.,SELECT Name_Country FROM singer WHERE Singer_ID=1,False,,SELECT Name FROM singer WHERE Singer_ID = 1,0,SELECT Name FROM singer WHERE Singer_ID = 1,0,SELECT Name_Country FROM singer WHERE Singer_ID = 1,1,SELECT Name FROM singer WHERE Singer_ID = 1,0,1,no such column: Name,gemini,SELECT Song_Name FROM singer WHERE Singer_ID = 1,ast,valid,0,0,0,1.4482,1.3387,1.3757,4.1172,3.3232,0.5773,gemini
cs_cm_04,COLUMN_MERGE,Merged names for singers over 40.,SELECT Name_Country FROM singer WHERE Age > 40 ORDER BY Name_Country,False,,SELECT Name FROM singer WHERE Age  >  40,0,SELECT Name FROM singer WHERE Age  >  40,0,SELECT Name_Country FROM singer WHERE Age  >  40,1,SELECT Name FROM singer WHERE Age > 40,0,1,no such column: Name,gemini,SELECT Singer_ID FROM singer WHERE Age > 40,ast,valid,0,0,0,1.4372,1.483,1.2257,3.2223,3.5614,0.796022,gemini
cs_cm_05,COLUMN_MERGE,Merged name for the song 'Sun'.,SELECT Name_Country FROM singer WHERE Song_Name='Sun',False,,SELECT Name FROM singer WHERE Song_Name = 'Sun',0,SELECT Name FROM singer WHERE Song_Name = 'Sun',0,SELECT T1.Name_Country FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T2.Concert_ID = T3.Concert_ID WHERE T1.Song_Name = 'Sun',1,SELECT Name FROM singer WHERE Song_Name = 'Sun',0,1,no such column: Name,gemini,SELECT Singer_ID FROM singer WHERE Song_Name = 'Sun',ast,valid,0,0,0,1.486,1.3896,1.3904,3.0596,3.1082,0.825866,gemini
cs_cm_06,COLUMN_MERGE,Count singers with songs released since 2010.,SELECT COUNT(*) FROM singer WHERE Song_release_year >= 2010,False,,SELECT COUNT(Singer_ID) FROM singer WHERE Song_release_year >= 2010,1,SELECT count(*) FROM singer WHERE Song_release_year >= 2010,1,SELECT count(*) FROM singer WHERE Song_release_year >= 2010,1,SELECT count(*) FROM singer WHERE Song_release_year >= 2010,1,0,,gemini,SELECT COUNT(*) FROM singer WHERE Song_release_year >= 2010,ast,valid,1,0,0,1.5662,1.5794,1.196,0.0016,0.0037,1.094953,gemini
cs_cm_07,COLUMN_MERGE,List merged names and song titles.,"SELECT Name_Country, Song_Name FROM singer ORDER BY Singer_ID",False,,"SELECT Name, Song_Name FROM singer",0,"SELECT Name, Song_Name FROM singer",0,"SELECT Name_Country, Song_Name FROM singer",1,"SELECT Name, Song_Name FROM singer",0,1,no such column: Name,gemini,"SELECT Singer_ID, Song_Name FROM singer",ast,valid,0,0,0,1.5938,1.4989,1.5077,3.6916,3.5985,0.827309,gemini
cs_cm_08,COLUMN_MERGE,Merged names for male singers.,SELECT Name_Country FROM singer WHERE Is_male='T' ORDER BY Singer_ID,False,,SELECT Name FROM singer WHERE Is_male = 'T',0,SELECT Name FROM singer WHERE Is_male = 'T',0,SELECT Name_Country FROM singer WHERE Is_male = 'T',1,SELECT Name FROM singer WHERE Is_male = 'T',0,1,no such column: Name,gemini,SELECT Name_Country FROM singer WHERE Is_male = 'T',ast,valid,1,1,0,1.0299,1.9402,1.6072,3.9372,3.3522,0.901823,gemini
cs_cm_09,COLUMN_MERGE,Count singers from the United States.,SELECT COUNT(*) FROM singer WHERE Name_Country LIKE '% - United States',False,,SELECT COUNT(*) FROM singer WHERE Country = 'United States',1,SELECT count(*) FROM singer WHERE Country = 'United States',0,SELECT count(*) FROM singer WHERE Name_Country = 'United States',0,SELECT count(*) FROM singer WHERE Country = 'United states',0,1,no such column: Country,gemini,SELECT COUNT(*) FROM singer WHERE Name_Country = 'United States',ast,silent_failure_suspected,0,0,0,1.8544,1.4542,1.8816,1.0233,1.2553,1.025375,gemini
cs_cm_10,COLUMN_MERGE,Merged names for concert 1 singers.,SELECT s.Name_Country FROM singer s JOIN singer_in_concert sc ON s.Singer_ID=sc.Singer_ID WHERE sc.Concert_ID=1 ORDER BY s.Name_Country,False,,SELECT T2.Name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T1.Concert_ID = 1,0,SELECT T2.Name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T1.Concert_ID = 1,0,SELECT T2.Name_Country FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T1.Concert_ID = 1,1,SELECT T2.Name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T,0,1,no such column: T2.Name,gemini,SELECT T2.Singer_ID FROM singer_in_concert AS T1 JOIN singer AS,ast,execution_error,0,0,0,1.7891,1.3805,1.6861,3.2138,3.4482,1.357639,gemini
cs_cm_11,COLUMN_MERGE,Merged names for songs released between 2000 and 2014.,SELECT Name_Country FROM singer WHERE Song_release_year BETWEEN 2000 AND 2014 ORDER BY Singer_ID,False,,SELECT Name FROM singer WHERE Song_release_year BETWEEN 2000 AND 2014,0,SELECT Name FROM singer WHERE Song_release_year BETWEEN 2000 AND 2014,0,SELECT Song_Name FROM singer WHERE Song_release_year BETWEEN 2000 AND 2014,0,SELECT Song_Name FROM singer WHERE Song_release_year BETWEEN 2000 AND 2,0,1,no such column: Name,gemini,SELECT Singer_ID FROM singer WHERE Song_release_year BETWEEN 2000,ast,execution_error,0,0,0,1.4242,2.1021,1.4461,3.4068,3.533,1.086955,gemini
cs_cm_12,COLUMN_MERGE,Count singers aged 30 or above.,SELECT COUNT(*) FROM singer WHERE Age >= 30,False,,SELECT count(*) FROM singer WHERE Age >= 30,1,SELECT count(*) FROM singer WHERE Age >= 30,1,SELECT count(*) FROM singer WHERE Age >= 30,1,SELECT count(*) FROM singer WHERE Age >= 30,1,0,,gemini,SELECT COUNT(*) FROM singer WHERE Age >= 30,ast,valid,1,0,0,0.9178,1.2198,1.095,0.0014,0.003,0.902677,gemini
cs_cm_13,COLUMN_MERGE,List stadiums with capacity over 10000.,SELECT Name FROM stadium WHERE Capacity > 10000 ORDER BY Stadium_ID,False,,SELECT Name FROM stadium WHERE Capacity > 10000,1,SELECT Name FROM stadium WHERE Capacity > 10000,1,SELECT Name FROM stadium WHERE Capacity > 10000,1,SELECT Name FROM stadium WHERE Capacity > 10000,1,0,,gemini,SELECT Name FROM stadium WHERE Capacity > 10000,ast,valid,1,0,0,1.3619,1.4,1.1851,0.0014,0.0036,0.739271,gemini
cs_cm_14,COLUMN_MERGE,Count concerts.,SELECT COUNT(*) FROM concert,False,,SELECT count(*) FROM concert,1,SELECT count(*) FROM concert,1,SELECT count(*) FROM concert,1,SELECT count(*) FROM concert,1,0,,gemini,SELECT COUNT(*) FROM concert,ast,valid,1,0,0,0.8656,1.1387,1.2869,0.0013,0.0031,0.71442,gemini
cs_cm_15,COLUMN_MERGE,List all singer names.,,True,unanswerable_after_COLUMN_MERGE,SELECT Name FROM singer,,SELECT Name FROM singer,,SELECT Name_Country FROM singer,,SELECT Name FROM singer,,1,no such column: Name,gemini,SELECT Singer_ID FROM singer,ast,valid,,0,0,0.786,1.2019,1.0479,3.2169,3.6016,0.721202,gemini
cs_cm_16,COLUMN_MERGE,List distinct singer countries.,,True,unanswerable_after_COLUMN_MERGE,SELECT DISTINCT Country FROM singer,,SELECT DISTINCT Country FROM singer,,SELECT DISTINCT Name_Country FROM singer,,SELECT DISTINCT Country FROM singer,,1,no such column: Country,gemini,SELECT DISTINCT Name_Country FROM singer,ast,valid,,0,0,1.2627,0.84,1.3757,3.5965,0.0022,0.738584,gemini
