id,perturbation,question,expected_failure,sanity_sql,sanity_ok,sanity_latency_s,sanity_tokens_in,sanity_tokens_out,canonical_baseline_ok,canonical_mcp_ok,diff_sql,diff_ok,diff_latency_s,diff_tokens_in,diff_tokens_out,vendor_sql,vendor_ok,vendor_latency_s,vendor_tokens_in,vendor_tokens_out,vendor_n_api_calls,vendor_n_tool_calls,vendor_capped,tool_calls_json,backend
hr_tm_01,TABLE_MERGE,List department names with cities.,False,"SELECT d.department_name, l.city
FROM departments d
JOIN locations l ON d.location_id = l.location_id",0,1.0567,249,28,0,1,"SELECT department_name, city
FROM department_location",1,0.9382,330,14,"SELECT department_name, city FROM department_location",1,8.7452,2954,75,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT department_name, city FROM departments JOIN locations ON departments.location_id = locations.location_id;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT department_name, city FROM department_location;""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
hr_tm_02,TABLE_MERGE,Count departments per country.,False,"SELECT c.country_name, COUNT(DISTINCT d.department_id) AS department_count
FROM countries c
JOIN locations l ON c.country_id = l.country_id
JOIN departments d ON l.location_id = d.location_id
GROUP BY c.country_name",0,1.076,248,55,0,0,"SELECT c.country_name, COUNT(dl.department_id) AS department_count
FROM department_location dl
JOIN countries c ON dl.country_id = c.country_id
GROUP BY c.country_name",0,1.1743,329,41,"SELECT c.country_name, COUNT(dl.department_id) AS department_count FROM department_location AS dl JOIN countries AS c ON dl.country_id = c.country_id GROUP BY c.country_name",0,4.4366,3087,155,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT c.country_name, COUNT(d.department_id) AS department_count FROM departments d JOIN locations l ON d.location_id = l.location_id JOIN countries c ON l.country_id = c.country_id GROUP BY c.country_name;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT c.country_name, COUNT(dl.department_id) AS department_count FROM department_location AS dl JOIN countries AS c ON dl.country_id = c.country_id GROUP BY c.country_name;""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
hr_tm_03,TABLE_MERGE,Street address for department 10.,False,"SELECT l.street_address 
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE d.department_id = 10",0,1.0021,250,33,0,1,"SELECT street_address 
FROM department_location 
WHERE department_id = 10",1,0.9249,331,19,SELECT street_address FROM department_location WHERE department_id = 10,1,4.1152,3205,129,4,4,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT street_address FROM locations WHERE location_id = (SELECT location_id FROM departments WHERE department_id = 10);""}, ""result"": {""method"": ""ast""}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT street_address FROM department_location WHERE department_id = 10;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT street_address FROM department_location WHERE department_id = 10""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
hr_tm_04,TABLE_MERGE,Departments in City1.,False,"SELECT d.department_id, d.department_name
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.city = 'City1'",0,1.1446,248,37,0,1,"SELECT department_name 
FROM department_location 
WHERE city = 'City1'",1,0.92,329,19,SELECT department_name FROM department_location WHERE city = 'City1',1,3.1543,2251,107,3,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT department_name FROM departments d JOIN locations l ON d.location_id = l.location_id WHERE l.city = 'City1'""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT department_name FROM department_location WHERE city = 'City1'""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
hr_tm_05,TABLE_MERGE,Department names with postal codes.,False,"SELECT d.department_name, l.postal_code
FROM departments d
JOIN locations l ON d.location_id = l.location_id",0,0.7912,249,30,0,1,"SELECT department_name, postal_code
FROM department_location",1,1.1035,330,15,"SELECT department_name, postal_code FROM department_location",1,4.0402,3168,117,4,4,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT department_name, postal_code FROM departments JOIN locations ON departments.location_id = locations.location_id;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT department_name, postal_code FROM department_location;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT department_name, postal_code FROM department_location""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
hr_tm_06,TABLE_MERGE,Count departments in State1.,False,"SELECT COUNT(*) 
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.state_province = 'State1'",0,1.0987,249,34,0,1,"SELECT COUNT(*) 
FROM department_location 
WHERE state_province = 'State1'",1,1.0673,330,21,SELECT COUNT(*) FROM department_location WHERE state_province = 'State1',1,4.4425,3304,156,4,4,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM departments d JOIN locations l ON d.location_id = l.location_id WHERE l.state_province = 'State1'""}, ""result"": {""method"": ""ast""}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM departments AS d JOIN locations AS l ON d.location_id = l.location_id WHERE l.state_province = 'State1'""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM department_location WHERE state_province = 'State1'""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
hr_tm_07,TABLE_MERGE,List location IDs with department names.,False,"SELECT locations.location_id, departments.department_name
FROM locations
JOIN departments ON locations.location_id = departments.location_id",0,0.8843,250,27,0,1,"SELECT location_id, department_name FROM department_location",1,1.4858,331,14,"SELECT location_id, department_name FROM department_location",1,4.4143,2923,68,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT location_id, department_name FROM departments;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT location_id, department_name FROM department_location;""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
hr_tm_08,TABLE_MERGE,Departments in country C01.,False,"SELECT d.department_id, d.department_name
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.country_id = 'C01'",0,0.9985,249,38,0,0,"SELECT d.department_id, d.department_name, d.manager_id
FROM department_location d
JOIN countries c ON d.country_id = c.country_id
WHERE c.country_id = 'C01'",0,1.1081,330,43,SELECT d.department_name FROM department_location AS d WHERE d.country_id = 'C01',1,4.9647,3261,150,4,4,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT d.department_name FROM departments d JOIN locations l ON d.location_id = l.location_id WHERE l.country_id = 'C01'""}, ""result"": {""method"": ""ast""}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT d.department_name FROM department_location d WHERE d.country_id = 'C01'""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT d.department_name FROM department_location AS d WHERE d.country_id = 'C01'""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
hr_tm_09,TABLE_MERGE,Count distinct cities with departments.,False,"SELECT COUNT(DISTINCT city) 
FROM locations 
JOIN departments ON locations.location_id = departments.location_id",0,0.9941,249,26,0,1,SELECT COUNT(DISTINCT city) FROM department_location,1,6.1229,330,15,SELECT COUNT(DISTINCT city) FROM department_location,1,4.9779,3179,121,4,4,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT COUNT(DISTINCT city) FROM locations JOIN departments ON locations.location_id = departments.location_id;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT COUNT(DISTINCT city) FROM department_location;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(DISTINCT city) FROM department_location""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
hr_tm_10,TABLE_MERGE,List department names with manager IDs.,False,"SELECT department_name, manager_id FROM departments",0,0.9035,250,13,0,1,"SELECT department_name, manager_id FROM department_location",1,1.0901,331,14,"SELECT department_name, manager_id FROM department_location",1,4.2731,2923,68,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT department_name, manager_id FROM departments;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT department_name, manager_id FROM department_location;""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
