id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
cs_cr_01,COLUMN_RENAME,List song titles.,SELECT song_title FROM singer ORDER BY Singer_ID,False,,SELECT Song_Name FROM singer,1,SELECT Song_Name FROM singer,0,SELECT song_title FROM singer,1,SELECT Song_Name FROM singer,0,1,no such column: Song_Name,gemini,SELECT song_title FROM singer,ast,valid,1,1,0,1.3053,1.2215,0.8816,3.8074,0.0027,0.673167,gemini
cs_cr_02,COLUMN_RENAME,Count songs released after 2010.,SELECT COUNT(*) FROM singer WHERE debut_year > 2010,False,,SELECT count(*) FROM singer WHERE Song_release_year > 2010,1,SELECT count(*) FROM singer WHERE Song_release_year > 2010,0,SELECT count(song_title) FROM singer WHERE debut_year > 2010,1,SELECT count(*) FROM singer WHERE Song_release_year > 2010,0,1,no such column: Song_release_year,gemini,SELECT COUNT(*) FROM singer WHERE debut_year > 2010,ast,silent_failure_suspected,1,1,0,0.9748,1.1219,1.6537,3.443,3.0016,0.964946,gemini
cs_cr_03,COLUMN_RENAME,List singer names with song titles.,"SELECT Name, song_title FROM singer ORDER BY Singer_ID",False,,"SELECT Name ,  Song_Name FROM singer",1,"SELECT Name ,  Song_Name FROM singer",0,"SELECT Name ,  song_title FROM singer",1,"SELECT Name, Song_Name FROM singer",0,1,no such column: Song_Name,gemini,"SELECT Name, song_title FROM singer",ast,valid,1,1,0,0.9142,1.3912,0.8759,1.1984,0.0033,0.79707,gemini
cs_cr_04,COLUMN_RENAME,Singer for the song 'Sun'.,SELECT Name FROM singer WHERE song_title='Sun',False,,SELECT Name FROM singer WHERE Song_Name = 'Sun',1,SELECT Name FROM singer WHERE Song_Name = 'Sun',0,SELECT Name FROM singer WHERE song_title = 'Sun',1,SELECT Name FROM singer WHERE Song_Name = 'Sun',0,1,no such column: Song_Name,gemini,SELECT Name FROM singer WHERE song_title = 'Sun',ast,valid,1,1,0,1.5815,1.4679,1.5829,5.0685,0.0031,0.828754,gemini
cs_cr_05,COLUMN_RENAME,Average debut year.,SELECT AVG(debut_year) FROM singer,False,,SELECT AVG(Song_release_year) FROM singer,1,SELECT AVG(Song_release_year) FROM singer,0,SELECT avg(debut_year) FROM singer,1,SELECT AVG(Song_release_year) FROM singer,0,1,no such column: Song_release_year,gemini,SELECT AVG(debut_year) FROM singer,ast,valid,1,1,0,1.388,1.181,1.473,1.301,0.0052,1.26109,gemini
cs_cr_06,COLUMN_RENAME,List singer IDs and debut years.,"SELECT Singer_ID, debut_year FROM singer ORDER BY Singer_ID",False,,"SELECT Singer_ID, Song_release_year FROM singer",1,"SELECT Singer_ID, Song_release_year FROM singer",0,"SELECT Singer_ID, Debut_Year FROM singer",1,"SELECT Singer_ID, Song_release_year FROM singer",0,1,no such column: Song_release_year,gemini,"SELECT Singer_ID, debut_year FROM singer",ast,valid,1,1,0,1.0669,1.0275,1.2147,3.6898,0.0066,1.597264,gemini
cs_cr_07,COLUMN_RENAME,Songs released between 2000 and 2014.,SELECT song_title FROM singer WHERE debut_year BETWEEN 2000 AND 2014 ORDER BY song_title,False,,SELECT Song_Name FROM singer WHERE Song_release_year BETWEEN 2000 AND 2014,1,SELECT Song_Name FROM singer WHERE Song_release_year BETWEEN 2000 AND 2014,0,SELECT song_title FROM singer WHERE debut_year BETWEEN 2000 AND 2014,1,SELECT Song_Name FROM singer WHERE Song_release_year BETWEEN 2000 AND,0,1,no such column: Song_Name,gemini,SELECT song_title FROM singer WHERE debut_year BETWEEN 2000 AND 2014,ast,valid,1,1,0,1.7669,1.0914,1.1673,3.1911,0.0037,1.036597,gemini
cs_cr_08,COLUMN_RENAME,Singers with songs released in 2014.,SELECT Name FROM singer WHERE debut_year=2014,False,,SELECT Name FROM singer WHERE Song_release_year = 2014,1,SELECT Name FROM singer WHERE Song_release_year = 2014,0,SELECT Name FROM singer WHERE debut_year = 2014,1,SELECT Name FROM singer WHERE Song_release_year = 2014,0,1,no such column: Song_release_year,gemini,SELECT Name FROM singer WHERE debut_year = 2014,ast,valid,1,1,0,1.2801,1.4479,1.0227,3.8054,0.0051,1.298346,gemini
cs_cr_09,COLUMN_RENAME,Count distinct song titles.,SELECT COUNT(DISTINCT song_title) FROM singer,False,,SELECT COUNT(DISTINCT Song_Name) FROM singer,1,SELECT COUNT(DISTINCT Song_Name) FROM singer,0,SELECT count(DISTINCT song_title) FROM singer,1,SELECT COUNT(DISTINCT Song_Name) FROM singer,0,1,no such column: Song_Name,gemini,SELECT COUNT(DISTINCT song_title) FROM singer,ast,silent_failure_suspected,1,1,0,1.5861,1.4668,1.2472,3.5683,1.3498,1.359,gemini
cs_cr_10,COLUMN_RENAME,Song titles by French singers.,SELECT song_title FROM singer WHERE Country='France' ORDER BY song_title,False,,SELECT Song_Name FROM singer WHERE Country = 'France',1,SELECT Song_Name FROM singer WHERE Country = 'France',0,SELECT song_title FROM singer WHERE Country = 'France',1,SELECT Song_Name FROM singer WHERE Country = 'France',0,1,no such column: Song_Name,gemini,SELECT song_title FROM singer WHERE Country = 'France',ast,valid,1,1,0,1.0575,0.9984,1.4904,4.0095,0.0028,0.781728,gemini
cs_cr_11,COLUMN_RENAME,List song titles and countries.,"SELECT song_title, Country FROM singer ORDER BY Singer_ID",False,,"SELECT Song_Name, Country FROM singer",1,"SELECT Song_Name, Country FROM singer",0,"SELECT song_title ,  Country FROM singer",1,"SELECT Song_Name, Country FROM singer",0,1,no such column: Song_Name,gemini,"SELECT song_title, Country FROM singer",ast,valid,1,1,0,1.2833,1.4633,1.2121,3.2079,0.0038,1.058876,gemini
cs_cr_12,COLUMN_RENAME,Song titles ordered by debut year.,SELECT song_title FROM singer ORDER BY debut_year DESC,False,,SELECT Song_Name FROM singer ORDER BY Song_release_year,1,SELECT Song_Name FROM singer ORDER BY Song_release_year,0,SELECT song_title FROM singer ORDER BY debut_year,1,SELECT Song_Name FROM singer ORDER BY Song_release_year,0,1,no such column: Song_Name,gemini,SELECT song_title FROM singer ORDER BY debut_year,ast,valid,1,1,0,1.3121,1.3593,1.2275,3.6008,0.0041,0.993186,gemini
cs_cr_13,COLUMN_RENAME,Song titles for concert 1 singers.,SELECT s.song_title FROM singer s JOIN singer_in_concert sc ON s.Singer_ID=sc.Singer_ID WHERE sc.Concert_ID=1 ORDER BY s.song_title,False,,SELECT T2.Song_Name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T1.Concert_ID = 1,1,SELECT T2.Song_Name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T1.Concert_ID = 1,0,SELECT T2.song_title FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T1.Concert_ID = 1,1,SELECT T2.Song_Name FROM singer_in_concert AS T1 JOIN singer AS T,0,1,no such column: T2.Song_Name,gemini,SELECT T2.song_title FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T1.Concert_ID = 1,ast,valid,1,1,0,1.8556,2.1912,1.7741,2.9481,0.0043,1.410839,gemini
