id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
cs_tm_01,TABLE_MERGE,List concert names with singer IDs.,"SELECT concert_Name, Singer_ID FROM concert_performance ORDER BY Concert_ID, Singer_ID",False,,"SELECT concert.concert_Name, singer_in_concert.Singer_ID
FROM concert
JOIN singer_in_concert ON concert.Concert_ID = singer_in_concert.Concert_ID",1,"SELECT concert.concert_Name, singer_in_concert.Singer_ID
FROM concert
JOIN singer_in_concert ON concert.Concert_ID = singer_in_concert.Concert_ID",0,"SELECT concert_Name, Singer_ID FROM concert_performance",1,"SELECT concert.concert_Name, singer_in_concert.Singer_ID
FROM concert
JOIN singer_in_concert ON concert.Concert_ID = singer_in_concert.Concert_ID",0,1,no such table: concert,openai_compat,"SELECT concert_performance.concert_Name, concert_performance.Singer_ID FROM concert_performance",ast,valid,1,1,0,0.9821,1.0091,0.5944,0.9349,1.0134,0.874813,openai_compat
cs_tm_02,TABLE_MERGE,Count singers per concert.,"SELECT Concert_ID, COUNT(*) AS singer_count FROM concert_performance GROUP BY Concert_ID ORDER BY Concert_ID",False,,"SELECT c.concert_Name, COUNT(sic.Singer_ID) AS singer_count
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
GROUP BY c.Concert_ID",0,"SELECT c.concert_Name, COUNT(sic.Singer_ID) AS singer_count
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
GROUP BY c.Concert_ID",0,"SELECT cp.Concert_ID, cp.concert_Name, COUNT(DISTINCT cp.Singer_ID) AS Singer_Count
FROM concert_performance cp
GROUP BY cp.Concert_ID, cp.concert_Name",0,"SELECT c.concert_Name, COUNT(sic.Singer_ID) AS singer_count
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
GROUP BY c.Concert_ID",0,1,no such table: concert,openai_compat,"SELECT cp.concert_Name, COUNT(cp.Singer_ID) AS singer_count 
FROM concert_performance AS cp 
GROUP BY cp.Concert_ID",ast,valid,0,0,0,1.2939,0.9609,1.086,0.9949,1.0511,1.087205,openai_compat
cs_tm_03,TABLE_MERGE,Concerts in 2015 with singer IDs.,"SELECT Concert_ID, Singer_ID FROM concert_performance WHERE Year=2015 ORDER BY Singer_ID",False,,"SELECT c.Concert_ID, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
WHERE c.Year = 2015",1,"SELECT c.Concert_ID, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
WHERE c.Year = 2015",0,"SELECT Concert_ID, Singer_ID FROM concert_performance WHERE Year = 2015",1,"SELECT c.Concert_ID, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
WHERE c.Year = 2015",0,1,no such table: concert,openai_compat,"SELECT cp.Concert_ID, cp.Singer_ID 
FROM concert_performance AS cp 
WHERE cp.Year = 2015",ast,valid,1,1,0,0.9967,1.6541,0.7778,0.9249,1.5748,0.949346,openai_compat
cs_tm_04,TABLE_MERGE,Themes with singer counts.,"SELECT Theme, COUNT(*) FROM concert_performance GROUP BY Theme ORDER BY Theme",False,,"SELECT c.Theme, COUNT(sic.Singer_ID) AS Singer_Count
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
GROUP BY c.Theme",1,"SELECT c.Theme, COUNT(sic.Singer_ID) AS Singer_Count
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
GROUP BY c.Theme",0,"SELECT cp.Theme, COUNT(DISTINCT cp.Singer_ID) AS Singer_Count
FROM concert_performance cp
GROUP BY cp.Theme",1,"SELECT c.Theme, COUNT(sic.Singer_ID) AS Singer_Count
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
GROUP BY c.Theme",0,1,no such table: concert,openai_compat,"SELECT cp.Theme, COUNT(cp.Singer_ID) AS Singer_Count 
FROM concert_performance AS cp 
GROUP BY cp.Theme",ast,valid,1,1,0,1.1357,1.0611,0.8401,0.8988,0.8527,8.93296,openai_compat
cs_tm_05,TABLE_MERGE,Distinct concert names.,SELECT DISTINCT concert_Name FROM concert_performance ORDER BY concert_Name,False,,SELECT DISTINCT concert_Name FROM concert,1,SELECT DISTINCT concert_Name FROM concert,0,SELECT DISTINCT concert_Name FROM concert_performance,1,SELECT DISTINCT concert_Name FROM Concert,0,1,no such table: concert,openai_compat,SELECT DISTINCT concert_Name FROM concert_performance,ast,valid,1,1,0,0.7316,0.8544,0.8078,0.8384,0.7417,0.40601,openai_compat
cs_tm_06,TABLE_MERGE,Singer names in concert 2.,SELECT s.Name FROM singer s JOIN concert_performance cp ON s.Singer_ID=cp.Singer_ID WHERE cp.Concert_ID=2 ORDER BY s.Name,False,,"SELECT s.Name 
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
WHERE sic.Concert_ID = 2",1,"SELECT s.Name 
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
WHERE sic.Concert_ID = 2",0,"SELECT s.Name 
FROM singer s
JOIN concert_performance cp ON s.Singer_ID = cp.Singer_ID
WHERE cp.Concert_ID = 2",1,"SELECT s.Name 
FROM singer s
JOIN Singer_in_Concert sic ON s.Singer_ID = sic.Singer_ID
WHERE sic.Concert_ID = 2",0,1,no such table: singer_in_concert,openai_compat,"SELECT s.Name 
FROM singer AS s 
JOIN concert_performance AS cp ON s.Singer_ID = cp.Singer_ID 
WHERE cp.Concert_ID = 2",ast,valid,1,1,0,0.8878,1.067,0.8699,1.0252,0.9921,9.63912,openai_compat
cs_tm_07,TABLE_MERGE,Themes for singer 3.,SELECT Theme FROM concert_performance WHERE Singer_ID=3 ORDER BY Theme,False,,"SELECT DISTINCT c.Theme
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
WHERE sic.Singer_ID = 3",1,"SELECT DISTINCT c.Theme
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
WHERE sic.Singer_ID = 3",0,"SELECT DISTINCT cp.Theme
FROM concert_performance cp
WHERE cp.Singer_ID = 3",1,"SELECT DISTINCT c.Theme
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
WHERE sic.Singer_ID = 3",0,1,no such table: concert,openai_compat,SELECT DISTINCT cp.Theme FROM concert_performance AS cp WHERE cp.Singer_ID = 3,ast,valid,1,1,0,0.8461,5.7267,0.9911,1.1098,1.1577,1.028124,openai_compat
cs_tm_08,TABLE_MERGE,Count distinct concerts for singer 5.,SELECT COUNT(DISTINCT Concert_ID) FROM concert_performance WHERE Singer_ID=5,False,,"SELECT COUNT(DISTINCT Concert_ID) 
FROM singer_in_concert 
WHERE Singer_ID = 5",1,SELECT COUNT(DISTINCT Concert_ID) FROM singer_in_concert WHERE Singer_ID = 5,0,SELECT COUNT(DISTINCT Concert_ID) FROM concert_performance WHERE Singer_ID = 5,1,SELECT COUNT(DISTINCT Concert_ID) FROM singer_in_concert WHERE Singer_ID = 5,0,1,no such table: singer_in_concert,openai_compat,SELECT COUNT(DISTINCT Concert_ID) FROM concert_performance WHERE Singer_ID = 5,ast,valid,1,1,0,0.8697,0.7048,0.7246,1.1253,0.9396,0.761859,openai_compat
cs_tm_09,TABLE_MERGE,List concert names with singer names.,"SELECT cp.concert_Name, s.Name FROM concert_performance cp JOIN singer s ON s.Singer_ID=cp.Singer_ID ORDER BY cp.Concert_ID, s.Name",False,,"SELECT concert.concert_Name, singer.Name
FROM concert
JOIN singer_in_concert ON concert.Concert_ID = singer_in_concert.Concert_ID
JOIN singer ON singer_in_concert.Singer_ID = singer.Singer_ID",1,"SELECT concert.concert_Name, singer.Name
FROM concert
JOIN singer_in_concert ON concert.Concert_ID = singer_in_concert.Concert_ID
JOIN singer ON singer_in_concert.Singer_ID = singer.Singer_ID",0,"SELECT cp.concert_Name, s.Name 
FROM concert_performance cp
JOIN singer s ON cp.Singer_ID = s.Singer_ID",1,"SELECT concert.concert_Name, singer.Name
FROM concert
JOIN singer_in_concert ON concert.Concert_ID = singer_in_concert.Concert_ID
JOIN singer ON singer_in_concert.Singer_ID = singer.Singer_ID",0,1,no such table: concert,openai_compat,"SELECT concert_performance.concert_Name, singer.Name 
FROM concert_performance 
JOIN singer ON concert_performance.Singer_ID = singer.Singer_ID",ast,valid,1,1,0,6.5442,1.0661,0.9951,1.027,0.8548,1.090832,openai_compat
cs_tm_10,TABLE_MERGE,Concerts held in stadium 2.,SELECT Concert_ID FROM concert_performance WHERE Stadium_ID=2 ORDER BY Concert_ID,False,,SELECT concert_Name FROM concert WHERE Stadium_ID = 2,0,"SELECT concert_Name 
FROM concert 
WHERE Stadium_ID = 2",0,SELECT concert_Name FROM concert_performance WHERE Stadium_ID = 2,0,"SELECT concert_Name 
FROM Concert 
WHERE Stadium_ID = 2",0,1,no such table: concert,openai_compat,SELECT concert_Name FROM concert_performance WHERE Stadium_ID = 2,ast,silent_failure_suspected,0,0,0,0.8651,0.6784,1.0007,0.8118,0.7904,0.501961,openai_compat
