id,perturbation,expected_failure,seed,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
hr_ts_01,TABLE_SPLIT,False,0,"SELECT first_name, last_name FROM employees",1,"SELECT first_name, last_name FROM employees",0,"SELECT first_name, last_name FROM employee_personal",1,"SELECT first_name, last_name FROM employees",0,1,no such table: employees,anthropic,"SELECT first_name, last_name FROM employee_personal",ast,valid,1,1.3037,0.9111,1.0128,0.9005,1.0628,0.616041,anthropic
hr_ts_01,TABLE_SPLIT,False,1,"SELECT first_name, last_name FROM employees",1,"SELECT first_name, last_name FROM employees",0,"SELECT first_name, last_name FROM employee_personal",1,"SELECT first_name, last_name FROM employees",0,1,no such table: employees,anthropic,"SELECT first_name, last_name FROM employee_personal",ast,valid,1,1.198,1.0304,0.948,1.8534,0.9537,1.022459,anthropic
hr_ts_01,TABLE_SPLIT,False,2,"SELECT first_name, last_name FROM employees",1,"SELECT first_name, last_name FROM employees",0,"SELECT first_name, last_name FROM employee_personal",1,"SELECT first_name, last_name FROM employees",0,1,no such table: employees,anthropic,"SELECT first_name, last_name FROM employee_personal",ast,valid,1,1.1914,0.8542,1.0278,0.8713,1.3524,0.753625,anthropic
hr_ts_01,TABLE_SPLIT,False,3,"SELECT first_name, last_name FROM employees",1,"SELECT first_name, last_name FROM employees",0,"SELECT first_name, last_name FROM employee_personal",1,"SELECT first_name, last_name FROM employees",0,1,no such table: employees,anthropic,"SELECT first_name, last_name FROM employee_personal",ast,valid,1,0.8823,1.0122,1.0655,1.1971,1.2501,0.7045,anthropic
hr_ts_01,TABLE_SPLIT,False,4,"SELECT first_name, last_name FROM employees",1,"SELECT first_name, last_name FROM employees",0,"SELECT first_name, last_name FROM employee_personal",1,"SELECT first_name, last_name FROM employees",0,1,no such table: employees,anthropic,"SELECT first_name, last_name FROM employee_personal",ast,valid,1,2.0037,0.8746,0.9487,1.0757,1.8838,0.815583,anthropic
hr_ts_02,TABLE_SPLIT,False,0,SELECT COUNT(*) FROM employees,1,SELECT COUNT(*) FROM employees,0,SELECT COUNT(*) FROM employee_personal,1,SELECT COUNT(*) FROM employees,0,1,no such table: employees,anthropic,SELECT COUNT(*) FROM employee_job,ast,valid,1,0.9238,0.8394,2.5555,0.9765,1.4987,0.85825,anthropic
hr_ts_02,TABLE_SPLIT,False,1,SELECT COUNT(*) FROM employees,1,SELECT COUNT(*) FROM employees,0,SELECT COUNT(*) FROM employee_personal,1,SELECT COUNT(*) FROM employees,0,1,no such table: employees,anthropic,SELECT COUNT(*) FROM employee_job,ast,valid,1,0.8679,1.0797,1.197,0.9391,1.289,0.80025,anthropic
hr_ts_02,TABLE_SPLIT,False,2,SELECT COUNT(*) FROM employees,1,SELECT COUNT(*) FROM employees,0,SELECT COUNT(*) FROM employee_personal,1,SELECT COUNT(*) FROM employees,0,1,no such table: employees,anthropic,SELECT COUNT(*) FROM employee_job,ast,valid,1,0.8905,0.8409,0.9825,1.4836,0.9038,0.814167,anthropic
hr_ts_02,TABLE_SPLIT,False,3,SELECT COUNT(*) FROM employees,1,SELECT COUNT(*) FROM employees,0,SELECT COUNT(*) FROM employee_personal,1,SELECT COUNT(*) FROM employees,0,1,no such table: employees,anthropic,SELECT COUNT(*) FROM employee_job,ast,valid,1,0.8042,1.297,0.9399,1.4888,1.2158,0.782,anthropic
hr_ts_02,TABLE_SPLIT,False,4,SELECT COUNT(*) FROM employees,1,SELECT COUNT(*) FROM employees,0,SELECT COUNT(*) FROM employee_personal,1,SELECT COUNT(*) FROM employees,0,1,no such table: employees,anthropic,SELECT COUNT(*) FROM employee_job,ast,valid,1,3.4053,1.1508,2.5743,0.9238,1.0853,0.800417,anthropic
hr_ts_03,TABLE_SPLIT,False,0,"SELECT employee_id, first_name, last_name, salary
FROM employees
WHERE salary > 7000
ORDER BY salary DESC",0,"SELECT employee_id, first_name, last_name, salary
FROM employees
WHERE salary > 7000
ORDER BY salary DESC",0,"SELECT ep.employee_id, ep.first_name, ep.last_name, ej.salary
FROM employee_personal ep
JOIN employee_job ej ON ep.employee_id = ej.employee_id
WHERE ej.salary > 7000",0,"SELECT employee_id, first_name, last_name, salary
FROM employees
WHERE salary > 7000
ORDER BY salary DESC",0,1,no such table: employees,anthropic,"SELECT ep.employee_id, ep.first_name, ep.last_name, ej.salary 
FROM employee_personal ep
JOIN employee_job ej ON ep.employee_id = ej.employee_id
WHERE ej.salary > 7000 
ORDER BY ej.salary DESC",ast,silent_failure_suspected,0,1.6588,1.4986,1.5573,1.1436,1.3439,1.206166,anthropic
