id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
cs_ts_01,TABLE_SPLIT,List all singer names.,SELECT Name FROM singer_info ORDER BY Singer_ID,False,,SELECT Name FROM singer,1,SELECT Name FROM singer,0,SELECT DISTINCT Name FROM singer_info,1,SELECT Name FROM singer,0,1,no such table: singer,anthropic,SELECT Name FROM singer_info,ast,valid,1,1,0,0.9727,1.0293,0.8589,1.0818,0.9328,0.645291,anthropic
cs_ts_02,TABLE_SPLIT,Count singers from France.,SELECT COUNT(*) FROM singer_info WHERE Country='France',False,,SELECT COUNT(*) FROM singer WHERE Country = 'France',1,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,SELECT COUNT(DISTINCT Singer_ID) FROM singer_info WHERE Country = 'France',1,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,1,no such table: singer,anthropic,SELECT COUNT(*) FROM singer_info WHERE Country = 'France',ast,valid,1,1,0,0.9099,0.8326,2.2352,0.9305,0.9497,0.845875,anthropic
cs_ts_03,TABLE_SPLIT,Find the song name for Singer_ID 1.,SELECT Song_Name FROM singer_songs WHERE Singer_ID=1,False,,SELECT Song_Name FROM singer WHERE Singer_ID = 1,1,SELECT Song_Name FROM singer WHERE Singer_ID = 1,0,SELECT Song_Name FROM singer_songs WHERE Singer_ID = 1,1,SELECT Song_Name FROM singer WHERE Singer_ID = 1,0,1,no such table: singer,anthropic,SELECT Song_Name FROM singer_songs WHERE Singer_ID = 1,ast,valid,1,1,0,1.0931,1.2249,0.8585,2.0379,1.0318,0.669209,anthropic
cs_ts_04,TABLE_SPLIT,List singer names and countries alphabetically.,"SELECT Name, Country FROM singer_info ORDER BY Name",False,,"SELECT Name, Country FROM singer ORDER BY Name, Country",1,"SELECT Name, Country FROM singer ORDER BY Name, Country",0,"SELECT Name, Country FROM singer_info ORDER BY Name, Country",1,"SELECT Name, Country FROM singer ORDER BY Name, Country",0,1,no such table: singer,anthropic,"SELECT Name, Country FROM singer_info ORDER BY Name, Country",ast,valid,1,1,0,0.8911,0.8193,0.8072,0.7411,0.8591,0.838042,anthropic
cs_ts_05,TABLE_SPLIT,List singer names with age over 40.,SELECT Name FROM singer_info WHERE Age > 40 ORDER BY Name,False,,SELECT Name FROM singer WHERE Age > 40,1,SELECT Name FROM singer WHERE Age > 40,0,"SELECT DISTINCT Name
FROM singer_info
WHERE Age > 40",1,SELECT Name FROM singer WHERE Age > 40,0,1,no such table: singer,anthropic,SELECT Name FROM singer_info WHERE Age > 40,ast,valid,1,1,0,1.2815,0.9188,1.3192,1.0251,0.7575,0.676,anthropic
cs_ts_06,TABLE_SPLIT,List song release years since 2010.,SELECT Song_release_year FROM singer_songs WHERE Song_release_year >= 2010 ORDER BY Song_release_year,False,,"SELECT DISTINCT Song_release_year
FROM singer
WHERE Song_release_year >= 2010
ORDER BY Song_release_year",1,"SELECT DISTINCT Song_release_year
FROM singer
WHERE Song_release_year >= 2010
ORDER BY Song_release_year",0,"SELECT DISTINCT Song_release_year
FROM singer_songs
WHERE Song_release_year >= 2010
ORDER BY Song_release_year",1,"SELECT DISTINCT Song_release_year
FROM singer
WHERE Song_release_year >= 2010
ORDER BY Song_release_year",0,1,no such table: singer,anthropic,SELECT DISTINCT Song_release_year FROM singer_songs WHERE Song_release_year >= 2010 ORDER BY Song_release_year,ast,valid,1,1,0,1.0954,1.2596,1.8121,1.9538,1.0504,0.697208,anthropic
cs_ts_07,TABLE_SPLIT,List singer names with their song titles.,"SELECT i.Name, s.Song_Name FROM singer_info i JOIN singer_songs s ON i.Singer_ID=s.Singer_ID ORDER BY i.Singer_ID",False,,"SELECT singer.Name, singer.Song_Name
FROM singer",1,"SELECT singer.Name, singer.Song_Name
FROM singer",0,"SELECT si.Name, ss.Song_Name
FROM singer_info si
LEFT JOIN singer_songs ss ON si.Singer_ID = ss.Singer_ID
ORDER BY si.Name, ss.Song_Name",1,"SELECT Name, Song_Name
FROM singer",0,1,no such table: singer,anthropic,"SELECT singer_info.Name, singer_songs.Song_Name 
FROM singer_info 
JOIN singer_songs ON singer_info.Singer_ID = singer_songs.Singer_ID",ast,valid,1,1,0,0.8157,0.85,1.2205,0.8,0.9192,0.65875,anthropic
cs_ts_08,TABLE_SPLIT,Which singer performs the song 'Sun'?,SELECT i.Name FROM singer_info i JOIN singer_songs s ON i.Singer_ID=s.Singer_ID WHERE s.Song_Name='Sun',False,,"SELECT s.Name
FROM singer s
WHERE s.Song_Name = 'Sun'",1,"SELECT DISTINCT s.Name
FROM singer s
WHERE s.Song_Name = 'Sun'",0,"SELECT DISTINCT si.Name
FROM singer_info si
JOIN singer_songs ss ON si.Singer_ID = ss.Singer_ID
WHERE ss.Song_Name = 'Sun'",1,"SELECT DISTINCT s.Name
FROM singer s
WHERE s.Song_Name = 'Sun'",0,1,no such table: singer,anthropic,"SELECT DISTINCT si.Name 
FROM singer_info AS si 
JOIN singer_songs AS ss ON si.Singer_ID = ss.Singer_ID 
WHERE ss.Song_Name = 'Sun'",ast,valid,1,1,0,1.0753,0.9433,1.3293,0.7647,1.0074,0.811833,anthropic
cs_ts_09,TABLE_SPLIT,Count male singers.,SELECT COUNT(*) FROM singer_info WHERE Is_male='T',False,,SELECT COUNT(*) FROM singer WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'yes' OR Is_male = 'Yes' OR Is_male = 'Y',0,SELECT COUNT(*) FROM singer WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'yes' OR Is_male = 'Yes' OR Is_male = 'Y',0,SELECT COUNT(DISTINCT Singer_ID) FROM singer_info WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'yes' OR Is_male = 'Yes' OR Is_male = 'Y',0,SELECT COUNT(*) FROM singer WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'yes' OR Is_male = 'Yes' OR Is_male = 'Y',0,1,no such table: singer,anthropic,SELECT COUNT(*) FROM singer_info WHERE Is_male LIKE '%true%' OR Is_male LIKE '%True%' OR Is_male LIKE '%yes%' OR Is_male LIKE '%Yes%' OR Is_male LIKE '%Y%',ast,silent_failure_suspected,0,0,0,1.8995,1.0742,1.5005,0.9222,3.3167,1.233458,anthropic
cs_ts_10,TABLE_SPLIT,Singers with songs released in 2014 or later.,SELECT i.Name FROM singer_info i JOIN singer_songs s ON i.Singer_ID=s.Singer_ID WHERE s.Song_release_year >= 2014 ORDER BY i.Name,False,,"SELECT DISTINCT s.Singer_ID, s.Name, s.Country, s.Song_Name, s.Song_release_year
FROM singer s
WHERE s.Song_release_year >= 2014",0,"SELECT DISTINCT s.Singer_ID, s.Name, s.Country, s.Song_Name, s.Song_release_year
FROM singer s
WHERE s.Song_release_year >= 2014",0,"SELECT DISTINCT si.Singer_ID, si.Name
FROM singer_info si
WHERE si.Singer_ID IN (
  SELECT Singer_ID
  FROM singer_songs
  WHERE Song_release_year >= 2014
)
ORDER BY si.Singer_ID",0,"SELECT DISTINCT s.Singer_ID, s.Name, s.Country, s.Song_Name, s.Song_release_year
FROM singer s
WHERE s.Song_release_year >= 2014",0,1,no such table: singer,anthropic,"SELECT DISTINCT si.Singer_ID, si.Name, si.Country, ss.Song_Name, ss.Song_release_year 
FROM singer_info AS si 
JOIN singer_songs AS ss ON si.Singer_ID = ss.Singer_ID 
WHERE ss.Song_release_year >= 2014",ast,valid,0,0,0,1.0856,1.0261,1.1248,0.9227,1.1997,0.944583,anthropic
cs_ts_11,TABLE_SPLIT,Average age of French singers.,SELECT AVG(Age) FROM singer_info WHERE Country='France',False,,SELECT AVG(Age) FROM singer WHERE Country = 'France',1,SELECT AVG(Age) FROM singer WHERE Country = 'France',0,SELECT AVG(Age) FROM singer_info WHERE Country = 'France',1,SELECT AVG(Age) FROM singer WHERE Country = 'French',0,1,no such table: singer,anthropic,SELECT AVG(Age) FROM singer_info WHERE Country = 'France',ast,valid,1,1,0,1.3634,1.0213,0.9182,1.027,0.8054,0.757583,anthropic
cs_ts_12,TABLE_SPLIT,Which singers performed in concert 1?,SELECT i.Name FROM singer_info i JOIN singer_in_concert sc ON i.Singer_ID=sc.Singer_ID WHERE sc.Concert_ID=1 ORDER BY i.Name,False,,"SELECT s.Singer_ID, s.Name
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
WHERE sic.Concert_ID = 1",0,"SELECT s.Singer_ID, s.Name
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
WHERE sic.Concert_ID = 1",0,"SELECT DISTINCT si.Name
FROM singer_in_concert sic
JOIN singer_info si ON sic.Singer_ID = si.Singer_ID
WHERE sic.Concert_ID = 1",1,"SELECT s.Singer_ID, s.Name
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
WHERE sic.Concert_ID = 1",0,1,no such table: singer,anthropic,"SELECT s.Singer_ID, s.Name FROM singer_info AS s JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID WHERE sic.Concert_ID = 1",ast,valid,0,0,0,2.5927,1.157,0.9722,1.5386,1.0503,1.090042,anthropic
