id,perturbation,question,expected_failure,sanity_sql,sanity_ok,sanity_latency_s,sanity_tokens_in,sanity_tokens_out,canonical_baseline_ok,canonical_mcp_ok,diff_sql,diff_ok,diff_latency_s,diff_tokens_in,diff_tokens_out,vendor_sql,vendor_ok,vendor_latency_s,vendor_tokens_in,vendor_tokens_out,vendor_n_api_calls,vendor_n_tool_calls,vendor_capped,tool_calls_json,backend
hr_tr_01,TABLE_RENAME,List employee first and last names.,False,"SELECT first_name, last_name FROM employees",0,0.941,250,13,0,1,"SELECT first_name, last_name FROM staff",1,0.9187,318,13,"SELECT first_name, last_name FROM employees",0,1.6647,501,14,1,0,0,[],openai_compat
hr_tr_02,TABLE_RENAME,Count employees.,False,SELECT COUNT(*) FROM employees,0,0.9099,246,10,0,1,SELECT COUNT(*) FROM staff,1,1.8033,314,10,SELECT COUNT(*) FROM staff,1,3.5352,2147,72,3,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM employees;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM staff""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
hr_tr_03,TABLE_RENAME,Employees with salary over 7000.,False,SELECT * FROM employees WHERE salary > 7000,0,0.8009,251,15,0,0,SELECT * FROM staff WHERE salary > 7000,0,1.4961,319,15,"SELECT first_name, last_name FROM staff WHERE salary > 7000",0,6.5565,2948,83,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT first_name, last_name FROM employees WHERE salary > 7000;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT first_name, last_name FROM staff WHERE salary > 7000""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""low_semantic_similarity""}}]",openai_compat
hr_tr_04,TABLE_RENAME,Average employee salary.,False,SELECT AVG(salary) AS average_salary FROM employees,0,1.1321,247,15,0,1,SELECT AVG(salary) FROM staff,1,1.0351,315,12,SELECT AVG(salary) FROM staff,1,4.0248,2889,61,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT AVG(salary) FROM employees;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT AVG(salary) FROM staff""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
hr_tr_05,TABLE_RENAME,List employee emails.,False,SELECT email FROM employees,0,0.8817,247,9,0,1,SELECT email FROM staff,1,2.9407,315,9,SELECT email FROM staff,1,3.8528,2874,52,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT email FROM employees;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT email FROM staff""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
hr_tr_06,TABLE_RENAME,Employees in department 10.,False,"SELECT employee_id, first_name, last_name, email, phone_number, hire_date, job_id, salary, commission_pct, manager_id 
FROM employees 
WHERE department_id = 10",0,1.5428,249,43,0,0,SELECT * FROM staff WHERE department_id = 10,0,0.9537,317,15,SELECT * FROM staff WHERE department_id = 10,0,4.5046,2912,70,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT * FROM employees WHERE department_id = 10;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT * FROM staff WHERE department_id = 10""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
hr_tr_07,TABLE_RENAME,List employee job IDs.,False,SELECT job_id FROM employees,0,0.8112,248,10,0,0,SELECT job_id FROM staff,0,1.1216,316,10,SELECT job_id FROM staff,0,3.8059,2883,55,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT job_id FROM employees;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT job_id FROM staff""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
hr_tr_08,TABLE_RENAME,Count employees per department.,False,"SELECT d.department_name, COUNT(e.employee_id) AS employee_count
FROM departments d
LEFT JOIN employees e ON d.department_id = e.department_id
GROUP BY d.department_name",0,1.1128,248,41,0,0,"SELECT d.department_name, COUNT(s.employee_id) AS employee_count
FROM departments d
LEFT JOIN staff s ON d.department_id = s.department_id
GROUP BY d.department_name",0,1.1153,316,41,"SELECT department_id, COUNT(*) AS employee_count FROM staff GROUP BY department_id",1,4.3478,2933,85,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT department_id, COUNT(*) AS employee_count FROM employees GROUP BY department_id;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT department_id, COUNT(*) AS employee_count FROM staff GROUP BY department_id""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
hr_tr_09,TABLE_RENAME,Employees with commissions.,False,"SELECT employee_id, first_name, last_name, email, phone_number, hire_date, job_id, salary, commission_pct, manager_id, department_id
FROM employees
WHERE commission_pct IS NOT NULL",0,1.0175,247,46,0,0,SELECT * FROM staff WHERE commission_pct IS NOT NULL,0,1.0274,315,15,SELECT * FROM staff WHERE NOT commission_pct IS NULL,0,4.3389,2904,70,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT * FROM employees WHERE commission_pct IS NOT NULL;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT * FROM staff WHERE NOT commission_pct IS NULL""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
hr_tr_10,TABLE_RENAME,Employees managed by 1.,False,"SELECT employee_id, first_name, last_name
FROM employees
WHERE manager_id = 1",0,0.87,249,24,0,0,"SELECT employee_id, first_name, last_name
FROM staff
WHERE manager_id = 1",0,0.9977,317,24,"SELECT first_name, last_name FROM staff WHERE manager_id = 1",0,4.8071,2920,75,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT * FROM employees WHERE manager_id = 1;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT * FROM staff WHERE manager_id = 1""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""low_semantic_similarity""}}]",openai_compat
