id,perturbation,expected_failure,seed,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
hr_tm_01,TABLE_MERGE,False,0,"SELECT d.department_name, l.city
FROM departments d
JOIN locations l ON d.location_id = l.location_id",1,"SELECT DISTINCT d.department_name, l.city
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name, l.city",0,"SELECT DISTINCT department_name, city
FROM department_location
ORDER BY department_name, city",1,"SELECT DISTINCT d.department_name, l.city
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name, l.city",0,1,no such table: departments,anthropic,"SELECT DISTINCT department_name, city FROM department_location ORDER BY department_name, city",ast,valid,1,1.2201,1.3273,1.0475,1.1269,1.1389,1.336291,anthropic
hr_tm_01,TABLE_MERGE,False,1,"SELECT DISTINCT d.department_name, l.city
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name, l.city",1,"SELECT DISTINCT d.department_name, l.city
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name, l.city",0,"SELECT DISTINCT department_name, city
FROM department_location
ORDER BY department_name, city",1,"SELECT DISTINCT d.department_name, l.city
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name, l.city",0,1,no such table: departments,anthropic,"SELECT DISTINCT department_name, city FROM department_location ORDER BY department_name, city",ast,valid,1,1.0184,1.0294,1.1102,1.2933,1.8622,1.952167,anthropic
hr_tm_01,TABLE_MERGE,False,2,"SELECT d.department_name, l.city
FROM departments d
JOIN locations l ON d.location_id = l.location_id",1,"SELECT d.department_name, l.city
FROM departments d
JOIN locations l ON d.location_id = l.location_id",0,"SELECT DISTINCT department_name, city
FROM department_location
ORDER BY department_name, city",1,"SELECT d.department_name, l.city
FROM departments d
JOIN locations l ON d.location_id = l.location_id",0,1,no such table: departments,anthropic,"SELECT department_name, city FROM department_location",ast,valid,1,1.1456,1.3664,0.9427,0.9587,1.0643,1.580833,anthropic
hr_tm_01,TABLE_MERGE,False,3,"SELECT DISTINCT d.department_name, l.city
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name, l.city",1,"SELECT DISTINCT d.department_name, l.city
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name, l.city",0,"SELECT DISTINCT department_name, city
FROM department_location
ORDER BY department_name, city",1,"SELECT DISTINCT d.department_name, l.city
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name, l.city",0,1,no such table: departments,anthropic,"SELECT DISTINCT department_name, city FROM department_location ORDER BY department_name, city",ast,valid,1,1.2113,1.2185,1.794,1.1241,1.1544,1.55725,anthropic
hr_tm_01,TABLE_MERGE,False,4,"SELECT DISTINCT d.department_name, l.city
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name, l.city",1,"SELECT d.department_name, l.city
FROM departments d
JOIN locations l ON d.location_id = l.location_id",0,"SELECT DISTINCT department_name, city
FROM department_location
ORDER BY department_name, city",1,"SELECT d.department_name, l.city
FROM departments d
JOIN locations l ON d.location_id = l.location_id",0,1,no such table: departments,anthropic,"SELECT department_name, city FROM department_location",ast,valid,1,1.2645,1.4216,0.9705,1.1795,0.9684,1.077916,anthropic
hr_tm_02,TABLE_MERGE,False,0,"SELECT c.country_name, COUNT(DISTINCT d.department_id) AS department_count
FROM countries c
LEFT JOIN locations l ON c.country_id = l.country_id
LEFT JOIN departments d ON l.location_id = d.location_id
GROUP BY c.country_id, c.country_name
ORDER BY c.country_name",0,"SELECT c.country_name, COUNT(DISTINCT d.department_id) AS department_count
FROM countries c
LEFT JOIN locations l ON c.country_id = l.country_id
LEFT JOIN departments d ON l.location_id = d.location_id
GROUP BY c.country_id, c.country_name
ORDER BY c.country_name",0,"SELECT country_id, COUNT(DISTINCT department_id) as department_count
FROM department_location
GROUP BY country_id
ORDER BY country_id",1,"SELECT c.country_name, COUNT(DISTINCT d.department_id) AS department_count
FROM countries c
LEFT JOIN locations l ON c.country_id = l.country_id
LEFT JOIN departments d ON l.location_id = d.location_id
GROUP BY c.country_id, c.country_name
ORDER BY c.country_name",0,1,no such table: locations,anthropic,"SELECT c.country_name, COUNT(DISTINCT dl.department_id) AS department_count 
FROM countries AS c 
LEFT JOIN department_location AS dl ON c.country_id = dl.country_id 
GROUP BY c.country_id, c.country_name 
ORDER BY c.country_name",ast,valid,0,1.2441,1.8395,1.0036,3.3884,1.266,1.898625,anthropic
hr_tm_02,TABLE_MERGE,False,1,"SELECT c.country_name, COUNT(DISTINCT d.department_id) AS department_count
FROM countries c
LEFT JOIN locations l ON c.country_id = l.country_id
LEFT JOIN departments d ON l.location_id = d.location_id
GROUP BY c.country_id, c.country_name
ORDER BY c.country_name",0,"SELECT c.country_name, COUNT(DISTINCT d.department_id) AS department_count
FROM countries c
LEFT JOIN locations l ON c.country_id = l.country_id
LEFT JOIN departments d ON l.location_id = d.location_id
GROUP BY c.country_id, c.country_name
ORDER BY c.country_name",0,"SELECT country_id, COUNT(DISTINCT department_id) as department_count
FROM department_location
GROUP BY country_id
ORDER BY country_id",1,"SELECT c.country_name, COUNT(DISTINCT d.department_id) AS department_count
FROM countries c
LEFT JOIN locations l ON c.country_id = l.country_id
LEFT JOIN departments d ON l.location_id = d.location_id
GROUP BY c.country_id, c.country_name
ORDER BY c.country_name",0,1,no such table: locations,anthropic,"SELECT c.country_name, COUNT(DISTINCT dl.department_id) AS department_count FROM countries AS c LEFT JOIN department_location AS dl ON c.country_id = dl.country_id GROUP BY c.country_id, c.country_name ORDER BY c.country_name",ast,valid,0,1.6238,1.289,1.0726,1.3562,1.3749,4.529666,anthropic
hr_tm_02,TABLE_MERGE,False,2,"SELECT c.country_name, COUNT(DISTINCT d.department_id) AS department_count
FROM countries c
LEFT JOIN locations l ON c.country_id = l.country_id
LEFT JOIN departments d ON l.location_id = d.location_id
GROUP BY c.country_id, c.country_name
ORDER BY c.country_name",0,"SELECT c.country_name, COUNT(DISTINCT d.department_id) AS department_count
FROM countries c
LEFT JOIN locations l ON c.country_id = l.country_id
LEFT JOIN departments d ON l.location_id = d.location_id
GROUP BY c.country_id, c.country_name
ORDER BY c.country_name",0,"SELECT country_id, COUNT(DISTINCT department_id) as department_count
FROM department_location
GROUP BY country_id
ORDER BY country_id",1,"SELECT c.country_name, COUNT(DISTINCT d.department_id) AS department_count
FROM countries c
LEFT JOIN locations l ON c.country_id = l.country_id
LEFT JOIN departments d ON l.location_id = d.location_id
GROUP BY c.country_id, c.country_name
ORDER BY c.country_name",0,1,no such table: locations,anthropic,"SELECT c.country_name, COUNT(DISTINCT dl.department_id) AS department_count FROM countries AS c LEFT JOIN department_location AS dl ON c.country_id = dl.country_id GROUP BY c.country_id, c.country_name ORDER BY c.country_name",ast,valid,0,1.2759,1.3327,1.4227,1.432,1.4922,1.917084,anthropic
hr_tm_02,TABLE_MERGE,False,3,"SELECT c.country_name, COUNT(DISTINCT d.department_id) AS department_count
FROM countries c
LEFT JOIN locations l ON c.country_id = l.country_id
LEFT JOIN departments d ON l.location_id = d.location_id
GROUP BY c.country_id, c.country_name
ORDER BY c.country_name",0,"SELECT c.country_name, COUNT(DISTINCT d.department_id) AS department_count
FROM countries c
LEFT JOIN locations l ON c.country_id = l.country_id
LEFT JOIN departments d ON l.location_id = d.location_id
GROUP BY c.country_id, c.country_name
ORDER BY c.country_name",0,"SELECT country_id, COUNT(DISTINCT department_id) as department_count
FROM department_location
GROUP BY country_id
ORDER BY country_id",1,"SELECT c.country_name, COUNT(DISTINCT d.department_id) AS department_count
FROM countries c
LEFT JOIN locations l ON c.country_id = l.country_id
LEFT JOIN departments d ON l.location_id = d.location_id
GROUP BY c.country_id, c.country_name
ORDER BY c.country_name",0,1,no such table: locations,anthropic,"SELECT c.country_name, COUNT(DISTINCT dl.department_id) AS department_count FROM countries AS c LEFT JOIN department_location AS dl ON c.country_id = dl.country_id GROUP BY c.country_id, c.country_name ORDER BY c.country_name",ast,valid,0,1.583,1.5811,1.097,1.8212,1.2434,2.616167,anthropic
hr_tm_02,TABLE_MERGE,False,4,"SELECT c.country_name, COUNT(DISTINCT d.department_id) AS department_count
FROM countries c
LEFT JOIN locations l ON c.country_id = l.country_id
LEFT JOIN departments d ON l.location_id = d.location_id
GROUP BY c.country_id, c.country_name
ORDER BY c.country_name",0,"SELECT c.country_name, COUNT(DISTINCT d.department_id) AS department_count
FROM countries c
LEFT JOIN locations l ON c.country_id = l.country_id
LEFT JOIN departments d ON l.location_id = d.location_id
GROUP BY c.country_id, c.country_name
ORDER BY c.country_name",0,"SELECT country_id, COUNT(DISTINCT department_id) as department_count
FROM department_location
GROUP BY country_id
ORDER BY country_id",1,"SELECT c.country_name, COUNT(DISTINCT d.department_id) AS department_count
FROM countries c
LEFT JOIN locations l ON c.country_id = l.country_id
LEFT JOIN departments d ON l.location_id = d.location_id
GROUP BY c.country_id, c.country_name
ORDER BY c.country_name",0,1,no such table: locations,anthropic,"SELECT c.country_name, COUNT(DISTINCT dl.department_id) AS department_count FROM countries AS c LEFT JOIN department_location AS dl ON c.country_id = dl.country_id GROUP BY c.country_id, c.country_name ORDER BY c.country_name",ast,valid,0,1.4669,2.1092,1.514,1.2472,1.1381,2.666333,anthropic
hr_tm_03,TABLE_MERGE,False,0,SELECT street_address FROM locations WHERE location_id = (SELECT location_id FROM departments WHERE department_id = 10),1,SELECT street_address FROM locations WHERE location_id = (SELECT location_id FROM departments WHERE department_id = 10),0,SELECT street_address FROM department_location WHERE department_id = 10,1,SELECT street_address FROM locations WHERE location_id = (SELECT location_id FROM departments WHERE department_id = 10),0,1,no such table: locations,anthropic,SELECT street_address FROM department_location WHERE department_id = 10,ast,valid,1,1.5464,1.167,2.0135,0.9498,2.6761,1.270833,anthropic
hr_tm_03,TABLE_MERGE,False,1,SELECT street_address FROM locations WHERE location_id = (SELECT location_id FROM departments WHERE department_id = 10),1,SELECT street_address FROM locations WHERE location_id = (SELECT location_id FROM departments WHERE department_id = 10),0,SELECT street_address FROM department_location WHERE department_id = 10,1,SELECT street_address FROM locations WHERE location_id = (SELECT location_id FROM departments WHERE department_id = 10),0,1,no such table: locations,anthropic,SELECT street_address FROM department_location WHERE department_id = 10,ast,valid,1,1.146,1.3799,1.0307,1.0987,1.0568,1.13825,anthropic
hr_tm_03,TABLE_MERGE,False,2,SELECT street_address FROM locations WHERE location_id = (SELECT location_id FROM departments WHERE department_id = 10),1,SELECT street_address FROM locations WHERE location_id = (SELECT location_id FROM departments WHERE department_id = 10),0,SELECT street_address FROM department_location WHERE department_id = 10,1,SELECT street_address FROM locations WHERE location_id = (SELECT location_id FROM departments WHERE department_id = 10),0,1,no such table: locations,anthropic,SELECT street_address FROM department_location WHERE department_id = 10,ast,valid,1,1.3928,1.0137,0.9727,1.2448,0.9656,1.472542,anthropic
hr_tm_03,TABLE_MERGE,False,3,SELECT street_address FROM locations WHERE location_id = (SELECT location_id FROM departments WHERE department_id = 10),1,SELECT street_address FROM locations WHERE location_id = (SELECT location_id FROM departments WHERE department_id = 10),0,SELECT street_address FROM department_location WHERE department_id = 10,1,SELECT street_address FROM locations WHERE location_id = (SELECT location_id FROM departments WHERE department_id = 10),0,1,no such table: locations,anthropic,SELECT street_address FROM department_location WHERE department_id = 10,ast,valid,1,2.6118,2.0858,0.8924,1.5051,1.9354,1.142417,anthropic
hr_tm_03,TABLE_MERGE,False,4,SELECT street_address FROM locations WHERE location_id = (SELECT location_id FROM departments WHERE department_id = 10),1,SELECT street_address FROM locations WHERE location_id = (SELECT location_id FROM departments WHERE department_id = 10),0,SELECT street_address FROM department_location WHERE department_id = 10,1,SELECT street_address FROM locations WHERE location_id = (SELECT location_id FROM departments WHERE department_id = 10),0,1,no such table: locations,anthropic,SELECT street_address FROM department_location WHERE department_id = 10,ast,valid,1,1.6314,1.1217,0.9765,0.9017,2.665,1.178833,anthropic
hr_tm_04,TABLE_MERGE,False,0,"SELECT d.department_id, d.department_name
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.city = 'City1'",0,"SELECT d.department_id, d.department_name
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.city = 'City1'",0,"SELECT DISTINCT department_id, department_name
FROM department_location
WHERE city = 'City1'",0,"SELECT d.department_id, d.department_name
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.city = 'City1'",0,1,no such table: departments,anthropic,"SELECT dl.department_id, dl.department_name FROM department_location AS dl WHERE dl.city = 'City1'",ast,valid,0,0.9976,1.0315,1.1706,1.1704,1.1237,1.277875,anthropic
hr_tm_04,TABLE_MERGE,False,1,"SELECT d.department_id, d.department_name
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.city = 'City1'",0,"SELECT d.department_id, d.department_name
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.city = 'City1'",0,"SELECT DISTINCT department_id, department_name
FROM department_location
WHERE city = 'City1'",0,"SELECT d.department_id, d.department_name
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.city = 'City1'",0,1,no such table: departments,anthropic,"SELECT dl.department_id, dl.department_name FROM department_location AS dl WHERE dl.city = 'City1'",ast,valid,0,0.9889,0.9067,0.9639,1.0226,1.2384,1.900375,anthropic
hr_tm_04,TABLE_MERGE,False,2,"SELECT d.department_id, d.department_name
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.city = 'City1'",0,"SELECT DISTINCT d.department_id, d.department_name
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.city = 'City1'",0,"SELECT DISTINCT department_id, department_name
FROM department_location
WHERE city = 'City1'",0,"SELECT DISTINCT d.department_id, d.department_name
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.city = 'City1'",0,1,no such table: departments,anthropic,"SELECT DISTINCT department_id, department_name FROM department_location WHERE city = 'City1'",ast,valid,0,1.6541,2.3586,1.152,0.9813,1.0753,0.478417,anthropic
hr_tm_04,TABLE_MERGE,False,3,"SELECT DISTINCT d.department_id, d.department_name
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.city = 'City1'",0,"SELECT d.department_id, d.department_name
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.city = 'City1'",0,"SELECT DISTINCT department_id, department_name
FROM department_location
WHERE city = 'City1'",0,"SELECT d.department_id, d.department_name
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.city = 'City1'",0,1,no such table: departments,anthropic,"SELECT dl.department_id, dl.department_name FROM department_location AS dl WHERE dl.city = 'City1'",ast,valid,0,0.999,1.1225,1.6145,1.2201,1.1128,1.428333,anthropic
hr_tm_04,TABLE_MERGE,False,4,"SELECT d.department_id, d.department_name
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.city = 'City1'",0,"SELECT d.department_id, d.department_name
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.city = 'City1'",0,"SELECT DISTINCT department_id, department_name
FROM department_location
WHERE city = 'City1'",0,"SELECT d.department_id, d.department_name
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.city = 'City1'",0,1,no such table: departments,anthropic,"SELECT dl.department_id, dl.department_name FROM department_location AS dl WHERE dl.city = 'City1'",ast,valid,0,1.1673,0.9628,1.0667,1.1769,1.0985,1.295833,anthropic
hr_tm_05,TABLE_MERGE,False,0,"SELECT DISTINCT d.department_name, l.postal_code
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name",1,"SELECT DISTINCT d.department_name, l.postal_code
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name",0,"SELECT department_name, postal_code
FROM department_location",1,"SELECT DISTINCT d.department_name, l.postal_code
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name",0,1,no such table: departments,anthropic,"SELECT DISTINCT department_name, postal_code FROM department_location ORDER BY department_name",ast,valid,1,1.0886,1.0581,1.011,0.9727,2.1343,1.785208,anthropic
hr_tm_05,TABLE_MERGE,False,1,"SELECT DISTINCT d.department_name, l.postal_code
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name",1,"SELECT DISTINCT d.department_name, l.postal_code
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name",0,"SELECT department_name, postal_code
FROM department_location",1,"SELECT DISTINCT d.department_name, l.postal_code
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name",0,1,no such table: departments,anthropic,"SELECT DISTINCT department_name, postal_code FROM department_location ORDER BY department_name",ast,valid,1,1.5262,1.803,1.121,0.9941,1.0867,1.860417,anthropic
hr_tm_05,TABLE_MERGE,False,2,"SELECT DISTINCT d.department_name, l.postal_code
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name",1,"SELECT DISTINCT d.department_name, l.postal_code
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name",0,"SELECT department_name, postal_code
FROM department_location",1,"SELECT DISTINCT d.department_name, l.postal_code
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name",0,1,no such table: departments,anthropic,"SELECT DISTINCT department_name, postal_code FROM department_location ORDER BY department_name",ast,valid,1,1.2371,1.2159,1.2963,0.9868,1.0171,0.994666,anthropic
hr_tm_05,TABLE_MERGE,False,3,"SELECT DISTINCT d.department_name, l.postal_code
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name",1,"SELECT DISTINCT d.department_name, l.postal_code
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name",0,"SELECT department_name, postal_code
FROM department_location",1,"SELECT DISTINCT d.department_name, l.postal_code
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name",0,1,no such table: departments,anthropic,"SELECT DISTINCT department_name, postal_code FROM department_location ORDER BY department_name",ast,valid,1,1.1493,2.245,0.9951,1.3435,1.7808,1.243166,anthropic
hr_tm_05,TABLE_MERGE,False,4,"SELECT DISTINCT d.department_name, l.postal_code
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name",1,"SELECT DISTINCT d.department_name, l.postal_code
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name",0,"SELECT department_name, postal_code
FROM department_location",1,"SELECT DISTINCT d.department_name, l.postal_code
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name",0,1,no such table: departments,anthropic,"SELECT DISTINCT department_name, postal_code FROM department_location ORDER BY department_name",ast,valid,1,1.0472,1.2383,1.948,1.0225,1.0095,1.302792,anthropic
