id,perturbation,expected_failure,seed,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
cs_cm_01,COLUMN_MERGE,False,0,SELECT Name || ' (' || Country || ')' AS Singer_Name_With_Country FROM singer,0,SELECT Name || ' (' || Country || ')' AS Singer_Name_With_Country FROM singer,0,SELECT Name_Country FROM singer,1,SELECT singer.Name || ' (' || singer.Country || ')' AS Singer_Name_With_Country FROM singer,0,1,no such column: Name,openai_compat,SELECT Song_Name || ' (' || Name_Country || ')' AS Singer_Name_With_Country FROM singer,ast,valid,0,1.0073,0.9793,0.9438,1.398,1.2291,1.34575,openai_compat
cs_cm_01,COLUMN_MERGE,False,1,SELECT Name || ' (' || Country || ')' AS Singer_Name_With_Country FROM singer,0,SELECT Name || ' (' || Country || ')' AS Singer_Name_With_Country FROM singer,0,SELECT Name_Country FROM singer,1,SELECT singer.Name || ' (' || singer.Country || ')' AS Singer_Name_With_Country FROM singer,0,1,no such column: Name,openai_compat,SELECT Song_Name || ' (' || Name_Country || ')' AS Singer_Name_With_Country FROM singer,ast,valid,0,0.9964,1.27,0.881,1.0729,0.9461,1.108208,openai_compat
cs_cm_01,COLUMN_MERGE,False,2,SELECT Name || ' (' || Country || ')' AS Singer_Name_With_Country FROM singer,0,SELECT Name || ' (' || Country || ')' AS Singer_Name_With_Country FROM singer,0,SELECT DISTINCT Name_Country FROM singer,1,SELECT singer.Name || ' (' || singer.Country || ')' AS Singer_Name_With_Country FROM singer,0,1,no such column: Name,openai_compat,SELECT Song_Name || ' (' || Name_Country || ')' AS Singer_Name_With_Country FROM singer,ast,valid,0,1.3041,1.1818,1.3074,1.0273,1.1252,1.064125,openai_compat
cs_cm_02,COLUMN_MERGE,False,0,SELECT COUNT(*) FROM singer WHERE Country = 'France',1,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,SELECT COUNT(*) FROM singer WHERE Name_Country = 'France',0,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,1,no such column: Country,openai_compat,SELECT COUNT(*) FROM singer WHERE Name_Country = 'France',ast,silent_failure_suspected,0,0.9982,1.1208,0.8587,0.9665,1.1211,1.428084,openai_compat
cs_cm_02,COLUMN_MERGE,False,1,SELECT COUNT(*) FROM singer WHERE Country = 'France',1,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,SELECT COUNT(*) FROM singer WHERE Name_Country = 'France',0,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,1,no such column: Country,openai_compat,SELECT COUNT(*) FROM singer WHERE Name_Country = 'France',ast,silent_failure_suspected,0,1.1087,1.0156,1.0544,0.9999,1.0408,1.046916,openai_compat
cs_cm_02,COLUMN_MERGE,False,2,SELECT COUNT(*) FROM singer WHERE Country = 'France',1,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,SELECT COUNT(*) FROM singer WHERE Name_Country = 'France',0,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,1,no such column: Country,openai_compat,SELECT COUNT(*) FROM singer WHERE Name_Country = 'France',ast,silent_failure_suspected,0,0.9063,0.9705,1.1048,1.0037,1.1872,1.273834,openai_compat
cs_cm_03,COLUMN_MERGE,False,0,SELECT Name || ' - ' || Song_Name AS Merged_Name FROM singer WHERE Singer_ID = 1,0,SELECT Name || ' - ' || Song_Name AS Merged_Name FROM singer WHERE Singer_ID = 1,0,SELECT Song_Name || ' ' || Name_Country AS Merged_Name FROM singer WHERE Singer_ID = 1,0,SELECT singer.Name || ' - ' || singer.Song_Name AS Merged_Name FROM singer WHERE Singer_ID = 1,0,1,no such column: Name,openai_compat,SELECT Name_Country || ' - ' || Song_Name AS Merged_Name FROM singer WHERE Singer_ID = 1,ast,valid,0,1.0447,1.1256,0.9187,1.1602,1.2189,1.1725,openai_compat
cs_cm_03,COLUMN_MERGE,False,1,SELECT Name || ' - ' || Song_Name AS Merged_Name FROM singer WHERE Singer_ID = 1,0,SELECT Name || ' - ' || Song_Name AS Merged_Name FROM singer WHERE Singer_ID = 1,0,SELECT Song_Name || ' ' || Name_Country AS Merged_Name FROM singer WHERE Singer_ID = 1,0,SELECT singer.Name || ' - ' || singer.Song_Name AS Merged_Name FROM singer WHERE Singer_ID = 1,0,1,no such column: Name,openai_compat,SELECT Name_Country || ' - ' || Song_Name AS Merged_Name FROM singer WHERE Singer_ID = 1,ast,valid,0,1.249,0.9913,0.9093,1.0779,1.2138,1.497417,openai_compat
cs_cm_03,COLUMN_MERGE,False,2,SELECT Name || ' - ' || Song_Name AS Merged_Name FROM singer WHERE Singer_ID = 1,0,SELECT Name || ' - ' || Song_Name AS Merged_Name FROM singer WHERE Singer_ID = 1,0,SELECT Song_Name || ' ' || Name_Country AS Merged_Name FROM singer WHERE Singer_ID = 1,0,SELECT singer.Name || ' - ' || singer.Song_Name AS Merged_Name FROM singer WHERE Singer_ID = 1,0,1,no such column: Name,openai_compat,SELECT Name_Country || ' - ' || Song_Name AS Merged_Name FROM singer WHERE Singer_ID = 1,ast,valid,0,1.0016,0.9359,1.0037,1.3186,1.3317,1.110959,openai_compat
cs_cm_04,COLUMN_MERGE,False,0,"SELECT GROUP_CONCAT(Name, ', ') AS Merged_Names
FROM singer
WHERE Age > 40",0,"SELECT GROUP_CONCAT(Name, ', ') AS Merged_Names
FROM singer
WHERE Age > 40",0,"SELECT GROUP_CONCAT(s.Name_Country, ', ') AS Merged_Names
FROM singer s
WHERE s.Age > 40",0,"SELECT GROUP_CONCAT(Name, ', ') AS Merged_Names
FROM singer
WHERE Age > 40",0,1,no such column: Name,openai_compat,"SELECT GROUP_CONCAT(Name_Country, ', ') AS Merged_Names FROM singer WHERE Age > 40",ast,valid,0,0.9985,1.2033,1.1494,0.9959,1.2165,1.472833,openai_compat
cs_cm_04,COLUMN_MERGE,False,1,"SELECT GROUP_CONCAT(Name, ', ') AS Merged_Names
FROM singer
WHERE Age > 40",0,"SELECT GROUP_CONCAT(Name, ', ') AS Merged_Names
FROM singer
WHERE Age > 40",0,"SELECT GROUP_CONCAT(s.Name_Country, ', ') AS Merged_Names
FROM singer s
WHERE s.Age > 40",0,"SELECT GROUP_CONCAT(singer.Name, ', ') AS Merged_Names
FROM singer
WHERE Age > 40",0,1,no such column: Name,openai_compat,"SELECT GROUP_CONCAT(Name_Country, ', ') AS Merged_Names FROM singer WHERE Age > 40",ast,valid,0,1.0353,1.0787,1.6265,1.0017,1.2171,1.329625,openai_compat
cs_cm_04,COLUMN_MERGE,False,2,"SELECT GROUP_CONCAT(Name, ', ') AS Merged_Names
FROM singer
WHERE Age > 40",0,"SELECT GROUP_CONCAT(Name, ', ') AS Merged_Names
FROM singer
WHERE Age > 40",0,"SELECT GROUP_CONCAT(s.Name_Country, ', ') AS Merged_Names
FROM singer s
WHERE s.Age > 40",0,"SELECT GROUP_CONCAT(singer.Name, ', ') AS Merged_Names
FROM singer
WHERE singer.Age > 40",0,1,no such column: Name,openai_compat,"SELECT GROUP_CONCAT(Name_Country, ', ') AS Merged_Names FROM singer WHERE Age > 40",ast,valid,0,1.1451,1.0594,1.1656,1.4004,1.4692,1.13575,openai_compat
cs_cm_05,COLUMN_MERGE,False,0,"SELECT Name || ' ' || Song_Name AS Merged_Name
FROM singer
WHERE Song_Name = 'Sun'",0,"SELECT Name || ' - ' || Song_Name AS Merged_Name
FROM singer
WHERE Song_Name = 'Sun'",0,"SELECT Song_Name || ' - ' || Name_Country AS Merged_Name
FROM singer
WHERE Song_Name = 'Sun'",0,"SELECT singer.Name || ' - ' || singer.Song_Name AS Merged_Name
FROM singer
WHERE singer.Song_Name = 'Sun'",0,1,no such column: Name,openai_compat,SELECT Name_Country || ' - ' || Song_Name AS Merged_Name FROM singer WHERE Song_Name = 'Sun',ast,valid,0,1.3602,1.1755,1.2514,1.1218,1.0672,1.378625,openai_compat
cs_cm_05,COLUMN_MERGE,False,1,SELECT Name FROM singer WHERE Song_Name = 'Sun',0,SELECT Name FROM singer WHERE Song_Name = 'Sun',0,"SELECT Song_Name || ' - ' || Name_Country AS Merged_Name
FROM singer
WHERE Song_Name = 'Sun'",0,SELECT singer.Name FROM singer WHERE Song_Name = 'Sun',0,1,no such column: Name,openai_compat,SELECT Name_Country FROM singer WHERE Song_Name = 'Sun',ast,silent_failure_suspected,1,0.9728,3.1166,1.0696,1.0941,0.8609,0.868333,openai_compat
cs_cm_05,COLUMN_MERGE,False,2,SELECT Name FROM singer WHERE Song_Name = 'Sun',0,SELECT Name FROM singer WHERE Song_Name = 'Sun',0,"SELECT Song_Name || ' - ' || Name_Country AS Merged_Name
FROM singer
WHERE Song_Name = 'Sun'",0,SELECT singer.Name FROM singer WHERE Song_Name = 'Sun',0,1,no such column: Name,openai_compat,SELECT Name_Country FROM singer WHERE Song_Name = 'Sun',ast,silent_failure_suspected,1,0.9964,1.0728,0.9273,1.1452,0.895,1.167,openai_compat
cs_cm_06,COLUMN_MERGE,False,0,"SELECT COUNT(DISTINCT Singer_ID) 
FROM singer 
WHERE Song_release_year >= 2010",1,"SELECT COUNT(DISTINCT Singer_ID) 
FROM singer 
WHERE Song_release_year >= 2010",1,"SELECT COUNT(DISTINCT Singer_ID) 
FROM singer 
WHERE Song_release_year >= 2010",1,"SELECT COUNT(DISTINCT Singer_ID) 
FROM singer 
WHERE Song_release_year >= 2010",1,0,,openai_compat,SELECT COUNT(DISTINCT Singer_ID) FROM singer WHERE Song_release_year >= 2010,ast,valid,1,1.0205,0.9962,0.9938,0.0006,0.0455,1.031459,openai_compat
cs_cm_06,COLUMN_MERGE,False,1,"SELECT COUNT(DISTINCT Singer_ID) 
FROM singer 
WHERE Song_release_year >= 2010",1,"SELECT COUNT(DISTINCT Singer_ID) 
FROM singer 
WHERE Song_release_year >= 2010",1,"SELECT COUNT(DISTINCT Singer_ID) 
FROM singer 
WHERE Song_release_year >= 2010",1,"SELECT COUNT(DISTINCT Singer_ID) 
FROM singer 
WHERE Song_release_year >= 2010",1,0,,openai_compat,SELECT COUNT(DISTINCT Singer_ID) FROM singer WHERE Song_release_year >= 2010,ast,valid,1,2.643,1.272,0.9527,0.0007,0.0487,1.105542,openai_compat
cs_cm_06,COLUMN_MERGE,False,2,"SELECT COUNT(DISTINCT Singer_ID) 
FROM singer 
WHERE Song_release_year >= 2010",1,"SELECT COUNT(DISTINCT Singer_ID) 
FROM singer 
WHERE Song_release_year >= 2010",1,"SELECT COUNT(DISTINCT Singer_ID) 
FROM singer 
WHERE Song_release_year >= 2010",1,"SELECT COUNT(DISTINCT Singer_ID) 
FROM singer 
WHERE Song_release_year >= 2010",1,0,,openai_compat,SELECT COUNT(DISTINCT Singer_ID) FROM singer WHERE Song_release_year >= 2010,ast,valid,1,1.0123,0.9443,0.9713,0.001,0.0528,6.682917,openai_compat
cs_cm_07,COLUMN_MERGE,False,0,"SELECT Name || ' - ' || Song_Name AS Merged_Name_Song
FROM singer",0,"SELECT Name || ' - ' || Song_Name AS Merged_Name_Song
FROM singer",0,"SELECT singer.Name_Country || ' - ' || singer.Song_Name AS Merged_Name_Song
FROM singer",0,"SELECT singer.Name || ' - ' || singer.Song_Name AS Merged_Name_Song
FROM singer",0,1,no such column: Name,openai_compat,SELECT Name_Country || ' - ' || Song_Name AS Merged_Name_Song FROM singer,ast,valid,0,0.8983,1.021,0.9528,0.9571,1.1803,1.000291,openai_compat
cs_cm_07,COLUMN_MERGE,False,1,"SELECT Name || ' - ' || Song_Name AS Merged_Name_Song
FROM singer",0,"SELECT Name || ' - ' || Song_Name AS Merged_Name_Song
FROM singer",0,"SELECT singer.Name_Country || ' - ' || singer.Song_Name AS Merged_Name_Song
FROM singer",0,"SELECT singer.Name || ' - ' || singer.Song_Name AS Merged_Name_Song
FROM singer",0,1,no such column: Name,openai_compat,SELECT Name_Country || ' - ' || Song_Name AS Merged_Name_Song FROM singer,ast,valid,0,1.1185,1.0238,1.069,1.1518,1.3295,1.106958,openai_compat
cs_cm_07,COLUMN_MERGE,False,2,"SELECT Name || ' - ' || Song_Name AS Merged_Name_Song
FROM singer",0,"SELECT Name || ' - ' || Song_Name AS Merged_Name_Song
FROM singer",0,"SELECT singer.Name_Country || ' - ' || singer.Song_Name AS Merged_Name_Song
FROM singer",0,"SELECT singer.Name || ' - ' || singer.Song_Name AS Merged_Name_Song
FROM singer",0,1,no such column: Name,openai_compat,SELECT Name_Country || ' - ' || Song_Name AS Merged_Name_Song FROM singer,ast,valid,0,0.9297,0.9093,1.1216,1.0955,1.1069,1.24425,openai_compat
cs_cm_08,COLUMN_MERGE,False,0,"SELECT GROUP_CONCAT(Name, ', ') AS Merged_Names
FROM singer
WHERE Is_male = 'yes'",0,"SELECT GROUP_CONCAT(Name, ', ') AS Merged_Names
FROM singer
WHERE Is_male = 'yes'",0,"SELECT GROUP_CONCAT(singer.Name_Country) AS Merged_Names
FROM singer
WHERE singer.Is_male = 'Yes'",0,"SELECT GROUP_CONCAT(Name, ', ') AS Merged_Names
FROM singer
WHERE Is_male = 'Yes'",0,1,no such column: Name,openai_compat,"SELECT GROUP_CONCAT(SUBSTR(Name_Country, INSTR(Name_Country, ',') + 2), ', ') AS Merged_Names
FROM singer
WHERE Is_male = 'yes'",ast,valid,0,1.3168,1.0321,3.0425,1.1254,1.5195,1.270417,openai_compat
cs_cm_08,COLUMN_MERGE,False,1,"SELECT GROUP_CONCAT(Name, ', ') AS Merged_Names
FROM singer
WHERE Is_male = 'Yes'",0,"SELECT GROUP_CONCAT(Name, ', ') AS Merged_Names
FROM singer
WHERE Is_male = 'yes'",0,"SELECT GROUP_CONCAT(singer.Name_Country, ', ') AS Merged_Names
FROM singer
WHERE singer.Is_male = 'Yes'",0,"SELECT GROUP_CONCAT(singer.Name, ', ') AS Merged_Names
FROM singer
WHERE singer.Is_male = 'yes'",0,1,no such column: Name,openai_compat,"SELECT GROUP_CONCAT(SUBSTR(Name_Country, INSTR(Name_Country, ',') + 2), ', ') AS Merged_Names
FROM singer
WHERE Is_male = 'yes'",ast,valid,0,0.9943,1.1171,1.1459,1.0265,1.9325,1.573708,openai_compat
cs_cm_08,COLUMN_MERGE,False,2,"SELECT GROUP_CONCAT(Name, ', ') AS Merged_Names
FROM singer
WHERE Is_male = 'yes'",0,"SELECT GROUP_CONCAT(Name, ', ') AS Merged_Names
FROM singer
WHERE Is_male = 'yes'",0,"SELECT GROUP_CONCAT(singer.Name_Country, ', ') AS Merged_Names
FROM singer
WHERE singer.Is_male = 'Yes'",0,"SELECT GROUP_CONCAT(singer.Name, ', ') AS Merged_Names
FROM singer
WHERE Is_male = 'yes'",0,1,no such column: Name,openai_compat,"SELECT GROUP_CONCAT(SUBSTR(Name_Country, INSTR(Name_Country, ',') + 2), ', ') AS Merged_Names
FROM singer
WHERE Is_male = 'yes'",ast,valid,0,0.9858,1.0471,1.4073,1.1228,1.6282,1.479166,openai_compat
cs_cm_09,COLUMN_MERGE,False,0,"SELECT COUNT(*) 
FROM singer 
WHERE Country = 'United States'",1,SELECT COUNT(*) FROM singer WHERE Country = 'United States',0,SELECT COUNT(*) FROM singer WHERE Name_Country = 'United States',0,SELECT COUNT(*) FROM singer WHERE Country = 'USA',0,1,no such column: Country,openai_compat,SELECT COUNT(*) FROM singer WHERE Name_Country LIKE '%United States%',ast,valid,1,0.9983,0.9356,0.9318,1.1415,1.1207,1.336291,openai_compat
