id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
cs_cr_01,COLUMN_RENAME,List song titles.,SELECT song_title FROM singer ORDER BY Singer_ID,False,,SELECT Song_Name FROM singer,1,SELECT Song_Name FROM singer,0,SELECT DISTINCT song_title FROM singer,1,SELECT Song_name FROM singer,0,1,no such column: Song_Name,openai_compat,SELECT song_title FROM singer,ast,valid,1,1,0,0.5561,0.5709,1.0002,1.2086,0.002,0.510563,openai_compat
cs_cr_02,COLUMN_RENAME,Count songs released after 2010.,SELECT COUNT(*) FROM singer WHERE debut_year > 2010,False,,SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010,1,SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010,0,SELECT COUNT(*) FROM singer WHERE debut_year > 2010,1,SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010,0,1,no such column: Song_release_year,openai_compat,SELECT COUNT(*) FROM singer WHERE debut_year > 2010,ast,silent_failure_suspected,1,1,0,0.7183,0.8674,0.7303,0.6703,0.8091,0.493005,openai_compat
cs_cr_03,COLUMN_RENAME,List singer names with song titles.,"SELECT Name, song_title FROM singer ORDER BY Singer_ID",False,,"SELECT Name, Song_Name FROM singer",1,"SELECT Name, Song_Name FROM singer",0,"SELECT Name, song_title FROM singer",1,"SELECT Name, Song_name FROM singer",0,1,no such column: Song_Name,openai_compat,"SELECT Name, song_title FROM singer",ast,valid,1,1,0,0.5905,0.7116,0.7998,0.6446,0.002,0.505235,openai_compat
cs_cr_04,COLUMN_RENAME,Singer for the song 'Sun'.,SELECT Name FROM singer WHERE song_title='Sun',False,,"SELECT Name 
FROM singer 
WHERE Song_Name = 'Sun'",1,"SELECT Name 
FROM singer 
WHERE Song_Name = 'Sun'",0,SELECT Name FROM singer WHERE song_title = 'Sun',1,"SELECT Name 
FROM singer 
WHERE Song_Name = 'Sun'",0,1,no such column: Song_Name,openai_compat,SELECT Name FROM singer WHERE song_title = 'Sun',ast,valid,1,1,0,0.6474,0.6972,0.7017,0.6994,0.0023,0.662433,openai_compat
cs_cr_05,COLUMN_RENAME,Average debut year.,SELECT AVG(debut_year) FROM singer,False,,SELECT AVG(Song_release_year) AS Average_Debut_Year FROM singer,1,SELECT AVG(Song_release_year) AS Average_Debut_Year FROM singer,0,SELECT AVG(debut_year) FROM singer,1,SELECT AVG(Year) AS Average_Debut_Year FROM (SELECT MIN(Year) AS Year FROM concert JOIN singer_in_concert ON concert.Concert_ID = singer_in_concert.Concert_ID JOIN singer ON singer_in_concert.Singer_ID = singer.Singer_ID GROUP BY singer.Singer_ID),0,1,no such column: Song_release_year,openai_compat,SELECT AVG(debut_year) AS Average_Debut_Year FROM singer,ast,valid,1,1,0,0.9383,0.7271,0.8092,1.4378,0.0024,0.65921,openai_compat
cs_cr_06,COLUMN_RENAME,List singer IDs and debut years.,"SELECT Singer_ID, debut_year FROM singer ORDER BY Singer_ID",False,,"SELECT Singer_ID, MIN(Song_release_year) AS Debut_Year
FROM singer
GROUP BY Singer_ID",1,"SELECT Singer_ID, MIN(Song_release_year) AS Debut_Year
FROM singer
GROUP BY Singer_ID",0,"SELECT Singer_ID, debut_year FROM singer",1,"SELECT Singer_ID, MIN(Year) AS Debut_Year
FROM singer
JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID
JOIN concert ON singer_in_concert.Concert_ID = concert.Concert_ID
GROUP BY Singer_ID",0,1,no such column: Song_release_year,openai_compat,"SELECT Singer_ID, MIN(debut_year) AS Debut_Year FROM singer GROUP BY Singer_ID",ast,valid,1,1,0,0.7941,0.7929,0.9471,1.3513,0.0027,0.856361,openai_compat
cs_cr_07,COLUMN_RENAME,Songs released between 2000 and 2014.,SELECT song_title FROM singer WHERE debut_year BETWEEN 2000 AND 2014 ORDER BY song_title,False,,"SELECT Song_Name 
FROM singer 
WHERE Song_release_year BETWEEN 2000 AND 2014",1,"SELECT Song_Name 
FROM singer 
WHERE Song_release_year BETWEEN 2000 AND 2014",0,"SELECT song_title 
FROM singer 
WHERE debut_year BETWEEN 2000 AND 2014",1,"SELECT Song_Name 
FROM singer 
WHERE Song_release_year BETWEEN 2000 AND 2014",0,1,no such column: Song_Name,openai_compat,SELECT song_title FROM singer WHERE debut_year BETWEEN 2000 AND 2014,ast,valid,1,1,0,0.703,0.6634,0.8133,0.7907,0.0025,0.716257,openai_compat
cs_cr_08,COLUMN_RENAME,Singers with songs released in 2014.,SELECT Name FROM singer WHERE debut_year=2014,False,,SELECT Name FROM singer WHERE Song_release_year = 2014,1,SELECT Name FROM singer WHERE Song_release_year = 2014,0,"SELECT Name 
FROM singer 
WHERE debut_year = 2014",1,SELECT Name FROM singer WHERE Song_release_year = 2014,0,1,no such column: Song_release_year,openai_compat,SELECT Name FROM singer WHERE debut_year = 2014,ast,valid,1,1,0,0.7464,0.6525,0.9186,0.8232,0.0023,0.654244,openai_compat
cs_cr_09,COLUMN_RENAME,Count distinct song titles.,SELECT COUNT(DISTINCT song_title) FROM singer,False,,SELECT COUNT(DISTINCT Song_Name) FROM singer,1,SELECT COUNT(DISTINCT Song_Name) FROM singer,0,SELECT COUNT(DISTINCT song_title) FROM singer,1,SELECT COUNT(DISTINCT Song_Name) FROM singer,0,1,no such column: Song_Name,openai_compat,SELECT COUNT(DISTINCT song_title) FROM singer,ast,silent_failure_suspected,1,1,0,0.6393,0.945,0.9604,0.8472,0.7065,0.670974,openai_compat
cs_cr_10,COLUMN_RENAME,Song titles by French singers.,SELECT song_title FROM singer WHERE Country='France' ORDER BY song_title,False,,"SELECT Song_Name 
FROM singer 
WHERE Country = 'France'",1,"SELECT Song_Name 
FROM singer 
WHERE Country = 'France'",0,"SELECT song_title 
FROM singer 
WHERE Country = 'France'",1,"SELECT Song_Name 
FROM singer 
WHERE Country = 'French'",0,1,no such column: Song_Name,openai_compat,SELECT song_title FROM singer WHERE Country = 'France',ast,valid,1,1,0,12.204,0.92,1.0213,0.7898,0.0021,0.597161,openai_compat
