id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
Q01,TABLE_RENAME,How many singers do we have?,SELECT COUNT(*) FROM artist,False,,SELECT COUNT(Singer_ID) FROM singer,1,SELECT COUNT(Singer_ID) FROM singer,0,SELECT COUNT(Singer_ID) FROM artist,1,SELECT COUNT(Singer_ID) FROM singer,0,1,no such table: singer,openai_compat,SELECT COUNT(Singer_ID) FROM artist,ast,valid,1,1,0,1.7322,2.7095,0.8145,1.7393,0.0209,17.718366,openai_compat
Q02,TABLE_RENAME,What is the name and country of every singer?,"SELECT Name, Country FROM artist",False,,"SELECT Name, Country FROM singer",1,"SELECT Name, Country FROM singer",0,"SELECT Name, Country FROM artist",1,"SELECT Name, Country FROM singer",0,1,no such table: singer,openai_compat,"SELECT Name, Country FROM artist",ast,valid,1,1,0,1.1756,1.2695,0.5767,0.8523,0.0026,0.607804,openai_compat
Q03,TABLE_RENAME,List the names of singers from France.,SELECT Name FROM artist WHERE Country = 'France',False,,SELECT Name FROM singer WHERE Country = 'France',1,SELECT Name FROM singer WHERE Country = 'France',0,SELECT Name FROM artist WHERE Country = 'France',1,SELECT Name FROM singer,0,1,no such table: singer,openai_compat,SELECT Name FROM artist WHERE Country = 'France',ast,valid,1,1,0,0.5746,0.6687,0.8464,0.7844,0.0031,0.71408,openai_compat
Q04,TABLE_RENAME,What are the names of all singers ordered by age from oldest to youngest?,SELECT Name FROM artist ORDER BY Age DESC,False,,SELECT Name FROM singer ORDER BY Age DESC,1,SELECT Name FROM singer ORDER BY Age DESC,0,SELECT Name FROM artist ORDER BY Age DESC,1,SELECT Name FROM singer_in_concert,0,1,no such table: singer,openai_compat,SELECT Name FROM artist ORDER BY Age DESC,ast,valid,1,1,0,1.216,1.2779,1.2126,1.1881,0.0036,0.881635,openai_compat
Q05,TABLE_RENAME,How many male singers are there?,SELECT COUNT(*) FROM artist WHERE Is_male = 'T',False,,SELECT COUNT(Singer_ID) FROM singer WHERE Is_male = 'True',0,SELECT COUNT(Singer_ID) FROM singer WHERE Is_male = 'Yes',0,SELECT COUNT(Singer_ID) FROM artist WHERE Is_male = 'TRUE',0,SELECT COUNT(Singer_ID) FROM singer,0,1,no such table: singer,openai_compat,SELECT COUNT(Singer_ID) FROM artist WHERE Is_male = 'Yes',ast,silent_failure_suspected,0,0,0,0.6693,0.727,1.1924,1.099,0.5852,1.250925,openai_compat
Q06,TABLE_RENAME,"What is the average, minimum, and maximum age of all singers?","SELECT AVG(Age), MIN(Age), MAX(Age) FROM artist",False,,"SELECT AVG(Age) AS Average_Age, MIN(Age) AS Minimum_Age, MAX(Age) AS Maximum_Age FROM singer",1,"SELECT AVG(Age) AS Average, MIN(Age) AS Minimum, MAX(Age) AS Maximum FROM singer",0,"SELECT AVG(Age) AS Average, MIN(Age) AS Minimum, MAX(Age) AS Maximum FROM artist",1,"SELECT AVG(Age) AS Average, MIN(Age) AS Minimum, MAX(Age) AS Maximum FROM singer",0,1,no such table: singer,openai_compat,"SELECT AVG(Age) AS Average, MIN(Age) AS Minimum, MAX(Age) AS Maximum FROM artist",ast,valid,1,1,0,1.311,1.1683,1.2701,1.078,0.0031,1.294922,openai_compat
Q07,TABLE_RENAME,List each country and the number of singers from that country.,"SELECT Country, COUNT(*) FROM artist GROUP BY Country",False,,"SELECT Country, COUNT(Singer_ID) FROM singer GROUP BY Country",1,"SELECT Country, COUNT(Singer_ID) FROM singer GROUP BY Country",0,"SELECT Country, COUNT(Singer_ID) FROM artist GROUP BY Country",1,"SELECT Country, COUNT(Singer_ID) FROM singer_in_concert GROUP BY Country",0,1,no such table: singer,openai_compat,"SELECT Country, COUNT(Singer_ID) FROM artist GROUP BY Country",ast,valid,1,1,0,0.9613,1.3398,1.2117,1.0951,0.0033,1.155879,openai_compat
Q08,TABLE_RENAME,Show the name of the oldest singer.,SELECT Name FROM artist ORDER BY Age DESC LIMIT 1,False,,SELECT Name FROM singer ORDER BY Age DESC LIMIT 1,1,SELECT Name FROM singer WHERE Age = (SELECT MAX(Age) FROM singer),0,SELECT Name FROM artist ORDER BY Age DESC LIMIT 1,1,SELECT Name FROM singer_in_concert AS T1 INNER JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Age = (SELECT MAX(Age) FROM singer),0,1,no such table: singer,openai_compat,SELECT Name FROM artist WHERE Age = (SELECT MAX(Age) FROM artist),ast,valid,1,1,0,1.0469,0.8704,1.3027,1.0689,0.0036,1.015633,openai_compat
Q09,TABLE_RENAME,Show the names of all singers and the names of concerts they performed in.,"SELECT T2.Name, T3.concert_Name FROM singer_in_concert AS T1 JOIN artist AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T1.Concert_ID = T3.Concert_ID",False,,"SELECT T1.Name, T3.concert_Name FROM singer AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID INNER JOIN concert AS T3 ON T2.Concert_ID = T3.Concert_ID",1,"SELECT T1.Name, T3.concert_Name FROM singer AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID INNER JOIN concert AS T3 ON T2.Concert_ID = T3.Concert_ID",0,"SELECT T1.Name, T3.concert_Name 
FROM artist AS T1 
JOIN singer_in_concert AS T2 
ON T1.Singer_ID = T2.Singer_ID 
JOIN concert AS T3 
ON T2.Concert_ID = T3.Concert_ID",1,"SELECT T1.Name, T3.concert_Name FROM singer AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID INNER JOIN concert AS T3 ON T2.Concert_ID = T3.Concert_ID",0,1,no such table: singer,openai_compat,"SELECT T1.Name, T3.concert_Name FROM artist AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID INNER JOIN concert AS T3 ON T2.Concert_ID = T3.Concert_ID",ast,valid,1,1,0,1.3606,1.5499,1.2684,0.7279,0.0047,1.793164,openai_compat
Q10,TABLE_RENAME,List the names of singers who performed in a concert with theme 'Wide Awake'.,SELECT T2.Name FROM singer_in_concert AS T1 JOIN artist AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T1.Concert_ID = T3.Concert_ID WHERE T3.Theme = 'Wide Awake',False,,SELECT T3.Name FROM concert AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Concert_ID = T2.Concert_ID INNER JOIN singer AS T3 ON T2.Singer_ID = T3.Singer_ID WHERE T1.Theme = 'Wide Awake',1,SELECT T3.Name FROM concert AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Concert_ID = T2.Concert_ID INNER JOIN singer AS T3 ON T2.Singer_ID = T3.Singer_ID WHERE T1.Theme = 'Wide Awake',0,SELECT T1.Name FROM artist AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID INNER JOIN concert AS T3 ON T2.Concert_ID = T3.Concert_ID WHERE T3.Theme = 'Wide Awake',1,SELECT T3.Name FROM concert AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Concert_ID = T2.Concert_ID INNER JOIN singer AS T3 ON T2.Singer_ID = T3.Singer_ID WHERE T1.Theme = 'Wide Awake',0,1,no such table: singer,openai_compat,SELECT T3.Name FROM concert AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Concert_ID = T2.Concert_ID INNER JOIN artist AS T3 ON T2.Singer_ID = T3.Singer_ID WHERE T1.Theme = 'Wide Awake',ast,valid,1,1,0,0.913,0.9079,1.37,1.1295,0.0042,1.359859,openai_compat
