id,perturbation,expected_failure,seed,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
cs_tm_01,TABLE_MERGE,False,0,"SELECT concert.concert_Name, singer_in_concert.Singer_ID
FROM concert
JOIN singer_in_concert ON concert.Concert_ID = singer_in_concert.Concert_ID",1,"SELECT c.concert_Name, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID",0,"SELECT concert_Name, Singer_ID FROM concert_performance",1,"SELECT c.concert_Name, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID",0,1,no such table: concert,openai_compat,"SELECT cp.concert_Name, cp.Singer_ID FROM concert_performance AS cp",ast,valid,1,1.0882,1.3464,2.0624,1.1018,1.5082,1.614,openai_compat
cs_tm_01,TABLE_MERGE,False,1,"SELECT concert.concert_Name, singer_in_concert.Singer_ID
FROM concert
JOIN singer_in_concert ON concert.Concert_ID = singer_in_concert.Concert_ID",1,"SELECT concert.concert_Name, singer_in_concert.Singer_ID
FROM concert
JOIN singer_in_concert ON concert.Concert_ID = singer_in_concert.Concert_ID",0,"SELECT concert_Name, Singer_ID FROM concert_performance",1,"SELECT concert.concert_Name, singer_in_concert.Singer_ID
FROM concert
JOIN singer_in_concert ON concert.Concert_ID = singer_in_concert.Concert_ID",0,1,no such table: concert,openai_compat,"SELECT concert_performance.concert_Name, concert_performance.Singer_ID FROM concert_performance",ast,valid,1,1.1866,1.1831,1.6076,1.0924,1.2646,7.156042,openai_compat
cs_tm_01,TABLE_MERGE,False,2,"SELECT c.concert_Name, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID",1,"SELECT c.concert_Name, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID",0,"SELECT concert_Name, Singer_ID FROM concert_performance",1,"SELECT c.concert_Name, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID",0,1,no such table: concert,openai_compat,"SELECT cp.concert_Name, cp.Singer_ID FROM concert_performance AS cp",ast,valid,1,1.2314,1.0437,1.1249,1.0326,1.149,1.621875,openai_compat
cs_tm_02,TABLE_MERGE,False,0,"SELECT c.concert_Name, COUNT(sic.Singer_ID) AS singer_count
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
GROUP BY c.Concert_ID",0,"SELECT c.concert_Name, COUNT(sic.Singer_ID) AS singer_count
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
GROUP BY c.Concert_ID",0,"SELECT cp.Concert_ID, cp.concert_Name, COUNT(DISTINCT cp.Singer_ID) AS Singer_Count
FROM concert_performance cp
GROUP BY cp.Concert_ID, cp.concert_Name",0,"SELECT c.concert_Name, COUNT(sic.Singer_ID) AS singer_count
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
GROUP BY c.Concert_ID",0,1,no such table: concert,openai_compat,"SELECT cp.concert_Name, COUNT(cp.Singer_ID) AS singer_count 
FROM concert_performance AS cp 
GROUP BY cp.Concert_ID",ast,valid,0,1.5362,1.2944,1.6509,1.2655,2.1245,8.301416,openai_compat
cs_tm_02,TABLE_MERGE,False,1,"SELECT c.concert_Name, COUNT(sic.Singer_ID) AS singer_count
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
GROUP BY c.Concert_ID",0,"SELECT c.concert_Name, COUNT(sic.Singer_ID) AS singer_count
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
GROUP BY c.Concert_ID",0,"SELECT cp.Concert_ID, cp.concert_Name, COUNT(DISTINCT cp.Singer_ID) AS singer_count
FROM concert_performance cp
GROUP BY cp.Concert_ID, cp.concert_Name",0,"SELECT c.concert_Name, COUNT(sic.Singer_ID) AS singer_count
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
GROUP BY c.Concert_ID",0,1,no such table: concert,openai_compat,"SELECT cp.concert_Name, COUNT(cp.Singer_ID) AS singer_count 
FROM concert_performance AS cp 
GROUP BY cp.Concert_ID",ast,valid,0,1.6503,1.8701,1.413,1.4422,2.1228,1.566375,openai_compat
cs_tm_02,TABLE_MERGE,False,2,"SELECT c.concert_Name, COUNT(sic.Singer_ID) AS singer_count
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
GROUP BY c.Concert_ID",0,"SELECT c.concert_Name, COUNT(sic.Singer_ID) AS singer_count
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
GROUP BY c.Concert_ID",0,"SELECT cp.Concert_ID, cp.concert_Name, COUNT(DISTINCT cp.Singer_ID) AS singer_count
FROM concert_performance cp
GROUP BY cp.Concert_ID, cp.concert_Name",0,"SELECT c.concert_Name, COUNT(sic.Singer_ID) AS singer_count
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
GROUP BY c.Concert_ID",0,1,no such table: concert,openai_compat,"SELECT cp.concert_Name, COUNT(cp.Singer_ID) AS singer_count 
FROM concert_performance AS cp 
GROUP BY cp.Concert_ID",ast,valid,0,1.6906,1.7926,1.3383,1.2489,1.1862,7.442916,openai_compat
cs_tm_03,TABLE_MERGE,False,0,"SELECT c.Concert_ID, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
WHERE c.Year = 2015",1,"SELECT c.Concert_ID, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
WHERE c.Year = 2015",0,"SELECT Concert_ID, Singer_ID FROM concert_performance WHERE Year = 2015",1,"SELECT c.Concert_ID, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
WHERE c.Year = 2015",0,1,no such table: concert,openai_compat,"SELECT Concert_ID, Singer_ID FROM concert_performance WHERE Year = 2015",ast,valid,1,1.7047,1.2276,0.9903,1.1935,1.3191,1.833709,openai_compat
cs_tm_03,TABLE_MERGE,False,1,"SELECT c.Concert_ID, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
WHERE c.Year = 2015",1,"SELECT c.Concert_ID, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
WHERE c.Year = 2015",0,"SELECT Concert_ID, Singer_ID FROM concert_performance WHERE Year = 2015",1,"SELECT c.Concert_ID, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
WHERE c.Year = 2015",0,1,no such table: concert,openai_compat,"SELECT cp.Concert_ID, cp.Singer_ID 
FROM concert_performance AS cp 
WHERE cp.Year = 2015",ast,valid,1,0.9732,1.8,0.9928,1.2647,1.1658,7.323625,openai_compat
cs_tm_03,TABLE_MERGE,False,2,"SELECT c.Concert_ID, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
WHERE c.Year = 2015",1,"SELECT c.Concert_ID, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
WHERE c.Year = 2015",0,"SELECT Concert_ID, Singer_ID FROM concert_performance WHERE Year = 2015",1,"SELECT c.Concert_ID, sic.Singer_ID
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
WHERE c.Year = 2015",0,1,no such table: concert,openai_compat,"SELECT cp.Concert_ID, cp.Singer_ID 
FROM concert_performance AS cp 
WHERE cp.Year = 2015",ast,valid,1,1.2808,1.1095,1.0204,1.3934,2.665,1.701334,openai_compat
cs_tm_04,TABLE_MERGE,False,0,"SELECT c.Theme, COUNT(sic.Singer_ID) AS Singer_Count
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
GROUP BY c.Theme",1,"SELECT c.Theme, COUNT(sic.Singer_ID) AS Singer_Count
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
GROUP BY c.Theme",0,"SELECT cp.Theme, COUNT(DISTINCT cp.Singer_ID) AS Singer_Count
FROM concert_performance cp
GROUP BY cp.Theme",1,"SELECT c.Theme, COUNT(sic.Singer_ID) AS Singer_Count
FROM concert c
JOIN singer_in_concert sic ON c.Concert_ID = sic.Concert_ID
GROUP BY c.Theme",0,1,no such table: concert,openai_compat,"SELECT cp.Theme, COUNT(cp.Singer_ID) AS Singer_Count 
FROM concert_performance AS cp 
GROUP BY cp.Theme",ast,valid,1,1.2885,1.4204,1.0288,1.3818,1.6274,7.613167,openai_compat
