id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
hr_ts_01,TABLE_SPLIT,List employee first and last names.,"SELECT first_name, last_name FROM employee_personal ORDER BY employee_id",False,,"SELECT first_name, last_name FROM employees",1,"SELECT first_name, last_name FROM employees",0,"SELECT first_name, last_name FROM employee_personal",1,"SELECT first_name, last_name FROM employees",0,1,no such table: employees,openai_compat,"SELECT first_name, last_name 
FROM employee_personal",ast,valid,1,1,0,0.6396,0.9237,0.7293,0.548,3.0094,0.507197,openai_compat
hr_ts_02,TABLE_SPLIT,Count employees.,SELECT COUNT(*) FROM employee_personal,False,,SELECT COUNT(employee_id) FROM employees,1,SELECT COUNT(employee_id) FROM employees,0,SELECT COUNT(employee_id) FROM employee_personal,1,SELECT COUNT(employee_id) FROM main.employees,0,1,no such table: employees,openai_compat,SELECT COUNT(employee_id) FROM employee_personal,ast,valid,1,1,0,0.5209,2.5582,0.6869,0.7654,0.5823,0.576091,openai_compat
hr_ts_03,TABLE_SPLIT,Employees with salary over 7000.,SELECT employee_id FROM employee_job WHERE salary > 7000 ORDER BY employee_id,False,,SELECT * FROM employees WHERE salary > 7000,0,SELECT * FROM employees WHERE salary > 7000,0,"SELECT T1.first_name, T1.last_name FROM employee_personal AS T1 INNER JOIN employee_job AS T2 ON T1.employee_id = T2.employee_id WHERE T2.salary > 7000",0,SELECT * FROM employees WHERE salary > 7000,0,1,no such table: employees,openai_compat,"SELECT * 
FROM employee_job 
WHERE salary > 7000",ast,valid,0,0,0,0.5959,0.6116,0.8128,0.5851,0.6068,0.560734,openai_compat
hr_ts_04,TABLE_SPLIT,Average employee salary.,SELECT AVG(salary) FROM employee_job,False,,SELECT AVG(salary) FROM employees,1,SELECT AVG(salary) FROM employees,0,SELECT AVG(salary) FROM employee_job,1,SELECT AVG(T1.salary) FROM employees AS T1,0,1,no such table: employees,openai_compat,SELECT AVG(salary) FROM employee_job,ast,valid,1,1,0,1.1233,0.5854,0.8616,0.8694,0.5699,0.4568,openai_compat
hr_ts_05,TABLE_SPLIT,List employee emails.,SELECT email FROM employee_personal ORDER BY employee_id,False,,SELECT email FROM employees,1,SELECT email FROM employees,0,SELECT email FROM employee_personal,1,SELECT email FROM employees,0,1,no such table: employees,openai_compat,"SELECT email 
FROM employee_personal",ast,valid,1,1,0,0.598,0.6341,0.5084,0.5154,0.6892,0.434425,openai_compat
hr_ts_06,TABLE_SPLIT,Employees in department 10.,"SELECT p.employee_id, p.first_name FROM employee_personal p JOIN employee_job j ON p.employee_id=j.employee_id WHERE j.department_id=10 ORDER BY p.employee_id",False,,SELECT * FROM employees WHERE department_id = 10,0,SELECT * FROM employees WHERE department_id = 10,0,"SELECT T1.first_name, T1.last_name FROM employee_personal AS T1 INNER JOIN employee_job AS T2 ON T1.employee_id = T2.employee_id WHERE T2.department_id = 10",0,SELECT * FROM employees AS T1 INNER JOIN departments AS T2 ON T1.department_id = T2.department_id WHERE T2.department_id = 10,0,1,no such table: employees,openai_compat,"SELECT * 
FROM employee_job 
WHERE department_id = 10",ast,valid,0,0,0,0.5921,0.7599,0.978,0.8362,0.7444,0.565506,openai_compat
hr_ts_07,TABLE_SPLIT,List employee job IDs.,"SELECT employee_id, job_id FROM employee_job ORDER BY employee_id",False,,SELECT job_id FROM employees,0,SELECT job_id FROM employees,0,SELECT job_id FROM employee_job,0,SELECT job_id FROM jobs,0,1,no such table: employees,openai_compat,SELECT job_id FROM employee_job,ast,valid,0,0,0,0.6077,0.5633,0.5981,0.6476,1.1354,0.463558,openai_compat
hr_ts_08,TABLE_SPLIT,Count employees per department.,"SELECT department_id, COUNT(*) FROM employee_job GROUP BY department_id ORDER BY department_id",False,,"SELECT department_id, COUNT(employee_id) FROM employees GROUP BY department_id",1,"SELECT department_id, COUNT(employee_id) FROM employees GROUP BY department_id",0,"SELECT department_id, COUNT(employee_id) FROM employee_job GROUP BY department_id",1,"SELECT T1.department_id, COUNT(T2.employee_id) FROM departments AS T1 INNER JOIN employees AS T2 ON T1.department_id = T2.department_id GROUP BY T1.department_id",0,1,no such table: employees,openai_compat,"SELECT department_id, COUNT(employee_id) 
FROM employee_job 
GROUP BY department_id",ast,valid,1,1,0,1.2479,0.7837,0.6036,0.62,0.8011,0.550306,openai_compat
hr_ts_09,TABLE_SPLIT,Employees with commissions.,SELECT employee_id FROM employee_job WHERE commission_pct IS NOT NULL ORDER BY employee_id,False,,SELECT * FROM employees WHERE commission_pct IS NOT NULL AND commission_pct > 0,0,SELECT * FROM employees WHERE commission_pct IS NOT NULL AND commission_pct > 0,0,"SELECT T1.first_name, T1.last_name FROM employee_personal AS T1 INNER JOIN employee_job AS T2 ON T1.employee_id = T2.employee_id WHERE T2.commission_pct IS NOT NULL AND T2.commission_pct > 0",0,SELECT * FROM employees WHERE commission_pct IS NOT NULL AND commission_pct > 0,0,1,no such table: employees,openai_compat,"SELECT * 
FROM employee_job 
WHERE NOT commission_pct IS NULL AND commission_pct > 0",ast,silent_failure_suspected,0,0,0,1.2038,1.1139,0.8554,0.6449,0.649,23.820049,openai_compat
hr_ts_10,TABLE_SPLIT,Employees managed by 1.,SELECT employee_id FROM employee_job WHERE manager_id=1 ORDER BY employee_id,False,,"SELECT first_name, last_name FROM employees WHERE manager_id = 1",0,"SELECT first_name, last_name FROM employees WHERE manager_id = 1",0,"SELECT T1.first_name, T1.last_name FROM employee_personal AS T1 INNER JOIN employee_job AS T2 ON T1.employee_id = T2.employee_id WHERE T2.manager_id = 1",0,"SELECT first_name, last_name FROM employees WHERE manager_id = 1",0,1,no such table: employees,openai_compat,"SELECT ep.first_name, ep.last_name 
FROM employee_personal ep 
JOIN employee_job ej ON ep.employee_id = ej.employee_id 
WHERE ej.manager_id = 1",ast,silent_failure_suspected,0,0,0,0.495,0.5443,0.6301,0.6271,0.8879,0.603388,openai_compat
