id,perturbation,expected_failure,seed,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
cs_cr_01,COLUMN_RENAME,False,0,SELECT DISTINCT Song_Name FROM singer,1,SELECT DISTINCT Song_Name FROM singer,0,SELECT song_title FROM singer,1,SELECT DISTINCT Song_Name FROM singer WHERE Song_Name IS NOT NULL,0,1,no such column: Song_Name,anthropic,SELECT DISTINCT song_title FROM singer,ast,valid,1,1.1644,1.6715,1.0248,0.8355,0.0694,0.711416,anthropic
cs_cr_01,COLUMN_RENAME,False,1,SELECT DISTINCT Song_Name FROM singer,1,SELECT DISTINCT Song_Name FROM singer,0,SELECT song_title FROM singer,1,SELECT DISTINCT Song_Name FROM singer WHERE Song_Name IS NOT NULL,0,1,no such column: Song_Name,anthropic,SELECT DISTINCT song_title FROM singer,ast,valid,1,1.5004,1.3628,1.2164,0.8913,0.0436,0.833667,anthropic
cs_cr_01,COLUMN_RENAME,False,2,SELECT DISTINCT Song_Name FROM singer,1,SELECT DISTINCT Song_Name FROM singer,0,SELECT song_title FROM singer,1,SELECT DISTINCT Song_Name FROM singer WHERE Song_Name IS NOT NULL,0,1,no such column: Song_Name,anthropic,SELECT DISTINCT song_title FROM singer,ast,valid,1,1.0209,1.108,0.8757,1.0046,0.0484,1.084,anthropic
cs_cr_01,COLUMN_RENAME,False,3,SELECT DISTINCT Song_Name FROM singer,1,SELECT DISTINCT Song_Name FROM singer,0,SELECT song_title FROM singer,1,SELECT DISTINCT Song_Name FROM singer WHERE Song_Name IS NOT NULL,0,1,no such column: Song_Name,anthropic,SELECT DISTINCT song_title FROM singer,ast,valid,1,1.4397,1.618,1.5048,0.9369,0.0265,0.50975,anthropic
cs_cr_01,COLUMN_RENAME,False,4,SELECT DISTINCT Song_Name FROM singer,1,SELECT DISTINCT Song_Name FROM singer,0,SELECT song_title FROM singer,1,SELECT DISTINCT Song_Name FROM singer WHERE Song_Name IS NOT NULL,0,1,no such column: Song_Name,anthropic,SELECT DISTINCT song_title FROM singer,ast,valid,1,0.9452,1.3651,0.8918,0.9003,0.0512,0.845208,anthropic
cs_cr_02,COLUMN_RENAME,False,0,SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010,1,SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010,0,SELECT COUNT(*) FROM singer WHERE debut_year > 2010,1,"SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010;

Wait, let me reconsider. The error says ""no such column: Song_release_year"" but looking at the schema, the singer table has `Song_release_year` as a column. Let me check the exact column name in the schema again.

Looking at the schema: `TABLE singer ( Singer_ID INTEGER, Name TEXT, Country TEXT, Song_Name TEXT, Song_release_year INTEGER, Age INTEGER, Is_male TEXT )`

The column is `Song_release_year`. The query should work. However, if there's an execution error about this column not existing, perhaps the actual column name is different. Let me provide the correct query:

SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010",0,1,no such column: Song_release_year,anthropic,SELECT COUNT(*) FROM singer WHERE debut_year > 2010,ast,valid,1,0.915,1.0323,1.4078,2.0847,0.0446,1.020625,anthropic
cs_cr_02,COLUMN_RENAME,False,1,SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010,1,SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010,0,SELECT COUNT(*) FROM singer WHERE debut_year > 2010,1,"SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010;

Wait, let me reconsider. The error says ""no such column: Song_release_year"" but looking at the schema, the singer table has `Song_release_year` as a column. Let me check the exact column name in the schema again.

Looking at the schema: `TABLE singer ( Singer_ID INTEGER, Name TEXT, Country TEXT, Song_Name TEXT, Song_release_year INTEGER, Age INTEGER, Is_male TEXT )`

The column is `Song_release_year`. The query should work. However, if there's an execution error about this column not existing, perhaps the actual column name is different. Let me provide the correct query:

SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010",0,1,no such column: Song_release_year,anthropic,SELECT COUNT(*) FROM singer WHERE debut_year > 2010,ast,valid,1,0.9779,1.0337,1.0452,2.0768,0.0473,1.120666,anthropic
cs_cr_02,COLUMN_RENAME,False,2,SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010,1,SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010,0,SELECT COUNT(*) FROM singer WHERE debut_year > 2010,1,"SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010;

Wait, let me reconsider. The error says ""no such column: Song_release_year"" but looking at the schema, the singer table has `Song_release_year` as a column. Let me check the exact column name in the schema again.

Looking at the schema: `TABLE singer ( Singer_ID INTEGER, Name TEXT, Country TEXT, Song_Name TEXT, Song_release_year INTEGER, Age INTEGER, Is_male TEXT )`

The column is `Song_release_year`. The query should work. However, if there's an execution error about this column not existing, perhaps the actual column name is different. Let me provide the correct query:

SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010",0,1,no such column: Song_release_year,anthropic,SELECT COUNT(*) FROM singer WHERE debut_year > 2010,ast,valid,1,1.0283,0.9685,2.6567,2.1176,0.0369,0.946541,anthropic
cs_cr_02,COLUMN_RENAME,False,3,SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010,1,SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010,0,SELECT COUNT(*) FROM singer WHERE debut_year > 2010,1,"SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010;

Wait, let me reconsider. The error says ""no such column: Song_release_year"" but looking at the schema, the singer table has `Song_release_year` as a column. Let me check the exact column name in the schema again.

Looking at the schema: `TABLE singer ( Singer_ID INTEGER, Name TEXT, Country TEXT, Song_Name TEXT, Song_release_year INTEGER, Age INTEGER, Is_male TEXT )`

The column is `Song_release_year`. The query should work. However, if there's an execution error about this column not existing, perhaps the actual column name is different. Let me provide the correct query:

SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010",0,1,no such column: Song_release_year,anthropic,SELECT COUNT(*) FROM singer WHERE debut_year > 2010,ast,valid,1,0.9593,0.9553,0.8987,2.0631,0.0497,1.039625,anthropic
cs_cr_02,COLUMN_RENAME,False,4,SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010,1,SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010,0,SELECT COUNT(*) FROM singer WHERE debut_year > 2010,1,"SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010;

Wait, let me reconsider. The error says ""no such column: Song_release_year"" but looking at the schema, the singer table has `Song_release_year` as a column. Let me check the exact column name in the schema again.

Looking at the schema: `TABLE singer ( Singer_ID INTEGER, Name TEXT, Country TEXT, Song_Name TEXT, Song_release_year INTEGER, Age INTEGER, Is_male TEXT )`

The column is `Song_release_year`. The query should work. However, since we're getting an error about the column not existing, let me verify the exact spelling. The schema shows `Song_release_year` with that exact capitalization.

The query is actually correct as written. But if there's an execution error, perhaps the issue is something else. Let me provide the correct query:

SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010",0,1,no such column: Song_release_year,anthropic,SELECT COUNT(*) FROM singer WHERE debut_year > 2010,ast,valid,1,1.6827,0.9897,0.9792,2.5873,0.0518,1.326583,anthropic
cs_cr_03,COLUMN_RENAME,False,0,"SELECT singer.Name, singer.Song_Name
FROM singer",1,"SELECT singer.Name, singer.Song_Name
FROM singer",0,"SELECT Name, song_title FROM singer",1,"SELECT singer.Name, singer.Song_Name
FROM singer

Wait, let me check the schema again. The error says ""no such column: singer.Song_Name"" but looking at the schema, the singer table has: Singer_ID, Name, Country, Song_Name, Song_release_year, Age, Is_male.

The column should exist. Let me verify the exact column name - it appears to be `Song_Name` in the schema provided. The query syntax is correct. However, if the error persists, the column might be named differently in the actual database.

Based on the schema provided, the query should work as-is:

SELECT Name, Song_Name
FROM singer",0,1,no such column: singer.Song_Name,anthropic,"SELECT singer.Name, singer.song_title FROM singer",ast,valid,1,0.993,1.4202,0.9563,2.2373,0.0445,1.214042,anthropic
cs_cr_03,COLUMN_RENAME,False,1,"SELECT singer.Name, singer.Song_Name
FROM singer",1,"SELECT singer.Name, singer.Song_Name
FROM singer",0,"SELECT Name, song_title FROM singer",1,"SELECT singer.Name, singer.Song_Name
FROM singer

Wait, let me check the schema again. The error says ""no such column: singer.Song_Name"" but looking at the schema, the singer table has: Singer_ID, Name, Country, Song_Name, Song_release_year, Age, Is_male.

The column should exist. Let me verify the exact column name - it appears to be `Song_Name` in the schema provided. The query syntax is correct. However, if the error persists, the column might be named differently in the actual database.

Based on the schema provided, the query should work as-is:

```sql
SELECT Name, Song_Name
FROM singer",0,1,no such column: singer.Song_Name,anthropic,"SELECT singer.Name, singer.song_title FROM singer",ast,valid,1,0.9341,1.0721,1.5159,2.324,0.0375,0.877583,anthropic
cs_cr_03,COLUMN_RENAME,False,2,"SELECT singer.Name, singer.Song_Name
FROM singer",1,"SELECT singer.Name, singer.Song_Name
FROM singer",0,"SELECT Name, song_title FROM singer",1,"SELECT singer.Name, singer.Song_Name
FROM singer

Wait, let me check the schema again. The error says ""no such column: singer.Song_Name"" but looking at the schema, the singer table has: Singer_ID, Name, Country, Song_Name, Song_release_year, Age, Is_male.

The column should exist. Let me verify the exact column name - it appears to be `Song_Name` in the schema definition. The query syntax is correct. However, if the error persists, the column might be named differently in the actual database.

Given the schema shows `Song_Name`, the original query should work. But since it's failing, let me provide the query as it should be:

SELECT Name, Song_Name
FROM singer",0,1,no such column: singer.Song_Name,anthropic,"SELECT singer.Name, singer.song_title FROM singer",ast,valid,1,0.9382,1.3293,0.9311,2.6073,0.0524,0.998833,anthropic
cs_cr_03,COLUMN_RENAME,False,3,"SELECT singer.Name, singer.Song_Name
FROM singer",1,"SELECT singer.Name, singer.Song_Name
FROM singer",0,"SELECT Name, song_title FROM singer",1,"SELECT singer.Name, singer.Song_Name
FROM singer

Wait, let me check the schema again. The error says ""no such column: singer.Song_Name"" but looking at the schema, the singer table has: Singer_ID, Name, Country, Song_Name, Song_release_year, Age, Is_male.

The column should exist. Let me verify the exact column name - it appears to be `Song_Name` in the schema definition. The query syntax is correct. However, if the error persists, the column might be named differently in the actual database.

Given the schema shows `Song_Name`, the original query should work. But since it's failing, let me provide the corrected version:

SELECT Name, Song_Name
FROM singer",0,1,no such column: singer.Song_Name,anthropic,"SELECT singer.Name, singer.song_title FROM singer",ast,valid,1,0.9791,0.93,1.6015,2.5473,0.0471,0.916917,anthropic
cs_cr_03,COLUMN_RENAME,False,4,"SELECT singer.Name, singer.Song_Name
FROM singer",1,"SELECT singer.Name, singer.Song_Name
FROM singer",0,"SELECT Name, song_title FROM singer",1,"SELECT singer.Name, singer.Song_Name
FROM singer

Wait, let me check the schema again. The error says ""no such column: singer.Song_Name"" but looking at the schema, the singer table has: Singer_ID, Name, Country, Song_Name, Song_release_year, Age, Is_male.

The column should exist. Let me verify the exact column name - it appears to be `Song_Name` in the schema definition. The query looks correct as written.

However, if the error persists, the column might actually be named differently. Based on the schema provided, the correct query should be:

SELECT Name, Song_Name
FROM singer",0,1,no such column: singer.Song_Name,anthropic,"SELECT singer.Name, singer.song_title FROM singer",ast,valid,1,0.9196,1.0791,0.9595,2.2466,0.0438,0.939583,anthropic
cs_cr_04,COLUMN_RENAME,False,0,"SELECT DISTINCT s.Singer_ID, s.Name
FROM singer s
WHERE s.Song_Name = 'Sun'",0,"SELECT DISTINCT s.Singer_ID, s.Name
FROM singer s
WHERE s.Song_Name = 'Sun'",0,"SELECT DISTINCT s.Singer_ID, s.Name, s.song_title
FROM singer s
WHERE s.song_title = 'Sun'",0,"SELECT DISTINCT s.Singer_ID, s.Name
FROM singer s
WHERE s.Song_Name = 'Sun'

Wait, let me check the schema again. The singer table has: Singer_ID, Name, Country, Song_Name, Song_release_year, Age, Is_male.

The column Song_Name does exist in the singer table. Let me reconsider - perhaps the issue is with the database itself or the query needs adjustment. However, based on the schema provided, Song_Name should be valid.

Let me provide the corrected query:

SELECT DISTINCT Singer_ID, Name
FROM singer
WHERE Song_Name = 'Sun'",0,1,no such column: s.Song_Name,anthropic,"SELECT DISTINCT s.Singer_ID, s.Name FROM singer AS s WHERE s.song_title = 'Sun'",ast,valid,0,1.0043,1.0232,1.0381,2.0263,0.0501,1.149042,anthropic
cs_cr_04,COLUMN_RENAME,False,1,"SELECT DISTINCT s.Singer_ID, s.Name
FROM singer s
WHERE s.Song_Name = 'Sun'",0,"SELECT DISTINCT s.Singer_ID, s.Name
FROM singer s
WHERE s.Song_Name = 'Sun'",0,"SELECT DISTINCT s.Singer_ID, s.Name, s.song_title
FROM singer s
WHERE s.song_title = 'Sun'",0,"SELECT DISTINCT s.Singer_ID, s.Name
FROM singer s
WHERE s.Song_Name = 'Sun'

Wait, let me check the schema again. The singer table has: Singer_ID, Name, Country, Song_Name, Song_release_year, Age, Is_male.

The column Song_Name does exist in the singer table. Let me verify the exact column name from the schema provided... it shows ""Song_Name TEXT"" in the singer table definition.

The error says ""no such column: s.Song_Name"" which is strange. Let me look at the schema more carefully - it appears the schema is correct and Song_Name should exist. However, if this error is occurring, perhaps the actual database has a different column name. Based on the schema provided, the query should work, but since it's failing, let me try with the exact column as shown:

SELECT DISTINCT Singer_ID, Name
FROM singer
WHERE Song_Name = 'Sun'",0,1,no such column: s.Song_Name,anthropic,"SELECT DISTINCT s.Singer_ID, s.Name FROM singer AS s WHERE s.song_title = 'Sun'",ast,valid,0,1.6986,1.0943,1.3711,2.701,0.0476,1.157208,anthropic
