id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
cs_ts_01,TABLE_SPLIT,List all singer names.,SELECT Name FROM singer_info ORDER BY Singer_ID,False,,SELECT Name FROM singer,1,SELECT Name FROM singer,0,SELECT Name FROM singer_info,1,SELECT Name FROM singer,0,1,no such table: singer,openai_compat,SELECT Name FROM singer_info,ast,valid,1,1,0,0.9059,0.844,1.2221,0.7796,1.6624,0.455695,openai_compat
cs_ts_02,TABLE_SPLIT,Count singers from France.,SELECT COUNT(*) FROM singer_info WHERE Country='France',False,,SELECT COUNT(Singer_ID) FROM singer WHERE Country = 'France',1,SELECT COUNT(Singer_ID) FROM singer WHERE Country = 'France',0,SELECT COUNT(Singer_ID) FROM singer_info WHERE Country = 'France',1,SELECT COUNT(Singer_ID) FROM singer_in_concert WHERE Singer_ID IN (SELECT Singer_ID FROM singer WHERE Country = 'France'),0,1,no such table: singer,openai_compat,SELECT COUNT(Singer_ID) FROM singer_info WHERE Country = 'France',ast,valid,1,1,0,2.4195,0.866,0.6873,1.1319,1.0969,28.028576,openai_compat
cs_ts_03,TABLE_SPLIT,Find the song name for Singer_ID 1.,SELECT Song_Name FROM singer_songs WHERE Singer_ID=1,False,,SELECT Song_Name FROM singer WHERE Singer_ID = 1,1,SELECT Song_Name FROM singer WHERE Singer_ID = 1,0,SELECT Song_Name FROM singer_songs WHERE Singer_ID = 1,1,SELECT Song_Name FROM singer,0,1,no such table: singer,openai_compat,"SELECT Song_Name 
FROM singer_songs 
WHERE Singer_ID = 1",ast,valid,1,1,0,1.74,2.3886,1.1141,0.7817,1.4784,0.560014,openai_compat
cs_ts_04,TABLE_SPLIT,List singer names and countries alphabetically.,"SELECT Name, Country FROM singer_info ORDER BY Name",False,,"SELECT Name, Country FROM singer ORDER BY Name, Country",1,"SELECT Name, Country FROM singer ORDER BY Name, Country",0,"SELECT Name, Country FROM singer_info ORDER BY Name, Country",1,"SELECT Name, Country FROM singer_in_concert",0,1,no such table: singer,openai_compat,"SELECT Name, Country 
FROM singer_info 
ORDER BY Name, Country",ast,valid,1,1,0,1.4667,1.1548,1.6637,1.41,1.737,0.863909,openai_compat
cs_ts_05,TABLE_SPLIT,List singer names with age over 40.,SELECT Name FROM singer_info WHERE Age > 40 ORDER BY Name,False,,SELECT Name FROM singer WHERE Age > 40,1,SELECT Name FROM singer WHERE Age > 40,0,SELECT Name FROM singer_info WHERE Age > 40,1,SELECT Name FROM singer,0,1,no such table: singer,openai_compat,SELECT Name FROM singer_info WHERE Age > 40,ast,valid,1,1,0,1.4504,1.1572,1.4866,1.1865,4.3255,0.681986,openai_compat
cs_ts_06,TABLE_SPLIT,List song release years since 2010.,SELECT Song_release_year FROM singer_songs WHERE Song_release_year >= 2010 ORDER BY Song_release_year,False,,SELECT Song_release_year FROM singer WHERE Song_release_year >= 2010,1,SELECT Song_release_year FROM singer WHERE Song_release_year >= 2010,0,SELECT Song_release_year FROM singer_songs WHERE Song_release_year >= 2010,1,SELECT Song_release_year FROM singer_in_concert AS T1 INNER JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Song_release_year >= 2010,0,1,no such table: singer,openai_compat,"SELECT Song_release_year 
FROM singer_songs 
WHERE Song_release_year >= 2010",ast,valid,1,1,0,2.206,1.201,0.6861,3.4013,0.9119,0.590848,openai_compat
cs_ts_07,TABLE_SPLIT,List singer names with their song titles.,"SELECT i.Name, s.Song_Name FROM singer_info i JOIN singer_songs s ON i.Singer_ID=s.Singer_ID ORDER BY i.Singer_ID",False,,"SELECT Name, Song_Name FROM singer",1,"SELECT Name, Song_Name FROM singer",0,"SELECT T1.Name, T2.Song_Name FROM singer_info AS T1 INNER JOIN singer_songs AS T2 ON T1.Singer_ID = T2.Singer_ID",1,"SELECT Name, Song_Name FROM singer",0,1,no such table: singer,openai_compat,"SELECT si.Name, ss.Song_Name 
FROM singer_info si 
JOIN singer_songs ss ON si.Singer_ID = ss.Singer_ID",ast,valid,1,1,0,1.6268,1.5545,1.2077,0.6387,2.6456,0.613385,openai_compat
cs_ts_08,TABLE_SPLIT,Which singer performs the song 'Sun'?,SELECT i.Name FROM singer_info i JOIN singer_songs s ON i.Singer_ID=s.Singer_ID WHERE s.Song_Name='Sun',False,,SELECT Name FROM singer WHERE Song_Name = 'Sun',1,SELECT Name FROM singer WHERE Song_Name = 'Sun',0,SELECT T1.Name FROM singer_info AS T1 INNER JOIN singer_songs AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Song_Name = 'Sun',1,SELECT Name FROM singer,0,1,no such table: singer,openai_compat,"SELECT si.Name 
FROM singer_info si 
JOIN singer_songs ss ON si.Singer_ID = ss.Singer_ID 
WHERE ss.Song_Name = 'Sun'",ast,valid,1,1,0,0.8356,1.6023,1.0196,2.081,1.3735,0.612219,openai_compat
cs_ts_09,TABLE_SPLIT,Count male singers.,SELECT COUNT(*) FROM singer_info WHERE Is_male='T',False,,SELECT COUNT(Singer_ID) FROM singer WHERE Is_male = 'True',0,SELECT COUNT(Singer_ID) FROM singer WHERE Is_male = 'True',0,SELECT COUNT(Singer_ID) FROM singer_info WHERE Is_male = 'True',0,SELECT COUNT(Singer_ID) FROM singer_in_concert WHERE Singer_ID IN (SELECT Singer_ID FROM singer WHERE Is_male = 'True'),0,1,no such table: singer,openai_compat,SELECT COUNT(Singer_ID) FROM singer_info WHERE Is_male = 'True',ast,silent_failure_suspected,0,0,0,0.6257,4.1029,2.4742,1.2254,1.0424,0.683698,openai_compat
cs_ts_10,TABLE_SPLIT,Singers with songs released in 2014 or later.,SELECT i.Name FROM singer_info i JOIN singer_songs s ON i.Singer_ID=s.Singer_ID WHERE s.Song_release_year >= 2014 ORDER BY i.Name,False,,SELECT Name FROM singer WHERE Song_release_year >= 2014,1,SELECT Name FROM singer WHERE Song_release_year >= 2014,0,SELECT T1.Name FROM singer_info AS T1 INNER JOIN singer_songs AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Song_release_year >= 2014,1,SELECT Name FROM singer,0,1,no such table: singer,openai_compat,"SELECT si.Name 
FROM singer_info si 
JOIN singer_songs ss ON si.Singer_ID = ss.Singer_ID 
WHERE ss.Song_release_year >= 2014",ast,valid,1,1,0,0.7902,0.8049,1.2535,1.591,0.8037,0.569817,openai_compat
