id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
cs_tr_01,TABLE_RENAME,List all singer names.,SELECT Name FROM artist ORDER BY Singer_ID,False,,SELECT Name FROM singer,1,SELECT Name FROM singer,0,SELECT Name FROM artist,1,SELECT Name FROM singer,0,1,no such table: singer,gemini,SELECT Name FROM artist,ast,valid,1,1,0,14.1283,1.2536,1.1149,3.7013,0.0675,64.730318,gemini
cs_tr_02,TABLE_RENAME,Count singers from France.,SELECT COUNT(*) FROM artist WHERE Country='France',False,,SELECT count(*) FROM singer WHERE Country = 'France',1,SELECT count(*) FROM singer WHERE Country = 'France',0,SELECT count(*) FROM artist WHERE Country = 'France',1,SELECT count(*) FROM singer WHERE Country = 'France',0,1,no such table: singer,gemini,SELECT COUNT(*) FROM artist WHERE Country = 'France',ast,valid,1,1,0,1.5659,1.4755,1.2451,1.4035,0.003,0.978414,gemini
cs_tr_03,TABLE_RENAME,Find the song name for Singer_ID 1.,SELECT Song_Name FROM artist WHERE Singer_ID=1,False,,SELECT Song_Name FROM singer WHERE Singer_ID = 1,1,SELECT Song_Name FROM singer WHERE Singer_ID = 1,0,SELECT Song_Name FROM artist WHERE Singer_ID = 1,1,SELECT Song_Name FROM singer WHERE Singer_ID = 1,0,1,no such table: singer,gemini,SELECT Song_Name FROM artist WHERE Singer_ID = 1,ast,valid,1,1,0,1.5429,1.5769,1.2893,3.7968,0.0033,0.929891,gemini
cs_tr_04,TABLE_RENAME,List singer names with age over 40.,SELECT Name FROM artist WHERE Age > 40 ORDER BY Name,False,,SELECT Name FROM singer WHERE Age > 40,1,SELECT Name FROM singer WHERE Age > 40,0,SELECT Name FROM artist WHERE Age > 40,1,SELECT Name FROM singer WHERE Age > 40,0,1,no such table: singer,gemini,SELECT Name FROM artist WHERE Age > 40,ast,valid,1,1,0,1.2703,1.3266,1.1597,3.5501,0.0037,1.127672,gemini
cs_tr_05,TABLE_RENAME,Count male singers.,SELECT COUNT(*) FROM artist WHERE Is_male='T',False,,SELECT count(*) FROM singer WHERE Is_male = 'T',1,SELECT count(*) FROM singer WHERE Is_male = 'T',0,SELECT COUNT(*) FROM artist WHERE Is_male = 'yes',0,SELECT count(*) FROM singer WHERE Is_male = 'T',0,1,no such table: singer,gemini,SELECT COUNT(*) FROM artist WHERE Is_male = 'T',ast,valid,1,1,0,1.5421,1.5009,1.6454,4.7565,0.0033,0.921929,gemini
cs_tr_06,TABLE_RENAME,List song release years since 2010.,SELECT Song_release_year FROM artist WHERE Song_release_year >= 2010 ORDER BY Song_release_year,False,,SELECT Song_release_year FROM singer WHERE Song_release_year >= 2010,1,SELECT Song_release_year FROM singer WHERE Song_release_year >= 2010,0,SELECT Song_release_year FROM artist WHERE Song_release_year >= 2010,1,SELECT Song_release_year FROM singer WHERE Song_release_year >= 2010,0,1,no such table: singer,gemini,SELECT Song_release_year FROM artist WHERE Song_release_year >= 2010,ast,valid,1,1,0,1.0274,1.1245,1.2328,3.5703,0.0038,0.80396,gemini
cs_tr_07,TABLE_RENAME,List singer names and countries alphabetically.,"SELECT Name, Country FROM artist ORDER BY Name",False,,"SELECT Name, Country FROM singer ORDER BY Name ASC",1,"SELECT Name, Country FROM singer ORDER BY Name ASC",0,"SELECT Name, Country FROM artist ORDER BY Name ASC",1,"SELECT Name, Country FROM singer ORDER BY Name ASC",0,1,no such table: singer,gemini,"SELECT Name, Country FROM artist ORDER BY Name ASC",ast,valid,1,1,0,1.4206,1.4055,1.2363,3.4623,0.003,0.840112,gemini
cs_tr_08,TABLE_RENAME,Which singers performed in concert 1?,SELECT a.Name FROM artist a JOIN singer_in_concert sc ON a.Singer_ID=sc.Singer_ID WHERE sc.Concert_ID=1 ORDER BY a.Name,False,,SELECT T1.Name FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Concert_ID = 1,1,SELECT T1.Name FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Concert_ID = 1,0,SELECT T1.Name FROM artist AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Concert_ID = 1,1,SELECT T1.Name FROM singer AS T1 JOIN singer_in_concert AS T2 ON T,0,1,no such table: singer,gemini,SELECT T1.Name FROM artist AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Concert_ID = 1,ast,valid,1,1,0,1.7166,1.9777,2.001,3.9175,0.0044,1.28557,gemini
cs_tr_09,TABLE_RENAME,Count concerts per singer.,"SELECT a.Name, COUNT(*) AS concert_count FROM artist a JOIN singer_in_concert sc ON a.Singer_ID=sc.Singer_ID GROUP BY a.Name ORDER BY concert_count DESC, a.Name",False,,"SELECT T1.Name, COUNT(T3.Concert_ID) FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T2.Concert_ID = T3.Concert_ID GROUP BY T1.Name",1,"SELECT T1.Name, COUNT(T3.Concert_ID) FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T2.Concert_ID = T3.Concert_ID GROUP BY T1.Name",0,"ite
SELECT T1.Name, COUNT(T3.Concert_ID) FROM artist AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T2.Concert_ID = T3.Concert_ID GROUP BY T1.Name",0,"SELECT T1.Name, COUNT(T2.Concert_ID) FROM singer AS T1",0,1,no such table: singer,gemini,"SELECT T1.Name, COUNT(T3.Concert_ID) FROM artist AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T2.Concert_ID = T3.Concert_ID GROUP BY T1.Name",ast,valid,1,1,0,1.7474,1.7401,1.8736,3.788,0.0031,1.164039,gemini
cs_tr_10,TABLE_RENAME,List songs by French singers.,"SELECT Name, Song_Name FROM artist WHERE Country='France' ORDER BY Name",False,,SELECT Song_Name FROM singer WHERE Country = 'France',0,SELECT Song_Name FROM singer WHERE Country = 'France',0,SELECT Song_Name FROM artist WHERE Country = 'France',0,SELECT Song_Name FROM singer WHERE Country = 'France',0,1,no such table: singer,gemini,SELECT Song_Name FROM artist WHERE Country = 'France',ast,valid,0,0,0,1.0284,1.6275,0.997,3.7442,0.0026,0.776616,gemini
