id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
cs_cm_01,COLUMN_MERGE,List singer names with countries merged.,SELECT Name_Country FROM singer ORDER BY Singer_ID,False,,"SELECT Name, Country FROM singer",0,"SELECT Name, Country FROM singer",0,SELECT DISTINCT Name_Country FROM singer,1,"SELECT singer.Name, singer.Country FROM singer",0,1,no such column: Name,anthropic,SELECT Name_Country FROM singer,ast,valid,1,1,0,2.3968,0.8416,1.2545,0.8897,5.7545,0.587083,anthropic
cs_cm_02,COLUMN_MERGE,Count singers from France.,SELECT COUNT(*) FROM singer WHERE Name_Country LIKE '% - France',False,,SELECT COUNT(*) FROM singer WHERE Country = 'France',1,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,SELECT COUNT(*) FROM singer WHERE Name_Country = 'France',0,"SELECT COUNT(*) FROM singer WHERE Country = 'France'

Wait, let me check the schema again. The singer table has: Singer_ID, Name, Country, Song_Name, Song_release_year, Age, Is_male.

The column ""Country"" does exist in the singer table according to the schema provided. However, since the error says ""no such column: Country"", the actual database schema must differ from what was stated. Let me provide a query that would work if Country doesn't exist but we need to count singers from France using available columns:

SELECT COUNT(DISTINCT Singer_ID) FROM singer

Actually, looking at the error more carefully - if Country column doesn't exist, I need to work with what's available. But the question specifically asks for singers from France. Given the schema shows Country exists but the error says it doesn't, the most likely scenario is the column name is different or the data is stored differently.

Let me provide the most robust answer based on the stated schema:

SELECT COUNT(*) FROM singer WHERE Country = 'France'",0,1,no such column: Country,anthropic,SELECT COUNT(*) FROM singer WHERE Name_Country = 'France',ast,silent_failure_suspected,0,0,0,1.0886,0.8654,1.0475,6.1396,0.9447,0.744125,anthropic
cs_cm_03,COLUMN_MERGE,Merged name for Singer_ID 1.,SELECT Name_Country FROM singer WHERE Singer_ID=1,False,,SELECT Name FROM singer WHERE Singer_ID = 1,0,SELECT Name FROM singer WHERE Singer_ID = 1,0,SELECT Name_Country FROM singer WHERE Singer_ID = 1,1,"SELECT Name FROM singer WHERE Singer_ID = 1

Wait, let me reconsider. The error says ""no such column: Name"" but looking at the schema, the singer table has a Name column. Let me check the actual column names more carefully.

Looking at the schema again: `TABLE singer ( Singer_ID INTEGER, Name TEXT, Country TEXT, Song_Name TEXT, Song_release_year INTEGER, Age INTEGER, Is_male TEXT )`

The Name column exists. However, the question asks for ""Merged name"" which might suggest concatenating fields. But given the error, let me verify the exact column name. The error might indicate the column doesn't exist as defined.

Given the question says ""Merged name"" and the schema shows Name, Song_Name - perhaps we need to concatenate them:

SELECT Name || ' ' || Song_Name FROM singer WHERE Singer_ID = 1",0,1,no such column: Name,anthropic,SELECT Name_Country FROM singer WHERE Singer_ID = 1,ast,valid,1,1,0,1.1776,1.0731,1.2775,2.7701,0.0345,0.8155,anthropic
cs_cm_04,COLUMN_MERGE,Merged names for singers over 40.,SELECT Name_Country FROM singer WHERE Age > 40 ORDER BY Name_Country,False,,"SELECT GROUP_CONCAT(Name, ', ') AS merged_names
FROM singer
WHERE Age > 40",0,"SELECT GROUP_CONCAT(Name, ', ') AS merged_names
FROM singer
WHERE Age > 40",0,"SELECT GROUP_CONCAT(singer.Name_Country, ', ') as merged_names
FROM singer
WHERE singer.Age > 40",0,"SELECT GROUP_CONCAT(singer.Name, ', ') AS merged_names
FROM singer
WHERE singer.Age > 40",0,1,no such column: Name,anthropic,"SELECT GROUP_CONCAT(Name_Country, ', ') AS merged_names FROM singer WHERE Age > 40",ast,valid,0,0,0,1.0204,1.1763,1.3111,1.515,0.033,0.933333,anthropic
cs_cm_05,COLUMN_MERGE,Merged name for the song 'Sun'.,SELECT Name_Country FROM singer WHERE Song_Name='Sun',False,,"SELECT GROUP_CONCAT(Name, ' ') as merged_name
FROM singer
WHERE Song_Name = 'Sun'",0,"SELECT GROUP_CONCAT(Name, ' ') as merged_name
FROM singer
WHERE Song_Name = 'Sun'",0,"SELECT GROUP_CONCAT(s.Name_Country, ', ') as merged_name
FROM singer s
WHERE s.Song_Name = 'Sun'",1,"SELECT GROUP_CONCAT(singer.Name, ' ') as merged_name
FROM singer
WHERE Song_Name = 'Sun'",0,1,no such column: Name,anthropic,"SELECT GROUP_CONCAT(Name_Country, ' ') AS merged_name FROM singer WHERE Song_Name = 'Sun'",ast,valid,1,1,0,1.2704,1.0093,1.1962,1.1216,0.0386,0.906166,anthropic
cs_cm_06,COLUMN_MERGE,Count singers with songs released since 2010.,SELECT COUNT(*) FROM singer WHERE Song_release_year >= 2010,False,,SELECT COUNT(DISTINCT Singer_ID) FROM singer WHERE Song_release_year >= 2010,1,SELECT COUNT(DISTINCT Singer_ID) FROM singer WHERE Song_release_year >= 2010,1,SELECT COUNT(DISTINCT Singer_ID) FROM singer WHERE Song_release_year >= 2010,1,SELECT COUNT(DISTINCT Singer_ID) FROM singer WHERE Song_release_year >= 2010,1,0,,anthropic,SELECT COUNT(DISTINCT Singer_ID) FROM singer WHERE Song_release_year >= 2010,ast,valid,1,0,0,1.1889,1.0347,1.7303,0.0007,0.0329,1.088041,anthropic
cs_cm_07,COLUMN_MERGE,List merged names and song titles.,"SELECT Name_Country, Song_Name FROM singer ORDER BY Singer_ID",False,,"SELECT DISTINCT s.Name, s.Song_Name
FROM singer s
ORDER BY s.Name, s.Song_Name",0,"SELECT DISTINCT s.Name, s.Song_Name
FROM singer s
ORDER BY s.Name, s.Song_Name",0,"SELECT s.Name_Country, s.Song_Name
FROM singer s",1,"SELECT DISTINCT s.Name, s.Song_Name
FROM singer s
ORDER BY s.Name, s.Song_Name",0,1,no such column: s.Name,anthropic,"SELECT DISTINCT s.Name_Country, s.Song_Name FROM singer AS s ORDER BY s.Name_Country, s.Song_Name",ast,valid,1,1,0,1.1949,1.8061,1.5125,1.434,0.0357,0.852458,anthropic
cs_cm_08,COLUMN_MERGE,Merged names for male singers.,SELECT Name_Country FROM singer WHERE Is_male='T' ORDER BY Singer_ID,False,,"SELECT GROUP_CONCAT(Name, ', ') AS merged_names
FROM singer
WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'yes' OR Is_male = 'Yes' OR Is_male = 'Y'",0,"SELECT GROUP_CONCAT(Name, ', ') AS merged_names
FROM singer
WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'yes' OR Is_male = 'Yes' OR Is_male = '1'",0,"SELECT GROUP_CONCAT(Name_Country, ', ') as merged_names
FROM singer
WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'yes' OR Is_male = 'Yes' OR Is_male = 'M'",0,"SELECT GROUP_CONCAT(singer.Name, ', ') AS merged_names
FROM singer
WHERE singer.Is_male = 'true' OR singer.Is_male = 'True' OR singer.Is_male = 'yes' OR singer.Is_male = 'Yes' OR singer.Is_male = '1'",0,1,no such column: Name,anthropic,"SELECT GROUP_CONCAT(Name_Country, ', ') AS merged_names FROM singer WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'yes' OR Is_male = 'Yes' OR Is_male = '1'",ast,valid,0,0,0,1.6616,1.4367,1.9439,1.4102,0.0366,4.698041,anthropic
cs_cm_09,COLUMN_MERGE,Count singers from the United States.,SELECT COUNT(*) FROM singer WHERE Name_Country LIKE '% - United States',False,,SELECT COUNT(*) FROM singer WHERE Country = 'United States',1,SELECT COUNT(*) FROM singer WHERE Country = 'United States',0,SELECT COUNT(*) FROM singer WHERE Name_Country = 'United States',0,SELECT COUNT(*) FROM singer WHERE Country = 'USA',0,1,no such column: Country,anthropic,SELECT COUNT(*) FROM singer WHERE Name_Country = 'United States',ast,silent_failure_suspected,0,0,0,1.0726,1.5236,1.179,1.2306,1.2027,1.024333,anthropic
cs_cm_10,COLUMN_MERGE,Merged names for concert 1 singers.,SELECT s.Name_Country FROM singer s JOIN singer_in_concert sc ON s.Singer_ID=sc.Singer_ID WHERE sc.Concert_ID=1 ORDER BY s.Name_Country,False,,"SELECT GROUP_CONCAT(Name, ', ') AS merged_names
FROM singer
WHERE Singer_ID IN (
  SELECT Singer_ID FROM singer_in_concert WHERE Concert_ID = 1
)",0,"SELECT GROUP_CONCAT(s.Name, ', ') AS merged_names
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
WHERE sic.Concert_ID = 1",0,"SELECT GROUP_CONCAT(singer.Name_Country, ', ') as merged_names
FROM singer
JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID
WHERE singer_in_concert.Concert_ID = 1",0,"SELECT GROUP_CONCAT(s.Name, ', ') AS merged_names
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
WHERE sic.Concert_ID = 1",0,1,no such column: s.Name,anthropic,"SELECT GROUP_CONCAT(s.Name_Country, ', ') AS merged_names FROM singer AS s JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID WHERE sic.Concert_ID = 1",ast,valid,0,0,0,1.8539,1.3489,1.4289,1.4707,0.0367,4.342542,anthropic
