id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
hr_cr_01,COLUMN_RENAME,List employee first and last names.,"SELECT fname, last_name FROM employees ORDER BY employee_id",False,,"SELECT first_name, last_name FROM employees",1,"SELECT first_name, last_name FROM employees",0,"SELECT fname, last_name FROM employees",1,"SELECT first_name, last_name FROM employees",0,1,no such column: first_name,openai_compat,"SELECT fname, last_name FROM employees",ast,valid,1,1,0,1.1946,1.1861,0.5468,0.8479,0.0024,0.544922,openai_compat
hr_cr_02,COLUMN_RENAME,Count employees.,SELECT COUNT(*) FROM employees,False,,SELECT COUNT(employee_id) FROM employees,1,SELECT COUNT(employee_id) FROM employees,1,SELECT COUNT(employee_id) FROM employees,1,SELECT COUNT(employee_id) FROM employees,1,0,,openai_compat,SELECT COUNT(employee_id) FROM employees,ast,valid,1,0,0,0.6764,0.8564,0.5454,0.0014,0.0023,0.632638,openai_compat
hr_cr_03,COLUMN_RENAME,Employees with salary over 7000.,SELECT employee_id FROM employees WHERE monthly_salary > 7000 ORDER BY employee_id,False,,SELECT * FROM employees WHERE salary > 7000,0,SELECT * FROM employees WHERE salary > 7000,0,SELECT * FROM employees WHERE monthly_salary > 7000,0,"SELECT employee_id, first_name, last_name, email, phone_number, hire_date, job_id, salary, commission_pct, manager_id, department_id FROM employees WHERE salary > 7000",0,1,no such column: salary,openai_compat,SELECT * FROM employees WHERE monthly_salary > 7000,ast,valid,0,0,0,0.9505,0.7623,0.6304,0.7866,0.0025,0.63745,openai_compat
hr_cr_04,COLUMN_RENAME,Average employee salary.,SELECT AVG(monthly_salary) FROM employees,False,,SELECT AVG(salary) FROM employees,1,SELECT AVG(salary) FROM employees,0,SELECT AVG(monthly_salary) FROM employees,1,SELECT AVG(employee_id) FROM employees,0,1,no such column: salary,openai_compat,SELECT AVG(monthly_salary) FROM employees,ast,valid,1,1,0,0.5001,0.6256,0.6242,0.7152,0.0022,0.569541,openai_compat
hr_cr_05,COLUMN_RENAME,List employee emails.,SELECT email FROM employees ORDER BY employee_id,False,,SELECT email FROM employees,1,SELECT email FROM employees,1,SELECT email FROM employees,1,SELECT email FROM employees,1,0,,openai_compat,SELECT email FROM employees,ast,valid,1,0,0,0.5693,0.6637,0.6747,0.0013,0.0024,0.665601,openai_compat
hr_cr_06,COLUMN_RENAME,List employee IDs with salaries.,"SELECT employee_id, monthly_salary FROM employees ORDER BY employee_id",False,,"SELECT employee_id, salary FROM employees",1,"SELECT employee_id, salary FROM employees",0,"SELECT employee_id, monthly_salary FROM employees",1,"SELECT employee_id, salary FROM employees",0,1,no such column: salary,openai_compat,"SELECT employee_id, monthly_salary FROM employees",ast,valid,1,1,0,1.0094,0.7444,0.8229,0.5229,0.0019,0.37837,openai_compat
hr_cr_07,COLUMN_RENAME,Employees with first names starting with A.,SELECT employee_id FROM employees WHERE fname LIKE 'A%',False,,SELECT * FROM employees WHERE first_name LIKE 'A%',0,SELECT * FROM employees WHERE first_name LIKE 'A%',0,SELECT * FROM employees WHERE fname LIKE 'A%',0,SELECT * FROM employees WHERE first_name LIKE 'A%',0,1,no such column: first_name,openai_compat,SELECT * FROM employees WHERE fname LIKE 'A%',ast,valid,0,0,0,1.2051,0.6044,0.5178,0.5929,0.0025,0.614826,openai_compat
hr_cr_08,COLUMN_RENAME,Employees with commissions.,SELECT employee_id FROM employees WHERE commission_pct IS NOT NULL ORDER BY employee_id,False,,SELECT * FROM employees WHERE commission_pct IS NOT NULL AND commission_pct > 0,0,SELECT * FROM employees WHERE commission_pct IS NOT NULL AND commission_pct > 0,0,SELECT * FROM employees WHERE commission_pct IS NOT NULL AND commission_pct > 0,0,SELECT * FROM employees WHERE commission_pct IS NOT NULL AND commission_pct > 0,0,0,,openai_compat,SELECT * FROM employees WHERE NOT commission_pct IS NULL AND commission_pct > 0,ast,valid,0,0,0,0.8666,0.5866,0.7832,0.0013,0.0022,0.656437,openai_compat
hr_cr_09,COLUMN_RENAME,Job title for employee 1.,SELECT j.job_title FROM employees e JOIN jobs j ON e.job_id=j.job_id WHERE e.employee_id=1,False,,SELECT T2.job_title FROM employees AS T1 INNER JOIN jobs AS T2 ON T1.job_id = T2.job_id WHERE T1.employee_id = 1,1,SELECT T2.job_title FROM employees AS T1 INNER JOIN jobs AS T2 ON T1.job_id = T2.job_id WHERE T1.employee_id = 1,1,SELECT T2.job_title FROM employees AS T1 INNER JOIN jobs AS T2 ON T1.job_id = T2.job_id WHERE T1.employee_id = 1,1,SELECT T2.job_title FROM employees AS T1 INNER JOIN jobs AS T2 ON T1.job_id = T2.job_id WHERE T1.employee_id = 1,1,0,,openai_compat,SELECT T2.job_title FROM employees AS T1 INNER JOIN jobs AS T2 ON T1.job_id = T2.job_id WHERE T1.employee_id = 1,ast,valid,1,0,0,0.9015,0.8523,2.2762,0.0012,0.0028,0.916609,openai_compat
hr_cr_10,COLUMN_RENAME,Count employees per department.,"SELECT department_id, COUNT(*) FROM employees GROUP BY department_id ORDER BY department_id",False,,"SELECT department_id, COUNT(employee_id) FROM employees GROUP BY department_id",1,"SELECT department_id, COUNT(employee_id) FROM employees GROUP BY department_id",1,"SELECT department_id, COUNT(employee_id) FROM employees GROUP BY department_id",1,"SELECT department_id, COUNT(employee_id) FROM employees GROUP BY department_id",1,0,,openai_compat,"SELECT department_id, COUNT(employee_id) FROM employees GROUP BY department_id",ast,valid,1,0,0,1.2685,1.7594,1.4286,0.0013,0.0022,0.643806,openai_compat
hr_cr_11,COLUMN_RENAME,Employees managed by 1.,SELECT employee_id FROM employees WHERE manager_id=1 ORDER BY employee_id,False,,"SELECT first_name, last_name FROM employees WHERE manager_id = 1",0,"SELECT first_name, last_name FROM employees WHERE manager_id = 1",0,"SELECT fname, last_name FROM employees WHERE manager_id = 1",0,"SELECT first_name, last_name FROM employees WHERE manager_id = 1",0,1,no such column: first_name,openai_compat,"SELECT fname, last_name FROM employees WHERE manager_id = 1",ast,silent_failure_suspected,0,0,0,0.5038,0.6177,0.5716,0.4786,0.9035,0.526338,openai_compat
hr_cr_12,COLUMN_RENAME,Employees hired after 2007-06-20.,SELECT employee_id FROM employees WHERE hire_date > '2007-06-20' ORDER BY employee_id,False,,SELECT * FROM employees WHERE hire_date > '2007-06-20',0,SELECT * FROM employees WHERE hire_date > '2007-06-20',0,SELECT * FROM employees WHERE hire_date > '2007-06-20',0,SELECT * FROM employees WHERE hire_date > '2007-06-20',0,0,,openai_compat,SELECT * FROM employees WHERE hire_date > '2007-06-20',ast,valid,0,0,0,0.8352,0.747,1.2775,0.0016,0.0022,0.597562,openai_compat
hr_cr_13,COLUMN_RENAME,List employees by salary descending.,"SELECT fname, monthly_salary FROM employees ORDER BY monthly_salary DESC",False,,SELECT * FROM employees ORDER BY salary DESC,0,SELECT * FROM employees ORDER BY salary DESC,0,SELECT * FROM employees ORDER BY monthly_salary DESC,0,"SELECT employee_id, first_name, last_name, email, phone_number, hire_date, job_id, salary, commission_pct, manager_id, department_id FROM employees ORDER BY salary DESC",0,1,no such column: salary,openai_compat,SELECT * FROM employees ORDER BY monthly_salary DESC,ast,valid,0,0,0,0.6541,0.541,0.9628,1.3526,0.0028,0.604282,openai_compat
hr_cr_14,COLUMN_RENAME,Count employees with salary between 6000 and 8000.,SELECT COUNT(*) FROM employees WHERE monthly_salary BETWEEN 6000 AND 8000,False,,SELECT COUNT(employee_id) FROM employees WHERE salary BETWEEN 6000 AND 8000,1,SELECT COUNT(employee_id) FROM employees WHERE salary BETWEEN 6000 AND 8000,0,SELECT COUNT(employee_id) FROM employees WHERE monthly_salary BETWEEN 6000 AND 8000,1,SELECT COUNT(employee_id) FROM employees WHERE salary BETWEEN 6000.0 AND 8000.0,0,1,no such column: salary,openai_compat,SELECT COUNT(employee_id) FROM employees WHERE monthly_salary BETWEEN 6000 AND 8000,ast,valid,1,1,0,1.2088,0.8891,1.1649,1.0966,0.0027,0.779823,openai_compat
