id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
cs_tr_01,TABLE_RENAME,List all singer names.,SELECT Name FROM artist ORDER BY Singer_ID,False,,SELECT Name FROM singer,1,SELECT Name FROM singer,0,SELECT Name FROM artist,1,SELECT Name FROM Singer,0,1,no such table: singer,openai_compat,SELECT Name FROM artist,ast,valid,1,1,0,1.1927,1.4587,1.1945,0.9717,22.7545,35.861625,openai_compat
cs_tr_02,TABLE_RENAME,Count singers from France.,SELECT COUNT(*) FROM artist WHERE Country='France',False,,SELECT COUNT(*) FROM singer WHERE Country = 'France',1,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,SELECT COUNT(*) FROM artist WHERE Country = 'France',1,SELECT COUNT(*) FROM Singer WHERE Country = 'France',0,1,no such table: singer,openai_compat,SELECT COUNT(*) FROM artist WHERE Country = 'France',ast,valid,1,1,0,0.7435,0.8826,0.7186,0.9382,0.0676,0.754416,openai_compat
cs_tr_03,TABLE_RENAME,Find the song name for Singer_ID 1.,SELECT Song_Name FROM artist WHERE Singer_ID=1,False,,SELECT Song_Name FROM singer WHERE Singer_ID = 1,1,SELECT Song_Name FROM singer WHERE Singer_ID = 1,0,SELECT Song_Name FROM artist WHERE Singer_ID = 1,1,SELECT Song_Name FROM singer WHERE Singer_ID = 1,0,1,no such table: singer,openai_compat,SELECT Song_Name FROM artist WHERE Singer_ID = 1,ast,valid,1,1,0,0.77,0.7295,0.7362,1.1053,0.0633,0.604334,openai_compat
cs_tr_04,TABLE_RENAME,List singer names with age over 40.,SELECT Name FROM artist WHERE Age > 40 ORDER BY Name,False,,SELECT Name FROM singer WHERE Age > 40,1,SELECT Name FROM singer WHERE Age > 40,0,SELECT Name FROM artist WHERE Age > 40,1,SELECT Name FROM singer WHERE Age > 40,0,1,no such table: singer,openai_compat,SELECT Name FROM artist WHERE Age > 40,ast,valid,1,1,0,1.0609,0.8737,0.7344,0.8827,0.1476,1.1325,openai_compat
cs_tr_05,TABLE_RENAME,Count male singers.,SELECT COUNT(*) FROM artist WHERE Is_male='T',False,,SELECT COUNT(*) FROM singer WHERE Is_male = 'yes',0,SELECT COUNT(*) FROM singer WHERE Is_male = 'yes',0,SELECT COUNT(*) FROM artist WHERE Is_male = 'yes',0,SELECT COUNT(*) FROM Singer WHERE Is_male = 'yes',0,1,no such table: singer,openai_compat,SELECT COUNT(*) FROM artist WHERE Is_male = 'yes',ast,silent_failure_suspected,0,0,0,0.9374,0.906,0.8317,0.8501,0.9335,1.100958,openai_compat
cs_tr_06,TABLE_RENAME,List song release years since 2010.,SELECT Song_release_year FROM artist WHERE Song_release_year >= 2010 ORDER BY Song_release_year,False,,SELECT DISTINCT Song_release_year FROM singer WHERE Song_release_year >= 2010,1,SELECT DISTINCT Song_release_year FROM singer WHERE Song_release_year >= 2010,0,"SELECT DISTINCT Song_release_year 
FROM artist 
WHERE Song_release_year >= 2010",1,SELECT DISTINCT Song_release_year FROM singer WHERE Song_release_year >= 2010,0,1,no such table: singer,openai_compat,SELECT DISTINCT Song_release_year FROM artist WHERE Song_release_year >= 2010,ast,valid,1,1,0,0.9564,0.9036,0.9193,0.9019,0.1266,1.090917,openai_compat
cs_tr_07,TABLE_RENAME,List singer names and countries alphabetically.,"SELECT Name, Country FROM artist ORDER BY Name",False,,"SELECT Name, Country FROM singer ORDER BY Name, Country",1,"SELECT Name, Country FROM singer ORDER BY Name, Country",0,"SELECT Name, Country FROM artist ORDER BY Name, Country",1,"SELECT Name, Country FROM singer ORDER BY Name, Country",0,1,no such table: singer,openai_compat,"SELECT Name, Country FROM artist ORDER BY Name, Country",ast,valid,1,1,0,0.8213,0.9182,0.9233,0.972,0.0571,1.045459,openai_compat
cs_tr_08,TABLE_RENAME,Which singers performed in concert 1?,SELECT a.Name FROM artist a JOIN singer_in_concert sc ON a.Singer_ID=sc.Singer_ID WHERE sc.Concert_ID=1 ORDER BY a.Name,False,,"SELECT s.Name 
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
WHERE sic.Concert_ID = 1",1,"SELECT s.Name 
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
WHERE sic.Concert_ID = 1",0,"SELECT artist.Name 
FROM artist 
JOIN singer_in_concert ON artist.Singer_ID = singer_in_concert.Singer_ID 
WHERE singer_in_concert.Concert_ID = 1",1,"SELECT s.Name 
FROM singer AS s
JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID
WHERE sic.Concert_ID = 1",0,1,no such table: singer,openai_compat,SELECT s.Name FROM artist AS s JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID WHERE sic.Concert_ID = 1,ast,valid,1,1,0,1.0906,1.0327,1.1737,1.1876,0.0778,7.690792,openai_compat
cs_tr_09,TABLE_RENAME,Count concerts per singer.,"SELECT a.Name, COUNT(*) AS concert_count FROM artist a JOIN singer_in_concert sc ON a.Singer_ID=sc.Singer_ID GROUP BY a.Name ORDER BY concert_count DESC, a.Name",False,,"SELECT s.Singer_ID, s.Name, COUNT(sic.Concert_ID) AS Concert_Count
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
GROUP BY s.Singer_ID, s.Name",0,"SELECT s.Name, COUNT(sic.Concert_ID) AS Concert_Count
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
GROUP BY s.Singer_ID",0,"SELECT a.Name, COUNT(sic.Concert_ID) AS Concert_Count
FROM artist a
JOIN singer_in_concert sic ON a.Singer_ID = sic.Singer_ID
GROUP BY a.Singer_ID",1,"SELECT s.Name, COUNT(sic.Concert_ID) AS Concert_Count
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
GROUP BY s.Singer_ID",0,1,no such table: singer,openai_compat,"SELECT s.Name, COUNT(sic.Concert_ID) AS Concert_Count FROM artist AS s JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID GROUP BY s.Singer_ID",ast,valid,1,1,0,1.2844,1.0424,1.2126,1.1989,0.0876,2.068167,openai_compat
cs_tr_10,TABLE_RENAME,List songs by French singers.,"SELECT Name, Song_Name FROM artist WHERE Country='France' ORDER BY Name",False,,"SELECT Song_Name 
FROM singer 
WHERE Country = 'France'",0,"SELECT Song_Name 
FROM singer 
WHERE Country = 'France'",0,"SELECT Song_Name 
FROM artist 
WHERE Country = 'France'",0,"SELECT Song_Name 
FROM singer 
WHERE Country = 'French'",0,1,no such table: singer,openai_compat,SELECT Song_Name FROM artist WHERE Country = 'France',ast,valid,0,0,0,0.8546,0.9959,0.9854,1.2054,0.0649,0.938375,openai_compat
