id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
cs_cr_01,COLUMN_RENAME,List song titles.,SELECT song_title FROM singer ORDER BY Singer_ID,False,,SELECT DISTINCT Song_Name FROM singer,1,SELECT DISTINCT Song_Name FROM singer,0,SELECT song_title FROM singer,1,SELECT DISTINCT Song_Name FROM singer WHERE Song_Name IS NOT NULL,0,1,no such column: Song_Name,anthropic,SELECT DISTINCT song_title FROM singer,ast,valid,1,1,0,1.1644,1.6715,1.0248,0.8355,0.0694,0.711416,anthropic
cs_cr_02,COLUMN_RENAME,Count songs released after 2010.,SELECT COUNT(*) FROM singer WHERE debut_year > 2010,False,,SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010,1,SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010,0,SELECT COUNT(*) FROM singer WHERE debut_year > 2010,1,"SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010;

Wait, let me reconsider. The error says ""no such column: Song_release_year"" but looking at the schema, the singer table has `Song_release_year` as a column. Let me check the exact column name in the schema again.

Looking at the schema: `TABLE singer ( Singer_ID INTEGER, Name TEXT, Country TEXT, Song_Name TEXT, Song_release_year INTEGER, Age INTEGER, Is_male TEXT )`

The column is `Song_release_year`. The query should work. However, if there's an execution error about this column not existing, perhaps the actual column name is different. Let me provide the correct query:

SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010",0,1,no such column: Song_release_year,anthropic,SELECT COUNT(*) FROM singer WHERE debut_year > 2010,ast,valid,1,1,0,0.915,1.0323,1.4078,2.0847,0.0446,1.020625,anthropic
cs_cr_03,COLUMN_RENAME,List singer names with song titles.,"SELECT Name, song_title FROM singer ORDER BY Singer_ID",False,,"SELECT singer.Name, singer.Song_Name
FROM singer",1,"SELECT singer.Name, singer.Song_Name
FROM singer",0,"SELECT Name, song_title FROM singer",1,"SELECT singer.Name, singer.Song_Name
FROM singer

Wait, let me check the schema again. The error says ""no such column: singer.Song_Name"" but looking at the schema, the singer table has: Singer_ID, Name, Country, Song_Name, Song_release_year, Age, Is_male.

The column should exist. Let me verify the exact column name - it appears to be `Song_Name` in the schema provided. The query syntax is correct. However, if the error persists, the column might be named differently in the actual database.

Based on the schema provided, the query should work as-is:

SELECT Name, Song_Name
FROM singer",0,1,no such column: singer.Song_Name,anthropic,"SELECT singer.Name, singer.song_title FROM singer",ast,valid,1,1,0,0.993,1.4202,0.9563,2.2373,0.0445,1.214042,anthropic
cs_cr_04,COLUMN_RENAME,Singer for the song 'Sun'.,SELECT Name FROM singer WHERE song_title='Sun',False,,"SELECT DISTINCT s.Singer_ID, s.Name
FROM singer s
WHERE s.Song_Name = 'Sun'",0,"SELECT DISTINCT s.Singer_ID, s.Name
FROM singer s
WHERE s.Song_Name = 'Sun'",0,"SELECT DISTINCT s.Singer_ID, s.Name, s.song_title
FROM singer s
WHERE s.song_title = 'Sun'",0,"SELECT DISTINCT s.Singer_ID, s.Name
FROM singer s
WHERE s.Song_Name = 'Sun'

Wait, let me check the schema again. The singer table has: Singer_ID, Name, Country, Song_Name, Song_release_year, Age, Is_male.

The column Song_Name does exist in the singer table. Let me reconsider - perhaps the issue is with the database itself or the query needs adjustment. However, based on the schema provided, Song_Name should be valid.

Let me provide the corrected query:

SELECT DISTINCT Singer_ID, Name
FROM singer
WHERE Song_Name = 'Sun'",0,1,no such column: s.Song_Name,anthropic,"SELECT DISTINCT s.Singer_ID, s.Name FROM singer AS s WHERE s.song_title = 'Sun'",ast,valid,0,0,0,1.0043,1.0232,1.0381,2.0263,0.0501,1.149042,anthropic
cs_cr_05,COLUMN_RENAME,Average debut year.,SELECT AVG(debut_year) FROM singer,False,,SELECT AVG(Song_release_year) FROM singer,1,SELECT AVG(Song_release_year) FROM singer,0,SELECT AVG(debut_year) FROM singer,1,SELECT AVG(Song_release_year) FROM singer WHERE Song_release_year IS NOT NULL,0,1,no such column: Song_release_year,anthropic,SELECT AVG(debut_year) FROM singer,ast,silent_failure_suspected,1,1,0,2.0449,1.0703,0.8703,0.9874,1.0897,1.308917,anthropic
cs_cr_06,COLUMN_RENAME,List singer IDs and debut years.,"SELECT Singer_ID, debut_year FROM singer ORDER BY Singer_ID",False,,"SELECT Singer_ID, Song_release_year AS debut_year
FROM singer
ORDER BY Singer_ID",1,"SELECT Singer_ID, Song_release_year AS debut_year
FROM singer
ORDER BY Singer_ID",0,"SELECT Singer_ID, debut_year FROM singer",1,"SELECT Singer_ID, Song_release_year AS debut_year
FROM singer
ORDER BY Singer_ID",0,1,no such column: Song_release_year,anthropic,"SELECT Singer_ID, debut_year AS debut_year FROM singer ORDER BY Singer_ID",ast,valid,1,1,0,1.6669,0.9151,1.0102,0.9921,0.0456,1.282542,anthropic
cs_cr_07,COLUMN_RENAME,Songs released between 2000 and 2014.,SELECT song_title FROM singer WHERE debut_year BETWEEN 2000 AND 2014 ORDER BY song_title,False,,"SELECT Song_Name, Song_release_year FROM singer WHERE Song_release_year BETWEEN 2000 AND 2014",0,"SELECT Song_Name, Song_release_year
FROM singer
WHERE Song_release_year BETWEEN 2000 AND 2014
ORDER BY Song_release_year",0,SELECT song_title FROM singer WHERE debut_year BETWEEN 2000 AND 2014,1,"SELECT Song_Name, Song_release_year
FROM singer
WHERE Song_release_year BETWEEN 2000 AND 2014
ORDER BY Song_release_year",0,1,no such column: Song_Name,anthropic,"SELECT song_title, debut_year FROM singer WHERE debut_year BETWEEN 2000 AND 2014 ORDER BY debut_year",ast,valid,0,0,0,1.0262,1.1297,1.127,1.134,0.0485,1.213708,anthropic
cs_cr_08,COLUMN_RENAME,Singers with songs released in 2014.,SELECT Name FROM singer WHERE debut_year=2014,False,,"SELECT DISTINCT s.Singer_ID, s.Name, s.Song_Name, s.Song_release_year
FROM singer s
WHERE s.Song_release_year = 2014",0,"SELECT DISTINCT s.Singer_ID, s.Name, s.Song_Name, s.Song_release_year
FROM singer s
WHERE s.Song_release_year = 2014",0,"SELECT DISTINCT s.Singer_ID, s.Name, s.song_title
FROM singer s
WHERE s.debut_year = 2014",0,"SELECT DISTINCT s.Singer_ID, s.Name, s.Song_Name, s.Song_release_year
FROM singer s
WHERE s.Song_release_year = 2014",0,1,no such column: s.Song_Name,anthropic,"SELECT DISTINCT s.Singer_ID, s.Name, s.song_title, s.debut_year FROM singer AS s WHERE s.debut_year = 2014",ast,valid,0,0,0,1.225,1.2276,2.4946,0.9158,0.0508,6.723375,anthropic
cs_cr_09,COLUMN_RENAME,Count distinct song titles.,SELECT COUNT(DISTINCT song_title) FROM singer,False,,SELECT COUNT(DISTINCT Song_Name) FROM singer,1,SELECT COUNT(DISTINCT Song_Name) FROM singer,0,SELECT COUNT(DISTINCT song_title) FROM singer,1,SELECT COUNT(DISTINCT Song_Name) FROM singer WHERE Song_Name IS NOT NULL,0,1,no such column: Song_Name,anthropic,SELECT COUNT(DISTINCT song_title) FROM singer,ast,valid,1,1,0,0.8941,0.9084,0.9853,0.9766,0.0511,1.448125,anthropic
cs_cr_10,COLUMN_RENAME,Song titles by French singers.,SELECT song_title FROM singer WHERE Country='France' ORDER BY song_title,False,,"SELECT DISTINCT Song_Name
FROM singer
WHERE Country = 'France'",1,"SELECT DISTINCT Song_Name
FROM singer
WHERE Country = 'France'",0,"SELECT DISTINCT song_title
FROM singer
WHERE Country = 'France'",1,"SELECT DISTINCT Song_Name
FROM singer
WHERE Country = 'France'",0,1,no such column: Song_Name,anthropic,SELECT DISTINCT song_title FROM singer WHERE Country = 'France',ast,silent_failure_suspected,1,1,0,0.9923,1.0891,1.0826,1.0407,1.098,1.03125,anthropic
