id,perturbation,expected_failure,seed,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
hr_tm_01,TABLE_MERGE,False,0,"SELECT d.department_name, l.city
FROM departments d
JOIN locations l ON d.location_id = l.location_id",1,"SELECT d.department_name, l.city
FROM departments d
JOIN locations l ON d.location_id = l.location_id",0,"SELECT department_name, city FROM department_location",1,"SELECT d.department_name, l.city
FROM departments d
JOIN locations l ON d.location_id = l.location_id",0,1,no such table: departments,openai_compat,"SELECT department_name, city FROM department_location",ast,valid,1,1.1031,1.0219,0.7748,0.9928,9.898,14.177458,openai_compat
hr_tm_01,TABLE_MERGE,False,1,"SELECT d.department_name, l.city
FROM departments d
JOIN locations l ON d.location_id = l.location_id",1,"SELECT d.department_name, l.city
FROM departments d
JOIN locations l ON d.location_id = l.location_id",0,"SELECT department_name, city FROM department_location",1,"SELECT d.department_name, l.city
FROM departments d
JOIN locations l ON d.location_id = l.location_id",0,1,no such table: departments,openai_compat,"SELECT department_name, city FROM department_location",ast,valid,1,0.9747,1.1693,0.9761,0.9246,1.1719,1.972541,openai_compat
hr_tm_01,TABLE_MERGE,False,2,"SELECT d.department_name, l.city
FROM departments d
JOIN locations l ON d.location_id = l.location_id",1,"SELECT d.department_name, l.city
FROM departments d
JOIN locations l ON d.location_id = l.location_id",0,"SELECT department_name, city FROM department_location",1,"SELECT d.department_name, l.city
FROM departments d
JOIN locations l ON d.location_id = l.location_id",0,1,no such table: departments,openai_compat,"SELECT department_name, city FROM department_location",ast,valid,1,1.0801,1.1717,0.7946,1.079,1.0958,0.929708,openai_compat
hr_tm_02,TABLE_MERGE,False,0,"SELECT c.country_name, COUNT(DISTINCT d.department_id) AS department_count
FROM countries c
JOIN locations l ON c.country_id = l.country_id
JOIN departments d ON l.location_id = d.location_id
GROUP BY c.country_name",0,"SELECT c.country_name, COUNT(DISTINCT d.department_id) AS department_count
FROM countries c
JOIN locations l ON c.country_id = l.country_id
JOIN departments d ON l.location_id = d.location_id
GROUP BY c.country_name",0,"SELECT c.country_name, COUNT(dl.department_id) AS department_count
FROM department_location dl
JOIN countries c ON dl.country_id = c.country_id
GROUP BY c.country_name",0,"SELECT c.country_name, COUNT(DISTINCT d.department_id) AS department_count
FROM countries c
JOIN locations l ON c.country_id = l.country_id
JOIN departments d ON l.location_id = d.location_id
GROUP BY c.country_name",0,1,no such table: locations,openai_compat,"SELECT c.country_name, COUNT(DISTINCT dl.department_id) AS department_count 
FROM countries AS c 
JOIN department_location AS dl ON c.country_id = dl.country_id 
GROUP BY c.country_name",ast,valid,0,1.3163,1.4279,1.0734,1.1989,1.1281,6.995917,openai_compat
hr_tm_02,TABLE_MERGE,False,1,"SELECT c.country_name, COUNT(DISTINCT d.department_id) AS department_count
FROM countries c
JOIN locations l ON c.country_id = l.country_id
JOIN departments d ON l.location_id = d.location_id
GROUP BY c.country_name",0,"SELECT c.country_name, COUNT(DISTINCT d.department_id) AS department_count
FROM departments d
JOIN locations l ON d.location_id = l.location_id
JOIN countries c ON l.country_id = c.country_id
GROUP BY c.country_name",0,"SELECT c.country_name, COUNT(dl.department_id) AS department_count
FROM department_location dl
JOIN countries c ON dl.country_id = c.country_id
GROUP BY c.country_name",0,"SELECT c.country_name, COUNT(DISTINCT d.department_id) AS department_count
FROM departments d
JOIN locations l ON d.location_id = l.location_id
JOIN countries c ON l.country_id = c.country_id
GROUP BY c.country_name",0,1,no such table: departments,openai_compat,"SELECT c.country_name, COUNT(DISTINCT dl.department_id) AS department_count
FROM department_location AS dl
JOIN countries AS c ON dl.country_id = c.country_id
GROUP BY c.country_name",ast,valid,0,1.3278,1.5066,1.0763,1.4091,1.2741,1.990834,openai_compat
hr_tm_02,TABLE_MERGE,False,2,"SELECT c.country_name, COUNT(DISTINCT d.department_id) AS department_count
FROM departments d
JOIN locations l ON d.location_id = l.location_id
JOIN countries c ON l.country_id = c.country_id
GROUP BY c.country_name",0,"SELECT c.country_name, COUNT(DISTINCT d.department_id) AS department_count
FROM countries c
JOIN locations l ON c.country_id = l.country_id
JOIN departments d ON l.location_id = d.location_id
GROUP BY c.country_name",0,"SELECT c.country_name, COUNT(dl.department_id) AS department_count
FROM department_location dl
JOIN countries c ON dl.country_id = c.country_id
GROUP BY c.country_name",0,"SELECT c.country_name, COUNT(DISTINCT d.department_id) AS department_count
FROM countries c
JOIN locations l ON c.country_id = l.country_id
JOIN departments d ON l.location_id = d.location_id
GROUP BY c.country_name",0,1,no such table: locations,openai_compat,"SELECT c.country_name, COUNT(DISTINCT dl.department_id) AS department_count
FROM countries AS c
JOIN department_location AS dl ON c.country_id = dl.country_id
GROUP BY c.country_name",ast,valid,0,1.3607,1.5573,1.1049,1.0205,1.2637,1.91725,openai_compat
hr_tm_03,TABLE_MERGE,False,0,"SELECT l.street_address 
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE d.department_id = 10",1,"SELECT l.street_address
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE d.department_id = 10",0,SELECT street_address FROM department_location WHERE department_id = 10,1,"SELECT l.street_address
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE d.department_id = 10",0,1,no such table: departments,openai_compat,SELECT street_address FROM department_location WHERE department_id = 10,ast,valid,1,1.102,1.0673,1.1791,1.0941,0.952,5.172208,openai_compat
hr_tm_03,TABLE_MERGE,False,1,"SELECT l.street_address
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE d.department_id = 10",1,"SELECT l.street_address
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE d.department_id = 10",0,SELECT street_address FROM department_location WHERE department_id = 10,1,"SELECT l.street_address
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE d.department_id = 10",0,1,no such table: departments,openai_compat,SELECT street_address FROM department_location WHERE department_id = 10,ast,valid,1,1.0098,1.2718,0.9039,1.2231,0.9019,1.518666,openai_compat
hr_tm_03,TABLE_MERGE,False,2,"SELECT l.street_address
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE d.department_id = 10",1,"SELECT l.street_address
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE d.department_id = 10",0,SELECT street_address FROM department_location WHERE department_id = 10,1,"SELECT l.street_address
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE d.department_id = 10",0,1,no such table: departments,openai_compat,SELECT street_address FROM department_location WHERE department_id = 10,ast,valid,1,2.0506,1.1682,0.9332,1.1228,1.2316,2.454167,openai_compat
hr_tm_04,TABLE_MERGE,False,0,"SELECT d.department_id, d.department_name
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.city = 'City1'",0,"SELECT d.department_id, d.department_name
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.city = 'City1'",0,SELECT department_name FROM department_location WHERE city = 'City1',1,"SELECT d.department_id, d.department_name
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.city = 'City1'",0,1,no such table: departments,openai_compat,"SELECT d.department_id, d.department_name 
FROM department_location AS d 
WHERE d.city = 'City1'",ast,valid,0,1.5228,1.7294,1.0455,0.876,1.0818,1.753875,openai_compat
