query_id,operator,expected_failure,baseline_sql,baseline_ok,mcp_ok_A,sql_A,verdict_A,mcp_ok_B,sql_B,verdict_B,mcp_ok_C,sql_C,verdict_C,mcp_ok_D,sql_D,verdict_D
Q01,TABLE_RENAME,False,SELECT COUNT(*) FROM singer,0,1,SELECT COUNT(*) FROM artist,valid,1,SELECT COUNT(*) FROM artist,execution_error,1,SELECT COUNT(*) FROM artist,execution_error,1,SELECT COUNT(*) FROM artist,skipped
Q02,TABLE_RENAME,False,"SELECT Name, Country FROM singer",0,1,"SELECT Name, Country FROM artist",valid,1,"SELECT Name, Country FROM artist",execution_error,1,"SELECT Name, Country FROM artist",execution_error,1,"SELECT Name, Country FROM artist",skipped
Q03,TABLE_RENAME,False,SELECT Name FROM singer WHERE Country = 'France',0,1,SELECT Name FROM artist WHERE Country = 'France',valid,1,SELECT Name FROM artist WHERE Country = 'France',execution_error,1,SELECT Name FROM artist WHERE Country = 'France',execution_error,1,SELECT Name FROM artist WHERE Country = 'France',skipped
Q04,TABLE_RENAME,False,SELECT Name FROM singer ORDER BY Age DESC,0,1,SELECT Name FROM artist ORDER BY Age DESC,valid,1,SELECT Name FROM artist ORDER BY Age DESC,execution_error,1,SELECT Name FROM artist ORDER BY Age DESC,execution_error,1,SELECT Name FROM artist ORDER BY Age DESC,skipped
Q05,TABLE_RENAME,False,SELECT COUNT(*) FROM singer WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'yes' OR Is_male = 'Yes' OR Is_male = 'Y',0,0,SELECT COUNT(*) FROM artist WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'yes' OR Is_male = 'Yes' OR Is_male = 'Y',silent_failure_suspected,0,SELECT COUNT(*) FROM artist WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'yes' OR Is_male = 'Yes' OR Is_male = 'Y',execution_error,0,SELECT COUNT(*) FROM artist WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'yes' OR Is_male = 'Yes' OR Is_male = 'Y',execution_error,0,SELECT COUNT(*) FROM artist WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'yes' OR Is_male = 'Yes' OR Is_male = 'Y',skipped
Q06,TABLE_RENAME,False,"SELECT AVG(Age) as average_age, MIN(Age) as minimum_age, MAX(Age) as maximum_age FROM singer",0,1,"SELECT AVG(Age) AS average_age, MIN(Age) AS minimum_age, MAX(Age) AS maximum_age FROM artist",valid,1,"SELECT AVG(Age) as average_age, MIN(Age) as minimum_age, MAX(Age) as maximum_age FROM artist",execution_error,1,"SELECT AVG(Age) as average_age, MIN(Age) as minimum_age, MAX(Age) as maximum_age FROM artist",execution_error,1,"SELECT AVG(Age) AS average_age, MIN(Age) AS minimum_age, MAX(Age) AS maximum_age FROM artist",skipped
Q07,TABLE_RENAME,False,"SELECT Country, COUNT(*) as number_of_singers
FROM singer
GROUP BY Country
ORDER BY Country",0,1,"SELECT Country, COUNT(*) AS number_of_singers FROM artist GROUP BY Country ORDER BY Country",valid,1,"SELECT Country, COUNT(*) as number_of_singers
FROM artist
GROUP BY Country
ORDER BY Country",execution_error,1,"SELECT Country, COUNT(*) as number_of_singers
FROM artist
GROUP BY Country
ORDER BY Country",execution_error,1,"SELECT Country, COUNT(*) AS number_of_singers FROM artist GROUP BY Country ORDER BY Country",skipped
Q08,TABLE_RENAME,False,SELECT Name FROM singer ORDER BY Age DESC LIMIT 1,0,1,SELECT Name FROM artist ORDER BY Age DESC LIMIT 1,valid,1,SELECT Name FROM artist ORDER BY Age DESC LIMIT 1,execution_error,1,SELECT Name FROM artist ORDER BY Age DESC LIMIT 1,execution_error,1,SELECT Name FROM artist ORDER BY Age DESC LIMIT 1,skipped
Q09,TABLE_RENAME,False,"SELECT DISTINCT s.Name, c.concert_Name
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
JOIN concert c ON sic.Concert_ID = c.Concert_ID
ORDER BY s.Name, c.concert_Name",0,1,"SELECT DISTINCT s.Name, c.concert_Name FROM artist AS s JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID JOIN concert AS c ON sic.Concert_ID = c.Concert_ID ORDER BY s.Name, c.concert_Name",valid,1,"SELECT DISTINCT a.Name, c.concert_Name
FROM artist a
JOIN singer_in_concert sic ON a.Singer_ID = sic.Singer_ID
JOIN concert c ON sic.Concert_ID = c.Concert_ID
ORDER BY a.Name, c.concert_Name",execution_error,1,"SELECT DISTINCT a.Name, c.concert_Name
FROM artist a
JOIN singer_in_concert sic ON a.Singer_ID = sic.Singer_ID
JOIN concert c ON sic.Concert_ID = c.Concert_ID
ORDER BY a.Name, c.concert_Name",execution_error,1,"SELECT DISTINCT s.Name, c.concert_Name FROM artist AS s JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID JOIN concert AS c ON sic.Concert_ID = c.Concert_ID ORDER BY s.Name, c.concert_Name",skipped
Q10,TABLE_RENAME,False,"SELECT DISTINCT s.Name
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
JOIN concert c ON sic.Concert_ID = c.Concert_ID
WHERE c.Theme = 'Wide Awake'",0,1,SELECT DISTINCT s.Name FROM artist AS s JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID JOIN concert AS c ON sic.Concert_ID = c.Concert_ID WHERE c.Theme = 'Wide Awake',valid,1,"SELECT DISTINCT a.Name
FROM artist a
JOIN singer_in_concert sic ON a.Singer_ID = sic.Singer_ID
JOIN concert c ON sic.Concert_ID = c.Concert_ID
WHERE c.Theme = 'Wide Awake'",execution_error,1,"SELECT DISTINCT a.Name
FROM artist a
JOIN singer_in_concert sic ON a.Singer_ID = sic.Singer_ID
JOIN concert c ON sic.Concert_ID = c.Concert_ID
WHERE c.Theme = 'Wide Awake'",execution_error,1,SELECT DISTINCT s.Name FROM artist AS s JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID JOIN concert AS c ON sic.Concert_ID = c.Concert_ID WHERE c.Theme = 'Wide Awake',skipped
