id,perturbation,db_id,train_idx,question,pre_ok,baseline_sql,baseline_ok,latency_baseline_s,baseline_tokens_in,baseline_tokens_out,refreshed_schema_sql,refreshed_schema_ok,latency_refreshed_schema_s,refreshed_tokens_in,refreshed_tokens_out,error_feedback_sql,error_feedback_ok,error_feedback_retry,latency_error_feedback_s,error_feedback_tokens_in,error_feedback_tokens_out,mcp_sql,mcp_method,mcp_verdict,mcp_ok,latency_mcp_s,mcp_tokens_in,mcp_tokens_out,backend
evo_cm_00026,COLUMN_MERGE,california_schools,26,State the names and full communication address of high schools in Monterey which has more than 800 free or reduced price meals for ages 15-17?,0,"SELECT s.School, s.Street, s.City, s.Zip, s.State, s.Phone
FROM schools s
JOIN frpm f ON s.CDSCode = f.CDSCode
WHERE s.County = 'Monterey'
  AND f.FRPM Count (Ages 5-17) > 800
  AND f.Low Grade <= '9'
  AND f.High Grade >= '12'",0,2.4288,565,90,"SELECT s.School, s.MailStreet, s.MailCity, s.MailZip, s.MailState, s.Phone, s.Website
FROM schools s
JOIN frpm f ON s.CDSCode = f.CDSCode
WHERE s.County = 'Monterey'
  AND f.School Type = 'High School'
  AND f.FRPM Count (Ages 5-17) > 800",0,1.3165,556,90,"SELECT s.School, s.Street, s.City, s.Zip, s.State, s.Phone
FROM schools s
JOIN frpm f ON s.CDSCode = f.CDSCode
WHERE s.County = 'Monterey'
  AND f.[FRPM Count (Ages 5-17)] > 800
  AND f.[Low Grade] <= '9'
  AND f.[High Grade] >= '12'",0,1,1.6725,685,95,"SELECT s.School, s.Address, s.Phone
FROM schools s
JOIN frpm f ON s.CDSCode = f.CDSCode
WHERE s.County = 'Monterey'
  AND f.FRPM Count (Ages 5-17) > 800
  AND f.Low Grade <= '9'
  AND f.High Grade >= '12'",parse_error,execution_error,0,10.9805,758,80,openai_compat
evo_cm_00037,COLUMN_MERGE,california_schools,37,"What is the complete address of the school with the lowest excellence rate? Indicate the Street, City, Zip and State.",0,"SELECT s.Street, s.City, s.Zip, s.State
FROM schools s
JOIN satscores ss ON s.CDSCode = ss.cds
WHERE ss.NumGE1500 = (SELECT MIN(NumGE1500) FROM satscores)
LIMIT 1",0,1.6046,560,60,"SELECT s.StreetAbr AS Street, s.MailCity AS City, s.MailZip AS Zip, s.MailState AS State
FROM schools s
JOIN satscores ss ON s.CDSCode = ss.cds
WHERE ss.NumGE1500 = (SELECT MIN(ss2.NumGE1500) FROM satscores ss2)",0,1.3664,551,71,"SELECT s.Street, s.City, s.Zip, s.State
FROM schools s
JOIN satscores ss ON s.CDSCode = ss.cds
WHERE ss.NumGE1500 = (SELECT MIN(NumGE1500) FROM satscores)
LIMIT 1",0,1,1.5734,651,60,"SELECT s.Address FROM schools AS s 
JOIN satscores AS ss ON s.CDSCode = ss.cds 
WHERE ss.NumGE1500 = (SELECT MIN(NumGE1500) FROM satscores) 
LIMIT 1",ast,valid,0,2.4532,722,52,openai_compat
evo_cm_00087,COLUMN_MERGE,california_schools,87,"What are the valid e-mail addresses of the administrator of the school located in the San Bernardino county, City of San Bernardino City Unified that opened between 1/1/2009 to 12/31/2010 whose school types are public Intermediate/Middle Schools and Unified Schools?",0,"SELECT DISTINCT AdmEmail1, AdmEmail2, AdmEmail3
FROM schools
WHERE County = 'San Bernardino'
  AND District = 'San Bernardino City Unified'
  AND OpenDate BETWEEN '2009-01-01' AND '2010-12-31'
  AND StatusType = 'Active'
  AND (GSoffered LIKE '%Intermediate/Middle%' OR GSoffered LIKE '%Unified%')
  AND (AdmEmail1 IS NOT NULL OR AdmEmail2 IS NOT NULL OR AdmEmail3 IS NOT NULL)",0,1.7941,592,113,"SELECT DISTINCT AdmEmail
FROM schools
WHERE County = 'San Bernardino'
  AND District = 'San Bernardino City Unified'
  AND OpenDate BETWEEN '2009-01-01' AND '2010-12-31'
  AND (GSoffered LIKE '%Intermediate/Middle%' OR GSoffered LIKE '%Unified%')
  AND StatusType = 'Active'
  AND AdmEmail IS NOT NULL",0,1.6481,586,88,"SELECT DISTINCT AdmEmail1, AdmEmail2, AdmEmail3
FROM schools
WHERE County = 'San Bernardino'
  AND District = 'San Bernardino City Unified'
  AND OpenDate BETWEEN '2009-01-01' AND '2010-12-31'
  AND StatusType = 'Active'
  AND (GSoffered LIKE '%Intermediate/Middle%' OR GSoffered LIKE '%Unified%')
  AND (AdmEmail1 IS NOT NULL OR AdmEmail2 IS NOT NULL OR AdmEmail3 IS NOT NULL)",0,1,2.6429,736,113,"SELECT DISTINCT AdmEmail, AdmEmail3 
FROM schools 
WHERE County = 'San Bernardino' 
  AND District = 'San Bernardino City Unified' 
  AND OpenDate BETWEEN '2009-01-01' AND '2010-12-31' 
  AND StatusType = 'Active' 
  AND (GSoffered LIKE '%Intermediate/Middle%' OR GSoffered LIKE '%Unified%') 
  AND (AdmEmail IS NOT NULL OR AdmEmail3 IS NOT NULL)",ast,silent_failure_suspected,0,2.4367,769,105,openai_compat
evo_cm_01312,COLUMN_MERGE,student_club,1312,What's Angela Sanders's major?,1,"SELECT major.major_name
FROM member
JOIN major ON member.link_to_major = major.major_id
WHERE member.first_name = 'Angela' AND member.last_name = 'Sanders'",0,1.2946,269,41,"SELECT major.major_name
FROM member
JOIN major ON member.link_to_major = major.major_id
WHERE member.full_name = 'Angela Sanders'",1,0.8955,265,33,"SELECT major.major_name
FROM member
JOIN major ON member.link_to_major = major.major_id
WHERE member.first_name = 'Angela' AND member.last_name = 'Sanders'",0,1,1.5095,341,41,SELECT major.major_name FROM member JOIN major ON member.link_to_major = major.major_id WHERE member.full_name = 'Angela Sanders',ast,silent_failure_suspected,1,1.0587,380,30,openai_compat
evo_cm_01314,COLUMN_MERGE,student_club,1314,Please list the full names of the students in the Student_Club that come from the Art and Design Department.,0,"SELECT m.first_name || ' ' || m.last_name AS full_name
FROM member m
JOIN major ma ON m.link_to_major = ma.major_id
WHERE ma.department = 'Art and Design'",0,1.0779,285,45,"SELECT m.full_name
FROM member m
JOIN major ma ON m.link_to_major = ma.major_id
WHERE ma.department = 'Art and Design'",0,0.9542,281,35,"SELECT member.first_name || ' ' || member.last_name AS full_name
FROM member
JOIN major ON member.link_to_major = major.major_id
WHERE major.department = 'Art and Design'",0,1,1.3526,361,43,"SELECT m.full_name AS full_name 
FROM member AS m 
JOIN major AS ma ON m.link_to_major = ma.major_id 
WHERE ma.department = 'Art and Design'",ast,silent_failure_suspected,0,1.5209,402,40,openai_compat
evo_cm_01320,COLUMN_MERGE,student_club,1320,Please list the event names of all the events attended by Maya Mclean.,1,"SELECT e.event_name
FROM event e
JOIN attendance a ON e.event_id = a.link_to_event
JOIN member m ON a.link_to_member = m.member_id
WHERE m.first_name = 'Maya' AND m.last_name = 'Mclean'",0,1.065,278,57,"SELECT e.event_name
FROM event e
JOIN attendance a ON e.event_id = a.link_to_event
JOIN member m ON a.link_to_member = m.member_id
WHERE m.full_name = 'Maya Mclean'",1,0.9131,274,50,"SELECT e.event_name
FROM event e
JOIN attendance a ON e.event_id = a.link_to_event
JOIN member m ON a.link_to_member = m.member_id
WHERE m.first_name = 'Maya' AND m.last_name = 'Mclean'",0,1,1.6248,366,57,"SELECT e.event_name 
FROM event AS e 
JOIN attendance AS a ON e.event_id = a.link_to_event 
JOIN member AS m ON a.link_to_member = m.member_id 
WHERE m.full_name = 'Maya Mclean'",ast,silent_failure_suspected,1,1.3866,407,53,openai_compat
evo_cm_01321,COLUMN_MERGE,student_club,1321,How many events of the Student_Club did Sacha Harrison attend in 2019?,0,"SELECT COUNT(*) 
FROM attendance 
JOIN event ON attendance.link_to_event = event.event_id 
JOIN member ON attendance.link_to_member = member.member_id 
WHERE member.first_name = 'Sacha' 
AND member.last_name = 'Harrison' 
AND event.event_date LIKE '2019%' 
AND event.type = 'Student_Club'",0,1.096,281,74,"SELECT COUNT(*) 
FROM attendance 
JOIN event ON attendance.link_to_event = event.event_id 
JOIN member ON attendance.link_to_member = member.member_id 
WHERE member.full_name = 'Sacha Harrison' 
AND event.event_date LIKE '2019%' 
AND event.type = 'Student_Club'",0,1.0842,277,65,"SELECT COUNT(*) 
FROM attendance 
JOIN event ON attendance.link_to_event = event.event_id 
JOIN member ON attendance.link_to_member = member.member_id 
WHERE member.first_name || ' ' || member.last_name = 'Sacha Harrison' 
AND event.event_date LIKE '2019%' 
AND event.type = 'Student_Club'",0,1,1.7628,386,72,"SELECT COUNT(*) 
FROM attendance 
JOIN event ON attendance.link_to_event = event.event_id 
JOIN member ON attendance.link_to_member = member.member_id 
WHERE member.full_name = 'Sacha Harrison' 
AND event.event_date LIKE '2019%' 
AND event.type = 'Student_Club'",ast,silent_failure_suspected,0,1.4228,421,65,openai_compat
evo_cm_01327,COLUMN_MERGE,student_club,1327,"List the full name of all the members of the Student_Club who attended the ""Laugh Out Loud"" event.",0,"SELECT m.first_name || ' ' || m.last_name AS full_name
FROM member m
JOIN attendance a ON m.member_id = a.link_to_member
JOIN event e ON a.link_to_event = e.event_id
WHERE e.event_name = 'Laugh Out Loud'",0,1.057,286,59,"SELECT m.full_name
FROM member m
JOIN attendance a ON m.member_id = a.link_to_member
JOIN event e ON a.link_to_event = e.event_id
WHERE e.event_name = 'Laugh Out Loud'",1,1.1198,282,49,"SELECT member.first_name || ' ' || member.last_name AS full_name
FROM member
JOIN attendance ON member.member_id = attendance.link_to_member
JOIN event ON attendance.link_to_event = event.event_id
WHERE event.event_name = 'Laugh Out Loud'",0,1,1.1874,376,56,SELECT m.full_name AS full_name FROM member AS m JOIN attendance AS a ON m.member_id = a.link_to_member JOIN event AS e ON a.link_to_event = e.event_id WHERE e.event_name = 'Laugh Out Loud',ast,valid,1,1.3466,417,51,openai_compat
evo_cm_01329,COLUMN_MERGE,student_club,1329,What county did Sherri Ramsey grew up?,1,"SELECT z.county
FROM member m
JOIN zip_code z ON m.zip = z.zip_code
WHERE m.first_name = 'Sherri' AND m.last_name = 'Ramsey'",0,0.9376,272,43,"SELECT z.county
FROM member m
JOIN zip_code z ON m.zip = z.zip_code
WHERE m.full_name = 'Sherri Ramsey'",1,1.2652,268,35,"SELECT z.county
FROM member m
JOIN zip_code z ON m.zip = z.zip_code
WHERE m.first_name = 'Sherri' AND m.last_name = 'Ramsey'",0,1,1.2368,346,43,SELECT z.county FROM member AS m JOIN zip_code AS z ON m.zip = z.zip_code WHERE m.full_name = 'Sherri Ramsey',ast,silent_failure_suspected,1,1.1105,387,34,openai_compat
evo_cm_01330,COLUMN_MERGE,student_club,1330,What college offers the major that Tyler Hewitt took?,1,"SELECT major.college
FROM member
JOIN major ON member.link_to_major = major.major_id
WHERE member.first_name = 'Tyler' AND member.last_name = 'Hewitt'",0,1.1194,274,43,"SELECT major.college
FROM member
JOIN major ON member.link_to_major = major.major_id
WHERE member.full_name = 'Tyler Hewitt'",1,1.0478,270,35,"SELECT major.college
FROM member
JOIN major ON member.link_to_major = major.major_id
WHERE member.first_name = 'Tyler' AND member.last_name = 'Hewitt'",0,1,1.1396,348,43,SELECT major.college FROM member JOIN major ON member.link_to_major = major.major_id WHERE member.full_name = 'Tyler Hewitt',ast,valid,1,1.2543,387,32,openai_compat
