id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
hr_ts_01,TABLE_SPLIT,List employee first and last names.,"SELECT first_name, last_name FROM employee_personal ORDER BY employee_id",False,,"SELECT first_name, last_name FROM employees",1,"SELECT first_name, last_name FROM employees",0,"SELECT first_name, last_name FROM employee_personal",1,"SELECT first_name, last_name FROM employees",0,1,no such table: employees,gemini,"SELECT first_name, last_name FROM employee_personal",ast,valid,1,1,0,5.3139,1.3796,1.2501,6.0135,1.8619,17.908415,gemini
hr_ts_02,TABLE_SPLIT,Count employees.,SELECT COUNT(*) FROM employee_personal,False,,SELECT count(*) FROM employees,1,SELECT count(*) FROM employees,0,SELECT count(employee_id) FROM employee_personal,1,SELECT count(*) FROM employees,0,1,no such table: employees,gemini,SELECT COUNT(*) FROM employee_personal,ast,valid,1,1,0,1.0502,1.2831,1.3801,4.5109,1.6949,0.750341,gemini
hr_ts_03,TABLE_SPLIT,Employees with salary over 7000.,SELECT employee_id FROM employee_job WHERE salary > 7000 ORDER BY employee_id,False,,"SELECT employee_id, first_name, last_name FROM employees WHERE salary > 7000",0,"SELECT employee_id, first_name, last_name FROM employees WHERE salary > 7000",0,"SELECT T1.first_name, T1.last_name FROM employee_personal AS T1 INNER JOIN employee_job AS T2 ON T1.employee_id = T2.employee_id WHERE T2.salary > 7000",0,"SELECT employee_id, first_name, last_name FROM employees WHERE salary >",0,1,no such table: employees,gemini,"SELECT ep.employee_id, ep.first_name, ep.last_name FROM employee_personal AS ep JOIN employee_job AS ej ON ep.employee_id = ej.employee_id WHERE ej.salary > 7000",ast,silent_failure_suspected,0,0,0,1.3393,1.2997,1.4072,4.1199,3.1466,0.652259,gemini
hr_ts_04,TABLE_SPLIT,Average employee salary.,SELECT AVG(salary) FROM employee_job,False,,SELECT AVG(salary) FROM employees,1,SELECT AVG(salary) FROM employees,0,SELECT AVG(salary) FROM employee_job,1,SELECT AVG(salary) FROM employees,0,1,no such table: employees,gemini,SELECT AVG(salary) FROM employee_job,ast,valid,1,1,0,1.1311,1.2757,1.366,3.1587,2.2186,0.567198,gemini
hr_ts_05,TABLE_SPLIT,List employee emails.,SELECT email FROM employee_personal ORDER BY employee_id,False,,SELECT email FROM employees,1,SELECT email FROM employees,0,SELECT email FROM employee_personal,1,SELECT email FROM employees,0,1,no such table: employees,gemini,SELECT email FROM employee_personal,ast,valid,1,1,0,6.8092,3.2704,2.117,3.1088,1.7599,0.447904,gemini
hr_ts_06,TABLE_SPLIT,Employees in department 10.,"SELECT p.employee_id, p.first_name FROM employee_personal p JOIN employee_job j ON p.employee_id=j.employee_id WHERE j.department_id=10 ORDER BY p.employee_id",False,,SELECT * FROM employees WHERE department_id = 10,0,SELECT * FROM employees WHERE department_id = 10,0,"SELECT T1.first_name, T1.last_name FROM employee_personal AS T1 JOIN employee_job AS T2 ON T1.employee_id = T2.employee_id WHERE T2.department_id = 10",0,SELECT * FROM employees WHERE department_id = 10,0,1,no such table: employees,gemini,"SELECT T1.*, T2.* FROM employee_job AS T1 JOIN employee_personal AS T2 ON T1.employee_id = T2.employee_id WHERE T1.department_id = 10",ast,valid,0,0,0,1.1837,1.2987,1.3218,3.5285,2.4729,0.78167,gemini
hr_ts_07,TABLE_SPLIT,List employee job IDs.,"SELECT employee_id, job_id FROM employee_job ORDER BY employee_id",False,,SELECT job_id FROM employees,0,SELECT job_id FROM employees,0,SELECT job_id FROM employee_job,0,SELECT job_id FROM job_history,0,1,no such table: employees,gemini,SELECT job_id FROM employee_job,ast,valid,0,0,0,1.2534,1.498,1.0196,3.4597,1.5277,0.437219,gemini
hr_ts_08,TABLE_SPLIT,Count employees per department.,"SELECT department_id, COUNT(*) FROM employee_job GROUP BY department_id ORDER BY department_id",False,,"ite
SELECT T2.department_name, COUNT(T1.employee_id) FROM employees AS T1 INNER JOIN departments AS T2 ON T1.department_id = T2.department_id GROUP BY T2.department_name",0,"SELECT T2.department_name, COUNT(T1.employee_id) FROM employees AS T1 INNER JOIN departments AS T2 ON T1.department_id = T2.department_id GROUP BY T2.department_name",0,"ite
SELECT T1.department_name, COUNT(T2.employee_id) FROM departments AS T1 INNER JOIN employee_job AS T2 ON T1.department_id = T2.department_id GROUP BY T1.department_name",0,"SELECT T2.department_name, COUNT(T1.employee_id) FROM employees AS T",0,1,no such table: employees,gemini,"SELECT T2.department_name, COUNT(T1.employee_id) FROM employee_job AS T1 INNER JOIN departments AS T2 ON T1.department_id = T2.department_id GROUP BY T2.department_name",ast,valid,0,0,0,1.5414,1.6087,4.4408,3.7014,2.1642,1.32067,gemini
hr_ts_09,TABLE_SPLIT,Employees with commissions.,SELECT employee_id FROM employee_job WHERE commission_pct IS NOT NULL ORDER BY employee_id,False,,"SELECT employee_id, first_name, last_name FROM employees WHERE commission_pct IS NOT NULL",0,"SELECT employee_id, first_name, last_name FROM employees WHERE commission_pct IS NOT NULL",0,"ite
SELECT
  T1.first_name,
  T1.last_name
FROM employee_personal AS T1
INNER JOIN employee_job AS T2
  ON T1.employee_id = T2.employee_id
WHERE
  T2.commission_pct IS NOT NULL",0,"SELECT employee_id, first_name, last_name FROM employees WHERE commission_pct IS NOT NULL",0,1,no such table: employees,gemini,"SELECT ep.employee_id, ep.first_name, ep.last_name FROM employee_personal AS ep JOIN employee_job AS ej ON ep.employee_id = ej.employee_id WHERE NOT ej.commission_pct IS NULL",ast,silent_failure_suspected,0,0,0,1.5049,1.1538,1.9706,3.5733,2.9644,0.732314,gemini
hr_ts_10,TABLE_SPLIT,Employees managed by 1.,SELECT employee_id FROM employee_job WHERE manager_id=1 ORDER BY employee_id,False,,SELECT * FROM employees WHERE manager_id = 1,0,SELECT * FROM employees WHERE manager_id = 1,0,SELECT employee_id FROM employee_job WHERE manager_id = 1,1,SELECT * FROM employees WHERE manager_id = 1,0,1,no such table: employees,gemini,"SELECT T1.employee_id, T2.first_name, T2",ast,execution_error,0,0,0,1.6952,1.5953,1.5519,3.3581,3.5625,0.701678,gemini
