id,perturbation,question,expected_failure,sanity_sql,sanity_ok,sanity_latency_s,sanity_tokens_in,sanity_tokens_out,canonical_baseline_ok,canonical_mcp_ok,diff_sql,diff_ok,diff_latency_s,diff_tokens_in,diff_tokens_out,vendor_sql,vendor_ok,vendor_latency_s,vendor_tokens_in,vendor_tokens_out,vendor_n_api_calls,vendor_n_tool_calls,vendor_capped,tool_calls_json,backend
cs_ts_01,TABLE_SPLIT,List all singer names.,False,SELECT Name FROM singer,0,2.0019,177,8,0,1,SELECT DISTINCT Name FROM singer_info,1,0.9066,267,12,SELECT Name FROM singer_info,1,12.5917,3780,186,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Name FROM singer_info""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
cs_ts_02,TABLE_SPLIT,Count singers from France.,False,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,1.0726,177,16,0,1,"SELECT COUNT(DISTINCT si.Singer_ID)
FROM singer_info si
WHERE si.Country = 'France'",1,1.3499,267,30,SELECT COUNT(*) FROM singer_info WHERE Country = 'France',1,6.5505,5332,266,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM singer WHERE Country = 'France'""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM singer_info WHERE Country = 'France'""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
cs_ts_03,TABLE_SPLIT,Find the song name for Singer_ID 1.,False,SELECT Song_Name FROM singer WHERE Singer_ID = 1,0,2.0651,183,17,0,1,SELECT Song_Name FROM singer_songs WHERE Singer_ID = 1,1,1.0478,273,19,SELECT Song_Name FROM singer_songs WHERE Singer_ID = 1,1,5.9,3813,206,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Song_Name FROM singer_songs WHERE Singer_ID = 1""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
cs_ts_04,TABLE_SPLIT,List singer names and countries alphabetically.,False,"SELECT Name, Country FROM singer ORDER BY Name, Country",0,1.1318,180,15,0,1,"SELECT Name, Country
FROM singer_info
ORDER BY Name, Country",1,1.2789,270,19,"SELECT Name, Country FROM singer_info ORDER BY Name, Country",1,5.9101,5345,264,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Name, Country FROM singer ORDER BY Name, Country""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Name, Country FROM singer_info ORDER BY Name, Country""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
cs_ts_05,TABLE_SPLIT,List singer names with age over 40.,False,SELECT Name FROM singer WHERE Age > 40,0,2.0537,181,13,0,1,"SELECT DISTINCT s.Name
FROM singer_info s
WHERE s.Age > 40",1,1.0784,271,24,SELECT Name FROM singer_info WHERE Age > 40,1,5.5581,3786,185,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Name FROM singer_info WHERE Age > 40""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
cs_ts_06,TABLE_SPLIT,List song release years since 2010.,False,"SELECT DISTINCT Song_release_year
FROM singer
WHERE Song_release_year >= 2010
ORDER BY Song_release_year",0,1.0889,181,34,0,1,"SELECT DISTINCT Song_release_year
FROM singer_songs
WHERE Song_release_year >= 2010
ORDER BY Song_release_year",1,1.1666,271,41,SELECT DISTINCT Song_release_year FROM singer_songs WHERE Song_release_year >= 2010 ORDER BY Song_release_year,1,4.0818,3802,220,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT DISTINCT Song_release_year FROM singer_songs WHERE Song_release_year >= 2010 ORDER BY Song_release_year""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
cs_ts_07,TABLE_SPLIT,List singer names with their song titles.,False,"SELECT singer.Name, singer.Song_Name
FROM singer",0,1.0493,180,17,0,1,"SELECT si.Name, ss.Song_Name
FROM singer_info si
LEFT JOIN singer_songs ss ON si.Singer_ID = ss.Singer_ID
ORDER BY si.Name, ss.Song_Name",1,1.543,270,51,"SELECT si.Name, ss.Song_Name FROM singer_info si JOIN singer_songs ss ON si.Singer_ID = ss.Singer_ID",1,4.2028,3827,247,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT si.Name, ss.Song_Name FROM singer_info si JOIN singer_songs ss ON si.Singer_ID = ss.Singer_ID""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
cs_ts_08,TABLE_SPLIT,Which singer performs the song 'Sun'?,False,"SELECT DISTINCT s.Name
FROM singer s
WHERE s.Song_Name = 'Sun'",0,1.0176,182,25,0,1,"SELECT si.Name
FROM singer_info si
JOIN singer_songs ss ON si.Singer_ID = ss.Singer_ID
WHERE ss.Song_Name = 'Sun'",1,1.1167,272,48,"Based on the schema structure, the correct query to find which singer performs the song 'Sun' is:

```sql
SELECT si.Name FROM singer_info si JOIN singer_songs ss ON si.Singer_ID = ss.Singer_ID WHERE ss.Song_Name = 'Sun'
```

SELECT si.Name FROM singer_info si JOIN singer_songs ss ON si.Singer_ID = ss.Singer_ID WHERE ss.Song_Name = 'Sun'",0,9.5087,9040,621,6,5,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT si.Name FROM singer_info si JOIN singer_songs ss ON si.Singer_ID = ss.Singer_ID WHERE ss.Song_Name = 'Sun'""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""low_semantic_similarity""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Name FROM singer_info WHERE Singer_ID IN (SELECT Singer_ID FROM singer_songs WHERE Song_Name = 'Sun')""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""low_semantic_similarity""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT DISTINCT si.Name FROM singer_info si, singer_songs ss WHERE si.Singer_ID = ss.Singer_ID AND ss.Song_Name = 'Sun'""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""low_semantic_similarity""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT si.Name FROM singer_info si INNER JOIN singer_songs ss ON si.Singer_ID = ss.Singer_ID WHERE ss.Song_Name LIKE '%Sun%'""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""low_semantic_similarity""}}]",anthropic
cs_ts_09,TABLE_SPLIT,Count male singers.,False,SELECT COUNT(*) FROM singer WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'yes' OR Is_male = 'Yes' OR Is_male = 'Y',0,1.2586,176,54,0,0,SELECT COUNT(*) FROM singer_info WHERE Is_male = 'true',0,1.0336,266,20,SELECT COUNT(*) FROM singer_info WHERE Is_male = 'T',1,12.4273,12802,664,8,8,1,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM singer_info WHERE Is_male = 'true'""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""empty_result_on_affirmative_question""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM singer_info WHERE Is_male = 'M'""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""empty_result_on_affirmative_question""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM singer_info WHERE Is_male = 'Yes'""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""empty_result_on_affirmative_question""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM singer_info WHERE Is_male = '1'""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""empty_result_on_affirmative_question""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM singer_info WHERE Is_male IS NOT NULL""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM singer_info WHERE Is_male = 'T'""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM singer_info WHERE Is_male = 'T'""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
cs_ts_10,TABLE_SPLIT,Singers with songs released in 2014 or later.,False,"SELECT DISTINCT s.Singer_ID, s.Name, s.Country, s.Song_Name, s.Song_release_year
FROM singer s
WHERE s.Song_release_year >= 2014",0,1.6239,185,51,0,0,"SELECT DISTINCT si.Singer_ID, si.Name
FROM singer_info si
JOIN singer_songs ss ON si.Singer_ID = ss.Singer_ID
WHERE ss.Song_release_year >= 2014",0,1.2319,275,57,"SELECT DISTINCT si.Singer_ID, si.Name
FROM singer_info si
JOIN singer_songs ss ON si.Singer_ID = ss.Singer_ID
WHERE ss.Song_release_year >= 2014",0,5.1995,3845,264,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT DISTINCT si.Singer_ID, si.Name\nFROM singer_info si\nJOIN singer_songs ss ON si.Singer_ID = ss.Singer_ID\nWHERE ss.Song_release_year >= 2014""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
