id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
cs_ts_01,TABLE_SPLIT,List all singer names.,SELECT Name FROM singer_info ORDER BY Singer_ID,False,,SELECT Name FROM singer,1,SELECT Name FROM singer,0,SELECT Name FROM singer_info,1,SELECT Name FROM singer,0,1,no such table: singer,gemini,SELECT Name FROM singer_info,ast,valid,1,1,0,12.7981,1.1697,1.0888,3.7191,1.8602,33.935933,gemini
cs_ts_02,TABLE_SPLIT,Count singers from France.,SELECT COUNT(*) FROM singer_info WHERE Country='France',False,,SELECT count(*) FROM singer WHERE Country = 'France',1,SELECT count(*) FROM singer WHERE Country = 'France',0,SELECT count(*) FROM singer_info WHERE Country = 'France',1,SELECT count(*) FROM singer WHERE Country = 'France',0,1,no such table: singer,gemini,SELECT COUNT(*) FROM singer_info WHERE Country = 'France',ast,valid,1,1,0,1.4351,1.3393,1.3585,1.1383,1.5171,0.922616,gemini
cs_ts_03,TABLE_SPLIT,Find the song name for Singer_ID 1.,SELECT Song_Name FROM singer_songs WHERE Singer_ID=1,False,,SELECT Song_Name FROM singer WHERE Singer_ID = 1,1,SELECT Song_Name FROM singer WHERE Singer_ID = 1,0,SELECT Song_Name FROM singer_songs WHERE Singer_ID = 1,1,SELECT Song_Name FROM singer WHERE Singer_ID = 1,0,1,no such table: singer,gemini,SELECT Song_Name FROM singer_songs WHERE Singer_ID = 1,ast,valid,1,1,0,1.3952,1.0559,1.2632,3.0878,1.5049,0.858536,gemini
cs_ts_04,TABLE_SPLIT,List singer names and countries alphabetically.,"SELECT Name, Country FROM singer_info ORDER BY Name",False,,"SELECT Name, Country FROM singer ORDER BY Name ASC",1,"SELECT Name, Country FROM singer ORDER BY Name ASC",0,"SELECT Name, Country FROM singer_info ORDER BY Name ASC",1,"SELECT Name, Country FROM singer ORDER BY Name ASC",0,1,no such table: singer,gemini,"SELECT Name, Country FROM singer_info ORDER BY Name ASC",ast,valid,1,1,0,1.002,1.2772,1.1562,3.4521,1.3777,0.599453,gemini
cs_ts_05,TABLE_SPLIT,List singer names with age over 40.,SELECT Name FROM singer_info WHERE Age > 40 ORDER BY Name,False,,SELECT Name FROM singer WHERE Age > 40,1,SELECT Name FROM singer WHERE Age > 40,0,SELECT Name FROM singer_info WHERE Age  >  40,1,SELECT Name FROM singer WHERE Age > 40,0,1,no such table: singer,gemini,SELECT Name FROM singer_info WHERE Age > 40,ast,valid,1,1,0,1.2216,1.2422,1.2531,3.5499,1.8302,0.925601,gemini
cs_ts_06,TABLE_SPLIT,List song release years since 2010.,SELECT Song_release_year FROM singer_songs WHERE Song_release_year >= 2010 ORDER BY Song_release_year,False,,SELECT Song_release_year FROM singer WHERE Song_release_year >= 2010,1,SELECT Song_release_year FROM singer WHERE Song_release_year >= 2010,0,SELECT Song_release_year FROM singer_songs WHERE Song_release_year >= 2010,1,SELECT Song_release_year FROM singer WHERE Song_release_year >= 2010,0,1,no such table: singer,gemini,SELECT Song_release_year FROM singer_songs WHERE Song_release_year >= 2010,ast,valid,1,1,0,1.3789,1.3856,1.1363,3.3381,1.9085,0.558753,gemini
cs_ts_07,TABLE_SPLIT,List singer names with their song titles.,"SELECT i.Name, s.Song_Name FROM singer_info i JOIN singer_songs s ON i.Singer_ID=s.Singer_ID ORDER BY i.Singer_ID",False,,"SELECT Name ,  Song_Name FROM singer",1,"SELECT Name ,  Song_Name FROM singer",0,"SELECT T1.Name, T2.Song_Name FROM singer_info AS T1 JOIN singer_songs AS T2 ON T1.Singer_ID = T2.Singer_ID",1,"SELECT Name ,  Song_Name FROM singer",0,1,no such table: singer,gemini,"SELECT T1.Name, T2.Song_Name FROM singer_info AS T1 JOIN singer_songs AS T2 ON T1.Singer_ID = T2.Singer_ID",ast,valid,1,1,0,1.5708,1.446,1.4769,4.4266,2.3894,0.508314,gemini
cs_ts_08,TABLE_SPLIT,Which singer performs the song 'Sun'?,SELECT i.Name FROM singer_info i JOIN singer_songs s ON i.Singer_ID=s.Singer_ID WHERE s.Song_Name='Sun',False,,SELECT Name FROM singer WHERE Song_Name = 'Sun',1,SELECT Name FROM singer WHERE Song_Name = 'Sun',0,SELECT T1.Name FROM singer_info AS T1 JOIN singer_songs AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Song_Name = 'Sun',1,SELECT Name FROM singer WHERE Song_Name = 'Sun',0,1,no such table: singer,gemini,SELECT T1.Name FROM singer_info AS T1 JOIN singer_songs AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Song_Name = 'Sun',ast,valid,1,1,0,1.0565,1.3651,1.4919,3.0485,2.137,0.444794,gemini
cs_ts_09,TABLE_SPLIT,Count male singers.,SELECT COUNT(*) FROM singer_info WHERE Is_male='T',False,,SELECT count(*) FROM singer WHERE Is_male = 'T',1,SELECT count(*) FROM singer WHERE Is_male = 'T',0,SELECT count(*) FROM singer_info WHERE Is_male = 'T',1,SELECT count(*) FROM singer WHERE Is_male = 'T',0,1,no such table: singer,gemini,SELECT COUNT(*) FROM singer_info WHERE Is_male = 'T',ast,valid,1,1,0,1.5782,1.104,0.8533,3.4226,1.7052,0.715437,gemini
cs_ts_10,TABLE_SPLIT,Singers with songs released in 2014 or later.,SELECT i.Name FROM singer_info i JOIN singer_songs s ON i.Singer_ID=s.Singer_ID WHERE s.Song_release_year >= 2014 ORDER BY i.Name,False,,SELECT Name FROM singer WHERE Song_release_year >= 2014,1,SELECT Name FROM singer WHERE Song_release_year >= 2014,0,SELECT T1.Name FROM singer_info AS T1 JOIN singer_songs AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Song_release_year >= 2014,1,SELECT Name FROM singer WHERE Song_release_year >= 2014,0,1,no such table: singer,gemini,SELECT T1.Name FROM singer_info AS T1 JOIN singer_songs AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Song_release_year >= 2014,ast,valid,1,1,0,1.3435,1.2044,1.7208,3.5922,2.5262,0.560764,gemini
