id,perturbation,question,gold_post,pre_sql,pre_ok,baseline_sql,baseline_ok,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_mcp_s,backend
Q01,TABLE_RENAME,How many singers do we have?,SELECT COUNT(*) FROM artist,SELECT COUNT(*) FROM singer,1,SELECT COUNT(*) FROM singer,0,SELECT COUNT(*) FROM artist,ast,valid,1,1,0,3.4809,1.5433,0.0153,anthropic
Q02,TABLE_RENAME,What is the name and country of every singer?,"SELECT Name, Country FROM artist","SELECT Name, Country FROM singer",1,"SELECT Name, Country FROM singer",0,"SELECT Name, Country FROM artist",ast,valid,1,1,0,0.9822,1.0704,0.0032,anthropic
Q03,TABLE_RENAME,List the names of singers from France.,SELECT Name FROM artist WHERE Country = 'France',SELECT Name FROM singer WHERE Country = 'France',1,SELECT Name FROM singer WHERE Country = 'France',0,SELECT Name FROM artist WHERE Country = 'France',ast,valid,1,1,0,1.0763,1.4018,0.003,anthropic
Q04,TABLE_RENAME,What are the names of all singers ordered by age from oldest to youngest?,SELECT Name FROM artist ORDER BY Age DESC,SELECT Name FROM singer ORDER BY Age DESC,1,SELECT Name FROM singer ORDER BY Age DESC,0,SELECT Name FROM artist ORDER BY Age DESC,ast,valid,1,1,0,1.0081,1.0632,0.0025,anthropic
Q05,TABLE_RENAME,How many male singers are there?,SELECT COUNT(*) FROM artist WHERE Is_male = 'T',SELECT COUNT(*) FROM singer WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'yes' OR Is_male = 'Yes' OR Is_male = 'Y',0,SELECT COUNT(*) FROM singer WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'yes' OR Is_male = 'Yes' OR Is_male = 'Y',0,SELECT COUNT(*) FROM artist WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'yes' OR Is_male = 'Yes' OR Is_male = 'Y',ast,valid,0,0,0,1.2418,1.2557,0.0035,anthropic
Q06,TABLE_RENAME,"What is the average, minimum, and maximum age of all singers?","SELECT AVG(Age), MIN(Age), MAX(Age) FROM artist","SELECT AVG(Age), MIN(Age), MAX(Age) FROM singer",1,"SELECT AVG(Age), MIN(Age), MAX(Age) FROM singer",0,"SELECT AVG(Age), MIN(Age), MAX(Age) FROM artist",ast,valid,1,1,0,9.5729,10.5682,0.0031,mock-after-OverloadedError
Q07,TABLE_RENAME,List each country and the number of singers from that country.,"SELECT Country, COUNT(*) FROM artist GROUP BY Country","SELECT Country, COUNT(*) as number_of_singers
FROM singer
GROUP BY Country
ORDER BY Country",1,"SELECT Country, COUNT(*) as number_of_singers
FROM singer
GROUP BY Country
ORDER BY Country",0,"SELECT Country, COUNT(*) AS number_of_singers FROM artist GROUP BY Country ORDER BY Country",ast,valid,1,1,0,1.2761,1.0514,0.0031,anthropic
Q08,TABLE_RENAME,Show the name of the oldest singer.,SELECT Name FROM artist ORDER BY Age DESC LIMIT 1,SELECT Name FROM singer ORDER BY Age DESC LIMIT 1,1,SELECT Name FROM singer ORDER BY Age DESC LIMIT 1,0,SELECT Name FROM artist ORDER BY Age DESC LIMIT 1,ast,valid,1,1,0,8.4464,8.7076,0.0025,mock-after-OverloadedError
Q09,TABLE_RENAME,Show the names of all singers and the names of concerts they performed in.,"SELECT T2.Name, T3.concert_Name FROM singer_in_concert AS T1 JOIN artist AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T1.Concert_ID = T3.Concert_ID","SELECT T2.Name, T3.concert_Name FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T1.Concert_ID = T3.Concert_ID",0,"SELECT T2.Name, T3.concert_Name FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T1.Concert_ID = T3.Concert_ID",0,"SELECT T2.concert_Name, T3.concert_Name FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.Concert_ID = T2.Concert_ID JOIN concert AS T3 ON T1.Concert_ID = T3.Concert_ID
```

Wait, let me reconsider. The original query has issues with the join logic. Looking at the current schema:
- `singer_in_concert` has `Concert_ID` and `Singer_ID`
- `concert` has `Concert_ID` and `concert_Name`
- There is no `Singer_ID` in the `concert` table

The original query tried to join `concert` on `Singer_ID`, which doesn't exist in the current schema. The corrected query should be:

```sql
SELECT T2.concert_Name, T3.concert_Name FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.Concert_ID = T2.Concert_ID JOIN concert AS T3 ON T1.Concert_ID = T3.Concert_ID
```

Actually, this still doesn't make logical sense. Let me provide the most reasonable fix based on the schema:

```sql
SELECT T2.Name, T3.concert_Name FROM singer_in_concert AS T1 JOIN artist AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T1.Concert_ID = T3.Concert_ID",ast,execution_error,0,0,0,9.3053,8.6855,5.7298,mock-after-OverloadedError
Q10,TABLE_RENAME,List the names of singers who performed in a concert with theme 'Wide Awake'.,SELECT T2.Name FROM singer_in_concert AS T1 JOIN artist AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T1.Concert_ID = T3.Concert_ID WHERE T3.Theme = 'Wide Awake',SELECT T2.Name FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T1.Concert_ID = T3.Concert_ID WHERE T3.Theme = 'Wide Awake',0,SELECT T2.Name FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T1.Concert_ID = T3.Concert_ID WHERE T3.Theme = 'Wide Awake',0,SELECT T2.Name FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T1.Concert_ID = T3.Concert_ID WHERE T3.Theme = 'Wide Awake',ast,execution_error,0,0,0,8.7864,9.0455,8.6497,mock-after-OverloadedError
