id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
cs_tm_01,TABLE_MERGE,List concert names with singer IDs.,"SELECT concert_Name, Singer_ID FROM concert_performance ORDER BY Concert_ID, Singer_ID",False,,"SELECT T1.concert_Name, T2.Singer_ID FROM concert AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Concert_ID = T2.Concert_ID",1,"SELECT T1.concert_Name, T3.Singer_ID FROM concert AS T1 INNER JOIN singer_in_concert AS T3 ON T1.Concert_ID = T3.Concert_ID",0,"SELECT concert_Name, Singer_ID FROM concert_performance",1,"SELECT T1.concert_Name, T2.Singer_ID FROM concert AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Concert_ID = T2.Concert_ID",0,1,no such table: concert,openai_compat,"SELECT concert_Name, Singer_ID 
FROM concert_performance",ast,valid,1,1,0,1.493,1.057,1.4765,1.8977,1.1628,0.937172,openai_compat
cs_tm_02,TABLE_MERGE,Count singers per concert.,"SELECT Concert_ID, COUNT(*) AS singer_count FROM concert_performance GROUP BY Concert_ID ORDER BY Concert_ID",False,,"SELECT T1.Concert_ID, COUNT(T2.Singer_ID) FROM concert AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Concert_ID = T2.Concert_ID GROUP BY T1.Concert_ID",1,"SELECT T1.Concert_ID, COUNT(T2.Singer_ID) FROM concert AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Concert_ID = T2.Concert_ID GROUP BY T1.Concert_ID",0,"SELECT concert_Name, COUNT(Singer_ID) FROM concert_performance GROUP BY concert_Name",0,"SELECT T1.Concert_ID, COUNT(T2.Singer_ID) FROM concert AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Concert_ID = T2.Concert_ID GROUP BY T1.Concert_ID",0,1,no such table: concert,openai_compat,"SELECT Concert_ID, COUNT(Singer_ID) 
FROM concert_performance 
GROUP BY Concert_ID",ast,valid,1,1,0,1.4759,1.2862,1.6538,1.5381,1.072,22.722483,openai_compat
cs_tm_03,TABLE_MERGE,Concerts in 2015 with singer IDs.,"SELECT Concert_ID, Singer_ID FROM concert_performance WHERE Year=2015 ORDER BY Singer_ID",False,,"SELECT T1.Concert_ID, T2.Singer_ID FROM concert AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Concert_ID = T2.Concert_ID WHERE T1.Year = 2015",1,"SELECT T1.Concert_ID, T2.Singer_ID FROM concert AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Concert_ID = T2.Concert_ID WHERE T1.Year = 2015",0,"SELECT Concert_ID, Singer_ID FROM concert_performance WHERE Year = 2015",1,"SELECT T1.Concert_ID, T2.Singer_ID FROM concert AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Concert_ID = T2.Concert_ID WHERE T1.Year = 2015",0,1,no such table: concert,openai_compat,"SELECT Concert_ID, Singer_ID 
FROM concert_performance 
WHERE Year = 2015",ast,valid,1,1,0,1.3015,0.9323,0.7437,0.9942,1.1607,1.146112,openai_compat
cs_tm_04,TABLE_MERGE,Themes with singer counts.,"SELECT Theme, COUNT(*) FROM concert_performance GROUP BY Theme ORDER BY Theme",False,,"SELECT T1.Theme, COUNT(T2.Singer_ID) FROM concert AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Concert_ID = T2.Concert_ID GROUP BY T1.Theme",1,"SELECT T1.Theme, COUNT(T2.Singer_ID) FROM concert AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Concert_ID = T2.Concert_ID GROUP BY T1.Theme",0,"SELECT Theme, COUNT(Singer_ID) FROM concert_performance GROUP BY Theme",1,"SELECT T1.Theme, COUNT(T2.Singer_ID) FROM concert AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Concert_ID = T2.Concert_ID GROUP BY T1.Theme",0,1,no such table: concert,openai_compat,"SELECT Theme, COUNT(Singer_ID) 
FROM concert_performance 
GROUP BY Theme",ast,silent_failure_suspected,1,1,0,1.7415,1.5785,1.3653,1.1862,0.8519,19.251488,openai_compat
cs_tm_05,TABLE_MERGE,Distinct concert names.,SELECT DISTINCT concert_Name FROM concert_performance ORDER BY concert_Name,False,,SELECT DISTINCT concert_Name FROM concert,1,SELECT DISTINCT concert_Name FROM concert,0,SELECT DISTINCT concert_Name FROM concert_performance,1,SELECT DISTINCT concert_Name FROM concert,0,1,no such table: concert,openai_compat,SELECT DISTINCT concert_Name FROM concert_performance,ast,valid,1,1,0,1.2444,1.0598,0.4928,0.5299,0.9169,0.527499,openai_compat
cs_tm_06,TABLE_MERGE,Singer names in concert 2.,SELECT s.Name FROM singer s JOIN concert_performance cp ON s.Singer_ID=cp.Singer_ID WHERE cp.Concert_ID=2 ORDER BY s.Name,False,,SELECT T2.Name FROM singer_in_concert AS T1 INNER JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T1.Concert_ID = 2,1,SELECT T2.Name FROM singer_in_concert AS T1 INNER JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T1.Concert_ID = 2,0,SELECT T1.Name FROM singer AS T1 INNER JOIN concert_performance AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Concert_ID = 2,1,SELECT T2.Name FROM singer_in_concert AS T1 INNER JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T1.Concert_ID = 2,0,1,no such table: singer_in_concert,openai_compat,"SELECT T2.Name 
FROM concert_performance AS T1 
INNER JOIN singer AS T2 
ON T1.Singer_ID = T2.Singer_ID 
WHERE T1.Concert_ID = 2",ast,valid,1,1,0,1.6569,2.0404,1.9711,1.6069,1.3333,1.210555,openai_compat
cs_tm_07,TABLE_MERGE,Themes for singer 3.,SELECT Theme FROM concert_performance WHERE Singer_ID=3 ORDER BY Theme,False,,SELECT T1.Theme FROM concert AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Concert_ID = T2.Concert_ID WHERE T2.Singer_ID = 3,1,SELECT T1.Theme FROM concert AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Concert_ID = T2.Concert_ID WHERE T2.Singer_ID = 3,0,SELECT Theme FROM concert_performance WHERE Singer_ID = 3,1,SELECT T1.Theme FROM concert AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Concert_ID = T2.Concert_ID WHERE T2.Singer_ID = 3,0,1,no such table: concert,openai_compat,SELECT Theme FROM concert_performance WHERE Singer_ID = 3,ast,valid,1,1,0,1.3279,1.1172,1.1373,1.4126,1.2153,1.142579,openai_compat
cs_tm_08,TABLE_MERGE,Count distinct concerts for singer 5.,SELECT COUNT(DISTINCT Concert_ID) FROM concert_performance WHERE Singer_ID=5,False,,SELECT COUNT(DISTINCT T1.Concert_ID) FROM singer_in_concert AS T1 WHERE T1.Singer_ID = 5,1,SELECT COUNT(DISTINCT T1.Concert_ID) FROM singer_in_concert AS T1 WHERE T1.Singer_ID = 5,0,SELECT COUNT(DISTINCT Concert_ID) FROM concert_performance WHERE Singer_ID = 5,1,SELECT COUNT(DISTINCT T1.Concert_ID) FROM singer_in_concert AS T1 WHERE T1.Singer_ID = 5,0,1,no such table: singer_in_concert,openai_compat,"SELECT COUNT(DISTINCT T1.Concert_ID) 
FROM concert_performance AS T1 
WHERE T1.Singer_ID = 5",ast,valid,1,1,0,0.8844,0.7614,1.0311,1.1186,1.384,0.998656,openai_compat
cs_tm_09,TABLE_MERGE,List concert names with singer names.,"SELECT cp.concert_Name, s.Name FROM concert_performance cp JOIN singer s ON s.Singer_ID=cp.Singer_ID ORDER BY cp.Concert_ID, s.Name",False,,"SELECT T1.concert_Name, T3.Name 
FROM concert T1 
JOIN singer_in_concert T2 ON T1.Concert_ID = T2.Concert_ID 
JOIN singer T3 ON T2.Singer_ID = T3.Singer_ID",1,"SELECT T1.concert_Name, T3.Name 
FROM concert AS T1 
JOIN singer_in_concert AS T2 
ON T1.Concert_ID = T2.Concert_ID 
JOIN singer AS T3 
ON T2.Singer_ID = T3.Singer_ID",0,"SELECT T1.concert_Name, T2.Name FROM concert_performance AS T1 INNER JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID",1,"SELECT T1.concert_Name, T3.Name 
FROM concert AS T1 
JOIN singer_in_concert AS T2 
ON T1.Concert_ID = T2.Concert_ID 
JOIN singer AS T3 
ON T2.Singer_ID = T3.Singer_ID",0,1,no such table: concert,openai_compat,"SELECT T1.concert_Name, T2.Name 
FROM concert_performance AS T1 
JOIN singer AS T2 
ON T1.Singer_ID = T2.Singer_ID",ast,valid,1,1,0,0.8497,1.1893,1.015,0.8586,3.638,21.864296,openai_compat
cs_tm_10,TABLE_MERGE,Concerts held in stadium 2.,SELECT Concert_ID FROM concert_performance WHERE Stadium_ID=2 ORDER BY Concert_ID,False,,SELECT concert_Name FROM concert WHERE Stadium_ID = 2,0,SELECT concert_Name FROM concert WHERE Stadium_ID = 2,0,SELECT concert_Name FROM concert_performance WHERE Stadium_ID = 2,0,SELECT concert_Name FROM concert,0,1,no such table: concert,openai_compat,SELECT concert_Name FROM concert_performance WHERE Stadium_ID = 2,ast,silent_failure_suspected,0,0,0,1.5864,0.6083,1.0811,2.1401,0.6747,0.576051,openai_compat
