id,perturbation,question,expected_failure,sanity_sql,sanity_ok,sanity_latency_s,sanity_tokens_in,sanity_tokens_out,canonical_baseline_ok,canonical_mcp_ok,diff_sql,diff_ok,diff_latency_s,diff_tokens_in,diff_tokens_out,vendor_sql,vendor_ok,vendor_latency_s,vendor_tokens_in,vendor_tokens_out,vendor_n_api_calls,vendor_n_tool_calls,vendor_capped,tool_calls_json,backend
hr_cm_01,COLUMN_MERGE,List merged employee full names.,False,SELECT first_name || ' ' || last_name AS full_name FROM employees,0,1.3749,249,19,0,1,SELECT full_name FROM employees,1,0.7758,345,10,SELECT full_name FROM employees,1,2.4682,1277,18,2,1,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}]",openai_compat
hr_cm_02,COLUMN_MERGE,Count employees with last names starting with S.,False,SELECT COUNT(*) FROM employees WHERE last_name LIKE 'S%',0,0.9081,252,17,0,0,SELECT COUNT(*) FROM employees WHERE full_name LIKE 'S%',0,0.9907,348,17,SELECT COUNT(*) FROM employees WHERE full_name LIKE 'S%' OR full_name LIKE 'S %',0,4.711,3017,84,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM employees WHERE last_name LIKE 'S%';""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM employees WHERE full_name LIKE 'S%'""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""empty_result_on_affirmative_question""}}]",openai_compat
hr_cm_03,COLUMN_MERGE,Full name for employee 1.,False,SELECT first_name || ' ' || last_name AS full_name FROM employees WHERE employee_id = 1,0,0.9075,250,25,0,1,SELECT full_name FROM employees WHERE employee_id = 1,1,0.9655,346,16,SELECT full_name FROM employees WHERE employee_id = 1,1,4.1585,3045,92,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT first_name || ' ' || last_name AS full_name FROM employees WHERE employee_id = 1;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT first_name || ' ' || full_name AS full_name FROM employees WHERE employee_id = 1""}, ""result"": {""verdict"": ""execution_error"", ""reason"": ""no such column: first_name""}}]",openai_compat
hr_cm_04,COLUMN_MERGE,Full names for employees with salary over 7000.,False,"SELECT first_name || ' ' || last_name AS full_name
FROM employees
WHERE salary > 7000",0,0.9025,254,27,0,1,SELECT full_name FROM employees WHERE salary > 7000,1,0.9098,350,16,SELECT full_name FROM employees WHERE salary > 7000,1,4.5197,3061,92,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT first_name || ' ' || last_name AS full_name FROM employees WHERE salary > 7000;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT first_name || ' ' || full_name AS full_name FROM employees WHERE salary > 7000""}, ""result"": {""verdict"": ""execution_error"", ""reason"": ""no such column: first_name""}}]",openai_compat
hr_cm_05,COLUMN_MERGE,Full names with emails.,False,"SELECT first_name || ' ' || last_name AS full_name, email FROM employees",0,0.9193,248,21,0,1,"SELECT full_name, email FROM employees",1,1.0602,344,12,"SELECT full_name, email FROM employees",1,4.4859,3017,80,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT first_name || ' ' || last_name AS full_name, email FROM employees;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT first_name || ' ' || full_name AS full_name, email FROM employees""}, ""result"": {""verdict"": ""execution_error"", ""reason"": ""no such column: first_name""}}]",openai_compat
hr_cm_06,COLUMN_MERGE,Full names with department IDs.,False,"SELECT CONCAT(e.first_name, ' ', e.last_name) AS full_name, e.department_id
FROM employees e",0,0.8587,249,28,0,1,"SELECT full_name, department_id FROM employees",1,1.0259,345,13,"SELECT full_name, department_id FROM employees",1,4.177,3026,83,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT first_name || ' ' || last_name AS full_name, department_id FROM employees;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT first_name || ' ' || full_name AS full_name, department_id FROM employees""}, ""result"": {""verdict"": ""execution_error"", ""reason"": ""no such column: first_name""}}]",openai_compat
hr_cm_07,COLUMN_MERGE,Full names and job IDs for the first five employees.,False,"SELECT first_name || ' ' || last_name AS full_name, job_id
FROM employees
LIMIT 5",0,0.8877,254,27,0,1,"SELECT full_name, job_id FROM employees LIMIT 5",1,1.0755,350,16,"SELECT full_name, job_id FROM employees LIMIT 5",1,4.4186,3061,92,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT first_name || ' ' || last_name AS full_name, job_id FROM employees LIMIT 5;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT first_name || ' ' || full_name AS full_name, job_id FROM employees LIMIT 5""}, ""result"": {""verdict"": ""execution_error"", ""reason"": ""no such column: first_name""}}]",openai_compat
hr_cm_08,COLUMN_MERGE,Count employees with 'a' in their full name.,False,"SELECT COUNT(*) 
FROM employees 
WHERE first_name LIKE '%a%' OR last_name LIKE '%a%'",0,0.9159,254,26,0,1,SELECT COUNT(*) FROM employees WHERE full_name LIKE '%a%',1,0.927,350,17,SELECT COUNT(*) FROM employees WHERE full_name LIKE '%a%',1,5.0366,3049,87,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM employees WHERE first_name || ' ' || last_name LIKE '%a%'""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM employees WHERE first_name || ' ' || full_name LIKE '%a%'""}, ""result"": {""verdict"": ""execution_error"", ""reason"": ""no such column: first_name""}}]",openai_compat
hr_cm_09,COLUMN_MERGE,Full names for employees with commissions.,False,"SELECT first_name || ' ' || last_name AS full_name
FROM employees
WHERE commission_pct IS NOT NULL",0,1.1356,250,27,0,1,SELECT full_name FROM employees WHERE commission_pct IS NOT NULL,1,1.1319,346,16,SELECT full_name FROM employees WHERE commission_pct IS NOT NULL,1,5.4826,3045,92,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT first_name || ' ' || last_name AS full_name FROM employees WHERE commission_pct IS NOT NULL;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT first_name || ' ' || full_name AS full_name FROM employees WHERE NOT commission_pct IS NULL""}, ""result"": {""verdict"": ""execution_error"", ""reason"": ""no such column: first_name""}}]",openai_compat
hr_cm_10,COLUMN_MERGE,Job history start date with full name for employee 1.,False,"SELECT jh.start_date, e.first_name || ' ' || e.last_name AS full_name
FROM job_history jh
JOIN employees e ON jh.employee_id = e.employee_id
WHERE jh.employee_id = 1",0,1.0159,255,52,0,1,"SELECT jh.start_date, e.full_name
FROM job_history jh
JOIN employees e ON jh.employee_id = e.employee_id
WHERE e.employee_id = 1",1,1.0905,351,41,"SELECT jh.start_date, e.full_name FROM job_history AS jh JOIN employees AS e ON jh.employee_id = e.employee_id WHERE e.employee_id = 1",1,4.3455,3187,164,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT jh.start_date, e.first_name || ' ' || e.last_name AS full_name FROM job_history jh JOIN employees e ON jh.employee_id = e.employee_id WHERE e.employee_id = 1;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT jh.start_date, e.first_name || ' ' || e.full_name AS full_name FROM job_history AS jh JOIN employees AS e ON jh.employee_id = e.employee_id WHERE e.employee_id = 1""}, ""result"": {""verdict"": ""execution_error"", ""reason"": ""no such column: e.first_name""}}]",openai_compat
hr_cm_11,COLUMN_MERGE,Full names for employees managed by 1.,False,"SELECT e.first_name || ' ' || e.last_name AS full_name
FROM employees e
WHERE e.manager_id = 1",0,0.9873,252,31,0,1,SELECT full_name FROM employees WHERE manager_id = 1,1,1.0987,348,16,SELECT full_name FROM employees WHERE manager_id = 1,1,4.0567,3053,92,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT first_name || ' ' || last_name AS full_name FROM employees WHERE manager_id = 1;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT first_name || ' ' || full_name AS full_name FROM employees WHERE manager_id = 1""}, ""result"": {""verdict"": ""execution_error"", ""reason"": ""no such column: first_name""}}]",openai_compat
