id,perturbation,expected_failure,seed,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
Q01,TABLE_RENAME,False,0,SELECT COUNT(*) FROM singer,1,SELECT COUNT(*) FROM singer,0,SELECT COUNT(DISTINCT Singer_ID) FROM artist,1,SELECT COUNT(*) FROM singer,0,1,no such table: singer,openai_compat,SELECT COUNT(*) FROM artist,ast,valid,1,2.4515,1.4275,1.6907,1.535,28.9787,50.728209,openai_compat
Q01,TABLE_RENAME,False,1,SELECT COUNT(*) FROM singer,1,SELECT COUNT(*) FROM singer,0,SELECT COUNT(DISTINCT Singer_ID) FROM artist,1,SELECT COUNT(*) FROM singer,0,1,no such table: singer,openai_compat,SELECT COUNT(*) FROM artist,ast,valid,1,1.2168,1.419,1.0651,0.9652,0.0494,2.142333,openai_compat
Q01,TABLE_RENAME,False,2,SELECT COUNT(*) FROM singer,1,SELECT COUNT(*) FROM singer,0,SELECT COUNT(DISTINCT Singer_ID) FROM artist,1,SELECT COUNT(*) FROM singer,0,1,no such table: singer,openai_compat,SELECT COUNT(*) FROM artist,ast,valid,1,0.9017,1.3317,0.9149,1.5067,0.0502,0.894375,openai_compat
Q02,TABLE_RENAME,False,0,"SELECT Name, Country FROM singer",1,"SELECT Name, Country FROM singer",0,"SELECT Name, Country FROM artist",1,"SELECT Name, Country FROM singer",0,1,no such table: singer,openai_compat,"SELECT Name, Country FROM artist",ast,valid,1,1.0255,1.1424,1.1061,0.9621,0.0743,0.880958,openai_compat
Q02,TABLE_RENAME,False,1,"SELECT Name, Country FROM singer",1,"SELECT Name, Country FROM singer",0,"SELECT Name, Country FROM artist",1,"SELECT Name, Country FROM singer",0,1,no such table: singer,openai_compat,"SELECT Name, Country FROM artist",ast,valid,1,0.9485,0.8917,0.9161,0.9258,0.0476,0.813459,openai_compat
Q02,TABLE_RENAME,False,2,"SELECT Name, Country FROM singer",1,"SELECT Name, Country FROM singer",0,"SELECT Name, Country FROM artist",1,"SELECT Name, Country FROM singer",0,1,no such table: singer,openai_compat,"SELECT Name, Country FROM artist",ast,valid,1,0.9246,1.6723,0.9,0.9424,0.0537,1.056166,openai_compat
Q03,TABLE_RENAME,False,0,SELECT Name FROM singer WHERE Country = 'France',1,SELECT Name FROM singer WHERE Country = 'France',0,SELECT Name FROM artist WHERE Country = 'France',1,SELECT Name FROM Singer WHERE Country = 'France',0,1,no such table: singer,openai_compat,SELECT Name FROM artist WHERE Country = 'France',ast,silent_failure_suspected,1,0.9015,1.0094,1.0961,0.902,1.1252,1.415458,openai_compat
Q03,TABLE_RENAME,False,1,SELECT Name FROM singer WHERE Country = 'France',1,SELECT Name FROM singer WHERE Country = 'France',0,SELECT Name FROM artist WHERE Country = 'France',1,SELECT Name FROM singer WHERE Country = 'France',0,1,no such table: singer,openai_compat,SELECT Name FROM artist WHERE Country = 'France',ast,silent_failure_suspected,1,0.9852,1.0499,2.068,0.8799,0.9772,1.222833,openai_compat
Q03,TABLE_RENAME,False,2,SELECT Name FROM singer WHERE Country = 'France',1,SELECT Name FROM singer WHERE Country = 'France',0,SELECT Name FROM artist WHERE Country = 'France',1,SELECT Name FROM Singer WHERE Country = 'France',0,1,no such table: singer,openai_compat,SELECT Name FROM artist WHERE Country = 'France',ast,silent_failure_suspected,1,1.1777,1.0041,0.9737,0.8237,0.8312,1.317125,openai_compat
Q04,TABLE_RENAME,False,0,SELECT Name FROM singer ORDER BY Age DESC,1,SELECT Name FROM singer ORDER BY Age DESC,0,SELECT Name FROM artist ORDER BY Age DESC,1,SELECT Name FROM singer ORDER BY Age DESC,0,1,no such table: singer,openai_compat,SELECT Name FROM artist ORDER BY Age DESC,ast,valid,1,1.0618,0.8668,0.9668,0.9125,0.07,1.270209,openai_compat
