id,perturbation,question,expected_failure,sanity_sql,sanity_ok,sanity_latency_s,sanity_tokens_in,sanity_tokens_out,canonical_baseline_ok,canonical_mcp_ok,diff_sql,diff_ok,diff_latency_s,diff_tokens_in,diff_tokens_out,vendor_sql,vendor_ok,vendor_latency_s,vendor_tokens_in,vendor_tokens_out,vendor_n_api_calls,vendor_n_tool_calls,vendor_capped,tool_calls_json,backend
hr_tr_01,TABLE_RENAME,List employee first and last names.,False,"SELECT first_name, last_name FROM employees",0,0.863,301,14,0,1,"SELECT first_name, last_name FROM staff",1,0.8086,376,14,"SELECT first_name, last_name FROM staff",1,5.5532,6116,244,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT first_name, last_name FROM employees""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT first_name, last_name FROM staff""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
hr_tr_02,TABLE_RENAME,Count employees.,False,SELECT COUNT(*) FROM employees,0,0.9095,297,10,0,1,SELECT COUNT(*) FROM staff,1,1.2838,372,10,SELECT COUNT(*) FROM staff,1,4.1701,4328,164,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM staff""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
hr_tr_03,TABLE_RENAME,Employees with salary over 7000.,False,"SELECT employee_id, first_name, last_name, salary
FROM employees
WHERE salary > 7000
ORDER BY salary DESC",0,0.9935,303,33,0,0,SELECT * FROM staff WHERE salary > 7000,0,1.0353,378,14,SELECT * FROM staff WHERE salary > 7000,0,4.3603,4353,171,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT * FROM staff WHERE salary > 7000""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
hr_tr_04,TABLE_RENAME,Average employee salary.,False,SELECT AVG(salary) FROM employees,0,1.0256,298,12,0,1,SELECT AVG(salary) FROM staff,1,0.9564,373,12,SELECT AVG(salary) AS average_salary FROM staff,1,4.2723,4335,176,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT AVG(salary) AS average_salary FROM staff""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
hr_tr_05,TABLE_RENAME,List employee emails.,False,SELECT email FROM employees,0,1.2041,298,8,0,1,SELECT email FROM staff,1,0.9068,373,8,SELECT email FROM staff,1,4.0409,4326,160,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT email FROM staff""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
hr_tr_06,TABLE_RENAME,Employees in department 10.,False,SELECT * FROM employees WHERE department_id = 10,0,1.0573,301,15,0,0,SELECT * FROM staff WHERE department_id = 10,0,0.9351,376,15,SELECT * FROM staff WHERE department_id = 10,0,3.5588,4347,174,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT * FROM staff WHERE department_id = 10""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
hr_tr_07,TABLE_RENAME,List employee job IDs.,False,SELECT DISTINCT job_id FROM employees,0,1.1579,300,12,0,0,SELECT job_id FROM staff,0,0.9206,375,10,SELECT job_id FROM staff,0,5.5544,4340,168,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT job_id FROM staff""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
hr_tr_08,TABLE_RENAME,Count employees per department.,False,"SELECT 
  d.department_id,
  d.department_name,
  COUNT(e.employee_id) AS employee_count
FROM departments d
LEFT JOIN employees e ON d.department_id = e.department_id
GROUP BY d.department_id, d.department_name
ORDER BY d.department_id",0,1.22,299,79,0,0,"SELECT department_id, COUNT(*) as employee_count
FROM staff
GROUP BY department_id
ORDER BY department_id",1,1.1804,374,31,"SELECT department_id, COUNT(*) AS employee_count FROM staff GROUP BY department_id ORDER BY department_id",1,6.2467,6194,295,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT department_id, COUNT(*) as employee_count FROM employees GROUP BY department_id ORDER BY department_id""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT department_id, COUNT(*) AS employee_count FROM staff GROUP BY department_id ORDER BY department_id""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
hr_tr_09,TABLE_RENAME,Employees with commissions.,False,"SELECT employee_id, first_name, last_name, commission_pct
FROM employees
WHERE commission_pct IS NOT NULL AND commission_pct > 0
ORDER BY employee_id",0,1.3308,300,47,0,0,SELECT * FROM staff WHERE commission_pct IS NOT NULL AND commission_pct > 0,0,1.0137,375,24,"SELECT employee_id, first_name, last_name, commission_pct FROM staff WHERE commission_pct IS NOT NULL AND commission_pct > 0",0,4.329,4372,227,3,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT employee_id, first_name, last_name, commission_pct FROM staff WHERE commission_pct IS NOT NULL AND commission_pct > 0""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
hr_tr_10,TABLE_RENAME,Employees managed by 1.,False,SELECT * FROM employees WHERE manager_id = 1,0,0.888,301,15,0,0,SELECT * FROM staff WHERE manager_id = 1,0,0.9376,376,19,"SELECT employee_id, first_name, last_name, email, job_id, salary, department_id FROM staff WHERE manager_id = 1",0,5.7983,6213,324,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 1}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT * FROM staff WHERE manager_id = 1""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""low_semantic_similarity""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT employee_id, first_name, last_name, email, job_id, salary, department_id FROM staff WHERE manager_id = 1""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",anthropic
