id,perturbation,question,expected_failure,sanity_sql,sanity_ok,sanity_latency_s,sanity_tokens_in,sanity_tokens_out,canonical_baseline_ok,canonical_mcp_ok,diff_sql,diff_ok,diff_latency_s,diff_tokens_in,diff_tokens_out,vendor_sql,vendor_ok,vendor_latency_s,vendor_tokens_in,vendor_tokens_out,vendor_n_api_calls,vendor_n_tool_calls,vendor_capped,tool_calls_json,backend
cs_cr_01,COLUMN_RENAME,List song titles.,False,SELECT Song_Name FROM singer,0,1.0362,154,10,0,1,SELECT song_title FROM singer,1,0.8293,262,10,SELECT song_title FROM singer,1,3.6145,2321,55,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Song_Name FROM singer;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT song_title FROM singer""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_cr_02,COLUMN_RENAME,Count songs released after 2010.,False,SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010,0,1.0048,158,18,0,1,"SELECT COUNT(*) 
FROM singer 
WHERE debut_year > 2010",1,1.6984,266,19,SELECT COUNT(*) FROM singer WHERE debut_year > 2010,1,3.5838,2374,77,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM singer WHERE Song_release_year > 2010;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(*) FROM singer WHERE debut_year > 2010""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_cr_03,COLUMN_RENAME,List singer names with song titles.,False,"SELECT Name, Song_Name FROM singer",0,0.8769,157,12,0,1,"SELECT Name, song_title FROM singer",1,0.9474,265,12,"SELECT Name, song_title FROM singer",1,7.2205,2343,61,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Name, Song_Name FROM singer;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Name, song_title FROM singer""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_cr_04,COLUMN_RENAME,Singer for the song 'Sun'.,False,"SELECT Name 
FROM singer 
WHERE Song_Name = 'Sun'",0,0.9518,157,17,0,1,SELECT Name FROM singer WHERE song_title = 'Sun',1,0.9328,265,15,SELECT Name FROM singer WHERE song_title = 'Sun',1,4.0836,1782,89,3,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Name FROM singer WHERE Song_Name = 'Sun'""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Name FROM singer WHERE song_title = 'Sun'""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_cr_05,COLUMN_RENAME,Average debut year.,False,SELECT AVG(Song_release_year) AS Average_Debut_Year FROM singer,0,1.1102,154,20,0,1,SELECT AVG(debut_year) FROM singer,1,0.9085,262,13,SELECT AVG(debut_year) FROM singer,1,2.2291,1063,60,2,2,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT AVG(Song_release_year) FROM singer""}, ""result"": {""method"": ""ast""}}]",openai_compat
cs_cr_06,COLUMN_RENAME,List singer IDs and debut years.,False,"SELECT Singer_ID, MIN(Song_release_year) AS Debut_Year
FROM singer
GROUP BY Singer_ID",0,1.1579,157,28,0,1,"SELECT Singer_ID, debut_year FROM singer",1,0.8604,265,13,"SELECT Singer_ID, debut_year FROM singer",1,3.8548,2350,65,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Singer_ID, Song_release_year FROM singer;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Singer_ID, debut_year FROM singer""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_cr_07,COLUMN_RENAME,Songs released between 2000 and 2014.,False,"SELECT Song_Name 
FROM singer 
WHERE Song_release_year BETWEEN 2000 AND 2014",0,0.941,161,24,0,1,SELECT song_title FROM singer WHERE debut_year BETWEEN 2000 AND 2014,1,1.0344,269,21,SELECT song_title FROM singer WHERE debut_year BETWEEN 2000 AND 2014,1,5.4094,2406,89,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Song_Name FROM singer WHERE Song_release_year BETWEEN 2000 AND 2014;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT song_title FROM singer WHERE debut_year BETWEEN 2000 AND 2014""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_cr_08,COLUMN_RENAME,Singers with songs released in 2014.,False,SELECT Name FROM singer WHERE Song_release_year = 2014,0,0.8772,160,17,0,1,SELECT Name FROM singer WHERE debut_year = 2014,1,1.367,268,16,SELECT Name FROM singer WHERE debut_year = 2014,1,4.4186,2377,74,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Name FROM singer WHERE Song_release_year = 2014;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT Name FROM singer WHERE debut_year = 2014""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_cr_09,COLUMN_RENAME,Count distinct song titles.,False,SELECT COUNT(DISTINCT Song_Name) FROM singer,0,1.3494,155,15,0,1,SELECT COUNT(DISTINCT song_title) FROM singer,1,0.8336,263,15,SELECT COUNT(DISTINCT song_title) FROM singer,1,3.8398,2350,70,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT COUNT(DISTINCT Song_Name) FROM singer;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT COUNT(DISTINCT song_title) FROM singer""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_cr_10,COLUMN_RENAME,Song titles by French singers.,False,"SELECT Song_Name 
FROM singer 
WHERE Country = 'France'",0,0.9657,156,17,0,1,SELECT song_title FROM singer WHERE Country = 'France',1,0.9657,264,15,SELECT song_title FROM singer WHERE Country = 'French',0,4.7425,2363,72,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Song_Name FROM singer WHERE Country = 'France'""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT song_title FROM singer WHERE Country = 'France'""}, ""result"": {""verdict"": ""silent_failure_suspected"", ""reason"": ""low_semantic_similarity""}}]",openai_compat
cs_cr_11,COLUMN_RENAME,List song titles and countries.,False,"SELECT Song_Name, Country FROM singer",0,1.0978,156,12,0,1,"SELECT song_title, Country FROM singer",1,0.9841,264,12,"SELECT song_title, Country FROM singer",1,4.6629,2339,61,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Song_Name, Country FROM singer;""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT song_title, Country FROM singer""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_cr_12,COLUMN_RENAME,Song titles ordered by debut year.,False,"SELECT Song_Name 
FROM singer 
ORDER BY Song_release_year",0,0.9345,157,17,0,1,SELECT song_title FROM singer ORDER BY debut_year,1,0.883,265,14,SELECT song_title FROM singer ORDER BY debut_year,1,5.6585,2353,67,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Song_Name FROM singer ORDER BY Song_release_year""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT song_title FROM singer ORDER BY debut_year""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
cs_cr_13,COLUMN_RENAME,Song titles for concert 1 singers.,False,"SELECT s.Song_Name 
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
WHERE sic.Concert_ID = 1",0,1.2512,158,40,0,1,"SELECT s.song_title 
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
WHERE sic.Concert_ID = 1",1,1.3,266,39,SELECT song_title FROM singer WHERE Singer_ID IN (SELECT Singer_ID FROM singer_in_concert WHERE Concert_ID = 1),1,4.6634,2433,114,4,3,0,"[{""tool"": ""get_schema_diff"", ""args"": {}, ""result"": {""changed"": true, ""n_events"": 2}}, {""tool"": ""relink_sql"", ""args"": {""sql"": ""SELECT Song_Name FROM singer WHERE Singer_ID IN (SELECT Singer_ID FROM singer_in_concert WHERE Concert_ID = 1)""}, ""result"": {""method"": ""ast""}}, {""tool"": ""validate_sql"", ""args"": {""sql"": ""SELECT song_title FROM singer WHERE Singer_ID IN (SELECT Singer_ID FROM singer_in_concert WHERE Concert_ID = 1)""}, ""result"": {""verdict"": ""valid"", ""reason"": """"}}]",openai_compat
