id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
Q01,TABLE_RENAME,How many singers do we have?,SELECT COUNT(*) FROM artist,False,,SELECT COUNT(*) FROM singer,1,SELECT COUNT(*) FROM singer,0,SELECT COUNT(DISTINCT Singer_ID) FROM artist,1,SELECT COUNT(*) FROM singer,0,1,no such table: singer,anthropic,SELECT COUNT(*) FROM artist,ast,valid,1,1,0,2.7116,0.9365,0.7995,0.8304,0.0063,4.920291,anthropic
Q02,TABLE_RENAME,What is the name and country of every singer?,"SELECT Name, Country FROM artist",False,,"SELECT Name, Country FROM singer",1,"SELECT Name, Country FROM singer",0,"SELECT Name, Country FROM artist",1,"SELECT Name, Country FROM singer",0,1,no such table: singer,anthropic,"SELECT Name, Country FROM artist",ast,valid,1,1,0,0.9118,1.0065,0.8434,0.922,0.0013,0.509209,anthropic
Q03,TABLE_RENAME,List the names of singers from France.,SELECT Name FROM artist WHERE Country = 'France',False,,SELECT Name FROM singer WHERE Country = 'France',1,SELECT Name FROM singer WHERE Country = 'France',0,SELECT DISTINCT Name FROM artist WHERE Country = 'France',1,SELECT Name FROM singer WHERE Country = 'France',0,1,no such table: singer,anthropic,SELECT Name FROM artist WHERE Country = 'France',ast,valid,1,1,0,1.8074,1.1003,1.0742,0.9803,0.0025,0.885916,anthropic
Q04,TABLE_RENAME,What are the names of all singers ordered by age from oldest to youngest?,SELECT Name FROM artist ORDER BY Age DESC,False,,SELECT Name FROM singer ORDER BY Age DESC,1,SELECT Name FROM singer ORDER BY Age DESC,0,SELECT Name FROM artist ORDER BY Age DESC,1,SELECT Name FROM singer ORDER BY Age DESC,0,1,no such table: singer,anthropic,SELECT Name FROM artist ORDER BY Age DESC,ast,valid,1,1,0,0.9102,0.9462,1.5199,1.5377,0.0021,0.64925,anthropic
Q05,TABLE_RENAME,How many male singers are there?,SELECT COUNT(*) FROM artist WHERE Is_male = 'T',False,,SELECT COUNT(*) FROM singer WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'T' OR Is_male = 'yes' OR Is_male = 'Yes' OR Is_male = 'Y' OR Is_male = '1',1,SELECT COUNT(*) FROM singer WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'yes' OR Is_male = 'Yes' OR Is_male = 'Y',0,SELECT COUNT(*) FROM artist WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'T' OR Is_male = 'M',1,SELECT COUNT(*) FROM singer WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'yes' OR Is_male = 'Yes' OR Is_male = 'Y',0,1,no such table: singer,anthropic,SELECT COUNT(*) FROM artist WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'yes' OR Is_male = 'Yes' OR Is_male = 'Y',ast,silent_failure_suspected,0,0,0,1.4171,1.538,2.1489,1.8297,1.8595,0.804917,anthropic
Q06,TABLE_RENAME,"What is the average, minimum, and maximum age of all singers?","SELECT AVG(Age), MIN(Age), MAX(Age) FROM artist",False,,"SELECT AVG(Age) as average_age, MIN(Age) as minimum_age, MAX(Age) as maximum_age FROM singer",1,"SELECT AVG(Age) as average_age, MIN(Age) as minimum_age, MAX(Age) as maximum_age FROM singer",0,"SELECT AVG(Age) as average_age, MIN(Age) as minimum_age, MAX(Age) as maximum_age FROM artist",1,"SELECT AVG(Age) as average_age, MIN(Age) as minimum_age, MAX(Age) as maximum_age FROM singer",0,1,no such table: singer,anthropic,"SELECT AVG(Age) AS average_age, MIN(Age) AS minimum_age, MAX(Age) AS maximum_age FROM artist",ast,valid,1,1,0,1.2236,0.9767,1.1751,2.4586,0.0021,0.975708,anthropic
Q07,TABLE_RENAME,List each country and the number of singers from that country.,"SELECT Country, COUNT(*) FROM artist GROUP BY Country",False,,"SELECT Country, COUNT(*) as number_of_singers
FROM singer
GROUP BY Country
ORDER BY Country",1,"SELECT Country, COUNT(*) as number_of_singers
FROM singer
GROUP BY Country
ORDER BY Country",0,"SELECT Country, COUNT(*) as number_of_singers
FROM artist
GROUP BY Country",1,"SELECT Country, COUNT(*) as number_of_singers
FROM singer
GROUP BY Country
ORDER BY Country",0,1,no such table: singer,anthropic,"SELECT Country, COUNT(*) AS number_of_singers FROM artist GROUP BY Country ORDER BY Country",ast,valid,1,1,0,0.9745,1.135,4.5688,0.9618,0.0024,0.884125,anthropic
Q08,TABLE_RENAME,Show the name of the oldest singer.,SELECT Name FROM artist ORDER BY Age DESC LIMIT 1,False,,SELECT Name FROM singer ORDER BY Age DESC LIMIT 1,1,SELECT Name FROM singer ORDER BY Age DESC LIMIT 1,0,SELECT Name FROM artist ORDER BY Age DESC LIMIT 1,1,SELECT Name FROM singer ORDER BY Age DESC LIMIT 1,0,1,no such table: singer,anthropic,SELECT Name FROM artist ORDER BY Age DESC LIMIT 1,ast,valid,1,1,0,1.4756,1.2279,1.1293,0.9168,0.0017,0.706708,anthropic
Q09,TABLE_RENAME,Show the names of all singers and the names of concerts they performed in.,"SELECT T2.Name, T3.concert_Name FROM singer_in_concert AS T1 JOIN artist AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T1.Concert_ID = T3.Concert_ID",False,,"SELECT DISTINCT s.Name, c.concert_Name
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
JOIN concert c ON sic.Concert_ID = c.Concert_ID
ORDER BY s.Name, c.concert_Name",1,"SELECT DISTINCT s.Name, c.concert_Name
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
JOIN concert c ON sic.Concert_ID = c.Concert_ID
ORDER BY s.Name, c.concert_Name",0,"SELECT DISTINCT a.Name, c.concert_Name
FROM artist a
LEFT JOIN singer_in_concert sic ON a.Singer_ID = sic.Singer_ID
LEFT JOIN concert c ON sic.Concert_ID = c.Concert_ID
ORDER BY a.Name, c.concert_Name",1,"SELECT DISTINCT s.Name, c.concert_Name
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
JOIN concert c ON sic.Concert_ID = c.Concert_ID
ORDER BY s.Name, c.concert_Name",0,1,no such table: singer,anthropic,"SELECT DISTINCT s.Name, c.concert_Name FROM artist AS s JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID JOIN concert AS c ON sic.Concert_ID = c.Concert_ID ORDER BY s.Name, c.concert_Name",ast,valid,1,1,0,1.4808,1.535,1.2312,1.1389,0.0061,3.937375,anthropic
Q10,TABLE_RENAME,List the names of singers who performed in a concert with theme 'Wide Awake'.,SELECT T2.Name FROM singer_in_concert AS T1 JOIN artist AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T1.Concert_ID = T3.Concert_ID WHERE T3.Theme = 'Wide Awake',False,,"SELECT DISTINCT s.Name
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
JOIN concert c ON sic.Concert_ID = c.Concert_ID
WHERE c.Theme = 'Wide Awake'",1,"SELECT DISTINCT s.Name
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
JOIN concert c ON sic.Concert_ID = c.Concert_ID
WHERE c.Theme = 'Wide Awake'",0,"SELECT DISTINCT a.Name
FROM artist a
JOIN singer_in_concert sic ON a.Singer_ID = sic.Singer_ID
JOIN concert c ON sic.Concert_ID = c.Concert_ID
WHERE c.Theme = 'Wide Awake'",1,"SELECT DISTINCT s.Name
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
JOIN concert c ON sic.Concert_ID = c.Concert_ID
WHERE c.Theme = 'Wide Awake'",0,1,no such table: singer,anthropic,SELECT DISTINCT s.Name FROM artist AS s JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID JOIN concert AS c ON sic.Concert_ID = c.Concert_ID WHERE c.Theme = 'Wide Awake',ast,valid,1,1,0,1.0483,1.5728,1.5349,1.1193,0.0023,1.031708,anthropic
