id,perturbation,db_id,train_idx,question,pre_ok,baseline_sql,baseline_ok,latency_baseline_s,baseline_tokens_in,baseline_tokens_out,refreshed_schema_sql,refreshed_schema_ok,latency_refreshed_schema_s,refreshed_tokens_in,refreshed_tokens_out,error_feedback_sql,error_feedback_ok,error_feedback_retry,latency_error_feedback_s,error_feedback_tokens_in,error_feedback_tokens_out,mcp_sql,mcp_method,mcp_verdict,mcp_ok,latency_mcp_s,mcp_tokens_in,mcp_tokens_out,backend
evo_cm_00026,COLUMN_MERGE,california_schools,26,State the names and full communication address of high schools in Monterey which has more than 800 free or reduced price meals for ages 15-17?,0,"I need to find high schools in Monterey County with more than 800 free or reduced price meals for ages 5-17 (the closest available age group to 15-17 in the schema).

Let me analyze the tables:
1. `frpm` table has FRPM data including ""FRPM Count (Ages 5-17)"" and school information
2. `schools` table has address information and school names
3. I need to filter for Monterey County, high schools, and FRPM Count > 800

```sql
SELECT 
  s.School,
  s.MailStreet || ' ' || COALESCE(s.MailStrAbr, '') || ', ' || s.MailCity || ', ' || s.MailState || ' ' || s.MailZip AS FullAddress
FROM frpm f
JOIN schools s ON f.CDSCode = s.CDSCode
WHERE f.County Name = 'Monterey'
  AND s.StatusType = 'Active'
  AND (s.EdOpsName LIKE '%High%' OR f.High Grade IN ('12', '11', '10', '9'))
  AND f.""FRPM Count (Ages 5-17)"" > 800
```

Wait, let me reconsider. The question asks for ""free or reduced price meals"" which is FRPM Count. Let me check the column name more carefully and ensure I'm joining correctly.

```sql
SELECT 
  s.School,
  s.MailStreet || ' ' || COALESCE(s.MailStrAbr, '') || ', ' || s.MailCity || ', ' || s.MailState || ' ' || s.MailZip AS FullAddress
FROM frpm f
JOIN schools s ON f.CDSCode = s.CDSCode
WHERE f.""County Name"" = 'Monterey'
  AND f.""High Grade"" = '12'
  AND f.""FRPM Count (Ages 5-17)"" > 800",0,4.8249,682,472,"I need to find high schools in Monterey County with more than 800 free or reduced price meals for ages 5-17 (the closest available data to ages 15-17).

Let me analyze the schema:
- `frpm` table has FRPM data including county name and FRPM counts
- `schools` table has school information including address details
- I need to filter for Monterey county, high schools, and FRPM Count > 800

Looking at the frpm table, I see ""FRPM Count (Ages 5-17)"" which is the closest to the requested age range.

```sql
SELECT 
  s.School,
  s.Address,
  s.MailStreet,
  s.MailCity,
  s.MailState,
  s.MailZip
FROM frpm f
JOIN schools s ON f.CDSCode = s.CDSCode
WHERE f.County Name = 'Monterey'
  AND s.School LIKE '%High%'
  AND f.""FRPM Count (Ages 5-17)"" > 800
```

Wait, I need to check the column names more carefully. The frpm table has ""County Name"" and the schools table has ""County"". Let me revise:

```sql
SELECT 
  s.School,
  s.Address,
  s.MailStreet,
  s.MailCity,
  s.MailState,
  s.MailZip
FROM frpm f
JOIN schools s ON f.CDSCode = s.CDSCode
WHERE f.""County Name"" = 'Monterey'
  AND f.""FRPM Count (Ages 5-17)"" > 800",0,3.3925,672,398,"SELECT 
  s.School,
  s.MailStreet || ' ' || COALESCE(s.MailStrAbr, '') || ', ' || s.MailCity || ', ' || s.MailState || ' ' || s.MailZip AS FullAddress
FROM frpm f
JOIN schools s ON f.CDSCode = s.CDSCode
WHERE f.""County Name"" = 'Monterey'
  AND f.""High Grade"" = '12'
  AND f.""FRPM Count (Ages 5-17)"" > 800",0,1,1.3732,1190,140,"SELECT 
  s.School,
  s.MailStreet || ' ' || COALESCE(s.MailStrAbr, '') || ', ' || s.MailCity || ', ' || s.MailState || ' ' || s.MailZip AS FullAddress
FROM frpm f
JOIN schools s ON f.CDSCode = s.CDSCode
WHERE f.""County Name"" = 'Monterey'
  AND s.StatusType = 'Active'
  AND f.""High Grade"" = '12'
  AND f.""FRPM Count (Ages 5-17)"" > 800",parse_error,valid,0,10.7337,1276,152,anthropic
evo_cm_00037,COLUMN_MERGE,california_schools,37,"What is the complete address of the school with the lowest excellence rate? Indicate the Street, City, Zip and State.",0,"SELECT s.Street, s.City, s.Zip, s.State
FROM schools s
WHERE s.CDSCode = (
  SELECT ss.cds
  FROM satscores ss
  WHERE ss.NumGE1500 / CAST(ss.NumTstTakr AS FLOAT) = (
    SELECT MIN(CAST(NumGE1500 AS FLOAT) / CAST(NumTstTakr AS FLOAT))
    FROM satscores
    WHERE NumTstTakr > 0
  )
  LIMIT 1
)",0,2.1801,675,142,"SELECT s.StreetAbr, s.MailCity, s.MailZip, s.MailState
FROM schools s
JOIN satscores ss ON s.CDSCode = ss.cds
ORDER BY (ss.NumGE1500 / CAST(ss.NumTstTakr AS FLOAT)) ASC
LIMIT 1",0,1.4462,665,91,"SELECT s.Street, s.City, s.Zip, s.State
FROM schools s
WHERE s.CDSCode = (
  SELECT ss.cds
  FROM satscores ss
  WHERE ss.NumGE1500 / CAST(ss.NumTstTakr AS FLOAT) = (
    SELECT MIN(CAST(NumGE1500 AS FLOAT) / CAST(NumTstTakr AS FLOAT))
    FROM satscores
    WHERE NumTstTakr > 0
  )
  LIMIT 1
)",0,1,1.6799,851,137,"SELECT s.Address, s.MailCity, s.MailZip, s.MailState FROM schools AS s WHERE s.CDSCode = (SELECT ss.cds FROM satscores AS ss WHERE ss.NumGE1500 / CAST(ss.NumTstTakr AS REAL) = (SELECT MIN(CAST(NumGE1500 AS REAL) / CAST(NumTstTakr AS REAL)) FROM satscores WHERE NumTstTakr > 0) LIMIT 1)",ast,silent_failure_suspected,0,1.5307,919,131,anthropic
evo_cm_00087,COLUMN_MERGE,california_schools,87,"What are the valid e-mail addresses of the administrator of the school located in the San Bernardino county, City of San Bernardino City Unified that opened between 1/1/2009 to 12/31/2010 whose school types are public Intermediate/Middle Schools and Unified Schools?",0,"SELECT DISTINCT 
  CASE WHEN AdmEmail1 IS NOT NULL AND AdmEmail1 != '' THEN AdmEmail1 END as email1,
  CASE WHEN AdmEmail2 IS NOT NULL AND AdmEmail2 != '' THEN AdmEmail2 END as email2,
  CASE WHEN AdmEmail3 IS NOT NULL AND AdmEmail3 != '' THEN AdmEmail3 END as email3
FROM schools
WHERE County = 'San Bernardino'
  AND District = 'San Bernardino City Unified'
  AND OpenDate >= '2009-01-01'
  AND OpenDate <= '2010-12-31'
  AND (EdOpsName LIKE '%Intermediate%' OR EdOpsName LIKE '%Middle%' OR EdOpsName LIKE '%Unified%')
  AND StatusType = 'Active'",0,2.7222,716,218,"SELECT DISTINCT s.AdmEmail, s.AdmEmail3
FROM schools s
WHERE s.County = 'San Bernardino'
  AND s.District = 'San Bernardino City Unified'
  AND s.OpenDate >= '2009-01-01'
  AND s.OpenDate <= '2010-12-31'
  AND s.EdOpsName IN ('Intermediate/Middle Schools', 'Unified Schools')
  AND s.StatusType = 'Active'
  AND (s.AdmEmail IS NOT NULL OR s.AdmEmail3 IS NOT NULL)",0,1.8123,707,148,"SELECT DISTINCT 
  CASE WHEN AdmEmail1 IS NOT NULL AND AdmEmail1 != '' THEN AdmEmail1 END as email1,
  CASE WHEN AdmEmail2 IS NOT NULL AND AdmEmail2 != '' THEN AdmEmail2 END as email2,
  CASE WHEN AdmEmail3 IS NOT NULL AND AdmEmail3 != '' THEN AdmEmail3 END as email3
FROM schools
WHERE County = 'San Bernardino'
  AND District = 'San Bernardino City Unified'
  AND OpenDate >= '2009-01-01'
  AND OpenDate <= '2010-12-31'
  AND (EdOpsName LIKE '%Intermediate%' OR EdOpsName LIKE '%Middle%' OR EdOpsName LIKE '%Unified%')
  AND StatusType = 'Active'",0,1,1.5742,969,218,"SELECT DISTINCT 
  CASE WHEN NOT AdmEmail IS NULL AND AdmEmail <> '' THEN AdmEmail END AS email1,
  CASE WHEN NOT AdmEmail3 IS NULL AND AdmEmail3 <> '' THEN AdmEmail3 END AS email2
FROM schools 
WHERE County = 'San Bernardino' 
  AND District = 'San Bernardino City Unified' 
  AND OpenDate >= '2009-01-01' 
  AND OpenDate <= '2010-12-31' 
  AND (EdOpsName LIKE '%Intermediate%' OR EdOpsName LIKE '%Middle%' OR EdOpsName LIKE '%Unified%') 
  AND StatusType = 'Active'",ast,silent_failure_suspected,0,1.7729,994,186,anthropic
evo_cm_01312,COLUMN_MERGE,student_club,1312,What's Angela Sanders's major?,0,"SELECT m.link_to_major, maj.major_name
FROM member m
LEFT JOIN major maj ON m.link_to_major = maj.major_id
WHERE m.first_name = 'Angela' AND m.last_name = 'Sanders'",0,1.341,318,63,"SELECT m.major_name
FROM member
JOIN major ON member.link_to_major = major.major_id
WHERE member.full_name = 'Angela Sanders'",0,1.0251,313,42,"SELECT maj.major_name
FROM member m
LEFT JOIN major maj ON m.link_to_major = maj.major_id
WHERE m.first_name = 'Angela' AND m.last_name = 'Sanders'",0,1,1.3274,422,55,"SELECT m.link_to_major, maj.major_name FROM member AS m LEFT JOIN major AS maj ON m.link_to_major = maj.major_id WHERE m.full_name = 'Angela Sanders'",ast,silent_failure_suspected,0,1.1917,468,57,anthropic
evo_cm_01314,COLUMN_MERGE,student_club,1314,Please list the full names of the students in the Student_Club that come from the Art and Design Department.,0,"SELECT member.first_name, member.last_name
FROM member
JOIN major ON member.link_to_major = major.major_id
WHERE major.department = 'Art and Design'",0,1.0103,333,52,"SELECT DISTINCT m.full_name
FROM member m
JOIN major ma ON m.link_to_major = ma.major_id
WHERE ma.department = 'Art and Design'",0,1.0634,328,50,"SELECT member.first_name, member.last_name
FROM member
JOIN major ON member.link_to_major = major.major_id
WHERE major.department = 'Art and Design'",0,1,0.974,421,47,SELECT member.full_name FROM member JOIN major ON member.link_to_major = major.major_id WHERE major.department = 'Art and Design',ast,silent_failure_suspected,0,1.1569,465,43,anthropic
evo_cm_01320,COLUMN_MERGE,student_club,1320,Please list the event names of all the events attended by Maya Mclean.,1,"SELECT DISTINCT e.event_name
FROM event e
JOIN attendance a ON e.event_id = a.link_to_event
JOIN member m ON a.link_to_member = m.member_id
WHERE m.first_name = 'Maya' AND m.last_name = 'Mclean'",0,1.2594,328,77,"SELECT DISTINCT e.event_name
FROM event e
JOIN attendance a ON e.event_id = a.link_to_event
JOIN member m ON a.link_to_member = m.member_id
WHERE m.full_name = 'Maya Mclean'",1,1.4638,323,67,"SELECT DISTINCT e.event_name
FROM event e
JOIN attendance a ON e.event_id = a.link_to_event
JOIN member m ON a.link_to_member = m.member_id
WHERE m.first_name = 'Maya' AND m.last_name = 'Mclean'",0,1,1.0889,446,77,SELECT DISTINCT e.event_name FROM event AS e JOIN attendance AS a ON e.event_id = a.link_to_event JOIN member AS m ON a.link_to_member = m.member_id WHERE m.full_name = 'Maya Mclean',ast,silent_failure_suspected,1,1.3786,492,71,anthropic
evo_cm_01321,COLUMN_MERGE,student_club,1321,How many events of the Student_Club did Sacha Harrison attend in 2019?,1,"SELECT COUNT(DISTINCT a.link_to_event)
FROM attendance a
JOIN event e ON a.link_to_event = e.event_id
JOIN member m ON a.link_to_member = m.member_id
WHERE m.first_name = 'Sacha' 
  AND m.last_name = 'Harrison'
  AND SUBSTR(e.event_date, 1, 4) = '2019'",0,1.4721,330,112,"SELECT COUNT(DISTINCT a.link_to_event)
FROM attendance a
JOIN event e ON a.link_to_event = e.event_id
JOIN member m ON a.link_to_member = m.member_id
WHERE m.full_name = 'Sacha Harrison'
AND SUBSTR(e.event_date, 1, 4) = '2019'
AND e.type = 'Student_Club'",0,1.3253,325,110,"SELECT COUNT(DISTINCT a.link_to_event)
FROM attendance a
JOIN event e ON a.link_to_event = e.event_id
JOIN member m ON a.link_to_member = m.member_id
WHERE m.first_name = 'Sacha' 
  AND m.last_name = 'Harrison'
  AND SUBSTR(e.event_date, 1, 4) = '2019'
  AND e.type = 'Student_Club'",0,1,1.5321,478,120,"SELECT COUNT(DISTINCT a.link_to_event) FROM attendance AS a JOIN event AS e ON a.link_to_event = e.event_id JOIN member AS m ON a.link_to_member = m.member_id WHERE m.full_name = 'Sacha Harrison' AND SUBSTRING(e.event_date, 1, 4) = '2019'",ast,silent_failure_suspected,1,1.4565,519,96,anthropic
evo_cm_01327,COLUMN_MERGE,student_club,1327,"List the full name of all the members of the Student_Club who attended the ""Laugh Out Loud"" event.",1,"SELECT DISTINCT m.first_name, m.last_name
FROM member m
JOIN attendance a ON m.member_id = a.link_to_member
JOIN event e ON a.link_to_event = e.event_id
WHERE e.event_name = 'Laugh Out Loud'",0,1.4535,336,78,"SELECT DISTINCT m.full_name
FROM member m
JOIN attendance a ON m.member_id = a.link_to_member
JOIN event e ON a.link_to_event = e.event_id
WHERE e.event_name = 'Laugh Out Loud'",1,1.1094,331,72,"SELECT DISTINCT m.first_name, m.last_name
FROM member m
JOIN attendance a ON m.member_id = a.link_to_member
JOIN event e ON a.link_to_event = e.event_id
WHERE e.event_name = 'Laugh Out Loud'",0,1,1.0854,450,73,SELECT DISTINCT m.full_name FROM member AS m JOIN attendance AS a ON m.member_id = a.link_to_member JOIN event AS e ON a.link_to_event = e.event_id WHERE e.event_name = 'Laugh Out Loud',ast,valid,1,1.4244,496,71,anthropic
evo_cm_01329,COLUMN_MERGE,student_club,1329,What county did Sherri Ramsey grew up?,1,"SELECT z.county
FROM member m
JOIN zip_code z ON m.zip = z.zip_code
WHERE m.first_name = 'Sherri' AND m.last_name = 'Ramsey'",0,1.1594,323,59,"SELECT z.county
FROM member m
JOIN zip_code z ON m.zip = z.zip_code
WHERE m.full_name = 'Sherri Ramsey'",1,1.3989,318,49,"SELECT z.county
FROM member m
JOIN zip_code z ON m.zip = z.zip_code
WHERE m.first_name = 'Sherri' AND m.last_name = 'Ramsey'",0,1,0.9798,418,54,SELECT z.county FROM member AS m JOIN zip_code AS z ON m.zip = z.zip_code WHERE m.full_name = 'Sherri Ramsey',ast,silent_failure_suspected,1,1.0672,464,48,anthropic
evo_cm_01330,COLUMN_MERGE,student_club,1330,What college offers the major that Tyler Hewitt took?,0,"SELECT DISTINCT m.college
FROM member
JOIN major ON member.link_to_major = major.major_id
WHERE member.first_name = 'Tyler' AND member.last_name = 'Hewitt'",0,1.202,323,54,"SELECT DISTINCT m.college
FROM member
JOIN major ON member.link_to_major = major.major_id
WHERE member.full_name = 'Tyler Hewitt'",0,1.2368,318,44,"SELECT DISTINCT major.college
FROM member
JOIN major ON member.link_to_major = major.major_id
WHERE member.first_name = 'Tyler' AND member.last_name = 'Hewitt'",0,1,1.6963,416,54,SELECT DISTINCT m.college FROM member JOIN major m ON member.link_to_major = m.major_id WHERE member.full_name = 'Tyler Hewitt',ast,valid,1,1.146,462,47,anthropic
