id,perturbation,expected_failure,seed,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
cs_tr_01,TABLE_RENAME,False,0,SELECT Name FROM singer,1,SELECT Name FROM singer,0,SELECT Name FROM artist,1,SELECT Name FROM Singer,0,1,no such table: singer,openai_compat,SELECT Name FROM artist,ast,valid,1,1.1927,1.4587,1.1945,0.9717,22.7545,35.861625,openai_compat
cs_tr_01,TABLE_RENAME,False,1,SELECT Name FROM singer,1,SELECT Name FROM singer,0,SELECT Name FROM artist,1,SELECT Name FROM Singer,0,1,no such table: singer,openai_compat,SELECT Name FROM artist,ast,valid,1,2.6344,1.8146,0.9155,0.9732,0.046,1.122,openai_compat
cs_tr_01,TABLE_RENAME,False,2,SELECT Name FROM singer,1,SELECT Name FROM singer,0,SELECT Name FROM artist,1,SELECT Name FROM Singer,0,1,no such table: singer,openai_compat,SELECT Name FROM artist,ast,valid,1,0.7869,0.7734,0.9315,2.0478,0.0533,0.496708,openai_compat
cs_tr_02,TABLE_RENAME,False,0,SELECT COUNT(*) FROM singer WHERE Country = 'France',1,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,SELECT COUNT(*) FROM artist WHERE Country = 'France',1,SELECT COUNT(*) FROM Singer WHERE Country = 'France',0,1,no such table: singer,openai_compat,SELECT COUNT(*) FROM artist WHERE Country = 'France',ast,valid,1,0.7435,0.8826,0.7186,0.9382,0.0676,0.754416,openai_compat
cs_tr_02,TABLE_RENAME,False,1,SELECT COUNT(*) FROM singer WHERE Country = 'France',1,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,SELECT COUNT(*) FROM artist WHERE Country = 'France',1,SELECT COUNT(*) FROM Singer WHERE Country = 'France',0,1,no such table: singer,openai_compat,SELECT COUNT(*) FROM artist WHERE Country = 'France',ast,valid,1,0.8264,0.8606,0.8779,1.0924,0.0392,0.621375,openai_compat
cs_tr_02,TABLE_RENAME,False,2,SELECT COUNT(*) FROM singer WHERE Country = 'France',1,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,SELECT COUNT(*) FROM artist WHERE Country = 'France',1,SELECT COUNT(*) FROM Singer WHERE Country = 'France',0,1,no such table: singer,openai_compat,SELECT COUNT(*) FROM artist WHERE Country = 'France',ast,valid,1,0.7787,0.8575,0.7477,0.9767,0.0527,6.497709,openai_compat
cs_tr_03,TABLE_RENAME,False,0,SELECT Song_Name FROM singer WHERE Singer_ID = 1,1,SELECT Song_Name FROM singer WHERE Singer_ID = 1,0,SELECT Song_Name FROM artist WHERE Singer_ID = 1,1,SELECT Song_Name FROM singer WHERE Singer_ID = 1,0,1,no such table: singer,openai_compat,SELECT Song_Name FROM artist WHERE Singer_ID = 1,ast,valid,1,0.77,0.7295,0.7362,1.1053,0.0633,0.604334,openai_compat
cs_tr_03,TABLE_RENAME,False,1,SELECT Song_Name FROM singer WHERE Singer_ID = 1,1,SELECT Song_Name FROM singer WHERE Singer_ID = 1,0,SELECT Song_Name FROM artist WHERE Singer_ID = 1,1,SELECT Song_Name FROM Singer WHERE Singer_ID = 1,0,1,no such table: singer,openai_compat,SELECT Song_Name FROM artist WHERE Singer_ID = 1,ast,valid,1,0.8847,0.9011,1.0019,0.996,0.048,0.311667,openai_compat
cs_tr_03,TABLE_RENAME,False,2,SELECT Song_Name FROM singer WHERE Singer_ID = 1,1,SELECT Song_Name FROM singer WHERE Singer_ID = 1,0,SELECT Song_Name FROM artist WHERE Singer_ID = 1,1,SELECT Song_Name FROM singer WHERE Singer_ID = 1,0,1,no such table: singer,openai_compat,SELECT Song_Name FROM artist WHERE Singer_ID = 1,ast,valid,1,0.9753,1.069,1.1603,1.279,0.0741,0.317542,openai_compat
cs_tr_04,TABLE_RENAME,False,0,SELECT Name FROM singer WHERE Age > 40,1,SELECT Name FROM singer WHERE Age > 40,0,SELECT Name FROM artist WHERE Age > 40,1,SELECT Name FROM singer WHERE Age > 40,0,1,no such table: singer,openai_compat,SELECT Name FROM artist WHERE Age > 40,ast,valid,1,1.0609,0.8737,0.7344,0.8827,0.1476,1.1325,openai_compat
cs_tr_04,TABLE_RENAME,False,1,SELECT Name FROM singer WHERE Age > 40,1,SELECT Name FROM singer WHERE Age > 40,0,SELECT Name FROM artist WHERE Age > 40,1,SELECT Name FROM singer WHERE Age > 40,0,1,no such table: singer,openai_compat,SELECT Name FROM artist WHERE Age > 40,ast,valid,1,0.8638,0.8346,0.8384,0.9474,0.0406,0.676,openai_compat
cs_tr_04,TABLE_RENAME,False,2,SELECT Name FROM singer WHERE Age > 40,1,SELECT Name FROM singer WHERE Age > 40,0,SELECT Name FROM artist WHERE Age > 40,1,SELECT Name FROM singer WHERE Age > 40,0,1,no such table: singer,openai_compat,SELECT Name FROM artist WHERE Age > 40,ast,valid,1,0.8735,0.7709,0.8806,0.8744,0.0341,0.670375,openai_compat
cs_tr_05,TABLE_RENAME,False,0,SELECT COUNT(*) FROM singer WHERE Is_male = 'yes',0,SELECT COUNT(*) FROM singer WHERE Is_male = 'yes',0,SELECT COUNT(*) FROM artist WHERE Is_male = 'yes',0,SELECT COUNT(*) FROM Singer WHERE Is_male = 'yes',0,1,no such table: singer,openai_compat,SELECT COUNT(*) FROM artist WHERE Is_male = 'yes',ast,silent_failure_suspected,0,0.9374,0.906,0.8317,0.8501,0.9335,1.100958,openai_compat
cs_tr_05,TABLE_RENAME,False,1,SELECT COUNT(*) FROM singer WHERE Is_male = 'yes',0,SELECT COUNT(*) FROM singer WHERE Is_male = 'yes',0,SELECT COUNT(*) FROM artist WHERE Is_male = 'yes',0,SELECT COUNT(*) FROM singer WHERE Is_male = 'Y',0,1,no such table: singer,openai_compat,SELECT COUNT(*) FROM artist WHERE Is_male = 'yes',ast,silent_failure_suspected,0,0.8885,1.0108,0.9179,0.842,0.8224,0.943,openai_compat
cs_tr_05,TABLE_RENAME,False,2,SELECT COUNT(*) FROM singer WHERE Is_male = 'yes',0,SELECT COUNT(*) FROM singer WHERE Is_male = 'yes',0,SELECT COUNT(*) FROM artist WHERE Is_male = 'yes',0,SELECT COUNT(*) FROM singer WHERE Is_male = 'Y',0,1,no such table: singer,openai_compat,SELECT COUNT(*) FROM artist WHERE Is_male = 'yes',ast,silent_failure_suspected,0,1.0052,0.8572,0.9586,0.9266,0.9891,0.804917,openai_compat
cs_tr_06,TABLE_RENAME,False,0,SELECT DISTINCT Song_release_year FROM singer WHERE Song_release_year >= 2010,1,SELECT DISTINCT Song_release_year FROM singer WHERE Song_release_year >= 2010,0,"SELECT DISTINCT Song_release_year 
FROM artist 
WHERE Song_release_year >= 2010",1,SELECT DISTINCT Song_release_year FROM singer WHERE Song_release_year >= 2010,0,1,no such table: singer,openai_compat,SELECT DISTINCT Song_release_year FROM artist WHERE Song_release_year >= 2010,ast,valid,1,0.9564,0.9036,0.9193,0.9019,0.1266,1.090917,openai_compat
cs_tr_06,TABLE_RENAME,False,1,SELECT DISTINCT Song_release_year FROM singer WHERE Song_release_year >= 2010,1,SELECT DISTINCT Song_release_year FROM singer WHERE Song_release_year >= 2010,0,"SELECT DISTINCT Song_release_year 
FROM artist 
WHERE Song_release_year >= 2010",1,SELECT DISTINCT Song_release_year FROM singer WHERE Song_release_year >= 2010,0,1,no such table: singer,openai_compat,SELECT DISTINCT Song_release_year FROM artist WHERE Song_release_year >= 2010,ast,valid,1,1.0456,0.8891,1.0175,1.0155,0.0568,0.943792,openai_compat
