id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
hr_tm_01,TABLE_MERGE,List department names with cities.,"SELECT department_name, city FROM department_location ORDER BY department_id",False,,"SELECT T1.department_name, T3.city FROM departments AS T1 INNER JOIN locations AS T3 ON T1.location_id = T3.location_id",1,"SELECT T1.department_name, T3.city FROM departments AS T1 INNER JOIN locations AS T3 ON T1.location_id = T3.location_id",0,"SELECT department_name, city FROM department_location",1,"SELECT T1.department_name, T3.city FROM departments AS T1 INNER JOIN locations AS T2 ON T1.location_id = T2.location_id",0,1,no such table: departments,openai_compat,"SELECT department_name, city 
FROM department_location",ast,valid,1,1,0,1.1195,0.7676,1.157,1.2708,1.3286,22.504728,openai_compat
hr_tm_02,TABLE_MERGE,Count departments per country.,"SELECT country_id, COUNT(*) FROM department_location GROUP BY country_id ORDER BY country_id",False,,"SELECT T2.country_name, COUNT(T1.department_id) FROM departments AS T1 INNER JOIN locations AS T3 ON T1.location_id = T3.location_id INNER JOIN countries AS T2 ON T3.country_id = T2.country_id GROUP BY T2.country_name",0,"SELECT T2.country_name, COUNT(T1.department_id) FROM departments AS T1 INNER JOIN locations AS T3 ON T1.location_id = T3.location_id INNER JOIN countries AS T2 ON T3.country_id = T2.country_id GROUP BY T2.country_name",0,"SELECT T1.country_name, COUNT(T2.department_id) FROM countries T1 INNER JOIN department_location T2 ON T1.country_id = T2.country_id GROUP BY T1.country_name",0,"SELECT T2.country_name, COUNT(T1.department_id) FROM departments AS T1 INNER JOIN locations AS T3 ON T1.location_id = T3.location_id INNER JOIN countries AS T2 ON T3.country_id = T2.country_id GROUP BY T2.country_name",0,1,no such table: departments,openai_compat,"SELECT T2.country_name, COUNT(T1.department_id) 
FROM department_location AS T1 
INNER JOIN countries AS T2 
ON T1.country_id = T2.country_id 
GROUP BY T2.country_name",ast,valid,0,0,0,1.0701,1.0824,1.2458,1.0535,0.9243,1.532945,openai_compat
hr_tm_03,TABLE_MERGE,Street address for department 10.,SELECT street_address FROM department_location WHERE department_id=10,False,,SELECT T1.street_address FROM locations AS T1 INNER JOIN departments AS T2 ON T1.location_id = T2.location_id WHERE T2.department_id = 10,1,SELECT T1.street_address FROM locations AS T1 INNER JOIN departments AS T2 ON T1.location_id = T2.location_id WHERE T2.department_id = 10,0,SELECT street_address FROM department_location WHERE department_id = 10,1,SELECT T1.street_address FROM locations AS T1 INNER JOIN departments AS T2 ON T1.location_id = T2.location_id WHERE T2.department_id = 10,0,1,no such table: locations,openai_compat,SELECT street_address FROM department_location WHERE department_id = 10,ast,valid,1,1,0,1.6031,1.6366,0.9716,0.9039,1.2108,1.087109,openai_compat
hr_tm_04,TABLE_MERGE,Departments in City1.,SELECT department_name FROM department_location WHERE city='City1',False,,SELECT T1.department_name FROM departments AS T1 INNER JOIN locations AS T2 ON T1.location_id = T2.location_id WHERE T2.city = 'City1',1,SELECT T1.department_name FROM departments AS T1 INNER JOIN locations AS T2 ON T1.location_id = T2.location_id WHERE T2.city = 'City1',0,SELECT department_name FROM department_location WHERE city = 'City1',1,SELECT T1.department_name FROM departments AS T1 INNER JOIN locations AS T2 ON T1.location_id = T2.location_id WHERE T2.city = 'City1',0,1,no such table: departments,openai_compat,"SELECT department_name 
FROM department_location 
WHERE city = 'City1'",ast,valid,1,1,0,1.0046,0.6589,0.6968,1.0538,0.7954,1.181349,openai_compat
hr_tm_05,TABLE_MERGE,Department names with postal codes.,"SELECT department_name, postal_code FROM department_location ORDER BY department_id",False,,"SELECT T1.department_name, T3.postal_code FROM departments AS T1 INNER JOIN locations AS T3 ON T1.location_id = T3.location_id",1,"SELECT T1.department_name, T3.postal_code FROM departments AS T1 INNER JOIN locations AS T3 ON T1.location_id = T3.location_id",0,"SELECT department_name, postal_code FROM department_location",1,"SELECT T1.department_name, T2.postal_code FROM departments AS T1 INNER JOIN locations AS T2 ON T1.location_id = T2.location_id",0,1,no such table: departments,openai_compat,"SELECT department_name, postal_code 
FROM department_location",ast,valid,1,1,0,0.7539,0.6498,1.02,1.1828,0.6378,0.825736,openai_compat
hr_tm_06,TABLE_MERGE,Count departments in State1.,SELECT COUNT(*) FROM department_location WHERE state_province='State1',False,,SELECT COUNT(T1.department_id) FROM departments AS T1 INNER JOIN locations AS T2 ON T1.location_id = T2.location_id WHERE T2.state_province = 'State1',1,SELECT COUNT(DISTINCT T1.department_id) FROM departments AS T1 INNER JOIN locations AS T2 ON T1.location_id = T2.location_id WHERE T2.state_province = 'State1',0,SELECT COUNT(department_id) FROM department_location WHERE state_province = 'State1',1,SELECT COUNT(DISTINCT T1.department_id) FROM sqlite_master AS T WHERE T.type='table' AND T.name='departments' INNER JOIN locations AS T2 ON T1.location_id = T2.location_id WHERE T2.state_province = 'State1',0,1,no such table: departments,openai_compat,"SELECT COUNT(DISTINCT department_id) 
FROM department_location 
WHERE state_province = 'State1'",ast,valid,1,1,0,3.8376,0.9199,1.5307,1.2692,0.8246,1.116093,openai_compat
hr_tm_07,TABLE_MERGE,List location IDs with department names.,"SELECT location_id, department_name FROM department_location ORDER BY location_id",False,,"SELECT T1.location_id, T2.department_name FROM locations AS T1 INNER JOIN departments AS T2 ON T1.location_id = T2.location_id",1,"SELECT T1.location_id, T2.department_name FROM locations AS T1 INNER JOIN departments AS T2 ON T1.location_id = T2.location_id",0,"SELECT location_id, department_name FROM department_location",1,"SELECT T1.location_id, T2.department_name FROM locations AS T1 INNER JOIN departments AS T2 ON T1.location_id = T2.location_id",0,1,no such table: locations,openai_compat,"SELECT T1.location_id, T1.department_name 
FROM department_location AS T1",ast,valid,1,1,0,1.5146,1.3423,1.1877,0.7858,0.8801,0.873713,openai_compat
hr_tm_08,TABLE_MERGE,Departments in country C01.,SELECT department_name FROM department_location WHERE country_id='C01',False,,SELECT T3.department_name FROM countries AS T1 INNER JOIN locations AS T2 ON T1.country_id = T2.country_id INNER JOIN departments AS T3 ON T2.location_id = T3.location_id WHERE T1.country_id = 'C01',1,SELECT T3.department_name FROM countries AS T1 INNER JOIN locations AS T2 ON T1.country_id = T2.country_id INNER JOIN departments AS T3 ON T2.location_id = T3.location_id WHERE T1.country_id = 'C01',0,SELECT T1.department_name FROM department_location AS T1 INNER JOIN countries AS T2 ON T1.country_id = T2.country_id WHERE T2.country_id = 'C01',1,SELECT T3.department_name FROM countries AS T1 INNER JOIN locations AS T2 ON T1.country_id = T2.country_id INNER JOIN departments AS T3 ON T2.location_id = T3.location_id WHERE T1.country_id = 'C01',0,1,no such table: locations,openai_compat,"SELECT T2.department_name 
FROM countries AS T1 
INNER JOIN department_location AS T2 
ON T1.country_id = T2.country_id 
WHERE T1.country_id = 'C01'",ast,silent_failure_suspected,1,1,0,2.1184,1.2588,0.7778,1.0239,1.043,1.175765,openai_compat
hr_tm_09,TABLE_MERGE,Count distinct cities with departments.,SELECT COUNT(DISTINCT city) FROM department_location,False,,SELECT COUNT(DISTINCT T1.city) FROM locations AS T1 INNER JOIN departments AS T2 ON T1.location_id = T2.location_id,1,SELECT COUNT(DISTINCT T1.city) FROM locations AS T1 INNER JOIN departments AS T2 ON T1.location_id = T2.location_id,0,SELECT COUNT(DISTINCT city) FROM department_location,1,SELECT COUNT(DISTINCT T1.city) FROM locations AS T1 INNER JOIN departments AS T2 ON T1.location_id = T2.location_id,0,1,no such table: locations,openai_compat,"SELECT COUNT(DISTINCT city) 
FROM department_location",ast,valid,1,1,0,1.4374,0.5866,0.751,1.3492,2.5629,0.926347,openai_compat
hr_tm_10,TABLE_MERGE,List department names with manager IDs.,"SELECT department_name, manager_id FROM department_location ORDER BY department_id",False,,"SELECT department_name, manager_id FROM departments",1,"SELECT department_name, manager_id FROM departments",0,"SELECT department_name, manager_id FROM department_location",1,"SELECT department_name, manager_id FROM departments",0,1,no such table: departments,openai_compat,"SELECT department_name, manager_id FROM department_location",ast,valid,1,1,0,1.1143,2.4365,0.6788,1.7107,0.9873,0.630388,openai_compat
