id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
hr_tm_01,TABLE_MERGE,List department names with cities.,"SELECT department_name, city FROM department_location ORDER BY department_id",False,,"SELECT d.department_name, l.city
FROM departments d
JOIN locations l ON d.location_id = l.location_id",1,"SELECT DISTINCT d.department_name, l.city
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name, l.city",0,"SELECT DISTINCT department_name, city
FROM department_location
ORDER BY department_name, city",1,"SELECT DISTINCT d.department_name, l.city
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name, l.city",0,1,no such table: departments,anthropic,"SELECT DISTINCT department_name, city FROM department_location ORDER BY department_name, city",ast,valid,1,1,0,1.2201,1.3273,1.0475,1.1269,1.1389,1.336291,anthropic
hr_tm_02,TABLE_MERGE,Count departments per country.,"SELECT country_id, COUNT(*) FROM department_location GROUP BY country_id ORDER BY country_id",False,,"SELECT c.country_name, COUNT(DISTINCT d.department_id) AS department_count
FROM countries c
LEFT JOIN locations l ON c.country_id = l.country_id
LEFT JOIN departments d ON l.location_id = d.location_id
GROUP BY c.country_id, c.country_name
ORDER BY c.country_name",0,"SELECT c.country_name, COUNT(DISTINCT d.department_id) AS department_count
FROM countries c
LEFT JOIN locations l ON c.country_id = l.country_id
LEFT JOIN departments d ON l.location_id = d.location_id
GROUP BY c.country_id, c.country_name
ORDER BY c.country_name",0,"SELECT country_id, COUNT(DISTINCT department_id) as department_count
FROM department_location
GROUP BY country_id
ORDER BY country_id",1,"SELECT c.country_name, COUNT(DISTINCT d.department_id) AS department_count
FROM countries c
LEFT JOIN locations l ON c.country_id = l.country_id
LEFT JOIN departments d ON l.location_id = d.location_id
GROUP BY c.country_id, c.country_name
ORDER BY c.country_name",0,1,no such table: locations,anthropic,"SELECT c.country_name, COUNT(DISTINCT dl.department_id) AS department_count 
FROM countries AS c 
LEFT JOIN department_location AS dl ON c.country_id = dl.country_id 
GROUP BY c.country_id, c.country_name 
ORDER BY c.country_name",ast,valid,0,0,0,1.2441,1.8395,1.0036,3.3884,1.266,1.898625,anthropic
hr_tm_03,TABLE_MERGE,Street address for department 10.,SELECT street_address FROM department_location WHERE department_id=10,False,,SELECT street_address FROM locations WHERE location_id = (SELECT location_id FROM departments WHERE department_id = 10),1,SELECT street_address FROM locations WHERE location_id = (SELECT location_id FROM departments WHERE department_id = 10),0,SELECT street_address FROM department_location WHERE department_id = 10,1,SELECT street_address FROM locations WHERE location_id = (SELECT location_id FROM departments WHERE department_id = 10),0,1,no such table: locations,anthropic,SELECT street_address FROM department_location WHERE department_id = 10,ast,valid,1,1,0,1.5464,1.167,2.0135,0.9498,2.6761,1.270833,anthropic
hr_tm_04,TABLE_MERGE,Departments in City1.,SELECT department_name FROM department_location WHERE city='City1',False,,"SELECT d.department_id, d.department_name
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.city = 'City1'",0,"SELECT d.department_id, d.department_name
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.city = 'City1'",0,"SELECT DISTINCT department_id, department_name
FROM department_location
WHERE city = 'City1'",0,"SELECT d.department_id, d.department_name
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.city = 'City1'",0,1,no such table: departments,anthropic,"SELECT dl.department_id, dl.department_name FROM department_location AS dl WHERE dl.city = 'City1'",ast,valid,0,0,0,0.9976,1.0315,1.1706,1.1704,1.1237,1.277875,anthropic
hr_tm_05,TABLE_MERGE,Department names with postal codes.,"SELECT department_name, postal_code FROM department_location ORDER BY department_id",False,,"SELECT DISTINCT d.department_name, l.postal_code
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name",1,"SELECT DISTINCT d.department_name, l.postal_code
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name",0,"SELECT department_name, postal_code
FROM department_location",1,"SELECT DISTINCT d.department_name, l.postal_code
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name",0,1,no such table: departments,anthropic,"SELECT DISTINCT department_name, postal_code FROM department_location ORDER BY department_name",ast,valid,1,1,0,1.0886,1.0581,1.011,0.9727,2.1343,1.785208,anthropic
hr_tm_06,TABLE_MERGE,Count departments in State1.,SELECT COUNT(*) FROM department_location WHERE state_province='State1',False,,"SELECT COUNT(DISTINCT d.department_id)
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.state_province = 'State1'",1,"SELECT COUNT(DISTINCT d.department_id)
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.state_province = 'State1'",0,"SELECT COUNT(DISTINCT department_id) 
FROM department_location 
WHERE state_province = 'State1'",1,"SELECT COUNT(DISTINCT d.department_id)
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.state_province = 'State1'",0,1,no such table: departments,anthropic,SELECT COUNT(DISTINCT department_id) FROM department_location WHERE state_province = 'State1',ast,valid,1,1,0,1.0859,1.5919,0.9246,2.4232,0.9396,1.085708,anthropic
hr_tm_07,TABLE_MERGE,List location IDs with department names.,"SELECT location_id, department_name FROM department_location ORDER BY location_id",False,,"SELECT l.location_id, d.department_name
FROM locations l
LEFT JOIN departments d ON l.location_id = d.location_id
ORDER BY l.location_id",1,"SELECT l.location_id, d.department_name
FROM locations l
LEFT JOIN departments d ON l.location_id = d.location_id
ORDER BY l.location_id",0,"SELECT location_id, department_name FROM department_location",1,"SELECT l.location_id, d.department_name
FROM locations l
LEFT JOIN departments d ON l.location_id = d.location_id
ORDER BY l.location_id",0,1,no such table: locations,anthropic,"SELECT dl.location_id, dl.department_name FROM department_location AS dl ORDER BY dl.location_id",ast,valid,1,1,0,1.4576,2.5369,1.0859,1.1437,1.8069,1.323959,anthropic
hr_tm_08,TABLE_MERGE,Departments in country C01.,SELECT department_name FROM department_location WHERE country_id='C01',False,,"SELECT DISTINCT d.department_id, d.department_name
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.country_id = 'C01'",0,"SELECT DISTINCT d.department_id, d.department_name
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.country_id = 'C01'",0,"SELECT DISTINCT d.department_id, d.department_name
FROM department_location d
WHERE d.country_id = 'C01'
ORDER BY d.department_id",0,"SELECT DISTINCT d.department_id, d.department_name
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.country_id = 'C01'",0,1,no such table: departments,anthropic,"SELECT DISTINCT department_id, department_name FROM department_location WHERE country_id = 'C01'",ast,valid,0,0,0,1.0681,1.1146,2.5473,1.0987,1.0296,1.841375,anthropic
hr_tm_09,TABLE_MERGE,Count distinct cities with departments.,SELECT COUNT(DISTINCT city) FROM department_location,False,,"SELECT COUNT(DISTINCT l.city)
FROM locations l
INNER JOIN departments d ON l.location_id = d.location_id",1,SELECT COUNT(DISTINCT city) FROM locations WHERE location_id IN (SELECT location_id FROM departments),0,SELECT COUNT(DISTINCT city) FROM department_location,1,SELECT COUNT(DISTINCT city) FROM locations WHERE location_id IN (SELECT location_id FROM departments),0,1,no such table: locations,anthropic,SELECT COUNT(DISTINCT city) FROM department_location,ast,valid,1,1,0,0.98,1.152,0.9948,1.1032,0.9786,1.716208,anthropic
hr_tm_10,TABLE_MERGE,List department names with manager IDs.,"SELECT department_name, manager_id FROM department_location ORDER BY department_id",False,,"SELECT department_name, manager_id FROM departments",1,"SELECT department_name, manager_id FROM departments",0,"SELECT department_name, manager_id FROM department_location",1,"SELECT department_name, manager_id FROM departments",0,1,no such table: departments,anthropic,"SELECT department_name, manager_id FROM department_location",ast,valid,1,1,0,1.0764,1.1797,1.0178,1.041,0.9548,0.952834,anthropic
