id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
cs_tr_01,TABLE_RENAME,List all singer names.,SELECT Name FROM artist ORDER BY Singer_ID,False,,SELECT Name FROM singer,1,SELECT Name FROM singer,0,SELECT Name FROM artist,1,SELECT Name FROM singer,0,1,no such table: singer,openai_compat,SELECT Name FROM artist,ast,valid,1,1,0,1.2422,0.578,1.1116,0.6161,0.0019,0.465383,openai_compat
cs_tr_02,TABLE_RENAME,Count singers from France.,SELECT COUNT(*) FROM artist WHERE Country='France',False,,SELECT COUNT(Singer_ID) FROM singer WHERE Country = 'France',1,SELECT COUNT(Singer_ID) FROM singer WHERE Country = 'France',0,SELECT COUNT(Singer_ID) FROM artist WHERE Country = 'France',1,SELECT COUNT(Singer_ID) FROM singer_in_concert WHERE Singer_ID IN (SELECT Singer_ID FROM singer WHERE Country = 'France'),0,1,no such table: singer,openai_compat,SELECT COUNT(Singer_ID) FROM artist WHERE Country = 'France',ast,valid,1,1,0,0.9138,1.692,0.6119,0.8353,0.0027,0.677569,openai_compat
cs_tr_03,TABLE_RENAME,Find the song name for Singer_ID 1.,SELECT Song_Name FROM artist WHERE Singer_ID=1,False,,SELECT Song_Name FROM singer WHERE Singer_ID = 1,1,SELECT Song_Name FROM singer WHERE Singer_ID = 1,0,SELECT Song_Name FROM artist WHERE Singer_ID = 1,1,SELECT Song_Name FROM singer,0,1,no such table: singer,openai_compat,SELECT Song_Name FROM artist WHERE Singer_ID = 1,ast,valid,1,1,0,0.6646,0.5931,0.536,0.4798,0.0021,0.571008,openai_compat
cs_tr_04,TABLE_RENAME,List singer names with age over 40.,SELECT Name FROM artist WHERE Age > 40 ORDER BY Name,False,,SELECT Name FROM singer WHERE Age > 40,1,SELECT Name FROM singer WHERE Age > 40,0,SELECT Name FROM artist WHERE Age > 40,1,SELECT Name FROM singer,0,1,no such table: singer,openai_compat,SELECT Name FROM artist WHERE Age > 40,ast,valid,1,1,0,0.9722,0.7789,0.9064,0.6618,0.0024,0.680535,openai_compat
cs_tr_05,TABLE_RENAME,Count male singers.,SELECT COUNT(*) FROM artist WHERE Is_male='T',False,,SELECT COUNT(Singer_ID) FROM singer WHERE Is_male = 'True',0,SELECT COUNT(Singer_ID) FROM singer WHERE Is_male = 'True',0,SELECT COUNT(Singer_ID) FROM artist WHERE Is_male = 'TRUE',0,SELECT COUNT(Singer_ID) FROM singer_in_concert WHERE Singer_ID IN (SELECT Singer_ID FROM singer WHERE Is_male = 'True'),0,1,no such table: singer,openai_compat,SELECT COUNT(Singer_ID) FROM artist WHERE Is_male = 'True',ast,silent_failure_suspected,0,0,0,0.609,0.6623,0.6497,0.6435,0.7972,0.780466,openai_compat
cs_tr_06,TABLE_RENAME,List song release years since 2010.,SELECT Song_release_year FROM artist WHERE Song_release_year >= 2010 ORDER BY Song_release_year,False,,SELECT Song_release_year FROM singer WHERE Song_release_year >= 2010,1,SELECT Song_release_year FROM singer WHERE Song_release_year >= 2010,0,SELECT Song_release_year FROM artist WHERE Song_release_year >= 2010,1,SELECT Song_release_year FROM singer_in_concert AS T1 INNER JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Song_release_year >= 2010,0,1,no such table: singer,openai_compat,SELECT Song_release_year FROM artist WHERE Song_release_year >= 2010,ast,valid,1,1,0,0.6648,0.7003,0.6507,0.7503,0.0029,0.674658,openai_compat
cs_tr_07,TABLE_RENAME,List singer names and countries alphabetically.,"SELECT Name, Country FROM artist ORDER BY Name",False,,"SELECT Name, Country FROM singer ORDER BY Name, Country",1,"SELECT Name, Country FROM singer ORDER BY Name, Country",0,"SELECT Name, Country FROM artist ORDER BY Name, Country",1,"SELECT Name, Country FROM singer ORDER BY Name, Country",0,1,no such table: singer,openai_compat,"SELECT Name, Country FROM artist ORDER BY Name, Country",ast,valid,1,1,0,0.5985,1.0462,0.6656,0.8001,0.0028,0.761346,openai_compat
cs_tr_08,TABLE_RENAME,Which singers performed in concert 1?,SELECT a.Name FROM artist a JOIN singer_in_concert sc ON a.Singer_ID=sc.Singer_ID WHERE sc.Concert_ID=1 ORDER BY a.Name,False,,SELECT T1.Name FROM singer AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Concert_ID = 1,1,SELECT T1.Name FROM singer AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Concert_ID = 1,0,SELECT T1.Name FROM artist AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Concert_ID = 1,1,SELECT T1.Name FROM singer AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Concert_ID = 1,0,1,no such table: singer,openai_compat,SELECT T1.Name FROM artist AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Concert_ID = 1,ast,valid,1,1,0,0.8797,1.2167,1.6521,1.3982,0.0029,0.94211,openai_compat
cs_tr_09,TABLE_RENAME,Count concerts per singer.,"SELECT a.Name, COUNT(*) AS concert_count FROM artist a JOIN singer_in_concert sc ON a.Singer_ID=sc.Singer_ID GROUP BY a.Name ORDER BY concert_count DESC, a.Name",False,,"SELECT T2.Name, COUNT(T1.Concert_ID) FROM singer_in_concert AS T1 INNER JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID GROUP BY T2.Name",1,"SELECT T2.Name, COUNT(T1.Concert_ID) FROM singer_in_concert AS T1 INNER JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID GROUP BY T2.Name",0,"SELECT T1.Name, COUNT(T3.Concert_ID) FROM artist AS T1 INNER JOIN singer_in_concert AS T3 ON T1.Singer_ID = T3.Singer_ID GROUP BY T1.Name",1,"SELECT T2.Name, COUNT(T1.Concert_ID) FROM singer_in_concert AS T1 INNER JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID GROUP BY T2.Name",0,1,no such table: singer,openai_compat,"SELECT T2.Name, COUNT(T1.Concert_ID) FROM singer_in_concert AS T1 INNER JOIN artist AS T2 ON T1.Singer_ID = T2.Singer_ID GROUP BY T2.Name",ast,valid,1,1,0,0.8732,1.1465,0.9127,1.3583,0.0038,1.116326,openai_compat
cs_tr_10,TABLE_RENAME,List songs by French singers.,"SELECT Name, Song_Name FROM artist WHERE Country='France' ORDER BY Name",False,,SELECT Song_Name FROM singer WHERE Country = 'French',0,SELECT Song_Name FROM singer WHERE Country = 'French',0,SELECT Song_Name FROM artist WHERE Country = 'French',0,SELECT Song_Name FROM singer WHERE Country = 'France',0,1,no such table: singer,openai_compat,SELECT Song_Name FROM artist WHERE Country = 'French',ast,silent_failure_suspected,0,0,0,2.7507,1.3451,0.9279,0.7667,0.6687,0.612259,openai_compat
