id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
cs_tr_01,TABLE_RENAME,List all singer names.,SELECT Name FROM artist ORDER BY Singer_ID,False,,SELECT Name FROM singer,1,SELECT Name FROM singer,0,SELECT DISTINCT Name FROM artist,1,SELECT Name FROM singer,0,1,no such table: singer,anthropic,SELECT Name FROM artist,ast,valid,1,1,0,1.0784,1.0259,0.9642,0.7794,0.0303,0.510667,anthropic
cs_tr_02,TABLE_RENAME,Count singers from France.,SELECT COUNT(*) FROM artist WHERE Country='France',False,,SELECT COUNT(*) FROM singer WHERE Country = 'France',1,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,SELECT COUNT(DISTINCT Singer_ID) FROM artist WHERE Country = 'France',1,SELECT COUNT(*) FROM singer WHERE Country = 'France',0,1,no such table: singer,anthropic,SELECT COUNT(*) FROM artist WHERE Country = 'France',ast,valid,1,1,0,0.789,1.2263,1.0214,1.1273,0.0334,0.916583,anthropic
cs_tr_03,TABLE_RENAME,Find the song name for Singer_ID 1.,SELECT Song_Name FROM artist WHERE Singer_ID=1,False,,SELECT Song_Name FROM singer WHERE Singer_ID = 1,1,SELECT Song_Name FROM singer WHERE Singer_ID = 1,0,SELECT Song_Name FROM artist WHERE Singer_ID = 1,1,SELECT Song_Name FROM singer WHERE Singer_ID = 1,0,1,no such table: singer,anthropic,SELECT Song_Name FROM artist WHERE Singer_ID = 1,ast,valid,1,1,0,0.8063,1.3106,1.0236,1.0273,0.0304,0.778583,anthropic
cs_tr_04,TABLE_RENAME,List singer names with age over 40.,SELECT Name FROM artist WHERE Age > 40 ORDER BY Name,False,,SELECT Name FROM singer WHERE Age > 40,1,SELECT Name FROM singer WHERE Age > 40,0,SELECT Name FROM artist WHERE Age > 40,1,SELECT Name FROM singer WHERE Age > 40,0,1,no such table: singer,anthropic,SELECT Name FROM artist WHERE Age > 40,ast,valid,1,1,0,0.7593,1.3557,0.756,0.7294,0.0317,0.7055,anthropic
cs_tr_05,TABLE_RENAME,Count male singers.,SELECT COUNT(*) FROM artist WHERE Is_male='T',False,,SELECT COUNT(*) FROM singer WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'yes' OR Is_male = 'Yes' OR Is_male = 'Y',0,SELECT COUNT(*) FROM singer WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'yes' OR Is_male = 'Yes' OR Is_male = 'Y',0,SELECT COUNT(*) FROM artist WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'T' OR Is_male = 'M',1,SELECT COUNT(*) FROM singer WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'yes' OR Is_male = 'Yes' OR Is_male = 'Y',0,1,no such table: singer,anthropic,SELECT COUNT(*) FROM artist WHERE Is_male = 'true' OR Is_male = 'True' OR Is_male = 'yes' OR Is_male = 'Yes' OR Is_male = 'Y',ast,silent_failure_suspected,0,0,0,1.3023,1.0504,1.0164,1.0497,1.7816,0.976042,anthropic
cs_tr_06,TABLE_RENAME,List song release years since 2010.,SELECT Song_release_year FROM artist WHERE Song_release_year >= 2010 ORDER BY Song_release_year,False,,"SELECT DISTINCT Song_release_year
FROM singer
WHERE Song_release_year >= 2010
ORDER BY Song_release_year",1,"SELECT DISTINCT Song_release_year
FROM singer
WHERE Song_release_year >= 2010
ORDER BY Song_release_year",0,"SELECT DISTINCT Song_release_year
FROM artist
WHERE Song_release_year >= 2010
ORDER BY Song_release_year",1,"SELECT DISTINCT Song_release_year
FROM singer
WHERE Song_release_year >= 2010
ORDER BY Song_release_year",0,1,no such table: singer,anthropic,SELECT DISTINCT Song_release_year FROM artist WHERE Song_release_year >= 2010 ORDER BY Song_release_year,ast,valid,1,1,0,1.0918,1.2343,1.21,0.9339,0.0348,0.80275,anthropic
cs_tr_07,TABLE_RENAME,List singer names and countries alphabetically.,"SELECT Name, Country FROM artist ORDER BY Name",False,,"SELECT Name, Country FROM singer ORDER BY Name, Country",1,"SELECT Name, Country FROM singer ORDER BY Name, Country",0,"SELECT Name, Country FROM artist ORDER BY Name, Country",1,"SELECT Name, Country FROM singer ORDER BY Name, Country",0,1,no such table: singer,anthropic,"SELECT Name, Country FROM artist ORDER BY Name, Country",ast,valid,1,1,0,1.0515,0.86,0.9188,1.5275,0.033,0.775625,anthropic
cs_tr_08,TABLE_RENAME,Which singers performed in concert 1?,SELECT a.Name FROM artist a JOIN singer_in_concert sc ON a.Singer_ID=sc.Singer_ID WHERE sc.Concert_ID=1 ORDER BY a.Name,False,,"SELECT s.Singer_ID, s.Name
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
WHERE sic.Concert_ID = 1",0,"SELECT s.Singer_ID, s.Name
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
WHERE sic.Concert_ID = 1",0,"SELECT DISTINCT a.Name
FROM artist a
JOIN singer_in_concert sic ON a.Singer_ID = sic.Singer_ID
WHERE sic.Concert_ID = 1",1,"SELECT s.Singer_ID, s.Name
FROM singer s
JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
WHERE sic.Concert_ID = 1",0,1,no such table: singer,anthropic,"SELECT s.Singer_ID, s.Name FROM artist AS s JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID WHERE sic.Concert_ID = 1",ast,valid,0,0,0,0.9133,1.6244,1.2631,0.9912,0.0338,1.10875,anthropic
cs_tr_09,TABLE_RENAME,Count concerts per singer.,"SELECT a.Name, COUNT(*) AS concert_count FROM artist a JOIN singer_in_concert sc ON a.Singer_ID=sc.Singer_ID GROUP BY a.Name ORDER BY concert_count DESC, a.Name",False,,"SELECT s.Singer_ID, s.Name, COUNT(sic.Concert_ID) as concert_count
FROM singer s
LEFT JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
GROUP BY s.Singer_ID, s.Name
ORDER BY s.Singer_ID",0,"SELECT s.Singer_ID, s.Name, COUNT(sic.Concert_ID) as concert_count
FROM singer s
LEFT JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
GROUP BY s.Singer_ID, s.Name
ORDER BY s.Singer_ID",0,"SELECT a.Singer_ID, a.Name, COUNT(sic.Concert_ID) as concert_count
FROM artist a
LEFT JOIN singer_in_concert sic ON a.Singer_ID = sic.Singer_ID
GROUP BY a.Singer_ID, a.Name
ORDER BY a.Singer_ID",0,"SELECT s.Singer_ID, s.Name, COUNT(sic.Concert_ID) as concert_count
FROM singer s
LEFT JOIN singer_in_concert sic ON s.Singer_ID = sic.Singer_ID
GROUP BY s.Singer_ID, s.Name
ORDER BY s.Singer_ID",0,1,no such table: singer,anthropic,"SELECT s.Singer_ID, s.Name, COUNT(sic.Concert_ID) AS concert_count FROM artist AS s LEFT JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID GROUP BY s.Singer_ID, s.Name ORDER BY s.Singer_ID",ast,valid,0,0,0,1.194,1.1005,1.3996,1.0849,0.0348,1.434917,anthropic
cs_tr_10,TABLE_RENAME,List songs by French singers.,"SELECT Name, Song_Name FROM artist WHERE Country='France' ORDER BY Name",False,,SELECT Song_Name FROM singer WHERE Country = 'France',0,"SELECT Song_Name
FROM singer
WHERE Country = 'France'",0,SELECT Song_Name FROM artist WHERE Country = 'France',0,"SELECT Song_Name
FROM singer
WHERE Country = 'France'",0,1,no such table: singer,anthropic,SELECT Song_Name FROM artist WHERE Country = 'France',ast,valid,0,0,0,0.8829,1.8003,0.9951,1.6132,0.0302,0.65775,anthropic
