id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
hr_cm_01,COLUMN_MERGE,List merged employee full names.,SELECT full_name FROM employees ORDER BY employee_id,False,,SELECT first_name || ' ' || last_name AS full_name FROM employees,1,SELECT first_name || ' ' || last_name AS full_name FROM employees,0,SELECT full_name FROM employees UNION SELECT full_name FROM employees,1,SELECT first_name || ' ' || last_name AS full_name FROM employees,0,1,no such column: first_name,openai_compat,SELECT full_name AS full_name FROM employees,ast,valid,1,1,0,1.1951,1.0962,1.8887,0.6108,1.0643,0.656385,openai_compat
hr_cm_02,COLUMN_MERGE,Count employees with last names starting with S.,SELECT COUNT(*) FROM employees WHERE full_name LIKE '% S%',False,,SELECT COUNT(employee_id) FROM employees WHERE last_name LIKE 'S%',1,SELECT COUNT(employee_id) FROM employees WHERE last_name LIKE 'S%',0,SELECT COUNT(employee_id) FROM employees WHERE last_name LIKE 'S%',0,SELECT COUNT(employee_id) FROM employees WHERE last_name LIKE 'S%',0,1,no such column: last_name,openai_compat,SELECT COUNT(employee_id) FROM employees WHERE full_name LIKE 'S%',ast,silent_failure_suspected,0,0,0,1.0721,0.8958,0.6229,1.0489,0.7479,0.676262,openai_compat
hr_cm_03,COLUMN_MERGE,Full name for employee 1.,SELECT full_name FROM employees WHERE employee_id=1,False,,"SELECT first_name, last_name FROM employees WHERE employee_id = 1",0,"SELECT first_name, last_name FROM employees WHERE employee_id = 1",0,SELECT full_name FROM employees WHERE employee_id = 1,1,"SELECT first_name, last_name FROM employees WHERE employee_id = 1",0,1,no such column: first_name,openai_compat,SELECT full_name FROM employees WHERE employee_id = 1,ast,valid,1,1,0,0.5972,5.8196,0.638,1.1554,1.1971,0.618832,openai_compat
hr_cm_04,COLUMN_MERGE,Full names for employees with salary over 7000.,SELECT full_name FROM employees WHERE salary > 7000 ORDER BY employee_id,False,,"SELECT first_name, last_name FROM employees WHERE salary > 7000",0,"SELECT first_name, last_name FROM employees WHERE salary > 7000",0,SELECT full_name FROM employees WHERE salary > 7000,1,"SELECT first_name, last_name FROM employees WHERE salary > 7000",0,1,no such column: first_name,openai_compat,SELECT full_name FROM employees WHERE salary > 7000,ast,valid,1,1,0,0.6608,0.7195,1.1466,0.8964,1.0837,0.712722,openai_compat
hr_cm_05,COLUMN_MERGE,Full names with emails.,"SELECT full_name, email FROM employees ORDER BY employee_id",False,,"SELECT first_name || ' ' || last_name AS full_name, email FROM employees",1,"SELECT first_name || ' ' || last_name AS full_name, email FROM employees",0,"SELECT full_name, email FROM employees",1,"SELECT first_name || ' ' || last_name AS full_name, email FROM employees",0,1,no such column: first_name,openai_compat,"SELECT full_name AS full_name, email FROM employees",ast,valid,1,1,0,2.0851,1.4607,1.1878,1.453,1.1057,0.683571,openai_compat
hr_cm_06,COLUMN_MERGE,Full names with department IDs.,"SELECT full_name, department_id FROM employees ORDER BY employee_id",False,,"SELECT first_name, last_name, department_id FROM employees",0,"SELECT first_name, last_name, department_id FROM employees",0,"SELECT full_name, department_id FROM employees",1,"SELECT first_name, last_name, department_id FROM employees",0,1,no such column: first_name,openai_compat,"SELECT full_name, department_id FROM employees",ast,valid,1,1,0,0.8661,1.6047,0.8785,1.3496,1.6711,0.735531,openai_compat
hr_cm_07,COLUMN_MERGE,Full names and job IDs for the first five employees.,"SELECT full_name, job_id FROM employees WHERE employee_id <= 5 ORDER BY employee_id",False,,"SELECT first_name, last_name, job_id FROM employees LIMIT 5",0,"SELECT first_name, last_name, job_id FROM employees LIMIT 5",0,"SELECT full_name, job_id FROM employees LIMIT 5",1,"SELECT first_name, last_name, job_id FROM employees LIMIT 5",0,1,no such column: first_name,openai_compat,"SELECT full_name, job_id FROM employees LIMIT 5",ast,valid,1,1,0,1.7973,1.6246,1.035,0.8652,1.1965,0.68175,openai_compat
hr_cm_08,COLUMN_MERGE,Count employees with 'a' in their full name.,SELECT COUNT(*) FROM employees WHERE full_name LIKE '%a%',False,,SELECT COUNT(*) FROM employees WHERE first_name || ' ' || last_name LIKE '%a%',1,SELECT COUNT(*) FROM employees WHERE first_name || ' ' || last_name LIKE '%a%',0,SELECT COUNT(employee_id) FROM employees WHERE full_name LIKE '%a%',1,SELECT COUNT(*) FROM employees WHERE first_name || ' ' || last_name LIKE '%a%',0,1,no such column: first_name,openai_compat,SELECT COUNT(*) FROM employees WHERE full_name LIKE '%a%',ast,valid,1,1,0,1.1451,1.1273,0.6182,1.3085,0.6708,0.802326,openai_compat
hr_cm_09,COLUMN_MERGE,Full names for employees with commissions.,SELECT full_name FROM employees WHERE commission_pct IS NOT NULL ORDER BY employee_id,False,,"SELECT first_name, last_name FROM employees WHERE commission_pct IS NOT NULL AND commission_pct > 0",0,"SELECT first_name, last_name FROM employees WHERE commission_pct IS NOT NULL AND commission_pct > 0",0,SELECT full_name FROM employees WHERE commission_pct IS NOT NULL AND commission_pct > 0,1,"SELECT first_name, last_name FROM employees WHERE commission_pct IS NOT NULL AND commission_pct > 0",0,1,no such column: first_name,openai_compat,SELECT full_name FROM employees WHERE NOT commission_pct IS NULL AND commission_pct > 0,ast,valid,1,1,0,1.4796,0.6288,1.0208,0.5779,0.5376,0.873729,openai_compat
hr_cm_10,COLUMN_MERGE,Job history start date with full name for employee 1.,"SELECT j.start_date, e.full_name FROM job_history j JOIN employees e ON j.employee_id=e.employee_id WHERE e.employee_id=1",False,,"SELECT T1.start_date, T2.first_name, T2.last_name FROM job_history AS T1 INNER JOIN employees AS T2 ON T1.employee_id = T2.employee_id WHERE T2.employee_id = 1",0,"SELECT T1.start_date, T2.first_name, T2.last_name FROM job_history AS T1 INNER JOIN employees AS T2 ON T1.employee_id = T2.employee_id WHERE T2.employee_id = 1",0,"SELECT T1.start_date, T2.full_name FROM job_history AS T1 INNER JOIN employees AS T2 ON T1.employee_id = T2.employee_id WHERE T2.employee_id = 1",1,"SELECT T1.start_date, T2.first_name, T2.last_name FROM job_history AS T1 INNER JOIN employees AS T2 ON T1.employee_id = T2.employee_id WHERE T2.employee_id = 1",0,1,no such column: T2.first_name,openai_compat,"SELECT T1.start_date, T2.full_name FROM job_history AS T1 INNER JOIN employees AS T2 ON T1.employee_id = T2.employee_id WHERE T2.employee_id = 1",ast,valid,1,1,0,0.8386,1.227,0.8129,1.587,0.9021,43.942144,openai_compat
