id,perturbation,expected_failure,seed,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
hr_cm_01,COLUMN_MERGE,False,0,"SELECT DISTINCT CONCAT(e1.first_name, ' ', e1.last_name) AS full_name
FROM employees e1
JOIN employees e2 ON e1.employee_id != e2.employee_id
WHERE e1.first_name = e2.first_name AND e1.last_name = e2.last_name
ORDER BY full_name",0,"SELECT DISTINCT CONCAT(e1.first_name, ' ', e1.last_name) AS full_name
FROM employees e1
JOIN employees e2 ON e1.employee_id != e2.employee_id 
  AND e1.first_name = e2.first_name 
  AND e1.last_name = e2.last_name
ORDER BY full_name",0,"SELECT DISTINCT full_name
FROM employees
WHERE full_name IS NOT NULL
ORDER BY full_name",1,"SELECT DISTINCT e1.first_name || ' ' || e1.last_name AS full_name
FROM employees e1
JOIN employees e2 ON e1.employee_id != e2.employee_id 
  AND e1.first_name = e2.first_name 
  AND e1.last_name = e2.last_name
ORDER BY full_name",0,1,no such column: e1.first_name,anthropic,SELECT DISTINCT e1.full_name FROM employees AS e1 JOIN employees AS e2 ON e1.employee_id <> e2.employee_id AND e1.full_name = e2.full_name ORDER BY e1.full_name,ast,silent_failure_suspected,0,3.2493,1.8494,2.8887,1.1922,1.6806,1.614667,anthropic
hr_cm_01,COLUMN_MERGE,False,1,"SELECT DISTINCT CONCAT(e1.first_name, ' ', e1.last_name) AS full_name
FROM employees e1
JOIN employees e2 ON e1.employee_id != e2.employee_id
WHERE e1.first_name = e2.first_name AND e1.last_name = e2.last_name
ORDER BY full_name",0,"SELECT DISTINCT CONCAT(e1.first_name, ' ', e1.last_name) AS full_name
FROM employees e1
JOIN employees e2 ON e1.employee_id != e2.employee_id
WHERE e1.first_name = e2.first_name AND e1.last_name = e2.last_name
ORDER BY full_name",0,"SELECT DISTINCT full_name
FROM employees
WHERE full_name IS NOT NULL
ORDER BY full_name",1,"SELECT DISTINCT e1.first_name || ' ' || e1.last_name AS full_name
FROM employees e1
JOIN employees e2 ON e1.employee_id != e2.employee_id
WHERE e1.first_name = e2.first_name AND e1.last_name = e2.last_name
ORDER BY full_name",0,1,no such column: e1.first_name,anthropic,SELECT DISTINCT e1.full_name FROM employees AS e1 JOIN employees AS e2 ON e1.employee_id <> e2.employee_id WHERE e1.full_name = e2.full_name ORDER BY e1.full_name,ast,silent_failure_suspected,0,1.6053,1.3558,1.0262,1.1591,1.1599,2.025583,anthropic
hr_cm_01,COLUMN_MERGE,False,2,"SELECT DISTINCT CONCAT(e1.first_name, ' ', e1.last_name) AS full_name
FROM employees e1
JOIN employees e2 ON e1.employee_id != e2.employee_id 
  AND e1.first_name = e2.first_name 
  AND e1.last_name = e2.last_name
ORDER BY full_name",0,"SELECT DISTINCT CONCAT(e1.first_name, ' ', e1.last_name) AS full_name
FROM employees e1
JOIN employees e2 ON e1.employee_id != e2.employee_id
WHERE e1.first_name = e2.first_name AND e1.last_name = e2.last_name
ORDER BY full_name",0,"SELECT DISTINCT full_name
FROM employees
WHERE full_name IS NOT NULL
ORDER BY full_name",1,"SELECT DISTINCT e1.first_name || ' ' || e1.last_name AS full_name
FROM employees e1
JOIN employees e2 ON e1.employee_id != e2.employee_id
WHERE e1.first_name = e2.first_name AND e1.last_name = e2.last_name
ORDER BY full_name",0,1,no such column: e1.first_name,anthropic,SELECT DISTINCT e1.full_name FROM employees AS e1 JOIN employees AS e2 ON e1.employee_id <> e2.employee_id WHERE e1.full_name = e2.full_name ORDER BY e1.full_name,ast,silent_failure_suspected,0,3.8028,3.2127,1.7797,1.1207,1.1976,2.195959,anthropic
hr_cm_01,COLUMN_MERGE,False,3,"SELECT DISTINCT CONCAT(e1.first_name, ' ', e1.last_name) AS full_name
FROM employees e1
JOIN employees e2 ON e1.employee_id != e2.employee_id
WHERE e1.first_name = e2.first_name AND e1.last_name = e2.last_name
ORDER BY full_name",0,"SELECT DISTINCT CONCAT(e1.first_name, ' ', e1.last_name) AS full_name
FROM employees e1
JOIN employees e2 ON e1.employee_id != e2.employee_id
WHERE e1.first_name = e2.first_name AND e1.last_name = e2.last_name
ORDER BY full_name",0,"SELECT DISTINCT full_name
FROM employees
WHERE full_name IS NOT NULL
ORDER BY full_name",1,"SELECT DISTINCT e1.first_name || ' ' || e1.last_name AS full_name
FROM employees e1
JOIN employees e2 ON e1.employee_id != e2.employee_id
WHERE e1.first_name = e2.first_name AND e1.last_name = e2.last_name
ORDER BY full_name",0,1,no such column: e1.first_name,anthropic,SELECT DISTINCT e1.full_name FROM employees AS e1 JOIN employees AS e2 ON e1.employee_id <> e2.employee_id WHERE e1.full_name = e2.full_name ORDER BY e1.full_name,ast,silent_failure_suspected,0,2.6162,1.5526,1.2392,1.1632,1.3758,12.533833,anthropic
hr_cm_01,COLUMN_MERGE,False,4,"SELECT DISTINCT CONCAT(e1.first_name, ' ', e1.last_name) AS full_name
FROM employees e1
JOIN employees e2 ON e1.employee_id != e2.employee_id
WHERE e1.first_name = e2.first_name AND e1.last_name = e2.last_name
ORDER BY full_name",0,"SELECT DISTINCT CONCAT(e1.first_name, ' ', e1.last_name) AS full_name
FROM employees e1
JOIN employees e2 ON e1.employee_id != e2.employee_id
WHERE e1.first_name = e2.first_name AND e1.last_name = e2.last_name
ORDER BY full_name",0,"SELECT DISTINCT full_name
FROM employees
WHERE full_name IS NOT NULL
ORDER BY full_name",1,"SELECT DISTINCT e1.first_name || ' ' || e1.last_name AS full_name
FROM employees e1
JOIN employees e2 ON e1.employee_id != e2.employee_id
WHERE e1.first_name = e2.first_name AND e1.last_name = e2.last_name
ORDER BY full_name",0,1,no such column: e1.first_name,anthropic,SELECT DISTINCT e1.full_name FROM employees AS e1 JOIN employees AS e2 ON e1.employee_id <> e2.employee_id WHERE e1.full_name = e2.full_name ORDER BY e1.full_name,ast,silent_failure_suspected,0,1.3521,1.3576,1.0786,1.1212,1.3983,1.513542,anthropic
hr_cm_02,COLUMN_MERGE,False,0,SELECT COUNT(*) FROM employees WHERE last_name LIKE 'S%',1,SELECT COUNT(*) FROM employees WHERE last_name LIKE 'S%',0,SELECT COUNT(*) FROM employees WHERE full_name LIKE '% S%',1,SELECT COUNT(*) FROM employees WHERE last_name LIKE 'S%',0,1,no such column: last_name,anthropic,SELECT COUNT(*) FROM employees WHERE full_name LIKE '%S%',ast,valid,1,2.6929,0.9808,1.1668,0.9512,1.0519,0.999458,anthropic
hr_cm_02,COLUMN_MERGE,False,1,SELECT COUNT(*) FROM employees WHERE last_name LIKE 'S%',1,SELECT COUNT(*) FROM employees WHERE last_name LIKE 'S%',0,SELECT COUNT(*) FROM employees WHERE full_name LIKE '% S%',1,SELECT COUNT(*) FROM employees WHERE last_name LIKE 'S%',0,1,no such column: last_name,anthropic,SELECT COUNT(*) FROM employees WHERE full_name LIKE '%S%',ast,valid,1,1.1795,1.1709,0.979,0.948,1.1847,0.972167,anthropic
hr_cm_02,COLUMN_MERGE,False,2,SELECT COUNT(*) FROM employees WHERE last_name LIKE 'S%',1,SELECT COUNT(*) FROM employees WHERE last_name LIKE 'S%',0,SELECT COUNT(*) FROM employees WHERE full_name LIKE '% S%',1,SELECT COUNT(*) FROM employees WHERE last_name LIKE 'S%',0,1,no such column: last_name,anthropic,SELECT COUNT(*) FROM employees WHERE full_name LIKE '%S%',ast,valid,1,1.1797,1.0677,1.0564,1.3615,1.5,1.215708,anthropic
hr_cm_02,COLUMN_MERGE,False,3,SELECT COUNT(*) FROM employees WHERE last_name LIKE 'S%',1,SELECT COUNT(*) FROM employees WHERE last_name LIKE 'S%',0,SELECT COUNT(*) FROM employees WHERE full_name LIKE '% S%',1,SELECT COUNT(*) FROM employees WHERE last_name LIKE 'S%',0,1,no such column: last_name,anthropic,SELECT COUNT(*) FROM employees WHERE full_name LIKE '%S%',ast,valid,1,1.621,1.1124,1.0983,3.328,1.7906,1.0805,anthropic
hr_cm_02,COLUMN_MERGE,False,4,SELECT COUNT(*) FROM employees WHERE last_name LIKE 'S%',1,SELECT COUNT(*) FROM employees WHERE last_name LIKE 'S%',0,SELECT COUNT(*) FROM employees WHERE full_name LIKE '% S%',1,SELECT COUNT(*) FROM employees WHERE last_name LIKE 'S%',0,1,no such column: last_name,anthropic,SELECT COUNT(*) FROM employees WHERE full_name LIKE '%S%',ast,valid,1,0.9833,0.9969,1.3771,0.9651,1.1772,0.78075,anthropic
