id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
Q01,TABLE_RENAME,How many singers do we have?,SELECT COUNT(*) FROM artist,False,,SELECT count(*) FROM singer,1,SELECT count(*) FROM singer,0,SELECT count(*) FROM artist,1,SELECT count(*) FROM singer,0,1,no such table: singer,gemini,SELECT COUNT(*) FROM artist,ast,valid,1,1,0,4.6891,1.6419,0.8501,3.3482,0.0174,14.943769,gemini
Q02,TABLE_RENAME,What is the name and country of every singer?,"SELECT Name, Country FROM artist",False,,"SELECT Name, Country FROM singer",1,"SELECT Name, Country FROM singer",0,"SELECT Name, Country FROM artist",1,"SELECT Name, Country FROM singer",0,1,no such table: singer,gemini,"SELECT Name, Country FROM artist",ast,valid,1,1,0,1.2246,1.3317,1.5037,3.8246,0.0032,0.744759,gemini
Q03,TABLE_RENAME,List the names of singers from France.,SELECT Name FROM artist WHERE Country = 'France',False,,SELECT Name FROM singer WHERE Country = 'France',1,SELECT Name FROM singer WHERE Country = 'France',0,SELECT Name FROM artist WHERE Country = 'France',1,SELECT Name FROM singer WHERE Country = 'France',0,1,no such table: singer,gemini,SELECT Name FROM artist WHERE Country = 'France',ast,valid,1,1,0,1.9968,1.1003,1.3324,3.6666,0.0053,1.261498,gemini
Q04,TABLE_RENAME,What are the names of all singers ordered by age from oldest to youngest?,SELECT Name FROM artist ORDER BY Age DESC,False,,SELECT Name FROM singer ORDER BY Age DESC,1,SELECT Name FROM singer ORDER BY Age DESC,0,SELECT Name FROM artist ORDER BY Age DESC,1,SELECT Name FROM singer ORDER BY Age DESC,0,1,no such table: singer,gemini,SELECT Name FROM artist ORDER BY Age DESC,ast,valid,1,1,0,1.1014,2.2417,1.4097,4.1089,0.0073,1.987057,gemini
Q05,TABLE_RENAME,How many male singers are there?,SELECT COUNT(*) FROM artist WHERE Is_male = 'T',False,,SELECT count(*) FROM singer WHERE Is_male = 'T',1,SELECT count(*) FROM singer WHERE Is_male = 'T',0,SELECT count(*) FROM artist WHERE Is_male = 'Yes',0,SELECT count(*) FROM singer WHERE Is_male = 'T',0,1,no such table: singer,gemini,SELECT COUNT(*) FROM artist WHERE Is_male = 'T',ast,valid,1,1,0,1.5377,1.2283,1.7687,1.436,0.0055,1.541615,gemini
Q06,TABLE_RENAME,"What is the average, minimum, and maximum age of all singers?","SELECT AVG(Age), MIN(Age), MAX(Age) FROM artist",False,,"SELECT AVG(Age), MIN(Age), MAX(Age) FROM singer",1,"SELECT AVG(Age), MIN(Age), MAX(Age) FROM singer",0,"SELECT avg(Age), min(Age), max(Age) FROM artist",1,"SELECT AVG(Age), MIN(Age), MAX(Age) FROM singer",0,1,no such table: singer,gemini,"SELECT AVG(Age), MIN(Age), MAX(Age) FROM artist",ast,valid,1,1,0,1.7651,1.6246,1.5155,3.8788,0.0056,1.656076,gemini
Q07,TABLE_RENAME,List each country and the number of singers from that country.,"SELECT Country, COUNT(*) FROM artist GROUP BY Country",False,,"SELECT Country ,  count(*) FROM singer GROUP BY Country",1,"SELECT Country ,  count(*) FROM singer GROUP BY Country",0,"SELECT Country, count(*) FROM artist GROUP BY Country",1,"SELECT Country ,  count(*) FROM singer GROUP BY Country",0,1,no such table: singer,gemini,"SELECT Country, COUNT(*) FROM artist GROUP BY Country",ast,valid,1,1,0,1.6405,1.5965,1.3212,4.6804,0.0068,1.579196,gemini
Q08,TABLE_RENAME,Show the name of the oldest singer.,SELECT Name FROM artist ORDER BY Age DESC LIMIT 1,False,,SELECT Name FROM singer ORDER BY Age DESC LIMIT 1,1,SELECT Name FROM singer ORDER BY Age DESC LIMIT 1,0,SELECT Name FROM artist ORDER BY Age DESC LIMIT 1,1,SELECT Name FROM singer ORDER BY Age DESC LIMIT 1,0,1,no such table: singer,gemini,SELECT Name FROM artist ORDER BY Age DESC LIMIT 1,ast,valid,1,1,0,1.1953,1.5428,1.202,3.5902,0.0074,2.040636,gemini
Q09,TABLE_RENAME,Show the names of all singers and the names of concerts they performed in.,"SELECT T2.Name, T3.concert_Name FROM singer_in_concert AS T1 JOIN artist AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T1.Concert_ID = T3.Concert_ID",False,,"SELECT T1.Name, T3.concert_Name FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T2.Concert_ID = T3.Concert_ID",1,"SELECT T1.Name, T3.concert_Name FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T2.Concert_ID = T3.Concert_ID",0,"SELECT T1.Name, T3.concert_Name FROM artist AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T2.Concert_ID = T3.Concert_ID",1,"SELECT T1.Name, T3.concert_Name FROM singer AS T1 JOIN",0,1,no such table: singer,gemini,"SELECT T1.Name, T3.concert_Name FROM artist AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T2.Concert_ID = T3.Concert_ID",ast,valid,1,1,0,1.8773,1.8667,1.1406,3.5911,0.0308,2.99488,gemini
Q10,TABLE_RENAME,List the names of singers who performed in a concert with theme 'Wide Awake'.,SELECT T2.Name FROM singer_in_concert AS T1 JOIN artist AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T1.Concert_ID = T3.Concert_ID WHERE T3.Theme = 'Wide Awake',False,,SELECT T1.Name FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T2.Concert_ID = T3.Concert_ID WHERE T3.Theme = 'Wide Awake',1,SELECT T1.Name FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T2.Concert_ID = T3.Concert_ID WHERE T3.Theme = 'Wide Awake',0,SELECT T1.Name FROM artist AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T2.Concert_ID = T3.Concert_ID WHERE T3.Theme = 'Wide Awake',1,SELECT T1.Name FROM singer AS T1 JOIN singer_in_concert AS T2,0,1,no such table: singer,gemini,SELECT T1.Name FROM artist AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON T2.Concert_ID = T3.Concert_ID WHERE T3.Theme = 'Wide Awake',ast,valid,1,1,0,1.9087,1.9146,1.6896,4.1594,0.0152,5.96733,gemini
