id,perturbation,question,gold_post,expected_failure,failure_reason,pre_sql,pre_ok,baseline_sql,baseline_ok,refreshed_schema_sql,refreshed_schema_ok,error_feedback_sql,error_feedback_ok,error_feedback_retry,error_feedback_error,error_feedback_backend,mcp_sql,mcp_method,mcp_verdict,mcp_ok,recovered,degraded,latency_pre_s,latency_baseline_s,latency_refreshed_schema_s,latency_error_feedback_s,latency_mcp_s,ast_relink_ms,backend
hr_tm_01,TABLE_MERGE,List department names with cities.,"SELECT department_name, city FROM department_location ORDER BY department_id",False,,"SELECT d.department_name, l.city
FROM departments d
JOIN locations l ON d.location_id = l.location_id",1,"SELECT DISTINCT d.department_name, l.city
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name, l.city",0,"SELECT DISTINCT department_name, city
FROM department_location
ORDER BY department_name, city",1,"SELECT DISTINCT d.department_name, l.city
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name, l.city",0,1,no such table: departments,anthropic,"SELECT DISTINCT department_name, city FROM department_location ORDER BY department_name, city",ast,valid,1,1,0,1.1314,1.1182,1.2203,1.3849,1.6262,1.181335,anthropic
hr_tm_02,TABLE_MERGE,Count departments per country.,"SELECT country_id, COUNT(*) FROM department_location GROUP BY country_id ORDER BY country_id",False,,"SELECT c.country_name, COUNT(DISTINCT d.department_id) AS department_count
FROM countries c
LEFT JOIN locations l ON c.country_id = l.country_id
LEFT JOIN departments d ON l.location_id = d.location_id
GROUP BY c.country_id, c.country_name
ORDER BY c.country_name",0,"SELECT c.country_name, COUNT(DISTINCT d.department_id) AS department_count
FROM countries c
LEFT JOIN locations l ON c.country_id = l.country_id
LEFT JOIN departments d ON l.location_id = d.location_id
GROUP BY c.country_id, c.country_name
ORDER BY c.country_name",0,"SELECT country_id, COUNT(DISTINCT department_id) as department_count
FROM department_location
GROUP BY country_id
ORDER BY country_id",1,"SELECT c.country_name, COUNT(DISTINCT d.department_id) AS department_count
FROM countries c
LEFT JOIN locations l ON c.country_id = l.country_id
LEFT JOIN departments d ON l.location_id = d.location_id
GROUP BY c.country_id, c.country_name
ORDER BY c.country_name",0,1,no such table: locations,anthropic,"SELECT c.country_name, COUNT(DISTINCT dl.department_id) AS department_count FROM countries AS c LEFT JOIN department_location AS dl ON c.country_id = dl.country_id GROUP BY c.country_id, c.country_name ORDER BY c.country_name",ast,valid,0,0,0,1.3075,1.1851,1.2038,1.2359,1.3289,8.003148,anthropic
hr_tm_03,TABLE_MERGE,Street address for department 10.,SELECT street_address FROM department_location WHERE department_id=10,False,,"SELECT street_address
FROM locations
WHERE location_id = (
  SELECT location_id
  FROM departments
  WHERE department_id = 10
)",1,"SELECT street_address
FROM locations
WHERE location_id = (
  SELECT location_id
  FROM departments
  WHERE department_id = 10
)",0,SELECT street_address FROM department_location WHERE department_id = 10,1,"SELECT street_address
FROM locations
WHERE location_id = (
  SELECT location_id
  FROM departments
  WHERE department_id = 10
)",0,1,no such table: locations,anthropic,SELECT street_address FROM department_location WHERE department_id = 10,ast,valid,1,1,0,1.2319,1.0282,1.1524,0.9426,1.1734,1.057616,anthropic
hr_tm_04,TABLE_MERGE,Departments in City1.,SELECT department_name FROM department_location WHERE city='City1',False,,"SELECT d.department_id, d.department_name
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.city = 'City1'",0,"SELECT d.department_id, d.department_name
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.city = 'City1'",0,"SELECT DISTINCT department_id, department_name
FROM department_location
WHERE city = 'City1'",0,"SELECT d.department_id, d.department_name
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.city = 'City1'",0,1,no such table: departments,anthropic,"SELECT dl.department_id, dl.department_name FROM department_location AS dl WHERE dl.city = 'City1'",ast,silent_failure_suspected,0,0,0,1.0811,1.1704,1.8135,0.9528,1.1275,0.941163,anthropic
hr_tm_05,TABLE_MERGE,Department names with postal codes.,"SELECT department_name, postal_code FROM department_location ORDER BY department_id",False,,"SELECT DISTINCT d.department_name, l.postal_code
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name",1,"SELECT DISTINCT d.department_name, l.postal_code
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name",0,"SELECT department_name, postal_code
FROM department_location",1,"SELECT DISTINCT d.department_name, l.postal_code
FROM departments d
JOIN locations l ON d.location_id = l.location_id
ORDER BY d.department_name",0,1,no such table: departments,anthropic,"SELECT DISTINCT department_name, postal_code FROM department_location ORDER BY department_name",ast,valid,1,1,0,1.146,1.1043,0.9852,0.9918,1.0855,1.142372,anthropic
hr_tm_06,TABLE_MERGE,Count departments in State1.,SELECT COUNT(*) FROM department_location WHERE state_province='State1',False,,"SELECT COUNT(DISTINCT d.department_id)
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.state_province = 'State1'",1,"SELECT COUNT(DISTINCT d.department_id)
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.state_province = 'State1'",0,"SELECT COUNT(DISTINCT department_id) 
FROM department_location 
WHERE state_province = 'State1'",1,"SELECT COUNT(DISTINCT d.department_id)
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.state_province = 'State1'",0,1,no such table: departments,anthropic,SELECT COUNT(DISTINCT department_id) FROM department_location WHERE state_province = 'State1',ast,valid,1,1,0,1.4896,1.8624,0.9224,1.4747,1.0083,1.023349,anthropic
hr_tm_07,TABLE_MERGE,List location IDs with department names.,"SELECT location_id, department_name FROM department_location ORDER BY location_id",False,,"SELECT l.location_id, d.department_name
FROM locations l
LEFT JOIN departments d ON l.location_id = d.location_id
ORDER BY l.location_id",1,"SELECT l.location_id, d.department_name
FROM locations l
LEFT JOIN departments d ON l.location_id = d.location_id
ORDER BY l.location_id",0,"SELECT location_id, department_name FROM department_location",1,"SELECT l.location_id, d.department_name
FROM locations l
LEFT JOIN departments d ON l.location_id = d.location_id
ORDER BY l.location_id",0,1,no such table: locations,anthropic,"SELECT DISTINCT dl.location_id, dl.department_name FROM department_location AS dl ORDER BY dl.location_id",ast,valid,1,1,0,0.9755,1.2527,0.8671,0.9383,1.2283,1.078769,anthropic
hr_tm_08,TABLE_MERGE,Departments in country C01.,SELECT department_name FROM department_location WHERE country_id='C01',False,,"SELECT DISTINCT d.department_id, d.department_name
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.country_id = 'C01'",0,"SELECT DISTINCT d.department_id, d.department_name
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.country_id = 'C01'",0,"SELECT DISTINCT d.department_id, d.department_name
FROM department_location d
WHERE d.country_id = 'C01'
ORDER BY d.department_id",0,"SELECT DISTINCT d.department_id, d.department_name
FROM departments d
JOIN locations l ON d.location_id = l.location_id
WHERE l.country_id = 'C01'",0,1,no such table: departments,anthropic,"SELECT DISTINCT department_id, department_name FROM department_location WHERE country_id = 'C01'",ast,silent_failure_suspected,0,0,0,0.9498,1.2928,1.451,1.4875,0.9257,1.013906,anthropic
hr_tm_09,TABLE_MERGE,Count distinct cities with departments.,SELECT COUNT(DISTINCT city) FROM department_location,False,,SELECT COUNT(DISTINCT city) FROM locations WHERE location_id IN (SELECT location_id FROM departments),1,"SELECT COUNT(DISTINCT l.city)
FROM locations l
INNER JOIN departments d ON l.location_id = d.location_id",0,SELECT COUNT(DISTINCT city) FROM department_location,1,"SELECT COUNT(DISTINCT l.city)
FROM locations l
INNER JOIN departments d ON l.location_id = d.location_id",0,1,no such table: locations,anthropic,SELECT COUNT(DISTINCT city) FROM department_location,ast,valid,1,1,0,1.2195,0.9666,1.0788,1.1315,2.1472,1.020108,anthropic
hr_tm_10,TABLE_MERGE,List department names with manager IDs.,"SELECT department_name, manager_id FROM department_location ORDER BY department_id",False,,"SELECT department_name, manager_id FROM departments",1,"SELECT department_name, manager_id FROM departments",0,"SELECT department_name, manager_id FROM department_location",1,"SELECT department_name, manager_id FROM departments",0,1,no such table: departments,anthropic,"SELECT department_name, manager_id FROM department_location",ast,valid,1,1,0,0.8472,0.8419,1.2124,1.0144,1.4519,0.565653,anthropic
